step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake
100000,0,521,21.07,0.38,0.51,0.31,17.28,0.00,1.03,0.000,0.109,163376.7,82885.4,1,20,5.98,1.02,1.03,23.7932,1263.56,93851.1,0.0000,5.5916,5462,0.5040,206,30.4982,180063.0
100000,1,464,22.24,0.26,0.44,0.40,18.47,0.00,1.05,0.000,0.104,161543.6,82121.9,2,18,6.44,1.01,1.07,23.6580,1638.25,17341.0,5.9111,5.0621,5461,0.5039,277,30.1976,180750.5
100000,2,39,27.27,1.00,0.72,0.26,21.31,0.00,1.14,0.000,0.011,13413.7,2589.3,1,6,6.69,1.00,1.22,1.5501,74.81,68.7,31.4734,1.6156,5461,0.5039,447,0.6118,3167.5
110000,0,581,21.65,0.39,0.80,0.37,16.69,0.01,1.08,0.002,0.122,337408.2,208044.2,2,16,5.94,1.05,1.09,55.1267,1839.74,90240.6,0.0000,5.2230,5462,0.5618,254,64.8149,458278.6
110000,1,530,19.36,0.09,0.43,0.22,16.44,0.00,1.02,0.000,0.103,307333.3,175156.0,3,15,6.09,1.01,1.03,47.7260,1591.87,14583.4,17.8832,4.9386,5461,0.5617,248,55.5797,399493.4
110000,2,36,20.26,0.06,0.97,0.00,17.47,0.00,1.00,0.000,0.008,24877.5,6164.9,1,8,6.50,1.00,1.00,2.8030,261.89,48.5,61.8880,2.6297,5461,0.5617,211,1.2592,8067.0
120000,0,481,23.23,0.28,0.74,0.62,17.90,0.00,1.06,0.000,0.107,182614.6,94098.6,1,16,6.61,1.08,1.07,26.7739,1465.19,92842.1,0.0000,5.2302,5462,0.5154,254,31.3806,207872.5
120000,1,459,23.15,0.20,0.25,0.41,18.78,0.00,1.04,0.000,0.104,169145.8,86030.0,2,19,6.72,1.06,1.04,24.8934,1749.78,15554.9,5.6638,4.9194,5461,0.5154,264,29.3049,190001.9
120000,2,37,26.24,0.86,0.05,1.78,19.46,0.00,1.09,0.000,0.009,15541.6,3824.0,2,9,7.24,1.00,1.17,1.9882,134.58,57.3,31.7750,1.8142,5461,0.5154,472,0.8019,4515.6
130000,0,584,21.34,0.20,0.09,0.12,17.71,0.00,1.03,0.000,0.120,339810.9,211367.6,1,16,6.48,1.01,1.04,56.3031,1865.56,89140.6,0.0000,4.7184,5462,0.5111,174,66.2058,468053.8
130000,1,508,20.05,0.24,0.01,0.21,16.96,0.00,1.03,0.000,0.102,298842.2,178234.9,1,9,6.39,1.00,1.05,47.5561,1697.21,13834.5,18.2438,4.5968,5461,0.5110,274,53.8868,394403.2
