step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung
10000,1297,1.896,0.579,11.03,95674,91829,35,288,3645,61548,845651.6,469556.9,0.077,0.580,0.125,0.217,115,16.91,8.22,0.21,1.62,0.18,1.82,0.43,2.52,16.91,7.24,0.00,0.00,0.006,0.045,427,0.032,0.039,0.943,0.000,0.018,138099,124358,9,0.215,0.586,0.069,2426721,0.180,1.827,0.041,24.13,49885,150,7.629,0.507,0.278,5816385,1.05,9.29,0.003,0.037,0.000,8.4,15.6,26.2,73.2,23005,0.088,0.00,0.0039,0.067,75,0.722,0.000,0.699,0.357,4.13,4.75,6.71,0.00,0.000,1.02,1.10,1.05,0.724,0.00490,2.00,123.8075,3789.69,114096.6,140064.9,59.780,88.5393,112.925,466.985,0.797,0.381,3.0,6.361,207.230,900,2672.2,77.53,38.776,130.078,2200.7,91.509,0.134,2.00,10.4738,13584.5,0.8133,0.2762,17.74,0.955,0.103,1.3183,0.0000,0.423,0.102,0.210,70.7197
20000,1391,1.727,0.474,10.40,62695,59903,6,104,2588,11205,377968.9,193437.3,0.046,0.580,0.144,0.230,166,15.05,8.42,0.25,1.36,0.12,1.15,0.24,1.82,15.35,7.05,0.00,0.00,0.004,0.035,326,0.079,0.060,0.928,0.000,0.012,58149,51498,5,0.677,0.014,0.045,562889,0.144,1.477,0.032,18.02,23807,106,17.263,0.510,0.240,3105703,1.06,10.84,0.002,0.020,0.000,8.1,12.2,26.1,69.3,22213,0.085,0.00,0.0018,0.068,80,0.623,0.000,0.742,0.093,3.82,5.13,5.60,0.03,0.006,1.02,1.10,1.07,0.623,0.00204,0.96,54.2574,2970.09,117385.5,140064.9,33.345,44.8668,53.447,187.587,0.821,0.386,3.5,2.839,106.585,706,2038.2,27.96,17.129,59.366,1936.4,38.017,0.135,2.00,8.6958,12095.8,0.7542,0.2919,15.97,0.923,0.083,0.6817,0.0000,0.390,0.068,0.082,30.0052
30000,1453,1.666,0.528,10.03,133203,124856,38,500,7747,37686,773658.6,497786.3,0.057,0.556,0.160,0.227,147,14.66,9.30,0.23,1.57,0.27,2.05,0.13,0.95,14.45,6.81,0.00,0.08,0.008,0.059,342,0.164,0.043,0.941,0.000,0.016,179835,160653,6,0.636,0.122,0.036,794536,0.147,1.615,0.036,18.09,60542,178,13.209,0.386,0.264,8828430,1.06,10.91,0.001,0.032,0.001,8.2,11.4,26.1,98.3,21898,0.084,0.00,0.0037,0.073,110,0.771,0.000,0.843,0.294,3.83,4.95,5.70,0.02,0.006,1.02,1.09,1.07,0.772,0.00222,2.07,123.9825,3664.02,114558.2,140064.9,70.317,72.0951,113.187,294.940,0.773,0.378,2.7,3.232,205.871,648,1859.9,32.29,15.098,125.506,2255.7,96.848,0.133,2.01,9.6410,14008.3,0.8747,0.4264,15.07,0.944,0.117,1.3183,0.0000,0.383,0.088,0.111,67.9909
40000,1453,1.672,0.483,9.25,73454,69427,0,36,3991,4379,414276.1,219483.8,0.042,0.590,0.132,0.237,175,14.03,7.10,0.20,1.58,0.05,0.94,0.08,1.05,15.00,6.54,0.00,0.00,0.001,0.022,279,0.144,0.043,0.944,0.000,0.012,69035,61549,3,0.465,0.163,0.012,307103,0.137,1.452,0.033,18.06,24804,111,50.122,0.417,0.233,3877813,1.06,10.82,0.001,0.005,0.000,8.0,12.4,22.1,72.5,22280,0.085,0.00,0.0019,0.078,109,0.643,0.000,0.776,0.086,3.84,4.53,6.17,0.00,0.001,1.06,1.08,1.05,0.643,0.00186,1.11,61.0644,3217.13,116927.8,140064.9,33.161,42.5273,59.579,187.948,0.811,0.386,3.4,2.708,105.877,693,1952.5,26.78,15.919,59.348,1958.0,41.549,0.134,2.00,8.5237,12384.9,0.7711,0.3002,15.33,0.903,0.093,0.6817,0.0000,0.340,0.082,0.007,32.4132
50000,1087,1.870,0.657,9.89,138357,126341,54,792,11536,39030,824189.8,510326.7,0.042,0.643,0.117,0.199,147,18.35,15.61,0.22,1.87,1.93,6.77,0.08,0.72,16.75,9.79,0.01,0.13,0.039,0.136,355,0.072,0.043,0.939,0.000,0.017,202428,184849,3,0.603,0.248,0.029,328878,0.158,1.972,0.048,18.69,63064,187,13.075,0.394,0.259,10840900,1.07,8.78,0.011,0.108,0.003,7.9,12.6,40.4,102.7,20637,0.079,0.00,0.0045,0.074,88,0.793,0.000,0.850,0.346,4.44,4.81,7.02,0.02,0.005,1.07,1.09,1.07,0.794,0.00330,2.14,130.1004,3907.52,115553.6,140064.9,69.464,71.7335,115.759,305.555,0.804,0.383,3.1,3.592,204.490,999,3062.7,45.85,15.344,125.694,2950.8,98.324,0.136,1.99,10.4002,11305.0,0.8406,0.4037,18.99,0.910,0.123,1.3183,0.0000,0.298,0.068,0.003,68.9251
60000,1301,1.779,0.523,9.95,73301,67916,0,313,4858,20060,433882.3,217721.8,0.044,0.655,0.089,0.213,174,15.10,7.87,0.07,1.18,0.00,0.08,0.28,1.56,17.27,8.33,0.00,0.00,0.000,0.004,289,0.116,0.052,0.935,0.000,0.013,72843,65615,4,0.870,0.030,0.050,579341,0.113,1.511,0.037,18.37,26669,164,10.854,0.329,0.214,4445678,1.02,8.79,0.005,0.002,0.000,8.4,12.5,24.8,79.3,22920,0.087,0.00,0.0019,0.074,83,0.692,0.000,0.782,0.129,4.43,4.45,7.27,0.00,0.000,1.01,1.02,1.01,0.693,0.00218,1.10,61.5593,3184.99,115698.8,140064.9,33.084,42.8248,59.912,195.174,0.771,0.382,3.0,2.835,106.351,892,2669.3,26.66,16.836,59.133,1958.7,41.197,0.135,2.00,10.0621,13090.7,0.7773,0.2976,17.62,0.857,0.059,0.6817,0.0000,0.271,0.048,0.000,31.8557
70000,1455,1.724,0.587,9.63,141067,126291,108,63,14451,4867,832509.4,490444.9,0.056,0.647,0.073,0.225,146,13.61,6.91,0.09,0.94,0.01,0.20,0.18,1.29,15.51,7.06,0.00,0.00,0.001,0.010,303,0.131,0.036,0.952,0.000,0.012,219841,205109,2,0.789,0.107,0.049,796097,0.136,1.961,0.041,17.11,69265,195,100.769,0.603,0.280,11968431,1.02,9.44,0.001,0.007,0.000,6.7,11.5,21.9,61.9,22983,0.088,0.00,0.0037,0.051,56,0.836,0.000,0.884,0.381,4.25,4.41,7.31,0.00,0.001,1.01,1.04,1.02,0.836,0.00183,1.96,131.7751,4303.10,110991.9,140064.9,70.191,73.5612,113.340,302.640,0.740,0.372,2.5,2.664,203.828,744,2294.5,77.97,14.489,126.736,2224.0,98.692,0.136,2.00,11.3765,16552.8,0.9621,0.4610,15.80,0.859,0.061,1.3183,0.0000,0.289,0.052,0.001,67.1448
80000,1339,1.744,0.553,9.91,73153,68229,11,15,5014,2011,422125.5,215601.5,0.047,0.652,0.054,0.247,170,13.86,7.57,0.03,0.42,0.01,0.16,0.51,2.02,15.70,8.23,0.00,0.00,0.001,0.029,345,0.066,0.043,0.939,0.000,0.018,76958,70276,3,0.783,0.043,0.119,661625,0.137,1.619,0.040,16.49,27080,32,107.211,0.800,0.227,5022850,1.01,8.35,0.004,0.001,0.000,7.7,11.5,22.3,59.2,21745,0.083,0.00,0.0020,0.076,92,0.748,0.000,0.798,0.158,4.50,5.04,7.44,0.00,0.000,1.00,1.01,1.01,0.748,0.00158,1.04,62.2502,3290.83,114137.8,140064.9,34.469,43.2494,58.611,188.138,0.740,0.378,2.3,2.112,105.718,860,2616.6,34.53,14.950,59.689,2339.9,41.206,0.134,2.01,10.5745,14159.3,0.8874,0.2884,16.24,0.860,0.076,0.6817,0.0000,0.271,0.041,0.001,31.1369
90000,1417,1.726,0.600,10.16,128590,115453,146,42,12871,3146,795104.5,448056.9,0.049,0.637,0.059,0.255,141,12.89,7.16,0.05,0.53,0.03,0.73,0.39,1.95,14.18,7.77,0.00,0.00,0.001,0.029,352,0.054,0.019,0.966,0.000,0.015,208864,197146,4,0.289,0.392,0.097,1532397,0.132,2.051,0.041,15.46,66488,278,142.421,0.548,0.249,12055644,1.02,9.91,0.001,0.005,0.000,6.3,10.6,21.6,58.5,20771,0.079,0.00,0.0040,0.070,52,0.865,0.000,0.876,0.401,4.58,5.50,7.34,0.01,0.001,1.01,1.02,1.02,0.865,0.00135,1.87,124.5106,4221.18,108225.0,140064.9,72.542,76.4024,106.214,284.156,0.661,0.366,1.6,1.919,200.228,726,2069.5,100.38,13.302,126.119,2534.1,94.946,0.135,2.00,13.5533,19205.0,1.2106,0.4180,14.66,0.887,0.075,1.3183,0.0000,0.277,0.046,0.000,62.6680
100000,1248,1.795,0.558,10.89,68801,64324,23,100,4523,8902,416318.3,205905.7,0.040,0.645,0.053,0.262,163,15.91,10.39,0.19,1.63,0.52,2.56,0.62,3.03,16.32,9.53,0.01,0.19,0.020,0.091,440,0.055,0.028,0.954,0.000,0.018,74362,68244,6,0.373,0.160,0.117,1196068,0.123,1.620,0.040,15.94,27682,179,23.130,0.280,0.242,5121902,1.05,8.38,0.010,0.079,0.002,7.1,13.1,27.8,72.5,22027,0.084,0.00,0.0020,0.053,82,0.769,0.000,0.775,0.170,4.73,5.41,7.31,0.02,0.006,1.04,1.04,1.05,0.770,0.00154,1.00,60.6601,3228.72,114140.5,140064.9,33.469,45.5126,57.010,186.308,0.750,0.381,2.9,1.926,104.073,896,2698.1,34.12,14.477,61.280,2427.3,41.263,0.133,2.01,11.3350,14146.1,0.9204,0.3797,17.65,0.895,0.085,0.6817,0.0000,0.290,0.049,0.000,30.3762
