step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung
10000,1245,2.401,0.605,9.25,129170,119829,27,3382,6107,322874,953693.1,836254.2,0.115,0.568,0.168,0.149,111,27.45,22.76,0.57,2.60,2.63,8.53,0.39,2.45,19.24,10.35,0.02,0.28,0.039,0.118,568,0.045,0.034,0.945,0.001,0.020,215975,190112,9,0.479,0.124,0.061,1671705,0.199,1.821,0.044,22.32,77705,191,2.590,0.306,0.384,8136683,1.12,8.09,0.047,0.172,0.007,9.3,19.8,58.0,113.2,28428,0.108,0.00,0.0040,0.067,155,0.751,0.000,0.738,0.435,4.60,5.08,7.08,0.04,0.014,1.10,1.16,1.13,0.760,0.00625,2.05,157.2123,4352.40,112405.8,140064.9,58.921,98.1632,140.767,466.924,0.935,0.375,7.9,7.779,207.310,761,2237.4,43.50,35.198,132.696,2652.6,95.126,0.134,2.00,11.2930,14059.8,0.7423,0.4030,22.83,1.116,0.215,1.3183,0.0000,0.498,0.089,0.452,60.3162
20000,1783,1.913,0.488,7.70,89797,84778,7,525,3949,50660,492112.5,366648.5,0.091,0.619,0.153,0.137,171,18.41,9.43,0.31,1.75,0.13,1.31,0.19,1.65,16.36,7.52,0.01,0.18,0.005,0.044,427,0.071,0.041,0.939,0.000,0.020,88939,76773,4,0.781,0.111,0.043,586706,0.179,1.498,0.036,19.73,35312,153,7.237,0.312,0.404,4587438,1.08,9.08,0.003,0.019,0.002,9.1,16.6,28.2,82.3,30294,0.116,0.00,0.0017,0.073,170,0.609,0.000,0.702,0.136,4.12,4.44,7.22,0.01,0.006,1.06,1.10,1.09,0.611,0.00298,1.30,78.4053,4022.85,111056.4,140064.9,30.575,46.0135,77.975,199.181,0.870,0.370,5.1,5.315,105.872,579,1660.6,28.76,16.784,60.078,1662.0,45.026,0.134,2.00,9.4994,16937.4,0.7951,0.3880,16.99,1.074,0.140,0.6817,0.0000,0.464,0.066,0.190,28.3475
30000,1920,1.907,0.547,7.44,167354,155304,72,490,11351,35466,883192.6,842824.4,0.091,0.608,0.166,0.135,142,17.65,8.79,0.13,1.14,0.79,3.60,0.11,1.43,14.96,7.54,0.00,0.00,0.038,0.170,485,0.030,0.045,0.936,0.000,0.019,262482,235104,4,0.591,0.204,0.016,667557,0.195,1.968,0.039,17.82,84745,159,23.764,0.418,0.464,13210179,1.04,9.56,0.002,0.063,0.000,8.2,16.4,28.4,101.8,30697,0.117,0.00,0.0031,0.077,177,0.787,0.000,0.839,0.386,4.09,4.84,6.80,0.01,0.002,1.02,1.04,1.05,0.788,0.00266,2.58,170.1119,4936.85,105016.1,140064.9,68.001,80.4891,148.301,299.604,0.852,0.353,6.0,5.114,202.403,521,1527.9,58.47,12.864,127.596,1848.6,102.392,0.134,2.00,11.3196,21733.7,0.9531,0.4310,15.99,1.102,0.201,1.3183,0.0000,0.483,0.066,0.298,59.2079
40000,1762,1.984,0.484,7.15,90997,85891,30,225,5009,21842,483856.3,396750.1,0.070,0.630,0.142,0.157,176,19.96,12.52,0.12,1.53,0.20,1.44,0.18,1.24,16.31,8.70,0.00,0.00,0.010,0.069,386,0.087,0.037,0.949,0.000,0.014,99324,86982,3,0.317,0.497,0.036,355417,0.159,1.623,0.034,17.36,33999,129,18.165,0.444,0.412,5934766,1.02,8.86,0.009,0.028,0.000,9.7,15.7,31.5,160.9,29611,0.113,0.00,0.0017,0.075,123,0.690,0.000,0.733,0.178,4.32,5.56,6.53,0.01,0.003,1.01,1.03,1.02,0.692,0.00232,1.31,84.1519,3882.26,108942.4,140064.9,30.590,46.5958,79.782,190.401,0.814,0.363,4.7,4.091,104.502,528,1519.4,30.33,13.942,62.427,1858.2,47.341,0.135,2.00,10.7782,18991.1,0.8858,0.3309,16.81,1.168,0.232,0.6817,0.0000,0.490,0.071,0.453,29.4977
50000,1801,2.031,0.519,7.20,143367,131139,114,443,11632,37242,833610.2,786289.8,0.069,0.598,0.120,0.214,139,19.94,12.82,0.18,1.39,0.37,2.00,0.09,1.02,14.66,7.40,0.01,0.17,0.013,0.068,425,0.034,0.028,0.957,0.001,0.015,238704,219080,7,0.400,0.253,0.014,574239,0.176,1.647,0.037,15.64,72734,166,21.113,0.451,0.455,12666005,1.04,9.91,0.002,0.036,0.001,9.7,16.6,32.1,116.9,27548,0.105,0.00,0.0032,0.062,119,0.815,0.000,0.816,0.419,4.59,5.74,6.48,0.01,0.002,1.03,1.05,1.04,0.816,0.00223,2.22,159.7795,4181.19,100095.4,140064.9,70.525,82.6838,135.972,277.972,0.769,0.333,4.2,4.023,201.529,507,1546.0,33.44,11.487,127.609,1988.7,99.791,0.135,1.99,15.0431,27092.6,1.2307,0.4560,15.30,1.273,0.240,1.3183,0.0000,0.509,0.071,0.549,55.6576
60000,1645,2.104,0.492,7.27,86490,81985,38,132,4491,17931,487235.9,389750.6,0.043,0.642,0.116,0.199,177,20.54,10.54,0.14,1.39,0.18,1.17,0.42,2.88,16.02,6.54,0.00,0.02,0.009,0.066,390,0.085,0.035,0.943,0.000,0.021,97722,87868,2,0.627,0.075,0.060,453579,0.150,1.652,0.036,17.02,32506,109,21.736,0.523,0.388,6229431,1.04,8.04,0.001,0.045,0.001,12.4,17.3,31.5,95.7,27585,0.105,0.00,0.0018,0.061,141,0.705,0.000,0.701,0.197,4.72,5.84,7.05,0.00,0.001,1.03,1.05,1.04,0.705,0.00242,1.33,84.3193,3997.67,106770.3,140064.9,30.713,47.0891,78.982,190.331,0.808,0.353,4.0,3.979,103.427,476,1490.8,54.53,13.164,62.629,1913.1,47.930,0.134,2.01,12.8236,21094.8,0.9614,0.3383,16.77,1.219,0.251,0.6817,0.0000,0.478,0.068,0.335,29.2458
70000,1819,2.090,0.536,7.34,124994,114232,152,154,10282,21317,810603.8,730931.6,0.033,0.592,0.083,0.291,136,20.13,10.98,0.14,1.31,0.13,1.27,0.07,0.75,14.44,6.93,0.00,0.05,0.006,0.053,384,0.104,0.024,0.963,0.000,0.014,225767,213793,2,0.638,0.172,0.014,711673,0.155,1.675,0.038,14.95,69477,157,34.289,0.539,0.458,13002745,1.03,10.04,0.002,0.031,0.001,11.2,17.3,31.5,107.3,26880,0.103,0.00,0.0031,0.041,93,0.848,0.000,0.793,0.461,5.28,6.77,7.15,0.01,0.002,1.03,1.04,1.04,0.849,0.00181,2.19,153.5207,4426.75,98166.7,140064.9,72.476,84.2232,128.268,270.415,0.713,0.329,3.0,3.294,198.424,541,1490.8,44.99,11.237,126.380,2082.5,97.023,0.135,2.00,15.7101,28576.7,1.3466,0.4113,14.78,1.357,0.253,1.3183,0.0000,0.516,0.081,0.567,52.9522
80000,1489,2.178,0.559,6.92,74616,70383,46,99,4418,13643,457455.1,367251.5,0.037,0.620,0.067,0.276,174,21.31,12.73,0.25,1.95,0.29,1.81,0.17,1.62,15.58,8.15,0.01,0.26,0.010,0.058,335,0.079,0.028,0.960,0.000,0.013,90205,83941,5,0.482,0.019,0.023,259628,0.157,1.801,0.039,15.23,29785,117,26.919,0.465,0.403,6496454,1.06,8.71,0.006,0.039,0.003,9.8,18.5,32.2,117.5,24260,0.093,0.00,0.0020,0.061,85,0.778,0.000,0.642,0.233,5.14,6.33,7.25,0.02,0.008,1.04,1.07,1.07,0.779,0.00192,1.18,80.2678,4393.82,104312.7,140064.9,32.649,48.0557,73.552,183.568,0.746,0.348,3.1,2.852,102.677,568,1806.0,35.07,12.135,62.628,2164.2,46.352,0.134,2.01,15.2584,22719.7,1.2050,0.3599,16.29,1.291,0.255,0.6817,0.0000,0.487,0.080,0.401,27.5667
90000,1723,2.162,0.581,6.85,113172,101050,226,296,11366,19950,773822.7,701437.6,0.045,0.551,0.056,0.348,137,21.09,10.90,0.12,1.12,0.16,2.16,0.04,0.65,14.41,6.81,0.00,0.02,0.005,0.046,280,0.204,0.013,0.979,0.000,0.008,213653,205879,5,0.754,0.000,0.006,245637,0.169,1.945,0.039,13.97,61815,192,35.160,0.358,0.507,12390976,1.04,10.39,0.003,0.014,0.001,11.6,18.8,32.2,99.1,25373,0.097,0.00,0.0031,0.039,80,0.875,0.000,0.713,0.483,5.56,6.90,7.62,0.00,0.001,1.03,1.05,1.05,0.875,0.00144,1.94,147.0908,4475.10,94737.1,140064.9,76.043,84.0237,121.341,262.106,0.657,0.317,2.2,2.481,199.654,606,1796.6,43.74,10.895,124.035,2340.3,93.507,0.135,2.00,18.1947,31349.4,1.5339,0.4631,14.73,1.417,0.216,1.3183,0.0000,0.523,0.077,0.647,50.5418
100000,1410,2.367,0.545,6.17,65683,61352,76,44,4524,10178,431171.9,363083.3,0.046,0.593,0.035,0.327,167,25.93,14.13,0.36,2.42,0.32,2.17,0.07,0.95,17.74,8.85,0.00,0.00,0.012,0.070,243,0.310,0.013,0.975,0.000,0.012,86260,83632,2,0.813,0.010,0.013,104427,0.152,1.719,0.038,13.24,24982,117,35.673,0.591,0.441,6385438,1.08,8.18,0.010,0.034,0.000,13.7,24.2,34.3,124.6,26071,0.099,0.00,0.0017,0.046,75,0.854,0.000,0.504,0.280,6.42,7.47,7.75,0.00,0.002,1.08,1.08,1.10,0.855,0.00139,1.01,77.9142,3187.97,99059.3,140064.9,33.832,48.6087,69.564,182.848,0.697,0.328,2.0,1.966,102.850,785,2877.3,58.49,10.860,63.604,1907.5,45.880,0.137,2.00,19.8641,28008.4,1.3606,0.4027,18.49,1.385,0.207,0.6817,0.0000,0.521,0.067,0.630,26.7030
