step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung
10000,1088,1.948,0.666,8.20,91198,88778,22,517,2276,72001,778811.6,436964.2,0.146,0.560,0.096,0.198,102,18.77,10.09,0.26,1.53,0.68,2.66,0.46,2.23,16.40,7.76,0.00,0.09,0.024,0.073,442,0.036,0.030,0.959,0.000,0.011,135057,123161,14,0.241,0.234,0.096,2152843,0.185,1.826,0.046,21.23,46769,138,6.069,0.439,0.270,6433788,1.07,9.00,0.002,0.091,0.001,8.8,16.0,33.6,85.6,19368,0.074,0.00,0.0044,0.034,23,0.786,0.000,0.721,0.368,4.38,5.10,6.88,0.02,0.011,1.05,1.08,1.07,0.789,0.00393,1.77,115.5485,3779.96,114787.5,140332.6,63.610,92.6618,104.150,515.790,0.721,0.369,3.4,4.274,207.478,1064,3195.7,33.49,37.375,129.384,2752.0,84.425,0.133,2.00,11.1176,12095.9,0.8714,0.2861,17.80,1.051,0.140,1.3183,0.0000,0.432,0.090,0.244,65.1533
20000,850,2.092,0.721,5.59,46600,45613,2,152,1071,22657,325921.2,163108.3,0.082,0.632,0.106,0.180,147,20.06,8.73,0.40,2.76,0.88,3.01,0.10,0.85,20.27,7.22,0.00,0.00,0.032,0.109,284,0.261,0.033,0.958,0.000,0.009,45505,41858,3,0.886,0.020,0.022,444645,0.160,1.891,0.061,15.96,15493,153,7.199,0.382,0.238,2979418,1.07,4.64,0.001,0.087,0.000,11.1,18.8,30.1,101.0,18396,0.070,0.00,0.0019,0.041,50,0.681,0.000,0.663,0.136,5.80,6.90,7.66,0.00,0.001,1.06,1.09,1.07,0.683,0.00293,0.76,45.6848,3097.52,116082.8,140332.6,37.413,45.1484,45.168,176.141,0.829,0.366,3.1,2.492,107.008,1306,4883.2,22.21,15.788,57.557,3195.7,33.299,0.134,1.99,12.1283,10309.0,0.7508,0.3039,21.64,0.913,0.104,0.6817,0.0000,0.478,0.050,0.526,26.0053
30000,1064,1.991,0.659,6.68,86449,82071,67,978,3119,74252,641676.6,387339.7,0.074,0.675,0.110,0.141,136,18.73,10.79,0.22,1.71,0.68,3.13,0.18,1.32,16.67,8.11,0.00,0.00,0.022,0.094,399,0.043,0.013,0.976,0.000,0.011,144382,139327,1,0.952,0.048,0.022,148652,0.164,1.840,0.049,16.92,40525,273,5.217,0.312,0.284,9163440,1.05,7.09,0.001,0.057,0.000,9.4,15.7,30.6,98.4,18883,0.072,0.00,0.0036,0.034,52,0.832,0.000,0.709,0.424,5.55,6.91,7.61,0.00,0.001,1.03,1.06,1.05,0.835,0.00247,1.69,95.8976,3545.77,110822.0,140332.6,75.555,79.4108,86.511,280.775,0.743,0.350,2.4,2.629,202.504,1035,3459.8,27.62,16.102,121.827,2855.0,81.727,0.134,2.01,15.2163,16190.2,1.1535,0.4480,17.75,1.048,0.121,1.3183,0.0000,0.423,0.066,0.121,56.1827
40000,1198,1.861,0.570,6.62,50123,48853,18,53,1065,11316,350172.2,177823.4,0.072,0.623,0.132,0.173,161,16.47,7.58,0.12,1.12,0.29,1.56,0.07,0.84,15.66,6.23,0.00,0.06,0.015,0.086,341,0.084,0.033,0.953,0.000,0.014,54336,51084,3,0.770,0.088,0.009,163331,0.190,1.635,0.043,14.72,17922,122,15.714,0.415,0.249,3938020,1.02,7.65,0.001,0.043,0.001,9.7,14.2,25.0,86.7,19325,0.074,0.00,0.0019,0.035,66,0.759,0.000,0.637,0.180,4.75,5.55,7.36,0.00,0.002,1.01,1.03,1.03,0.760,0.00162,0.83,50.8614,3180.52,115763.6,140332.6,36.371,45.3332,48.446,176.213,0.750,0.363,2.3,1.944,105.005,936,2858.8,31.47,14.083,59.763,2400.5,37.150,0.135,1.99,10.5156,12597.6,0.8383,0.3159,16.13,1.015,0.136,0.6817,0.0000,0.417,0.069,0.057,27.7023
50000,1109,2.079,0.632,7.38,92198,89101,114,206,2866,24718,689078.1,418458.4,0.077,0.574,0.168,0.181,139,19.20,10.16,0.23,1.75,0.55,2.91,0.30,1.98,17.34,7.65,0.00,0.00,0.019,0.083,405,0.066,0.025,0.960,0.000,0.014,157538,149737,4,0.592,0.362,0.050,432556,0.190,1.898,0.046,15.54,48072,195,16.929,0.461,0.285,8672686,1.03,6.48,0.002,0.056,0.000,10.0,16.9,31.6,81.7,20436,0.078,0.00,0.0036,0.038,67,0.847,0.000,0.695,0.434,5.69,6.79,7.63,0.00,0.000,1.01,1.04,1.03,0.848,0.00185,1.75,108.1261,3949.44,107878.2,140332.6,77.867,74.4337,93.350,268.804,0.707,0.341,2.0,2.049,198.632,828,2685.1,43.23,13.783,120.840,2694.6,87.435,0.135,2.00,17.4644,19368.0,1.2079,0.4045,18.43,1.038,0.143,1.3183,0.0000,0.412,0.084,0.079,59.1087
60000,1127,1.855,0.632,6.53,50648,49354,42,52,1182,11808,349997.5,180770.5,0.069,0.611,0.151,0.168,161,16.35,9.74,0.30,2.21,0.37,1.91,0.21,1.31,15.43,6.51,0.00,0.06,0.016,0.078,330,0.060,0.035,0.955,0.000,0.011,57782,55116,6,0.743,0.015,0.039,227598,0.187,1.812,0.047,13.84,19174,215,15.309,0.365,0.269,4081972,1.04,7.88,0.001,0.050,0.001,7.8,13.6,29.3,90.4,18388,0.070,0.00,0.0020,0.036,39,0.779,0.000,0.590,0.207,4.91,5.92,7.20,0.00,0.001,1.04,1.04,1.05,0.780,0.00143,0.78,51.5009,3170.44,112670.6,140332.6,36.825,45.2014,48.293,176.302,0.704,0.352,2.3,1.610,104.874,1106,3613.1,30.29,13.058,60.237,2665.4,37.861,0.136,2.00,13.1802,14854.1,1.0006,0.3480,16.32,0.969,0.141,0.6817,0.0000,0.419,0.054,0.011,27.7463
70000,1078,2.021,0.606,7.04,88964,85615,128,276,2994,26785,677428.1,409641.6,0.073,0.593,0.161,0.173,136,18.42,10.87,0.29,1.94,0.46,3.33,0.18,1.41,16.26,6.83,0.00,0.00,0.012,0.070,350,0.063,0.012,0.982,0.000,0.006,157728,151812,5,0.570,0.231,0.042,593632,0.143,1.803,0.042,14.55,46732,167,15.294,0.431,0.315,9545691,1.03,6.80,0.003,0.045,0.000,9.4,15.8,30.6,104.4,18525,0.071,0.00,0.0039,0.034,32,0.873,0.000,0.718,0.451,5.55,6.78,7.55,0.00,0.000,1.04,1.04,1.03,0.873,0.00165,1.68,106.6503,3444.44,108842.8,140332.6,78.297,75.5584,91.531,266.619,0.658,0.344,2.0,1.776,196.075,835,2601.3,41.30,13.191,121.466,2815.8,87.275,0.135,2.00,17.6061,18979.3,1.2657,0.3960,17.18,1.049,0.138,1.3183,0.0000,0.416,0.073,0.071,58.3027
80000,1186,1.813,0.566,5.89,53083,51402,42,104,1427,13193,348802.9,182123.3,0.066,0.601,0.140,0.192,162,15.01,7.94,0.20,1.48,0.47,2.04,0.29,1.71,14.97,6.43,0.00,0.06,0.021,0.079,336,0.093,0.036,0.948,0.000,0.016,59539,56637,3,0.738,0.208,0.035,284284,0.188,1.746,0.038,13.78,17827,150,13.805,0.337,0.262,4058355,1.04,8.49,0.001,0.073,0.001,7.8,12.3,24.5,64.9,18898,0.072,0.00,0.0020,0.039,42,0.773,0.000,0.610,0.195,4.53,5.19,7.26,0.03,0.007,1.03,1.06,1.03,0.774,0.00128,0.78,51.5310,3088.33,113792.9,140332.6,36.884,45.2104,48.437,173.892,0.725,0.360,2.1,1.523,103.502,889,2793.9,41.83,13.013,60.244,2483.5,37.653,0.134,2.00,12.4405,14754.4,0.9668,0.3271,15.93,0.932,0.128,0.6817,0.0000,0.415,0.058,0.013,27.7885
90000,1125,1.991,0.675,6.70,88914,85081,153,173,3568,27035,674121.9,398838.0,0.068,0.590,0.166,0.176,137,18.25,8.33,0.13,1.21,0.62,2.21,0.17,1.38,16.04,6.70,0.00,0.12,0.029,0.100,373,0.105,0.007,0.980,0.000,0.013,159192,154313,4,0.925,0.002,0.030,502204,0.187,2.072,0.046,14.15,42785,177,14.753,0.503,0.299,9329865,1.03,6.43,0.001,0.095,0.001,8.3,18.0,27.2,83.0,19092,0.073,0.00,0.0037,0.016,16,0.877,0.000,0.688,0.456,5.83,7.30,7.47,0.01,0.004,1.02,1.04,1.03,0.878,0.00142,1.54,104.6231,3865.63,105182.8,140332.6,80.123,75.0703,90.015,263.433,0.650,0.331,1.1,1.594,197.916,973,3401.0,69.31,12.931,120.180,2536.7,85.572,0.136,2.00,19.0506,21431.9,1.3603,0.4643,16.97,1.070,0.122,1.3183,0.0000,0.381,0.062,0.010,56.8026
100000,1024,2.138,0.586,7.22,44263,43177,45,56,1086,12816,338659.3,168006.4,0.067,0.642,0.158,0.133,156,21.83,10.43,0.35,2.28,0.49,2.45,0.35,1.83,17.97,7.46,0.00,0.00,0.017,0.069,303,0.068,0.018,0.971,0.000,0.012,54553,53084,2,0.894,0.093,0.056,450597,0.154,1.805,0.040,12.27,16572,146,13.109,0.446,0.273,4210039,1.04,4.87,0.000,0.069,0.000,11.1,21.2,32.6,84.1,19617,0.075,0.00,0.0018,0.037,39,0.832,0.000,0.572,0.252,6.21,7.39,7.60,0.01,0.002,1.02,1.06,1.05,0.833,0.00148,0.73,49.0013,2976.62,111260.8,140332.6,37.384,46.8281,45.393,170.868,0.699,0.351,2.4,1.512,103.187,930,3160.9,38.40,11.707,61.308,2491.2,36.398,0.136,2.00,16.4325,16826.9,1.0926,0.3734,19.16,1.135,0.099,0.6817,0.0000,0.348,0.059,0.011,25.8446
