step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung
10000,1029,1.819,0.525,10.46,98341,92251,13,5090,1454,363822,813673.1,449290.6,0.086,0.678,0.162,0.074,110,16.74,20.44,0.03,0.50,1.70,6.63,0.14,0.97,16.84,8.79,0.00,0.00,0.028,0.098,345,0.086,0.054,0.930,0.000,0.016,125244,106588,4,0.802,0.096,0.037,1563773,0.164,2.100,0.035,26.58,47352,138,1.235,0.374,0.207,4572762,1.01,13.04,0.050,0.127,0.000,6.1,11.4,22.2,107.8,19259,0.073,0.00,0.0047,0.061,139,0.568,0.000,0.684,0.309,3.38,4.79,4.74,0.01,0.003,1.00,1.01,1.01,0.582,0.00868,1.94,102.4524,3480.89,120200.2,140277.1,59.383,92.1843,104.478,570.501,0.873,0.376,6.9,8.928,207.067,596,1568.6,97.15,42.346,128.092,2679.3,80.420,0.135,2.00,8.9899,9250.6,0.6961,0.2817,18.72,0.781,0.209,1.3183,0.0000,0.289,0.082,0.034,65.5754
20000,833,1.860,0.525,9.64,74769,70945,1,2510,1509,119720,390767.1,194273.7,0.030,0.645,0.246,0.078,183,19.78,13.82,0.37,1.78,3.53,6.04,0.29,1.77,17.11,9.44,0.00,0.03,0.137,0.209,448,0.035,0.032,0.950,0.001,0.017,63732,53745,1,0.825,0.175,0.050,421125,0.146,1.656,0.036,20.09,25612,115,1.623,0.374,0.191,2209172,1.10,11.26,0.010,0.295,0.001,6.7,15.1,36.7,97.2,17735,0.068,0.00,0.0027,0.061,105,0.401,0.000,0.732,0.069,3.83,5.05,5.40,0.08,0.036,1.10,1.08,1.11,0.409,0.00487,1.06,49.6152,2600.04,123639.8,140277.1,39.796,38.6440,53.991,194.596,0.829,0.378,6.8,4.061,103.811,773,2224.4,30.98,17.307,50.744,2793.8,34.113,0.135,2.00,7.3917,6157.2,0.5806,0.2852,21.29,0.877,0.125,0.6817,0.0000,0.337,0.067,0.016,28.4734
30000,967,1.948,0.599,10.69,96818,86711,11,8234,1728,416452,665319.1,406302.6,0.042,0.678,0.206,0.075,146,21.26,17.58,0.53,2.36,3.16,5.23,0.16,1.34,14.31,8.87,0.00,0.03,0.114,0.149,434,0.098,0.041,0.944,0.000,0.014,122226,102040,4,0.512,0.095,0.022,686490,0.133,1.758,0.046,23.01,43704,153,0.976,0.337,0.238,4887067,1.15,12.18,0.001,0.253,0.001,6.6,18.2,42.0,135.9,17557,0.067,0.00,0.0048,0.068,128,0.571,0.000,0.780,0.292,3.63,5.04,4.96,0.07,0.031,1.12,1.17,1.16,0.586,0.00790,2.13,78.5863,2850.93,121264.7,140277.1,77.165,75.2079,86.677,322.602,0.922,0.373,8.8,7.636,203.681,913,3008.9,28.71,21.073,113.687,3098.9,72.906,0.135,2.01,7.1215,6886.4,0.6519,0.3503,18.16,1.059,0.274,1.3183,0.0000,0.366,0.150,0.140,53.6203
40000,1128,1.903,0.501,11.48,59286,57106,0,1003,1016,57128,385948.8,168675.9,0.024,0.684,0.217,0.075,173,17.94,11.97,0.10,1.00,1.00,4.10,0.39,2.50,15.53,8.57,0.00,0.00,0.028,0.093,376,0.070,0.053,0.929,0.000,0.018,50162,41414,2,0.869,0.130,0.062,311420,0.126,1.601,0.035,18.74,20812,126,2.953,0.355,0.152,2915194,1.03,12.46,0.000,0.114,0.000,8.0,14.2,32.6,86.1,19209,0.073,0.00,0.0022,0.067,122,0.517,0.000,0.768,0.060,3.50,4.84,4.96,0.01,0.008,1.01,1.04,1.03,0.521,0.00383,0.98,48.4327,2934.98,120456.8,140277.1,40.040,40.2315,51.838,192.082,0.822,0.370,6.4,4.324,105.053,673,1879.6,26.41,17.046,51.928,2413.2,33.869,0.134,2.00,8.0283,9055.9,0.7447,0.3130,17.03,1.039,0.089,0.6817,0.0000,0.247,0.047,0.000,26.0335
50000,1061,1.897,0.534,10.96,109400,100317,7,7435,1708,317015,739975.2,418470.0,0.025,0.672,0.187,0.116,146,19.87,14.73,0.15,1.02,1.19,4.32,0.39,2.40,16.26,7.44,0.00,0.00,0.029,0.090,399,0.033,0.060,0.926,0.000,0.014,135609,112814,2,0.473,0.480,0.061,1062258,0.125,1.652,0.040,23.31,48398,164,1.320,0.315,0.178,6346280,1.05,12.10,0.006,0.135,0.000,9.6,16.6,31.7,111.8,19088,0.073,0.00,0.0043,0.049,130,0.610,0.000,0.808,0.270,3.68,5.11,4.89,0.01,0.003,1.04,1.06,1.05,0.620,0.00747,2.48,90.9065,2811.99,120017.8,140277.1,79.558,68.8078,97.845,320.365,0.876,0.368,7.0,7.921,201.180,803,2419.0,44.56,19.828,110.643,2667.5,77.835,0.136,2.00,8.5453,9066.5,0.6953,0.3469,17.99,1.064,0.148,1.3183,0.0000,0.265,0.058,0.001,57.1832
60000,1233,1.783,0.427,11.02,64560,62909,0,570,909,38828,407626.6,185071.4,0.022,0.656,0.209,0.113,183,16.01,7.96,0.09,0.68,0.29,2.41,0.33,1.62,15.10,6.71,0.00,0.00,0.010,0.068,347,0.088,0.045,0.948,0.000,0.007,54858,45279,4,0.684,0.086,0.098,654971,0.136,1.363,0.029,19.02,23075,125,4.766,0.391,0.204,2748448,1.02,13.04,0.001,0.050,0.000,8.5,14.5,24.1,74.9,19479,0.074,0.00,0.0022,0.055,105,0.485,0.000,0.743,0.063,3.46,4.88,4.64,0.00,0.001,1.01,1.04,1.03,0.488,0.00369,1.14,53.0747,2930.78,120546.6,140277.1,39.940,38.0411,55.688,189.396,0.796,0.370,5.4,4.553,103.540,514,1371.7,23.51,16.238,51.589,1735.4,36.184,0.135,2.00,8.2173,10132.0,0.7563,0.2851,15.80,1.014,0.093,0.6817,0.0000,0.257,0.064,0.000,28.0716
70000,1169,1.850,0.524,11.40,126038,118778,5,5392,1927,323900,765696.8,458189.4,0.018,0.655,0.199,0.128,146,18.52,10.78,0.38,2.20,1.10,3.83,0.20,1.35,15.36,8.05,0.00,0.06,0.044,0.138,540,0.044,0.045,0.938,0.000,0.016,153413,123305,5,0.565,0.253,0.068,976257,0.144,1.530,0.037,23.84,57853,167,1.415,0.323,0.209,6937625,1.09,12.52,0.001,0.218,0.001,7.5,16.6,30.0,126.2,19921,0.076,0.00,0.0043,0.051,130,0.594,0.000,0.803,0.251,3.58,4.70,5.15,0.01,0.006,1.04,1.12,1.10,0.606,0.00678,2.65,97.8782,3185.33,120611.6,140277.1,79.486,64.9555,106.036,322.326,0.927,0.370,7.5,7.927,201.275,759,2081.7,33.11,19.541,110.020,2393.9,81.337,0.135,2.00,7.2508,8476.1,0.6977,0.3494,17.04,1.073,0.196,1.3183,0.0000,0.258,0.061,0.001,60.9840
80000,1228,1.786,0.458,11.34,67971,66149,0,770,993,49041,422019.8,190795.3,0.026,0.644,0.227,0.103,183,17.03,11.59,0.11,0.85,0.94,4.36,0.87,2.68,14.79,7.41,0.04,0.38,0.026,0.100,407,0.050,0.064,0.925,0.000,0.011,58210,47903,1,0.927,0.073,0.187,908362,0.131,1.433,0.032,19.09,25116,129,3.891,0.353,0.170,2802106,1.03,13.30,0.004,0.122,0.014,8.3,14.4,28.1,81.2,20518,0.078,0.00,0.0023,0.072,133,0.482,0.000,0.743,0.064,3.42,4.89,4.52,0.05,0.017,1.03,1.02,1.02,0.485,0.00372,1.19,54.5704,3319.45,120381.8,140277.1,39.627,37.9818,57.532,188.637,0.864,0.371,6.8,4.573,102.821,540,1450.0,23.33,15.892,51.776,1796.3,36.793,0.135,2.00,7.9622,9777.6,0.7390,0.2807,16.71,1.018,0.105,0.6817,0.0000,0.239,0.058,0.001,28.2917
90000,1262,1.832,0.453,11.04,110447,102415,22,6483,1493,320348,732987.4,409358.3,0.019,0.660,0.199,0.122,146,17.77,11.10,0.21,1.36,0.82,3.02,0.32,1.86,15.46,7.69,0.01,0.13,0.034,0.116,475,0.039,0.048,0.931,0.000,0.021,138256,113757,6,0.827,0.135,0.061,1431698,0.132,1.487,0.033,22.22,51552,178,1.278,0.317,0.193,6106879,1.06,12.99,0.004,0.148,0.003,8.3,15.0,30.1,122.3,21219,0.081,0.00,0.0038,0.059,155,0.599,0.000,0.802,0.275,3.45,4.78,4.82,0.02,0.006,1.05,1.07,1.07,0.610,0.00596,2.46,88.9847,3027.54,117911.5,140277.1,79.263,70.6715,96.392,317.328,0.862,0.365,6.1,7.527,199.995,525,1438.8,33.28,18.524,112.051,2132.3,77.078,0.133,2.01,9.6423,12168.6,0.8191,0.3497,16.81,1.035,0.137,1.3183,0.0000,0.252,0.060,0.000,55.8263
100000,1118,1.921,0.471,11.55,67083,65037,2,1430,758,83077,416274.3,193461.0,0.018,0.674,0.214,0.094,184,18.05,11.38,0.18,1.51,0.98,4.55,0.33,1.58,15.94,8.15,0.01,0.11,0.027,0.111,400,0.038,0.050,0.938,0.000,0.012,57140,45763,2,0.451,0.455,0.075,594896,0.126,1.465,0.032,19.53,24233,137,2.329,0.359,0.161,2831134,1.05,12.26,0.003,0.121,0.003,7.8,15.3,31.3,86.6,19482,0.074,0.00,0.0023,0.067,110,0.479,0.000,0.745,0.063,3.57,4.72,5.17,0.02,0.006,1.03,1.05,1.07,0.484,0.00442,1.18,52.5831,2784.56,121571.5,140277.1,39.552,38.0260,56.737,193.608,0.812,0.374,6.3,4.936,103.034,662,1853.9,39.71,16.277,51.425,2107.6,35.896,0.137,1.99,7.5406,8430.4,0.6925,0.2956,17.43,1.016,0.099,0.6817,0.0000,0.229,0.050,0.000,28.3623
