step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,density,digest
5000,12,233,9.9,0.2,0.7,0.9,11.9,0.0,1.03,11.4,83,211,16.00,5.17,127,100,6,0.0,1.03,1.04,1.03,4.00,7.55,3.54,21.1,0.706,0.245
5000,2,184,22.3,0.6,1.4,0.0,18.2,0.0,1.12,9.6,76,166,13.26,5.72,165,17,2,0.1,1.17,1.12,1.10,4.13,7.47,3.91,13.0,1.075,0.550
5000,10,180,14.0,0.0,0.1,1.9,13.4,0.0,1.00,13.1,43,129,8.73,3.88,41,135,4,0.0,1.00,1.00,1.00,3.34,5.65,3.83,25.5,0.962,0.405
5000,6,147,20.5,0.0,0.7,0.6,22.2,0.0,1.01,11.2,67,98,7.51,4.34,67,68,12,0.0,1.01,1.02,1.01,3.96,5.13,5.26,24.8,0.879,0.578
5000,1,106,48.6,3.8,3.9,2.1,33.3,0.1,1.83,2.1,42,304,48.88,14.59,30,66,10,1.3,2.13,2.07,1.56,6.03,7.96,6.98,28.0,1.058,0.523
5000,3,33,33.5,0.7,0.0,3.8,21.5,0.0,1.16,6.2,19,194,17.57,5.62,17,13,3,0.0,1.22,1.22,1.10,5.18,8.00,5.03,25.9,1.396,0.413
5000,8,14,17.6,0.0,1.5,0.0,11.8,0.0,1.00,10.6,9,164,10.22,6.26,0,14,0,0.0,1.00,1.00,1.00,4.07,4.36,7.43,32.0,1.315,0.532
5000,9,8,78.8,0.0,5.2,4.8,53.0,0.0,1.00,0.0,6,66,9.29,9.41,1,7,0,0.0,1.00,1.00,1.00,7.38,8.00,8.00,26.7,1.300,0.443
6000,2,200,31.7,2.0,2.2,1.0,22.9,0.1,1.43,7.2,81,290,35.18,11.90,150,44,6,0.7,1.55,1.59,1.30,5.07,7.59,4.91,16.7,1.080,0.530
6000,12,192,8.0,0.0,0.2,0.4,10.8,0.0,1.01,13.1,71,195,11.69,4.75,117,73,2,0.0,1.02,1.02,1.01,3.97,7.72,2.95,16.6,0.701,0.271
6000,21,192,16.6,0.0,0.3,1.2,16.9,0.0,1.00,8.2,86,169,15.08,5.19,113,61,18,0.0,1.00,1.00,1.00,4.21,4.53,7.63,21.4,0.949,0.402
6000,10,192,14.6,0.0,0.1,0.3,14.9,0.0,1.00,11.8,45,136,7.75,4.39,70,120,2,0.0,1.01,1.00,1.00,3.59,6.18,3.91,24.8,0.959,0.426
6000,3,53,35.0,1.5,0.5,1.5,23.7,0.0,1.33,4.8,20,153,18.60,5.23,3,49,1,0.0,1.38,1.48,1.22,5.26,8.00,5.58,26.9,1.309,0.351
6000,6,14,18.0,0.0,0.0,0.8,19.5,0.0,1.00,13.3,7,104,5.14,5.05,12,2,0,0.0,1.00,1.00,1.00,3.36,4.86,4.50,20.2,0.904,0.612
7000,12,234,9.3,0.1,0.5,0.4,12.4,0.0,1.01,10.8,84,162,10.60,4.03,109,72,53,0.0,1.02,1.00,1.01,4.27,7.46,3.63,27.3,0.698,0.257
7000,21,158,16.7,0.0,0.0,1.0,17.2,0.0,1.00,8.6,74,156,12.68,5.30,118,34,6,0.0,1.00,1.00,1.00,4.06,4.31,7.46,17.7,0.949,0.400
7000,10,103,14.8,0.0,0.0,2.3,14.3,0.0,1.00,11.4,38,166,9.51,5.62,28,73,2,0.0,1.00,1.00,1.00,3.75,5.81,4.50,25.7,0.952,0.444
7000,2,73,46.1,2.9,7.0,1.8,29.3,0.0,1.61,1.5,30,355,41.01,21.08,40,33,0,1.0,1.85,1.75,1.46,7.51,7.78,7.75,22.7,1.083,0.540
7000,3,41,23.5,0.0,0.0,4.3,14.5,0.0,1.00,8.0,10,277,24.84,6.66,10,31,0,0.0,1.00,1.01,1.00,4.51,7.85,4.12,25.7,1.411,0.465
7000,20,35,11.6,0.0,0.0,0.0,11.1,0.0,1.00,14.0,11,257,18.47,5.65,0,33,2,0.0,1.00,1.00,1.00,3.66,7.69,3.29,28.0,1.043,0.419
7000,6,12,12.7,0.0,0.0,0.0,13.1,0.0,1.00,17.0,4,125,4.78,5.23,12,0,0,0.0,1.00,1.00,1.00,2.58,4.17,3.33,17.0,0.955,0.580
8000,12,280,10.2,0.0,0.3,0.9,13.0,0.0,1.00,10.6,133,152,10.39,3.39,47,106,127,0.0,1.01,1.00,1.00,4.43,7.45,3.79,38.7,0.720,0.251
8000,29,200,17.2,0.1,0.0,0.2,17.2,0.0,1.03,10.7,76,137,10.07,4.16,133,64,3,0.0,1.00,1.04,1.03,3.64,4.08,6.80,17.0,0.978,0.345
8000,10,155,28.2,0.8,3.8,0.5,21.1,0.0,1.20,7.2,44,212,18.24,14.25,46,109,0,0.1,1.22,1.18,1.20,5.18,6.70,5.77,24.9,1.022,0.475
8000,3,51,25.5,0.0,0.0,2.8,16.7,0.0,1.00,6.7,15,202,13.92,7.24,15,32,4,0.0,1.00,1.00,1.00,4.94,7.94,4.73,25.7,1.416,0.458
8000,21,27,15.3,0.0,0.0,1.3,13.0,0.0,1.00,9.6,9,155,10.34,4.59,13,14,0,0.0,1.00,1.00,1.00,3.15,3.52,7.74,22.2,1.131,0.433
8000,20,13,14.0,0.0,0.0,0.0,13.5,0.0,1.00,12.0,5,169,13.32,4.76,0,13,0,0.0,1.00,1.00,1.00,3.54,7.23,4.08,30.3,1.029,0.423
8000,28,9,38.3,0.9,1.6,0.3,24.0,0.2,1.13,6.7,6,194,15.79,9.67,0,9,0,0.2,1.25,1.00,1.14,5.89,7.33,5.89,25.1,1.368,0.395
9000,29,164,14.6,0.2,0.0,0.5,14.6,0.0,1.06,11.7,57,126,8.20,3.64,100,40,24,0.0,1.07,1.04,1.06,3.72,3.24,6.95,21.8,0.942,0.353
9000,12,150,11.3,0.0,0.1,1.4,15.0,0.0,1.00,9.6,51,121,8.41,2.47,24,45,81,0.0,1.00,1.00,1.00,4.81,7.72,3.66,39.3,0.700,0.209
9000,21,90,24.0,0.0,1.2,1.3,21.1,0.0,1.00,5.7,42,185,15.91,7.81,62,28,0,0.0,1.00,1.00,1.00,5.22,5.99,7.69,13.9,1.052,0.435
9000,10,73,43.3,0.6,11.0,0.3,27.1,0.0,1.09,1.2,30,376,36.59,23.13,49,24,0,0.0,1.10,1.06,1.10,6.90,7.82,7.81,21.5,1.102,0.521
9000,3,20,23.1,0.0,0.0,2.6,14.9,0.0,1.00,7.8,8,177,12.84,5.39,2,17,1,0.0,1.00,1.00,1.00,4.55,7.65,4.45,28.1,1.416,0.469
9000,35,7,11.7,1.1,0.0,1.0,8.6,0.0,1.37,12.6,5,146,5.28,3.55,7,0,0,0.0,1.71,1.07,1.36,4.14,8.00,3.43,21.4,1.029,0.512
10000,29,353,15.9,0.1,0.0,0.3,15.4,0.0,1.01,10.2,116,139,8.83,4.53,147,193,13,0.0,1.00,1.02,1.02,3.67,3.83,7.13,24.1,1.014,0.347
10000,12,257,11.7,0.0,0.4,0.5,16.1,0.0,1.01,9.9,86,126,9.78,3.12,139,92,26,0.0,1.01,1.00,1.01,4.14,7.74,3.68,24.6,0.694,0.183
10000,38,66,14.6,0.0,0.1,1.5,13.8,0.0,1.00,9.9,32,152,8.70,3.67,2,61,3,0.0,1.00,1.00,1.00,4.08,3.74,7.62,29.8,1.016,0.391
10000,10,39,26.4,0.8,1.4,0.0,20.9,0.0,1.06,3.5,9,571,50.39,25.02,27,12,0,0.0,1.05,1.15,1.03,7.28,7.74,7.82,20.4,1.104,0.594
10000,21,38,17.6,0.0,0.3,0.1,17.0,0.0,1.00,7.6,17,127,12.49,4.48,37,0,1,0.0,1.00,1.00,1.00,4.87,7.21,7.68,6.6,1.021,0.457
10000,35,7,18.2,0.0,0.0,0.0,17.1,0.0,1.00,4.3,3,185,7.40,8.79,2,5,0,0.0,1.00,1.00,1.00,4.86,8.00,6.43,25.6,1.059,0.471
11000,12,281,11.5,0.0,0.4,0.5,15.3,0.0,1.01,10.9,112,159,12.22,3.11,132,109,40,0.0,1.00,1.01,1.01,4.18,7.28,3.54,25.5,0.709,0.196
11000,29,195,18.3,0.0,0.0,0.1,16.1,0.0,1.00,9.2,62,125,8.31,3.63,58,99,38,0.0,1.00,1.00,1.00,3.69,4.07,7.35,30.0,1.134,0.320
11000,38,40,13.8,0.0,0.0,1.4,12.6,0.0,1.00,9.9,15,247,12.77,5.95,1,38,1,0.0,1.00,1.00,1.00,3.95,3.12,7.95,28.6,1.043,0.388
11000,21,20,17.9,0.0,0.0,0.0,18.0,0.0,1.00,7.4,9,129,9.48,4.01,15,5,0,0.0,1.00,1.00,1.00,5.90,6.85,7.30,9.3,0.993,0.432
11000,43,10,17.4,0.0,0.0,0.0,15.3,0.0,1.00,8.8,3,183,10.28,6.14,9,1,0,0.0,1.00,1.00,1.00,4.40,4.00,7.60,19.7,1.146,0.462
12000,12,218,8.4,0.0,0.3,1.2,11.2,0.0,1.00,11.5,83,143,8.27,3.27,89,122,7,0.0,1.00,1.00,1.00,4.11,7.17,3.47,24.5,0.693,0.198
12000,29,93,18.2,0.0,0.0,0.4,16.3,0.0,1.01,9.1,31,138,9.06,3.43,22,57,14,0.0,1.00,1.01,1.02,3.76,3.90,7.57,29.0,1.099,0.301
12000,21,12,22.6,0.0,0.0,1.1,20.4,0.0,1.00,6.5,8,130,12.46,4.48,12,0,0,0.0,1.00,1.00,1.00,4.67,5.92,6.83,7.0,1.063,0.389
12000,56,7,18.8,0.0,0.0,0.0,21.9,0.0,1.00,8.6,5,171,12.25,2.84,3,1,3,0.0,1.00,1.00,1.00,5.86,3.71,8.00,27.3,0.804,0.419
12000,38,7,14.5,0.0,0.0,3.0,12.6,0.0,1.00,8.6,3,150,9.25,1.28,5,2,0,0.0,1.00,1.00,1.00,3.00,3.71,8.00,16.0,1.018,0.423
12000,43,6,11.0,0.0,0.8,0.0,7.5,0.0,1.00,16.3,4,215,16.40,4.01,6,0,0,0.0,1.00,1.00,1.00,3.50,3.33,5.83,4.0,1.318,0.375
13000,12,96,7.2,0.0,0.2,0.4,10.2,0.0,1.00,12.7,29,129,7.55,2.75,56,35,5,0.0,1.00,1.00,1.00,4.20,7.84,2.66,20.1,0.676,0.125
13000,72,52,14.5,0.0,0.2,0.6,13.3,0.0,1.00,13.6,17,121,7.99,2.33,35,17,0,0.0,1.00,1.00,1.00,3.54,5.15,4.06,22.4,1.050,0.280
13000,69,49,12.6,0.0,0.0,0.7,10.3,0.0,1.00,12.1,27,159,8.65,3.48,39,10,0,0.0,1.00,1.00,1.00,3.24,3.22,6.98,15.4,1.197,0.446
13000,29,32,18.5,0.0,0.3,0.0,16.7,0.0,1.00,8.1,14,124,11.15,3.05,8,21,3,0.0,1.00,1.00,1.00,3.69,4.78,7.19,27.9,1.089,0.311
13000,21,7,30.2,0.0,0.0,0.0,30.4,0.0,1.00,0.0,2,95,7.83,5.23,7,0,0,0.0,1.00,1.00,1.00,7.71,8.00,8.00,16.6,0.994,0.413
13000,38,6,13.8,0.0,0.0,4.0,12.5,0.0,1.00,10.0,2,95,4.44,3.65,2,4,0,0.0,1.00,1.00,1.00,3.33,3.00,8.00,25.2,0.951,0.521
14000,12,145,8.7,0.1,1.2,0.2,11.1,0.0,1.02,11.3,56,118,6.75,2.70,81,61,3,0.0,1.01,1.02,1.03,4.32,7.81,3.14,20.6,0.679,0.127
14000,29,45,18.8,0.0,0.1,0.0,17.1,0.0,1.00,8.2,13,98,8.87,1.73,16,27,2,0.0,1.00,1.00,1.00,3.87,4.49,7.40,26.6,1.088,0.328
14000,72,19,16.0,0.0,1.6,0.0,12.0,0.0,1.00,14.6,6,114,6.71,2.08,9,10,0,0.0,1.00,1.00,1.00,3.11,4.95,3.74,25.3,1.184,0.249
14000,69,11,15.2,0.0,0.0,0.0,13.8,0.0,1.00,10.9,4,171,9.25,3.95,11,0,0,0.0,1.00,1.00,1.00,4.27,2.55,8.00,11.3,1.106,0.532
14000,21,6,36.3,0.0,0.0,0.0,36.7,0.0,1.00,0.0,3,126,13.92,2.57,6,0,0,0.0,1.00,1.00,1.00,7.00,8.00,8.00,13.6,0.989,0.438
15000,72,101,20.3,0.0,0.1,0.5,18.1,0.0,1.01,10.3,38,82,7.27,1.67,27,73,1,0.0,1.00,1.01,1.00,4.17,6.69,4.17,27.0,1.096,0.258
15000,80,95,15.3,0.2,0.1,2.2,17.6,0.0,1.06,5.5,39,134,9.81,3.90,63,26,6,0.0,1.08,1.07,1.04,4.84,6.21,7.93,18.1,0.794,0.331
15000,12,46,8.4,0.0,1.3,0.1,10.6,0.0,1.00,12.1,21,147,9.26,2.40,25,21,0,0.0,1.00,1.00,1.00,4.72,7.72,4.04,23.7,0.691,0.117
15000,29,32,20.8,0.0,0.0,0.0,19.4,0.0,1.00,6.7,13,97,8.28,2.54,20,4,8,0.0,1.00,1.00,1.00,4.38,5.03,7.62,29.4,1.077,0.273
16000,80,165,12.4,0.0,0.3,0.6,14.6,0.0,1.00,8.1,54,127,8.65,2.90,83,60,22,0.0,1.00,1.01,1.00,4.40,5.39,7.22,25.4,0.813,0.327
16000,72,106,19.8,0.1,0.1,0.4,17.3,0.0,1.03,10.6,38,122,10.31,2.59,12,87,7,0.0,1.00,1.06,1.02,4.10,6.80,3.92,30.4,1.110,0.270
16000,12,53,11.7,0.0,2.0,0.0,14.3,0.0,1.00,7.3,33,121,8.29,2.16,24,25,4,0.0,1.00,1.00,1.00,5.26,7.42,5.45,26.0,0.702,0.130
16000,92,7,3.4,0.0,0.1,0.4,4.7,0.0,1.00,20.6,3,108,5.78,0.68,3,4,0,0.0,1.00,1.00,1.00,2.43,3.00,2.71,27.2,0.678,0.217
17000,80,194,13.8,0.1,0.2,0.8,16.4,0.0,1.01,7.4,91,130,9.45,3.07,89,79,26,0.0,1.01,1.01,1.01,4.44,5.56,7.30,25.5,0.803,0.332
17000,72,19,19.5,0.0,1.5,0.5,15.2,0.0,1.00,13.1,12,152,9.85,4.01,5,10,4,0.0,1.00,1.00,1.00,2.84,5.63,3.95,32.0,1.150,0.281
18000,80,226,14.0,0.2,0.3,0.8,16.0,0.0,1.01,7.4,85,139,9.78,3.67,102,117,7,0.0,1.00,1.01,1.01,4.66,5.76,7.36,24.9,0.826,0.340
18000,110,167,14.8,0.2,0.1,0.4,14.2,0.0,1.03,9.8,50,135,9.20,2.81,100,56,11,0.0,1.02,1.04,1.04,3.98,3.47,7.77,21.6,0.999,0.316
18000,106,43,12.7,0.0,0.0,0.0,11.3,0.0,1.00,13.1,22,151,7.65,3.12,16,26,1,0.0,1.00,1.00,1.00,3.70,3.19,7.49,26.1,1.125,0.435
18000,12,15,6.2,0.0,0.2,0.0,8.9,0.0,1.00,13.6,7,148,7.99,2.62,0,15,0,0.0,1.00,1.00,1.00,3.40,7.53,2.60,30.2,0.682,0.091
18000,72,12,17.3,0.0,0.0,0.0,14.9,0.0,1.00,15.0,3,100,6.63,2.73,8,4,0,0.0,1.00,1.00,1.00,2.58,4.42,4.08,19.4,1.164,0.283
19000,80,386,15.2,0.3,0.4,1.0,16.9,0.0,1.05,7.2,132,147,10.78,4.11,155,210,21,0.0,1.03,1.09,1.05,4.90,5.69,7.23,25.2,0.828,0.332
19000,110,287,15.8,0.3,0.4,0.1,15.0,0.0,1.08,8.7,78,112,7.95,2.43,208,60,19,0.0,1.01,1.11,1.12,4.08,4.05,7.71,19.2,0.988,0.291
19000,106,55,10.7,0.0,0.1,0.0,9.6,0.0,1.00,14.1,18,242,11.06,4.55,25,29,1,0.0,1.00,1.00,1.00,3.55,2.65,7.85,24.7,1.098,0.433
19000,111,43,8.7,0.2,0.0,0.1,11.6,0.0,1.05,12.7,16,105,5.97,2.14,17,26,0,0.0,1.15,1.00,1.04,4.12,7.81,2.70,24.7,0.725,0.086
19000,114,14,11.4,2.3,0.1,0.0,11.5,0.0,1.63,12.4,6,152,7.64,3.23,7,7,0,0.0,2.06,1.26,1.61,4.29,6.50,3.29,20.0,0.697,0.150
19000,72,9,19.7,0.0,0.9,0.0,15.6,0.0,1.00,13.1,5,208,15.93,2.71,0,2,7,0.0,1.00,1.00,1.00,3.44,4.89,4.56,47.6,1.195,0.268
20000,80,498,15.5,0.1,1.0,0.8,16.8,0.0,1.01,7.3,198,142,10.28,4.53,186,275,37,0.0,1.02,1.02,1.01,4.71,5.81,7.33,25.1,0.838,0.346
20000,110,212,16.5,0.5,0.4,0.4,15.3,0.0,1.13,8.9,83,154,10.84,3.97,110,63,39,0.0,1.02,1.15,1.19,4.21,4.20,7.71,25.3,0.982,0.286
20000,106,61,15.6,0.0,1.7,0.0,12.3,0.0,1.00,10.6,29,160,9.39,4.26,30,31,0,0.0,1.00,1.00,1.00,4.34,3.66,7.74,24.4,1.109,0.452
20000,111,24,9.1,0.2,0.0,0.0,11.1,0.0,1.04,11.6,13,210,11.32,4.32,11,13,0,0.0,1.08,1.00,1.03,4.04,8.00,2.62,23.5,0.771,0.111
21000,80,515,16.7,0.1,0.7,1.0,18.2,0.0,1.03,6.9,221,169,14.41,5.78,201,271,43,0.0,1.03,1.04,1.02,5.05,6.16,7.45,25.0,0.848,0.344
21000,110,457,13.8,0.1,0.1,0.4,13.7,0.0,1.02,10.1,143,148,9.65,3.86,201,199,57,0.0,1.00,1.03,1.03,3.81,3.89,7.34,25.2,0.982,0.323
