step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest
100000,6.17,16,0,0,0,6,0,1.00,18,0.000,1038,1.95,92.27,17.95,577,0,0,0,1.00,1.00,1.00,2,2,5,10.6,28.714,6,1.028,0.227
100000,7.97,14,0,0,0,8,0,1.00,20,0.000,863,1.57,46.36,20.32,33,1,1,0,1.00,1.00,1.00,2,3,3,36.4,37.833,8,0.996,0.200
100000,6.90,9,0,0,0,8,0,1.00,14,0.000,827,1.65,35.22,20.77,570,0,0,0,1.00,1.00,1.00,3,2,7,19.9,39.412,8,0.862,0.286
100000,6.91,8,0,0,0,7,0,1.00,20,0.000,730,1.68,29.65,14.68,33,1,1,0,1.00,1.00,1.00,4,3,3,40.0,32.108,7,0.987,0.232
100000,13.01,18,0,0,0,12,0,1.00,16,0.000,704,0.85,73.64,20.83,33,0,0,0,1.00,1.00,1.00,2,3,5,12.1,33.910,12,1.084,0.243
100000,20.41,19,0,0,0,19,0,1.00,10,0.000,699,3.47,77.34,16.84,560,1,0,0,1.00,1.00,1.00,3,3,8,32.7,48.930,19,1.074,0.192
100000,11.14,11,0,0,0,11,0,1.00,16,0.000,690,1.13,35.03,21.67,33,0,1,0,1.00,1.00,1.00,2,4,4,18.9,37.260,11,1.013,0.193
100000,12.65,12,0,0,0,12,0,1.00,12,0.000,684,0.27,34.67,28.14,33,0,0,0,1.00,1.00,1.00,5,6,4,9.2,38.304,12,1.054,0.191
100000,9.85,18,0,0,0,9,0,1.00,18,0.000,667,1.34,56.95,23.29,580,0,0,0,1.00,1.00,1.00,2,5,2,17.9,24.750,9,1.095,0.226
100000,5.61,7,0,0,0,6,0,1.00,20,0.000,651,1.44,28.34,9.19,33,2,1,0,1.00,1.00,1.00,2,3,3,40.2,28.095,6,0.935,0.178
100000,11.39,11,0,0,0,11,0,1.00,18,0.000,631,0.14,25.44,25.38,33,0,0,0,1.00,1.00,1.00,2,3,4,10.2,34.074,11,1.035,0.208
100000,13.94,14,0,0,0,14,0,1.00,14,0.000,605,1.31,37.41,15.48,33,1,1,0,1.00,1.00,1.00,3,5,4,39.6,36.300,14,0.996,0.200
100000,11.09,11,0,0,0,11,0,1.00,16,0.000,590,1.49,39.57,11.57,33,1,1,0,1.00,1.00,1.00,2,5,3,28.4,31.860,11,1.008,0.280
100000,18.93,18,0,0,0,18,0,1.00,14,0.000,587,2.36,52.53,21.89,33,0,0,0,1.00,1.00,1.00,4,5,4,19.9,39.916,18,1.051,0.221
100000,11.80,12,0,0,0,12,0,1.00,12,0.000,579,0.98,42.95,0.38,33,2,2,0,1.00,1.00,1.00,5,6,4,49.8,32.424,12,0.984,0.207
100000,23.98,22,0,0,0,22,0,1.00,10,0.000,574,3.31,46.26,15.54,33,0,0,0,1.00,1.00,1.00,5,7,4,23.7,43.624,22,1.090,0.239
100000,4.90,22,0,0,0,5,0,1.00,22,0.000,574,1.07,36.95,6.39,581,0,0,0,1.00,1.00,1.00,2,3,2,20.8,17.840,5,0.980,0.141
100000,15.54,17,0,0,0,15,0,1.00,12,0.000,572,1.01,45.37,10.79,33,0,0,0,1.00,1.00,1.00,3,5,5,5.1,34.159,15,1.036,0.172
100000,12.22,12,0,0,0,12,0,1.00,14,0.000,533,1.95,32.81,4.31,33,2,1,0,1.00,1.00,1.00,3,5,4,43.6,29.848,12,1.018,0.215
100000,20.15,33,0,1,0,16,0,1.00,14,0.050,529,2.97,52.50,9.98,578,0,0,0,1.00,1.00,1.00,2,5,4,22.5,33.198,17,1.185,0.242
100000,34.98,31,0,7,0,22,0,1.00,6,0.200,527,2.02,55.83,22.14,578,0,0,0,1.00,1.00,1.00,4,5,8,22.0,46.779,29,1.206,0.230
100000,16.12,21,0,0,0,17,0,1.00,10,0.000,527,1.76,46.49,16.12,569,0,0,0,1.00,1.00,1.00,3,3,8,18.6,33.330,17,0.948,0.351
100000,6.89,7,0,0,0,7,0,1.00,20,0.000,525,1.06,22.80,6.00,33,0,0,0,1.00,1.00,1.00,2,2,4,16.6,24.150,7,0.984,0.201
100000,15.01,42,0,9,0,4,0,1.00,6,0.600,525,1.19,28.76,14.52,586,0,0,0,1.00,1.00,1.00,4,6,8,4.5,27.037,13,1.155,0.237
100000,12.84,13,0,0,0,13,0,1.00,16,0.000,518,3.00,22.15,25.74,33,1,1,0,1.00,1.00,1.00,2,4,4,35.7,30.044,13,0.987,0.198
100000,16.33,16,0,0,0,16,0,1.00,12,0.000,518,1.27,35.79,17.31,33,0,0,0,1.00,1.00,1.00,3,4,6,7.7,33.152,16,1.021,0.172
100000,20.16,21,0,0,0,18,0,1.00,10,0.000,517,0.39,25.16,31.18,560,0,0,0,1.00,1.00,1.00,3,4,7,20.4,34.863,18,1.120,0.219
100000,13.38,13,0,0,0,13,0,1.00,16,0.000,517,1.76,40.82,11.48,33,0,0,0,1.00,1.00,1.00,3,4,4,15.2,29.986,13,1.029,0.269
100000,5.19,14,0,0,0,5,0,1.00,16,0.000,514,1.50,26.84,11.75,577,0,1,0,1.00,1.00,1.00,2,4,4,18.1,15.974,5,1.037,0.210
100000,7.39,10,0,0,0,7,0,1.00,16,0.000,511,0.23,26.76,7.70,33,1,0,0,1.00,1.00,1.00,2,4,4,25.9,20.559,7,1.055,0.271
100000,20.84,20,0,0,0,20,0,1.00,10,0.000,508,0.46,40.54,12.58,572,2,2,0,1.00,1.00,1.00,3,4,7,43.3,36.576,20,1.042,0.210
100000,16.49,18,0,0,0,18,0,1.00,12,0.000,507,1.43,21.42,31.75,572,1,1,0,1.00,1.00,1.00,3,3,7,37.5,34.476,18,0.916,0.248
100000,8.20,9,0,0,0,9,0,1.00,18,0.000,505,1.96,27.79,12.57,577,0,0,0,1.00,1.00,1.00,2,3,4,13.9,25.250,9,0.912,0.222
100000,10.28,16,0,0,0,10,0,1.00,10,0.000,504,1.33,49.02,6.41,577,1,1,0,1.00,1.00,1.00,2,6,5,36.1,21.185,10,1.028,0.227
100000,6.61,9,0,0,0,7,0,1.00,20,0.000,502,1.67,21.59,12.26,33,0,0,0,1.00,1.00,1.00,2,2,4,14.1,20.756,7,0.945,0.194
100000,14.52,14,0,0,0,14,0,1.00,10,0.000,502,1.58,29.46,14.14,577,2,1,0,1.00,1.00,1.00,5,6,5,51.3,30.120,14,1.037,0.210
100000,16.59,16,0,0,0,16,0,1.00,10,0.000,501,0.75,25.35,13.53,577,0,1,0,1.00,1.00,1.00,4,6,5,15.6,32.064,16,1.037,0.210
100000,16.59,16,0,0,0,16,0,1.00,10,0.000,492,3.30,39.10,6.75,577,2,2,0,1.00,1.00,1.00,3,6,5,48.7,31.488,16,1.037,0.210
100000,11.66,11,0,0,0,11,0,1.00,18,0.000,484,2.50,29.17,6.28,579,1,1,0,1.00,1.00,1.00,2,3,4,39.9,26.136,11,1.060,0.244
100000,7.56,9,0,0,0,8,0,1.00,18,0.000,469,0.74,33.00,3.19,33,0,0,0,1.00,1.00,1.00,4,3,4,11.8,22.416,8,0.945,0.194
100000,12.78,15,0,0,0,15,0,1.00,12,0.000,469,1.95,33.89,16.93,566,1,1,0,1.00,1.00,1.00,5,6,4,28.1,29.078,15,0.852,0.202
100000,16.45,16,0,0,0,16,0,1.00,10,0.000,463,3.45,47.51,8.24,577,1,1,0,1.00,1.00,1.00,4,6,5,32.9,29.632,16,1.028,0.227
100000,3.03,17,0,0,0,3,0,1.00,24,0.000,462,0.68,25.26,4.92,577,0,0,0,1.00,1.00,1.00,2,1,3,4.6,12.156,3,1.011,0.243
100000,11.13,13,0,0,0,11,0,1.00,18,0.000,460,1.02,21.51,16.39,33,0,0,0,1.00,1.00,1.00,3,3,4,16.6,24.059,11,1.012,0.225
100000,14.85,14,0,0,0,14,0,1.00,16,0.000,459,0.66,32.17,9.22,579,2,2,0,1.00,1.00,1.00,2,3,5,43.8,27.540,14,1.060,0.244
100000,17.72,19,0,0,4,15,0,1.00,12,0.000,454,3.69,54.17,9.51,33,1,1,0,1.00,1.00,1.00,4,5,5,33.6,31.780,19,1.042,0.224
100000,13.02,13,0,0,0,13,0,1.00,10,0.000,447,1.99,29.44,11.59,577,1,1,0,1.00,1.00,1.00,5,6,5,32.8,25.926,13,1.002,0.233
100000,9.46,10,0,0,0,10,0,1.00,18,0.000,439,0.89,17.12,7.29,33,1,1,0,1.00,1.00,1.00,2,3,4,36.6,22.828,10,0.946,0.192
100000,27.73,29,0,0,0,29,0,1.00,6,0.000,436,2.63,60.75,27.29,33,0,0,0,1.00,1.00,1.00,6,8,5,16.0,39.240,29,0.956,0.273
100000,11.36,16,0,0,0,12,0,1.00,16,0.000,431,1.99,20.98,18.23,566,1,0,0,1.00,1.00,1.00,1,4,4,28.7,21.564,12,0.947,0.170
100000,0.86,3,0,0,0,1,0,1.00,28,0.000,427,0.50,15.27,1.12,566,0,0,0,1.00,1.00,1.00,1,1,1,19.7,5.649,1,0.856,0.205
100000,12.62,18,0,0,0,12,0,1.00,16,0.000,425,1.71,27.89,15.13,33,1,0,0,1.00,1.00,1.00,4,5,3,26.9,23.460,12,1.051,0.221
100000,16.45,16,0,0,0,16,0,1.00,10,0.000,425,1.52,34.64,17.49,577,1,0,0,1.00,1.00,1.00,3,6,5,24.1,27.200,16,1.028,0.227
100000,9.63,10,0,0,0,10,0,1.00,18,0.000,424,1.74,24.05,10.13,33,1,1,0,1.00,1.00,1.00,4,3,4,31.3,22.048,10,0.963,0.200
100000,15.92,14,0,0,0,14,0,1.00,16,0.000,423,0.49,40.53,3.17,566,0,1,0,1.00,1.00,1.00,2,5,3,2.3,25.380,14,1.137,0.150
100000,12.34,16,0,0,0,12,0,1.00,16,0.000,422,2.49,33.82,12.83,577,1,1,0,1.00,1.00,1.00,2,3,5,39.0,22.962,12,1.028,0.227
100000,10.12,13,0,0,0,13,0,1.00,12,0.000,422,1.40,17.36,16.15,577,0,0,0,1.00,1.00,1.00,3,5,5,15.8,24.476,13,0.779,0.270
100000,6.48,7,0,0,0,7,0,1.00,20,0.000,416,2.37,21.13,4.16,33,1,1,0,1.00,1.00,1.00,2,2,4,28.6,19.136,7,0.926,0.219
