step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,density,digest
5000,1,471,14.7,0.4,0.9,0.5,14.0,0.0,1.07,9.7,216,192,14.06,6.40,350,118,3,0.0,1.02,1.11,1.08,4.62,5.95,6.87,20.2,0.917,0.507
5000,7,188,25.9,0.2,0.5,1.7,21.4,0.0,1.08,7.7,84,218,28.51,11.31,98,90,0,0.0,1.17,1.10,1.08,4.93,5.87,6.48,25.3,1.129,0.352
5000,2,87,18.6,0.5,0.3,0.0,17.0,0.0,1.17,9.4,20,148,8.81,5.26,23,54,10,0.0,1.14,1.18,1.18,4.01,5.17,6.15,31.1,1.014,0.481
5000,12,17,24.8,0.0,5.8,0.0,16.9,0.0,1.00,1.5,12,904,99.45,30.10,17,0,0,0.0,1.00,1.00,1.00,6.18,8.00,7.71,19.5,1.090,0.598
6000,1,358,16.4,0.7,0.4,0.4,16.1,0.0,1.10,7.5,114,218,19.03,7.03,233,116,9,0.0,1.05,1.20,1.09,5.46,6.45,7.52,20.6,0.903,0.518
6000,7,119,27.8,0.1,0.8,1.4,22.7,0.0,1.03,7.1,57,262,37.48,16.17,65,53,1,0.0,1.05,1.02,1.02,4.82,5.95,6.56,24.6,1.151,0.347
6000,2,86,16.4,0.5,0.0,0.0,15.5,0.0,1.16,10.0,25,180,13.79,5.63,30,55,1,0.0,1.12,1.19,1.17,3.86,4.95,6.02,28.0,0.989,0.481
6000,12,23,24.9,0.0,5.5,0.0,17.6,0.0,1.00,2.3,12,622,71.82,22.49,23,0,0,0.0,1.00,1.00,1.00,6.09,8.00,7.22,19.7,1.083,0.605
7000,1,482,14.4,0.2,0.2,0.1,15.3,0.0,1.02,8.4,142,198,14.16,6.46,326,153,3,0.0,1.01,1.04,1.02,5.25,5.96,7.74,19.1,0.915,0.508
7000,2,84,21.9,1.7,0.1,0.0,18.2,0.0,1.45,9.2,28,176,16.72,4.99,23,61,0,0.0,1.35,1.54,1.47,4.23,5.30,6.08,29.0,1.013,0.481
7000,7,43,22.2,0.0,0.3,3.7,16.0,0.0,1.00,6.3,17,368,30.39,9.35,26,17,0,0.0,1.00,1.00,1.00,4.63,5.63,7.37,25.6,1.227,0.321
7000,25,20,21.0,0.0,0.0,4.6,16.7,0.0,1.00,11.2,11,137,9.41,5.88,20,0,0,0.0,1.00,1.00,1.00,4.10,6.40,4.25,11.8,1.131,0.350
7000,12,15,24.1,0.0,4.1,0.0,19.5,0.0,1.00,4.3,10,704,75.26,23.17,15,0,0,0.0,1.00,1.00,1.00,6.53,7.73,6.67,19.8,1.047,0.610
7000,22,8,66.8,1.8,0.0,0.0,53.2,0.0,1.25,0.2,2,94,16.88,7.25,0,8,0,0.0,1.00,1.44,1.27,8.12,7.88,8.00,31.4,1.176,0.384
8000,1,333,15.4,0.1,0.3,0.1,16.2,0.0,1.02,7.7,101,191,13.79,7.17,202,129,2,0.0,1.02,1.03,1.00,5.62,6.58,7.83,20.8,0.924,0.517
8000,33,251,22.3,0.1,0.5,0.0,18.4,0.0,1.02,6.9,103,192,18.01,7.70,82,164,5,0.0,1.00,1.02,1.02,4.28,5.03,7.56,26.6,1.163,0.403
8000,2,65,18.6,0.7,0.0,0.0,17.0,0.0,1.25,9.2,26,298,29.21,8.08,20,45,0,0.0,1.21,1.25,1.29,4.05,5.20,6.25,27.5,1.013,0.473
8000,7,61,22.8,0.0,0.9,3.3,16.0,0.0,1.00,7.2,26,210,16.44,8.05,23,38,0,0.0,1.00,1.00,1.00,4.72,5.33,7.28,26.6,1.233,0.339
8000,34,47,12.1,0.3,0.0,0.2,10.0,0.0,1.14,16.9,13,255,12.72,8.69,0,47,0,0.0,1.13,1.20,1.11,2.96,4.23,3.34,33.5,1.113,0.237
8000,35,34,20.1,0.8,1.6,0.0,15.5,0.0,1.18,8.6,16,158,9.43,5.78,1,33,0,0.1,1.16,1.25,1.16,4.24,4.50,7.21,31.7,1.084,0.395
8000,12,16,16.6,0.0,3.1,0.0,12.2,0.0,1.00,8.1,8,486,55.65,19.50,16,0,0,0.0,1.00,1.00,1.00,4.94,7.75,4.50,20.2,1.082,0.630
8000,25,11,30.9,4.5,0.0,11.5,16.0,0.0,1.64,8.2,5,253,21.65,7.64,11,0,0,0.0,1.00,2.22,1.67,5.55,7.27,4.64,13.6,1.030,0.375
9000,1,388,15.7,0.2,0.9,0.0,15.0,0.0,1.03,8.6,155,205,13.95,7.44,239,140,9,0.0,1.02,1.06,1.01,5.00,6.20,7.24,19.8,0.962,0.493
