step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,density,digest
5000,1,676,26.1,1.8,0.7,0.8,23.7,0.0,1.32,7.5,260,158,16.55,7.29,386,219,71,0.0,1.05,1.60,1.32,4.85,5.98,6.28,25.1,0.900,0.424
5000,2,80,17.5,0.0,0.0,0.0,20.7,0.0,1.00,6.4,26,119,9.71,5.71,53,27,0,0.0,1.00,1.00,1.00,4.30,5.88,7.00,23.3,0.837,0.601
5000,5,26,33.9,0.0,0.5,0.9,25.7,0.0,1.00,0.8,6,155,19.39,7.35,26,0,0,0.0,1.00,1.00,1.00,5.50,7.73,7.88,5.0,1.272,0.370
5000,3,19,9.6,0.2,2.2,0.0,5.9,0.0,1.04,18.9,6,535,44.24,28.20,1,18,0,0.1,1.00,1.01,1.07,2.42,2.68,3.89,27.2,1.097,0.344
6000,1,455,15.2,0.4,0.1,1.1,15.1,0.0,1.12,9.7,153,158,11.34,4.95,251,174,30,0.0,1.02,1.22,1.13,3.98,5.15,6.01,24.4,0.902,0.381
6000,2,127,16.5,0.4,0.0,0.0,18.0,0.0,1.09,8.1,53,129,8.54,4.97,87,38,2,0.0,1.07,1.13,1.08,4.15,4.91,7.20,24.5,0.883,0.632
6000,5,45,21.1,0.2,0.0,0.9,16.6,0.0,1.04,8.1,18,325,41.43,11.26,45,0,0,0.0,1.00,1.07,1.04,4.44,6.09,5.87,5.4,1.152,0.394
6000,3,24,8.3,0.2,1.7,0.0,5.3,0.0,1.03,20.0,6,950,70.05,26.85,2,22,0,0.1,1.00,1.01,1.05,2.25,2.33,3.71,27.1,1.098,0.342
7000,1,435,15.7,0.6,0.0,0.4,15.7,0.0,1.18,9.5,147,175,13.03,6.17,229,176,30,0.0,1.08,1.31,1.18,4.00,5.02,6.30,25.6,0.906,0.397
7000,16,176,17.3,0.1,0.7,0.4,16.8,0.0,1.01,8.4,87,199,18.70,8.41,58,112,6,0.0,1.00,1.03,1.01,4.53,5.17,6.70,27.4,0.956,0.405
7000,2,107,17.6,0.6,0.0,0.0,18.9,0.0,1.13,8.1,43,154,12.96,5.99,64,42,1,0.0,1.03,1.20,1.14,4.33,5.35,7.03,24.1,0.877,0.615
7000,17,48,25.1,0.2,0.9,1.9,23.8,0.0,1.05,4.8,30,225,25.40,12.81,39,9,0,0.1,1.00,1.07,1.07,5.92,6.04,7.79,20.9,0.977,0.427
7000,5,39,20.4,0.0,1.0,0.6,15.6,0.0,1.00,8.3,11,446,46.36,12.96,39,0,0,0.0,1.00,1.00,1.00,4.18,6.62,5.23,5.4,1.188,0.401
7000,3,19,19.7,0.0,7.4,0.0,8.9,0.0,1.00,14.2,7,460,36.95,20.11,2,17,0,0.0,1.00,1.00,1.00,3.32,3.68,5.21,27.7,1.185,0.345
8000,1,323,14.7,0.6,0.1,0.3,14.6,0.0,1.16,9.9,114,141,9.70,4.84,145,152,26,0.0,1.04,1.28,1.16,3.96,4.90,6.33,26.3,0.915,0.362
8000,26,144,17.8,0.2,0.0,0.0,18.7,0.0,1.02,8.8,68,263,29.21,13.06,48,88,8,0.0,1.00,1.08,1.01,4.10,5.02,6.58,28.3,0.932,0.426
8000,16,47,11.6,0.0,0.0,0.0,12.4,0.0,1.00,13.6,15,170,9.51,3.11,15,32,0,0.0,1.00,1.00,1.00,3.28,4.17,5.02,25.6,0.941,0.433
8000,2,46,18.6,0.0,0.5,0.0,21.5,0.0,1.01,6.4,16,114,7.42,5.48,30,15,1,0.0,1.00,1.01,1.01,5.02,5.20,7.85,21.7,0.845,0.589
8000,3,43,7.7,0.0,0.5,0.0,6.0,0.0,1.00,19.7,5,356,18.82,9.87,1,42,0,0.0,1.00,1.00,1.00,2.16,2.12,4.02,28.2,1.190,0.347
8000,5,42,22.5,0.0,1.7,1.3,15.3,0.0,1.00,7.8,14,322,29.34,21.04,42,0,0,0.0,1.00,1.00,1.00,4.10,6.07,6.02,4.5,1.281,0.412
8000,17,16,18.7,0.8,1.0,1.5,17.8,0.0,1.27,10.4,10,587,95.08,24.35,2,14,0,0.1,1.15,1.28,1.34,4.44,5.25,6.44,28.3,0.906,0.470
9000,1,252,16.1,0.8,0.4,0.6,15.2,0.0,1.23,10.4,78,169,14.10,5.45,148,80,24,0.0,1.06,1.32,1.26,3.98,5.13,5.72,25.4,0.911,0.402
9000,26,188,20.9,0.4,0.2,0.1,20.5,0.0,1.07,7.0,84,206,20.61,9.44,67,108,13,0.0,1.02,1.14,1.06,4.70,5.02,7.55,27.5,0.969,0.416
9000,16,96,15.4,0.1,0.6,0.3,15.2,0.0,1.01,9.3,43,181,12.12,5.88,35,55,6,0.0,1.00,1.04,1.01,4.07,4.85,6.52,27.3,0.946,0.393
9000,2,66,17.7,0.0,0.1,0.0,21.0,0.0,1.00,6.7,22,97,6.21,4.27,50,15,1,0.0,1.00,1.00,1.00,4.77,4.97,7.71,22.4,0.837,0.584
9000,5,24,14.6,0.0,1.3,0.0,9.6,0.0,1.00,14.2,9,307,19.39,29.72,24,0,0,0.0,1.00,1.00,1.00,2.92,4.58,4.29,4.3,1.330,0.444
9000,3,20,8.5,0.0,1.0,0.0,6.1,0.0,1.00,19.4,5,568,36.87,20.02,0,20,0,0.0,1.00,1.00,1.00,2.30,2.25,4.10,28.3,1.199,0.350
9000,17,15,22.5,0.0,1.0,0.3,23.8,0.0,1.00,8.3,10,337,46.08,20.01,2,13,0,0.0,1.00,1.00,1.00,5.07,5.33,7.20,29.2,0.901,0.490
9000,32,7,54.5,0.7,0.0,20.3,38.6,0.0,1.00,0.0,3,429,97.41,25.87,0,7,0,0.0,1.00,1.00,1.00,8.00,8.00,8.00,29.5,1.092,0.420
10000,1,274,15.9,0.3,0.3,0.8,15.9,0.0,1.06,9.1,94,155,10.27,4.91,114,151,9,0.0,1.01,1.18,1.05,4.16,4.66,6.85,26.2,0.923,0.365
10000,26,74,18.5,0.2,0.0,0.1,19.1,0.0,1.07,8.3,35,155,13.97,7.80,36,31,7,0.0,1.03,1.08,1.09,4.39,4.16,7.69,27.8,0.951,0.381
10000,36,64,16.2,0.5,0.6,0.4,14.2,0.0,1.11,9.2,20,211,23.78,7.40,58,6,0,0.0,1.03,1.18,1.13,3.69,4.77,7.31,19.3,1.013,0.536
10000,37,31,13.5,2.4,0.0,0.0,13.5,0.0,1.46,13.0,11,162,9.32,4.66,8,20,3,0.0,1.23,1.80,1.40,3.42,5.32,4.35,28.1,0.737,0.435
10000,2,23,18.0,0.3,0.0,0.0,20.8,0.0,1.07,6.7,9,173,10.34,7.07,17,6,0,0.0,1.00,1.08,1.10,4.96,4.91,7.91,21.0,0.840,0.577
10000,43,23,19.8,0.0,0.0,0.1,18.7,0.0,1.00,7.6,10,119,6.69,4.82,10,12,1,0.0,1.00,1.00,1.00,5.00,4.48,7.78,25.5,1.049,0.372
10000,16,15,12.5,0.0,0.0,0.0,11.3,0.0,1.00,12.8,5,194,7.52,6.30,8,7,0,0.0,1.00,1.00,1.00,2.73,3.33,6.27,24.8,1.109,0.428
11000,1,153,15.3,0.2,0.0,0.8,16.5,0.0,1.06,10.0,48,145,8.43,4.64,83,58,12,0.0,1.08,1.16,1.05,3.94,5.31,5.93,25.9,0.878,0.377
11000,36,51,21.6,0.5,0.0,0.6,19.6,0.0,1.21,6.0,13,105,7.28,4.48,36,15,0,0.0,1.12,1.20,1.29,4.49,5.45,7.80,23.3,1.024,0.526
11000,37,48,12.7,0.2,0.0,1.9,15.1,0.0,1.09,10.9,9,132,7.86,3.69,24,22,2,0.0,1.10,1.10,1.09,3.88,5.96,4.65,26.4,0.768,0.454
