step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,density,digest
5000,14,582,26.5,0.3,3.7,0.1,17.4,0.0,1.07,9.0,275,163,13.59,13.09,324,253,5,0.0,1.02,1.10,1.09,4.18,4.55,7.09,23.4,1.166,0.491
5000,3,468,15.7,0.4,0.2,0.3,16.5,0.0,1.11,10.6,178,171,15.42,9.25,216,212,40,0.0,1.09,1.15,1.09,4.01,3.71,7.07,26.8,0.871,0.511
5000,4,305,24.1,0.4,0.2,0.2,21.2,0.0,1.08,8.5,128,207,14.60,11.75,118,140,47,0.0,1.04,1.11,1.08,4.60,5.30,6.49,29.2,1.074,0.541
5000,11,141,14.4,0.4,0.0,0.0,14.5,0.0,1.13,12.5,26,141,6.83,6.79,107,29,5,0.0,1.16,1.19,1.09,3.31,3.79,6.08,20.7,0.933,0.636
5000,5,134,10.8,0.0,0.1,0.0,10.1,0.0,1.00,14.9,33,153,6.43,5.72,49,75,10,0.0,1.00,1.00,1.00,3.08,5.55,3.04,27.2,1.069,0.496
5000,1,105,26.4,0.3,0.4,0.7,28.3,0.0,1.07,3.7,48,420,58.85,23.48,57,31,17,0.0,1.08,1.09,1.06,5.63,7.77,6.48,26.4,0.891,0.522
5000,2,49,11.2,0.1,0.0,0.1,14.6,0.0,1.02,14.3,24,170,10.34,7.27,22,22,5,0.0,1.00,1.04,1.03,3.29,3.94,4.90,27.6,0.751,0.640
5000,6,38,19.3,0.8,0.0,0.5,18.7,0.0,1.19,8.8,22,202,12.23,9.48,4,33,1,0.0,1.19,1.17,1.23,4.29,5.21,6.42,31.0,0.949,0.393
5000,15,12,10.4,0.0,0.0,0.0,10.8,0.0,1.00,17.5,4,218,10.71,9.31,0,12,0,0.0,1.00,1.00,1.00,3.00,3.75,3.50,31.8,0.962,0.468
6000,14,312,18.8,0.1,0.2,0.2,17.4,0.0,1.04,10.2,131,150,11.74,6.43,97,171,44,0.0,1.01,1.05,1.06,3.96,3.72,7.33,29.0,1.041,0.474
6000,11,190,14.1,0.3,0.0,0.0,14.5,0.0,1.11,12.5,33,144,6.24,7.81,150,35,5,0.0,1.16,1.15,1.08,3.59,3.84,6.21,20.6,0.927,0.632
6000,4,180,24.0,0.4,0.2,0.2,20.6,0.0,1.09,7.3,70,153,10.05,10.14,62,69,49,0.0,1.05,1.14,1.10,4.53,4.96,7.39,30.3,1.098,0.586
6000,3,72,19.4,0.4,0.2,2.8,18.8,0.0,1.11,7.5,34,110,8.48,3.97,21,25,26,0.0,1.00,1.13,1.17,5.15,4.88,7.79,34.7,0.899,0.475
6000,1,58,18.2,0.7,0.4,0.7,18.1,0.0,1.13,8.1,32,237,22.40,17.18,14,37,7,0.0,1.11,1.18,1.13,4.48,7.14,4.98,30.1,0.898,0.572
6000,36,41,10.6,0.6,0.0,0.2,10.1,0.0,1.33,18.0,16,266,15.64,11.11,26,15,0,0.0,1.29,1.28,1.39,3.05,3.95,3.02,25.0,0.917,0.389
6000,6,34,17.2,0.8,0.0,0.0,16.7,0.0,1.30,11.2,25,147,15.41,9.39,13,21,0,0.0,1.33,1.36,1.25,3.79,4.47,6.21,27.2,0.936,0.400
6000,35,14,12.4,0.0,0.0,0.0,11.9,0.0,1.00,16.6,6,163,12.22,6.50,4,10,0,0.0,1.00,1.00,1.00,2.57,4.57,3.14,29.0,1.047,0.392
