step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations
10000,1116,1.725,0.591,8.14,127390,122359,5,0,5406,2134,963132.4,210845.8,0.120,0.637,0.186,0.057,110,14.25,12.02,0.82,3.39,0.62,3.08,0.42,2.51,12.39,10.43,0.00,0.06,0.025,0.105,274,0.105,0.087,0.884,0.000,0.029,225392,218903,2,0.091,0.899,0.037,856649,0.130,2.248,0.045,13.27,74064,0,98.803,0.000,0.159,6944099,1.23,12.88,0.012,0.004,0.001,4,10,30,64,15901,0.061,0.00,0.0070,0.042,286,0.733,0.000,0.788,0.456,3.61,3.51,7.07,0.05,0.037,1.13,1.27,1.28,0.734,0.00310,1.16,33.3184,609.34,97213.9,140228.4,23.897,66.5964,85.020,1251.997,1.000,0.282,31085.7,81.912,159.645,800,3167.4,31.10,36.048,125.519,5377.6,70.491,0.135,2.00
20000,1447,1.630,0.286,7.82,154902,148848,42,2,5679,1495,927465.2,162969.2,0.079,0.652,0.137,0.132,138,13.21,7.16,0.80,2.94,0.64,2.68,0.36,2.88,11.41,4.94,0.01,0.24,0.033,0.105,308,0.076,0.151,0.824,0.000,0.025,233119,226078,2,0.727,0.182,0.041,726553,0.099,1.428,0.016,18.88,71601,776,109.010,0.500,0.112,7567374,1.22,12.66,0.003,0.008,0.001,7,12,20,64,19117,0.073,0.00,0.0056,0.032,416,0.664,0.000,0.863,0.368,3.37,3.98,5.73,0.05,0.024,1.18,1.23,1.26,0.664,0.00285,2.14,23.6456,462.80,63984.9,140228.5,33.811,42.6471,85.693,1202.798,0.997,0.170,68816.0,81.920,155.462,412,1278.9,34.08,18.845,109.014,1893.7,74.025,0.135,2.00
30000,1331,1.542,0.265,9.98,85684,83477,43,1,2279,489,861464.2,48624.0,0.016,0.674,0.177,0.133,183,10.40,6.11,0.18,1.74,0.31,1.99,0.20,2.06,9.72,4.46,0.00,0.08,0.015,0.077,202,0.314,0.170,0.812,0.001,0.017,79073,71791,2,0.768,0.032,0.017,164115,0.110,1.326,0.019,61.51,32424,33,99.435,1.000,0.075,3361289,1.05,14.29,0.002,0.002,0.001,6,8,17,64,13848,0.053,0.00,0.0067,0.023,387,0.278,0.000,0.432,0.208,3.32,2.64,7.15,0.00,0.002,1.05,1.07,1.06,0.278,0.00520,24.52,6.7010,302.58,44709.9,140228.6,44.188,11.2831,83.923,744.393,1.000,0.067,88847.9,81.920,80.028,382,1634.4,34.67,5.865,33.623,1678.2,24.212,0.136,2.00
40000,1399,1.707,0.244,9.85,118216,113590,35,5,4518,935,848885.9,110291.4,0.053,0.576,0.173,0.198,157,13.44,9.30,0.55,2.61,0.65,3.29,0.11,1.10,12.13,6.79,0.01,0.23,0.022,0.100,257,0.289,0.155,0.806,0.000,0.039,160518,153189,2,0.678,0.143,0.017,360519,0.118,1.451,0.017,34.33,62729,182,117.959,0.400,0.125,5560240,1.13,12.06,0.004,0.004,0.001,6,10,25,64,18803,0.072,0.00,0.0050,0.032,373,0.520,0.001,0.667,0.342,3.54,3.02,7.30,0.02,0.010,1.08,1.17,1.14,0.520,0.00301,10.90,16.0950,676.90,65192.2,140228.6,47.875,25.1932,79.862,1216.462,0.985,0.164,68268.8,81.920,128.483,258,1088.6,40.17,9.776,70.734,1637.5,50.559,0.136,2.00
50000,1321,1.616,0.281,9.29,116842,111724,73,6,5117,1022,867689.6,127455.0,0.040,0.565,0.188,0.207,159,12.68,9.37,0.77,3.56,0.50,3.24,0.17,1.50,11.25,6.65,0.01,0.15,0.018,0.094,211,0.476,0.170,0.802,0.000,0.028,169949,165680,3,0.775,0.188,0.017,190954,0.150,1.673,0.020,35.57,58811,304,124.711,0.500,0.087,5266465,1.15,11.99,0.003,0.005,0.005,7,10,21,64,16756,0.064,0.00,0.0058,0.036,358,0.500,0.000,0.586,0.378,3.53,2.88,7.41,0.03,0.016,1.11,1.17,1.18,0.500,0.00345,12.68,18.3021,441.56,67888.4,140228.7,41.583,27.9246,81.619,1220.696,0.990,0.175,65259.9,81.920,123.824,282,1226.1,44.96,8.174,74.007,2428.8,51.570,0.134,2.00
60000,1466,1.658,0.257,9.01,114071,108635,76,3,5212,569,873155.4,135552.7,0.029,0.570,0.198,0.203,160,12.25,9.97,0.49,2.90,0.24,1.73,0.08,0.88,11.44,8.59,0.00,0.00,0.012,0.085,219,0.488,0.144,0.828,0.000,0.028,172820,170104,1,0.960,0.040,0.012,227329,0.167,1.465,0.019,34.08,58380,26,238.230,0.667,0.117,5585777,1.09,12.71,0.012,0.002,0.000,5,10,20,64,17954,0.068,0.00,0.0052,0.035,416,0.530,0.000,0.576,0.399,3.49,2.86,7.53,0.02,0.013,1.06,1.13,1.09,0.530,0.00296,12.24,19.6761,743.59,72231.1,140229.4,38.947,31.1706,81.493,1221.837,0.999,0.183,60995.1,81.920,125.558,297,1206.1,38.59,7.778,78.579,1716.4,53.550,0.135,2.00
70000,1344,1.643,0.271,8.93,116767,111201,55,1,5632,338,872725.2,130816.0,0.028,0.569,0.207,0.196,164,12.52,9.65,0.68,3.22,0.55,3.14,0.11,1.01,11.17,7.02,0.01,0.20,0.021,0.111,173,0.536,0.141,0.827,0.000,0.031,174791,172594,1,0.988,0.012,0.019,226023,0.135,1.650,0.019,37.20,57614,1599,387.030,0.000,0.113,5544087,1.11,12.15,0.010,0.002,0.004,6,10,19,64,16822,0.064,0.00,0.0058,0.048,376,0.501,0.000,0.573,0.393,3.51,2.82,7.52,0.05,0.025,1.05,1.15,1.12,0.501,0.00336,13.76,18.5439,555.54,69792.1,140229.9,41.391,26.5211,82.166,1217.696,0.999,0.181,63460.8,81.920,120.646,243,1039.9,34.81,7.089,71.490,2344.2,50.369,0.135,2.00
80000,1287,1.620,0.297,9.01,112339,106311,132,5,5948,578,865825.9,142476.1,0.025,0.595,0.197,0.182,159,12.40,8.78,0.53,3.67,0.37,2.44,0.04,0.80,11.47,7.21,0.00,0.00,0.015,0.092,150,0.590,0.159,0.821,0.001,0.020,172978,169880,1,0.988,0.012,0.009,198321,0.134,1.701,0.021,35.06,58654,1,246.498,1.000,0.119,5679897,1.14,11.96,0.007,0.004,0.000,8,10,20,64,15965,0.061,0.00,0.0059,0.018,377,0.515,0.000,0.574,0.406,3.50,2.63,7.64,0.01,0.004,1.12,1.15,1.14,0.515,0.00349,13.03,20.0961,523.72,78578.2,140231.0,37.754,32.0159,81.013,1223.919,0.999,0.210,54390.3,81.920,123.262,291,1253.4,40.00,7.198,77.994,2557.4,51.793,0.134,2.00
90000,1444,1.612,0.299,8.80,100796,95133,83,2,5421,313,878382.5,126039.3,0.017,0.610,0.211,0.162,165,12.22,7.82,0.27,1.71,0.29,1.93,0.05,0.87,11.61,6.54,0.00,0.00,0.011,0.076,153,0.580,0.159,0.820,0.000,0.021,151461,148788,2,0.977,0.006,0.010,296765,0.127,1.744,0.021,44.05,50839,103,402.681,0.000,0.104,4928996,1.06,12.04,0.002,0.001,0.000,6,10,19,64,17647,0.067,0.00,0.0052,0.046,341,0.431,0.000,0.495,0.405,3.49,2.68,7.51,0.02,0.012,1.06,1.08,1.06,0.431,0.00367,17.87,17.9340,640.24,70420.4,140231.2,37.397,25.8372,82.703,1153.080,0.992,0.184,62224.7,81.920,109.029,336,1396.6,39.43,5.963,64.520,2322.0,44.011,0.136,2.00
100000,1367,1.650,0.298,9.14,100930,95397,95,1,5514,298,875830.9,125526.2,0.021,0.608,0.215,0.156,163,12.72,9.08,0.37,2.61,0.45,3.21,0.05,0.74,11.86,7.40,0.00,0.00,0.012,0.080,154,0.639,0.176,0.803,0.000,0.020,152719,150705,2,0.961,0.027,0.008,243237,0.116,1.714,0.021,43.64,50328,150,421.229,0.000,0.097,4710152,1.09,11.74,0.011,0.001,0.000,9,10,23,64,17385,0.066,0.00,0.0054,0.048,391,0.424,0.000,0.499,0.409,3.58,2.81,7.54,0.01,0.004,1.06,1.10,1.09,0.424,0.00389,17.79,18.1905,418.97,67601.4,140231.3,35.174,28.6695,82.212,1159.447,0.990,0.177,65147.3,81.920,109.166,337,1427.7,31.08,5.723,67.228,2492.9,44.188,0.135,2.00
