step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake
100000,0,504,12.77,0.39,0.69,0.07,11.62,0.00,1.11,0.000,0.074,370639.9,69912.5,2,34,3.57,1.08,1.12,10.1253,233.77,45408.2,2.5710,13.3660,5462,12.7475,66,32.0990,234326.8
100000,1,472,12.99,0.30,0.44,0.06,12.19,0.00,1.06,0.000,0.069,273171.0,33220.7,1,31,3.61,1.05,1.07,4.7729,140.26,13511.7,13.7603,15.7230,5461,28.3395,187,19.5754,116818.8
100000,2,391,12.32,0.41,0.15,0.00,11.76,0.00,1.09,0.000,0.056,236022.4,22379.8,1,38,3.56,1.04,1.13,3.2923,44.95,8681.5,18.8431,14.5539,5461,40.8328,84,15.5539,90738.6
110000,0,546,12.51,0.26,0.31,0.23,11.71,0.02,1.08,0.005,0.078,378174.7,79651.9,1,37,3.58,1.08,1.10,11.8128,326.75,47077.8,1.8236,11.8926,5462,12.7475,64,35.8444,257841.4
110000,1,408,11.77,0.21,0.16,0.75,10.66,0.00,1.05,0.000,0.055,272758.3,33642.3,1,41,3.43,1.03,1.08,4.7750,60.26,12830.6,13.6402,15.2385,5461,28.3395,75,18.1973,120450.5
110000,2,401,11.45,0.09,0.14,0.00,11.21,0.00,1.02,0.000,0.053,232059.3,25120.4,1,40,3.43,1.01,1.03,3.6523,16.34,8687.1,21.8340,12.3845,5461,40.8328,102,17.6756,109206.4
120000,0,602,12.38,0.77,0.56,0.02,11.02,0.00,1.17,0.000,0.085,385133.0,76894.1,1,22,3.35,1.05,1.24,11.1055,419.69,46807.8,1.5986,12.2288,5462,12.7475,32,35.8334,260519.6
120000,1,434,12.41,0.77,0.36,0.10,11.17,0.00,1.19,0.000,0.062,258344.3,29267.4,1,46,3.44,1.12,1.23,4.2316,88.06,13710.2,13.7034,14.2931,5461,28.3395,121,20.9149,116139.4
120000,2,314,13.23,0.61,0.93,0.13,11.56,0.00,1.12,0.000,0.048,229296.7,18737.7,2,43,3.42,1.15,1.07,2.7669,57.11,10181.0,18.5300,14.4010,5461,40.8328,214,15.9757,86296.4
130000,0,621,11.79,0.74,0.43,0.06,10.56,0.00,1.21,0.002,0.084,394046.5,77304.9,1,17,3.40,1.14,1.26,11.0707,277.60,44390.7,1.5279,13.3796,5462,12.7475,32,34.2333,257518.1
130000,1,380,13.09,0.48,1.51,0.01,11.09,0.01,1.10,0.005,0.057,259791.3,31290.7,1,26,3.63,1.07,1.08,4.5531,80.87,13463.2,12.1366,14.2137,5461,28.3395,102,21.8428,118446.5
130000,2,347,13.11,0.95,0.66,0.23,11.27,0.00,1.24,0.000,0.052,226294.5,21683.7,1,46,3.73,1.15,1.29,3.0917,91.17,10427.7,21.7880,12.0222,5461,40.8328,185,17.1073,106451.7
140000,0,469,13.63,0.64,0.14,0.14,12.71,0.00,1.11,0.000,0.074,380568.7,73167.7,2,11,3.70,1.05,1.19,10.7741,233.95,48514.3,1.5538,11.9109,5462,12.7475,47,36.7222,259285.3
140000,1,373,15.51,1.50,0.40,0.22,13.39,0.02,1.35,0.005,0.065,259246.9,32011.6,2,22,3.84,1.21,1.48,4.4829,218.39,13972.5,15.4146,13.4813,5461,28.3395,146,19.1896,125354.5
140000,2,341,11.71,0.43,0.07,0.02,11.19,0.00,1.08,0.000,0.046,232649.0,20420.2,1,32,3.44,1.03,1.13,2.9514,20.02,9769.5,19.8670,14.2153,5461,40.8328,161,15.9499,90552.4
150000,0,552,12.06,0.58,0.36,0.01,11.11,0.00,1.18,0.000,0.076,385583.0,81247.1,1,26,3.44,1.15,1.21,11.7065,333.98,44522.8,1.8573,12.9588,5462,12.7475,24,33.2122,253382.5
150000,1,421,12.07,0.68,0.30,0.02,11.07,0.00,1.22,0.000,0.058,272064.3,30575.2,1,27,3.55,1.22,1.26,4.2829,102.20,13685.4,15.1517,15.0540,5461,28.3395,117,18.3033,121423.6
150000,2,364,11.84,0.61,0.21,0.01,11.01,0.00,1.15,0.000,0.049,224668.3,20829.8,1,34,3.51,1.10,1.22,2.9196,44.52,9978.9,20.2580,13.3215,5461,40.8328,129,17.2861,91837.8
160000,0,635,12.70,0.26,0.41,0.14,11.89,0.01,1.06,0.005,0.092,378262.1,76386.3,1,21,3.59,1.03,1.09,11.1356,390.97,47251.3,2.3026,12.4447,5462,12.7475,23,36.4002,252452.3
160000,1,376,13.23,0.39,0.44,0.14,12.26,0.00,1.08,0.000,0.056,267253.4,27621.6,1,35,3.69,1.06,1.11,3.8035,185.45,14245.8,13.1086,16.7417,5461,28.3395,130,14.1914,100179.0
160000,2,383,11.28,0.04,0.06,0.00,11.18,0.00,1.01,0.000,0.050,224148.1,22082.4,1,34,3.51,1.00,1.01,3.0848,25.23,10653.5,20.0073,13.8689,5461,40.8328,101,17.3164,86259.2
170000,0,554,11.90,0.76,0.18,0.16,10.81,0.00,1.18,0.000,0.075,378060.4,71769.3,1,21,3.36,1.12,1.25,10.2926,305.55,48438.3,1.3146,12.0906,5462,12.7475,84,36.3940,255615.6
170000,1,392,12.92,0.59,0.22,0.09,12.02,0.00,1.18,0.000,0.057,263566.2,37941.1,1,23,3.82,1.13,1.21,5.2734,123.66,14314.8,12.0789,13.8254,5461,28.3395,112,22.4584,125743.3
170000,2,366,12.54,0.77,0.04,0.21,11.52,0.00,1.17,0.000,0.053,231080.5,21121.2,1,31,3.55,1.03,1.26,2.9427,108.01,10267.7,19.9430,14.1169,5461,40.8328,99,15.5150,90156.1
180000,0,588,12.78,0.47,0.18,0.40,11.72,0.00,1.15,0.000,0.086,376407.6,77470.9,1,23,3.53,1.11,1.17,11.1807,365.94,44280.9,2.2267,11.8793,5462,12.7475,69,33.8752,254959.6
180000,1,396,13.53,1.00,0.71,0.18,11.63,0.01,1.24,0.003,0.061,283573.3,36003.4,1,32,3.55,1.11,1.34,5.0123,111.88,14138.0,15.2848,14.9191,5461,28.3395,77,19.8932,134121.5
180000,2,376,14.36,0.48,0.56,0.01,13.31,0.00,1.12,0.000,0.062,221298.0,20759.8,1,21,3.66,1.06,1.15,2.9203,120.32,10430.8,19.3416,13.6485,5461,40.8328,256,16.8016,86078.0
190000,0,514,14.28,0.73,0.39,0.33,12.84,0.00,1.17,0.000,0.084,383389.1,73343.5,1,16,3.70,1.08,1.25,10.5680,306.51,43652.6,2.8083,14.1177,5462,12.7475,45,31.5299,239761.1
190000,1,403,14.07,1.27,0.13,0.03,12.65,0.00,1.30,0.000,0.065,267914.0,30499.8,1,20,3.63,1.18,1.42,4.4768,149.07,11179.6,13.5083,14.9468,5461,28.3395,110,19.6334,119052.8
190000,2,344,10.85,0.12,0.03,0.01,10.69,0.00,1.03,0.000,0.043,229607.7,20477.3,1,31,3.39,1.02,1.04,2.8163,28.05,8255.1,18.6854,14.9273,5461,40.8328,197,15.8805,80563.1
200000,0,490,17.76,1.83,1.53,0.34,14.06,0.01,1.27,0.004,0.100,352714.1,58124.9,2,42,3.78,1.20,1.40,8.6943,379.17,56209.4,0.8181,13.0828,5462,12.7475,23,33.3622,220713.9
200000,1,473,12.83,0.40,0.19,0.19,12.06,0.00,1.09,0.000,0.069,277210.5,38509.6,1,40,3.59,1.05,1.13,5.6198,125.21,15891.7,13.0984,14.3262,5461,28.3395,61,23.5955,134114.9
200000,2,285,13.98,0.65,0.94,0.35,12.03,0.00,1.10,0.000,0.045,225397.1,18333.6,1,42,3.76,1.03,1.21,2.5840,113.80,10531.1,20.5203,14.4179,5461,40.8328,144,13.6876,81053.6
210000,0,530,12.81,0.42,0.67,0.04,11.68,0.00,1.06,0.002,0.077,384530.4,73270.0,1,28,3.66,1.02,1.11,11.0538,256.83,50547.1,1.2504,12.0935,5462,12.7475,75,37.1049,261554.0
210000,1,355,12.39,0.59,0.42,0.23,11.16,0.00,1.09,0.000,0.051,276450.2,28468.6,1,29,3.53,1.02,1.18,3.9229,101.90,14186.2,11.8197,15.9571,5461,28.3395,106,18.6069,117062.9
210000,2,340,10.80,0.19,0.09,0.14,10.39,0.00,1.04,0.000,0.042,222275.3,17659.4,1,50,3.34,1.03,1.06,2.4588,28.62,9543.7,21.8300,13.7683,5461,40.8328,179,14.5534,85296.8
220000,0,590,12.08,0.46,0.84,0.08,10.69,0.01,1.13,0.002,0.081,371639.2,66200.3,1,43,3.48,1.09,1.17,9.6684,330.07,39782.7,2.4139,13.1348,5462,12.7475,34,33.2351,237799.5
220000,1,409,11.97,0.43,0.26,0.00,11.27,0.00,1.10,0.000,0.056,288838.1,30816.0,1,34,3.50,1.06,1.15,4.4434,65.65,12948.8,11.1891,17.4078,5461,28.3395,109,17.0027,113656.6
220000,2,401,10.70,0.13,0.10,0.00,10.47,0.00,1.04,0.000,0.049,226907.0,20802.6,1,55,3.41,1.03,1.04,2.8502,38.23,9344.2,21.0395,13.9029,5461,40.8328,109,16.1638,87723.3
230000,0,592,12.30,0.81,0.25,0.04,11.20,0.00,1.14,0.000,0.083,361177.8,69095.0,1,18,3.52,1.05,1.21,9.9414,342.36,54478.9,2.4638,12.3779,5462,12.7475,73,34.6641,235988.5
230000,1,427,12.91,0.40,0.21,0.00,12.30,0.00,1.07,0.000,0.063,256396.3,30042.2,1,34,3.47,1.00,1.12,4.1924,121.90,17509.5,13.6813,15.0798,5461,28.3395,162,18.6102,106312.9
