step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height
5000,1,466,20.5,0.0,0.5,0.0,20.0,0.0,1.00,8.6,122,110,11.55,0.45,125,183,158,0.0,1.00,1.00,1.00,4.14,4.14,7.65,32.9
5000,6,332,29.9,0.0,0.3,0.7,28.9,0.0,1.00,3.5,77,108,14.90,0.51,81,127,124,0.0,1.00,1.00,1.00,6.14,7.72,6.67,34.6
5000,4,77,20.4,0.0,0.1,0.0,20.4,0.0,1.00,12.5,27,105,11.05,0.39,15,17,45,0.0,1.00,1.00,1.00,3.69,4.42,5.34,39.6
5000,2,28,18.3,0.0,0.2,0.0,18.0,0.0,1.00,8.8,9,137,12.97,0.49,14,14,0,0.0,1.00,1.00,1.00,4.11,7.32,4.29,25.3
6000,6,464,16.0,0.0,0.3,0.4,15.4,0.0,1.00,10.4,124,120,10.99,0.35,97,199,168,0.0,1.00,1.00,1.00,4.24,6.97,4.33,34.5
6000,1,405,14.8,0.0,0.1,0.0,14.6,0.0,1.01,10.9,93,161,12.66,0.35,105,211,89,0.0,1.01,1.00,1.01,3.73,3.79,7.04,31.3
6000,4,343,9.7,0.0,0.0,0.1,9.6,0.0,1.02,17.2,50,152,10.33,0.24,25,76,242,0.0,1.02,1.02,1.02,2.73,2.50,4.91,43.8
7000,4,938,9.1,0.0,0.1,0.1,9.0,0.0,1.00,16.3,89,239,14.60,0.23,257,383,298,0.0,1.00,1.01,1.01,2.64,2.38,5.52,33.2
7000,1,198,9.2,0.1,0.1,0.0,9.0,0.0,1.03,16.1,30,253,15.75,0.35,21,61,116,0.0,1.02,1.03,1.05,2.81,2.40,5.59,38.6
7000,6,194,11.3,0.0,0.1,0.2,11.0,0.0,1.02,14.2,50,179,11.59,0.32,22,77,95,0.0,1.02,1.02,1.02,3.53,5.82,4.57,38.9
8000,4,1038,8.9,0.0,0.1,0.0,8.8,0.0,1.01,15.4,86,287,17.13,0.24,288,393,357,0.0,1.00,1.01,1.01,2.73,2.31,6.01,33.4
8000,1,183,7.9,0.1,0.0,0.0,7.8,0.0,1.06,17.7,25,301,17.33,0.29,11,47,125,0.0,1.05,1.05,1.07,2.61,2.13,5.05,41.2
8000,6,152,15.4,0.1,0.4,0.8,14.2,0.0,1.01,11.0,47,154,12.14,0.43,1,57,94,0.0,1.00,1.02,1.02,3.85,4.26,6.60,42.2
9000,4,1330,8.3,0.0,0.0,0.0,8.3,0.0,1.01,14.6,60,328,19.20,0.24,302,507,521,0.0,1.00,1.01,1.01,2.78,2.09,6.65,35.1
9000,1,204,8.0,0.1,0.0,0.0,7.8,0.0,1.05,17.8,27,329,18.35,0.36,8,56,140,0.0,1.04,1.04,1.07,2.61,2.07,5.06,42.9
9000,6,18,14.9,0.0,0.0,0.1,14.8,0.0,1.00,10.4,11,186,13.30,0.53,10,5,3,0.0,1.00,1.00,1.00,3.28,4.00,6.78,24.1
10000,4,1428,8.5,0.0,0.0,0.0,8.4,0.0,1.00,13.9,54,487,28.01,0.28,290,517,621,0.0,1.00,1.00,1.00,2.84,2.03,7.03,36.0
10000,1,107,6.4,0.0,0.0,0.0,6.4,0.0,1.00,19.1,15,478,24.73,0.43,8,26,73,0.0,1.00,1.01,1.01,2.32,1.74,4.79,41.6
10000,24,10,11.7,0.0,0.0,0.0,11.7,0.0,1.00,12.0,3,398,25.90,0.10,0,0,10,0.0,1.00,1.00,1.00,3.40,2.90,7.10,45.6
11000,4,1470,8.6,0.0,0.0,0.0,8.5,0.0,1.00,13.5,46,532,30.56,0.29,294,530,646,0.0,1.00,1.00,1.00,2.91,2.01,7.26,36.1
11000,1,45,5.5,0.0,0.0,0.0,5.5,0.0,1.00,20.3,6,517,25.00,0.31,7,12,26,0.0,1.00,1.00,1.00,2.22,1.51,4.36,37.5
12000,4,1507,8.7,0.0,0.0,0.0,8.7,0.0,1.00,13.2,57,564,32.35,0.30,297,536,674,0.0,1.00,1.00,1.00,2.97,2.02,7.40,36.3
12000,1,46,5.3,0.0,0.0,0.0,5.3,0.0,1.00,20.4,9,628,29.65,0.35,1,21,24,0.0,1.00,1.00,1.00,2.28,1.57,4.22,38.6
13000,4,1499,8.7,0.0,0.0,0.0,8.7,0.0,1.00,13.1,43,567,32.42,0.33,290,530,679,0.0,1.00,1.00,1.00,2.99,1.99,7.49,36.4
13000,1,21,5.5,0.0,0.0,0.0,5.5,0.0,1.00,20.3,5,591,27.84,0.19,3,6,12,0.0,1.00,1.00,1.00,2.00,1.62,4.24,34.9
14000,4,1506,8.8,0.0,0.0,0.0,8.7,0.0,1.00,12.9,44,586,33.46,0.32,300,534,672,0.0,1.00,1.00,1.00,3.00,2.01,7.56,36.2
14000,1,15,4.7,0.0,0.0,0.0,4.7,0.0,1.00,21.1,3,956,42.94,0.44,3,7,5,0.0,1.00,1.00,1.00,2.13,1.33,4.13,32.2
15000,4,1525,8.7,0.0,0.0,0.0,8.7,0.0,1.00,13.0,49,593,33.92,0.32,286,560,679,0.0,1.00,1.00,1.00,3.03,2.00,7.56,36.3
15000,1,7,4.0,0.0,0.0,0.0,4.0,0.0,1.00,22.0,1,792,35.02,0.29,3,3,1,0.0,1.00,1.00,1.00,1.71,1.00,4.00,28.9
16000,4,1535,8.7,0.0,0.0,0.0,8.6,0.0,1.00,13.1,46,598,33.93,0.32,300,558,677,0.0,1.00,1.00,1.00,3.03,1.99,7.55,36.2
17000,4,1511,8.6,0.0,0.0,0.0,8.6,0.0,1.00,13.1,34,606,34.56,0.33,278,559,674,0.0,1.00,1.00,1.00,2.99,1.93,7.54,36.4
