step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake
10000,0,513,16.78,0.08,1.30,2.28,13.12,0.00,1.02,0.000,0.099,353211.0,88907.9,2,33,3.38,1.03,1.03,14.3525,558.81,95816.7,0.1247,4.0065,5462,5.5430,141,49.2237,270803.9
10000,1,351,19.25,0.42,1.17,2.01,15.65,0.04,1.14,0.011,0.078,328125.3,82899.3,3,20,3.58,1.15,1.16,13.0387,232.03,30193.0,6.3214,4.6333,5461,11.4804,195,46.5748,240157.0
10000,2,200,17.25,0.29,0.34,1.93,14.69,0.00,1.10,0.000,0.039,172665.7,35009.2,1,8,3.63,1.10,1.05,5.6861,156.70,4023.7,27.5035,5.3822,5461,19.9267,298,18.7989,77221.2
20000,0,635,11.99,0.15,0.01,0.49,11.34,0.00,1.04,0.000,0.087,417966.3,87940.4,6,49,3.06,1.05,1.04,13.1696,434.76,98497.2,0.0000,9.3006,5462,7.7263,3,42.7319,321844.3
20000,1,522,11.52,0.01,0.23,0.56,10.73,0.00,1.00,0.000,0.068,390588.7,71806.6,4,45,3.02,1.00,1.00,11.1549,144.02,31671.7,5.6334,12.1742,5461,16.0025,51,35.1631,265986.1
20000,2,632,9.62,0.01,0.03,0.01,9.57,0.00,1.01,0.000,0.070,317862.9,10687.3,3,56,2.74,1.01,1.01,1.4521,3.24,3249.1,8.9051,27.4611,5461,27.7758,5,4.9676,38949.4
30000,0,623,12.85,0.01,1.01,0.19,11.64,0.00,1.00,0.002,0.091,412000.9,79248.3,1,59,3.36,1.00,1.00,11.5536,329.42,98310.2,0.0087,15.3754,5462,7.0755,7,33.9072,254787.9
30000,1,534,11.62,0.05,0.11,0.22,11.23,0.00,1.02,0.000,0.071,365210.9,51288.4,1,64,3.49,1.02,1.02,7.4630,204.21,30096.2,3.0586,19.0668,5461,14.6545,8,22.9876,170756.2
30000,2,261,13.21,0.21,0.07,0.10,12.85,0.00,1.07,0.000,0.040,234554.9,9526.3,2,46,3.42,1.07,1.07,1.2778,85.83,4846.2,19.7837,19.5230,5461,25.4360,173,7.0720,40633.8
40000,0,545,14.76,0.21,0.36,0.53,13.66,0.00,1.04,0.002,0.092,402383.0,78956.4,5,40,3.64,1.07,1.00,12.1479,453.35,97447.9,0.0000,14.0304,5462,6.4879,10,35.1537,258346.8
40000,1,492,13.86,0.01,0.14,0.19,13.52,0.00,1.00,0.000,0.078,347260.4,43006.5,3,52,3.53,1.00,1.01,6.1780,327.94,30840.4,3.2799,20.3818,5461,13.4374,52,19.9531,140488.1
40000,2,293,12.83,0.00,0.14,0.18,12.51,0.00,1.00,0.000,0.043,185957.7,8288.6,3,48,3.52,1.00,1.00,1.1672,17.93,4394.7,26.2829,15.1291,5461,23.3236,187,7.4500,35393.0
50000,0,486,14.67,0.01,1.07,0.29,13.29,0.01,1.01,0.004,0.081,390918.9,71968.2,2,46,3.62,1.01,1.01,10.9800,287.67,97854.0,0.0114,15.6496,5462,6.0569,157,31.8366,231335.4
50000,1,434,15.15,0.85,0.89,0.30,13.11,0.11,1.17,0.028,0.075,326933.0,48005.8,2,51,3.65,1.29,1.03,7.2517,149.95,29236.3,5.7007,16.5923,5461,12.5449,71,25.1869,159897.4
50000,2,224,13.07,0.00,0.20,0.02,12.85,0.00,1.00,0.000,0.034,160675.7,10382.4,1,28,3.68,1.00,1.00,1.4919,90.41,4079.8,27.8434,11.3638,5461,21.7744,236,10.7456,47735.5
60000,0,585,14.51,0.02,0.59,0.48,13.42,0.00,1.01,0.000,0.097,376702.2,53408.5,2,39,3.52,1.00,1.01,8.0658,642.81,96525.9,0.0022,18.0292,5462,5.9219,1,24.8591,192260.9
60000,1,420,15.41,0.00,0.20,1.05,14.15,0.00,1.00,0.000,0.074,325882.7,44411.7,1,39,3.67,1.00,1.00,6.7140,102.19,30856.3,5.5929,15.4035,5461,12.2653,42,29.7202,170236.1
60000,2,227,12.82,0.00,0.19,0.24,12.38,0.00,1.01,0.000,0.033,146043.5,9907.1,1,33,3.52,1.01,1.01,1.4546,18.02,4479.6,29.7063,10.0966,5461,21.2891,296,11.1843,45831.8
70000,0,595,11.43,0.00,0.29,0.68,10.47,0.00,1.00,0.000,0.077,394306.1,64995.7,1,38,3.35,1.00,1.00,10.0174,297.02,98085.9,0.0000,18.0484,5462,6.2193,48,29.7556,209743.9
70000,1,476,12.80,0.01,0.36,0.13,12.31,0.00,1.00,0.000,0.071,326705.0,34804.2,1,52,3.49,1.00,1.00,5.0768,133.41,29451.7,2.8658,20.4859,5461,12.8811,75,18.1581,119552.4
70000,2,340,12.06,0.07,0.25,0.00,11.75,0.00,1.02,0.000,0.047,170180.8,10906.0,1,61,3.59,1.02,1.02,1.5783,10.18,4083.2,25.7205,12.9458,5461,22.3580,214,12.1124,40812.6
80000,0,667,11.11,0.03,0.51,0.79,9.78,0.00,1.01,0.000,0.086,411043.1,79523.0,5,23,3.12,1.01,1.01,12.1036,408.45,96911.4,0.0000,13.4211,5462,6.6511,6,36.2006,272098.8
80000,1,508,13.56,0.01,0.80,0.57,12.19,0.00,1.00,0.000,0.078,318461.6,46577.2,4,35,3.37,1.00,1.00,7.1707,290.64,30077.6,4.6538,15.2339,5461,13.7755,77,27.8781,164923.5
80000,2,277,12.62,0.01,0.20,0.14,12.26,0.00,1.01,0.000,0.040,231029.6,7273.9,1,45,3.58,1.01,1.01,0.9926,69.95,4930.2,15.8201,20.3794,5461,23.9104,183,7.2752,28161.9
90000,0,582,12.67,0.01,0.68,0.30,11.68,0.00,1.00,0.000,0.084,407499.8,69764.0,2,34,3.43,1.00,1.00,10.9052,244.93,97654.9,0.0000,16.0910,5462,6.0973,4,32.7587,242617.1
90000,1,388,17.62,0.01,0.66,1.04,15.90,0.00,1.00,0.000,0.078,298861.5,42659.5,2,53,3.87,1.00,1.00,6.4980,504.83,30188.0,5.5979,15.8575,5461,12.6285,128,23.8367,140502.3
90000,2,119,18.13,0.02,0.38,1.95,15.79,0.00,1.00,0.000,0.025,174516.5,8445.2,2,16,4.12,1.00,1.01,1.2014,51.36,3477.4,26.7151,14.1179,5461,21.9196,264,8.2910,34398.0
100000,0,635,12.06,0.12,0.86,0.26,10.82,0.00,1.04,0.002,0.087,382878.8,68105.4,3,37,3.33,1.02,1.04,10.3323,368.35,97886.8,0.0000,14.7533,5462,5.8742,5,31.6217,232028.3
100000,1,563,12.09,0.06,0.51,0.11,11.42,0.01,1.03,0.002,0.078,322716.3,48618.3,2,37,3.37,1.03,1.03,7.7829,396.34,30992.5,6.0544,13.7574,5461,12.1665,38,29.8522,183927.0
100000,2,411,13.05,0.00,0.14,0.34,12.58,0.00,1.00,0.000,0.061,150813.1,10479.3,1,50,3.78,1.00,1.00,1.4874,32.75,4210.8,31.3363,9.7799,5461,21.1176,75,10.7514,52319.9
110000,0,591,13.58,0.21,0.21,0.54,12.62,0.00,1.06,0.000,0.092,405821.9,68828.5,4,36,3.49,1.06,1.05,10.2121,348.63,98853.2,0.0000,17.8744,5462,6.8100,7,29.2067,221738.7
110000,1,469,14.07,0.01,0.11,0.86,13.09,0.00,1.01,0.000,0.076,326398.3,42930.2,2,52,3.62,1.01,1.01,6.2933,264.72,29993.1,3.2282,18.5281,5461,14.1047,151,23.8017,139479.9
110000,2,431,12.16,0.00,0.15,0.00,12.02,0.00,1.00,0.000,0.059,238115.1,7626.1,2,49,3.50,1.00,1.00,1.0746,51.86,3727.6,15.9640,21.0990,5461,24.4817,64,6.7884,28319.1
120000,0,595,12.81,0.01,0.25,0.18,12.36,0.00,1.01,0.000,0.087,430475.6,97682.1,4,35,3.37,1.01,1.02,14.3871,460.71,97689.6,0.0000,13.3093,5462,6.7847,16,37.7336,294070.1
120000,1,468,13.99,0.05,0.92,0.25,12.77,0.00,1.02,0.000,0.075,322484.4,42612.5,2,33,3.50,1.01,1.02,6.5039,326.06,30370.1,4.1460,17.6021,5461,14.0523,56,22.2521,144912.7
120000,2,319,13.62,0.10,0.40,0.44,12.69,0.00,1.03,0.003,0.050,227711.6,11535.2,1,43,3.59,1.03,1.01,1.5953,27.72,4489.9,19.2276,18.7954,5461,24.3908,140,8.1431,41113.7
130000,0,615,12.63,0.18,0.32,0.17,11.97,0.00,1.05,0.000,0.089,395027.2,71440.2,2,37,3.47,1.08,1.04,10.6900,341.31,97625.2,0.0000,15.1312,5462,6.2962,22,31.5834,239148.1
130000,1,451,11.49,0.02,0.04,0.14,11.29,0.00,1.01,0.000,0.059,333756.6,51032.1,1,58,3.19,1.01,1.01,7.8101,190.46,30260.6,6.4113,14.7098,5461,13.0405,205,28.8019,185517.2
130000,2,236,12.75,0.00,0.24,0.05,12.45,0.00,1.00,0.000,0.035,181790.5,9514.2,1,49,3.58,1.00,1.00,1.2927,21.10,3544.6,26.3230,13.6958,5461,22.6347,158,8.3721,45566.3
140000,0,507,13.41,0.00,0.48,0.57,12.36,0.00,1.00,0.000,0.079,390642.5,73134.5,6,36,3.42,1.00,1.00,11.4517,215.97,99269.2,0.0000,12.1171,5462,5.9186,53,38.2693,266929.2
140000,1,542,14.44,0.04,0.61,0.60,13.20,0.00,1.02,0.000,0.089,309981.8,50371.7,3,60,3.63,1.02,1.02,7.4337,441.21,29771.5,6.7553,13.4078,5461,12.2584,35,26.6351,174706.4
140000,2,345,11.49,0.00,0.13,0.00,11.35,0.00,1.01,0.000,0.045,161738.5,11092.0,3,45,3.46,1.01,1.01,1.6335,11.06,3729.1,30.9384,10.9686,5461,21.2772,128,10.4392,52261.8
150000,0,594,12.69,0.02,0.28,0.28,12.11,0.00,1.00,0.000,0.086,411909.1,65936.9,2,57,3.47,1.00,1.00,9.6004,370.71,96374.5,0.0000,17.4754,5462,6.7316,21,30.0263,231769.8
