step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations
10000,1151,1.806,0.547,4.82,94936,90615,1,0,4665,2006,805996.9,207696.4,0.109,0.705,0.054,0.131,111,15.75,11.31,0.40,2.61,0.43,2.49,0.76,3.94,14.17,8.78,0.00,0.00,0.018,0.107,194,0.217,0.136,0.834,0.000,0.030,184865,180807,1,1.000,0.000,0.070,665496,0.136,2.129,0.043,12.22,37612,0,103.538,0.000,0.164,4237159,1.11,14.93,0.002,0.003,0.000,6,14,30,64,18132,0.069,0.00,0.0049,0.044,180,0.667,0.000,0.713,0.513,3.35,4.42,4.27,0.01,0.005,1.07,1.14,1.11,0.667,0.00368,0.88,32.9849,829.46,128745.6,140227.1,30.643,75.7406,69.458,819.118,0.998,0.388,77.3,69.451,159.516,783,3302.8,35.56,36.121,120.096,4351.6,56.023,0.135,2.00
20000,1416,1.596,0.438,5.12,154151,146904,30,6,6946,947,861948.2,144253.5,0.213,0.633,0.022,0.132,142,12.84,10.02,0.76,4.35,0.27,2.05,0.37,2.11,11.44,7.12,0.00,0.00,0.011,0.077,233,0.100,0.129,0.845,0.000,0.027,213570,209756,1,1.000,0.000,0.045,458228,0.102,1.844,0.032,17.25,48175,69,152.327,0.500,0.133,5636818,1.20,16.57,0.005,0.000,0.000,6,10,26,64,18179,0.069,0.00,0.0053,0.031,248,0.598,0.000,0.892,0.325,3.03,3.84,3.98,0.02,0.013,1.18,1.27,1.19,0.598,0.00288,1.50,20.9499,627.52,130346.8,140227.8,38.130,44.7485,79.627,812.576,0.999,0.389,85.3,79.626,157.486,605,2417.6,32.08,21.558,106.962,3493.4,68.806,0.135,2.00
30000,1399,1.588,0.445,5.35,172060,164961,23,4,7089,847,912713.4,134835.1,0.272,0.603,0.016,0.109,150,12.87,9.71,0.85,3.86,0.27,1.48,0.15,1.26,11.60,7.48,0.00,0.13,0.016,0.069,254,0.162,0.162,0.803,0.000,0.035,222915,216045,1,0.995,0.005,0.024,486106,0.106,1.783,0.033,19.23,52043,466,159.191,0.750,0.124,5860125,1.24,16.04,0.004,0.006,0.001,6,9,23,64,18008,0.069,0.00,0.0056,0.054,229,0.575,0.000,0.909,0.279,3.13,3.49,4.58,0.04,0.011,1.18,1.31,1.26,0.575,0.00293,1.88,19.0815,528.72,130274.9,140228.2,37.429,39.1083,85.419,837.144,0.999,0.392,83.8,85.419,156.239,695,2686.8,49.39,21.193,105.300,3388.5,71.769,0.135,2.00
40000,1385,1.659,0.507,4.99,165445,159023,58,1,6377,853,901970.2,149195.9,0.268,0.590,0.023,0.119,147,12.47,10.26,0.86,3.85,0.16,1.58,0.36,2.00,11.09,7.88,0.00,0.00,0.006,0.060,235,0.147,0.139,0.825,0.000,0.037,227899,221429,1,0.985,0.015,0.046,555471,0.091,1.956,0.040,17.83,54844,1,174.907,1.000,0.131,5753259,1.25,15.64,0.006,0.001,0.000,6,8,24,64,17267,0.066,0.00,0.0059,0.040,223,0.598,0.000,0.910,0.315,3.13,4.03,4.30,0.02,0.008,1.16,1.32,1.26,0.599,0.00283,1.65,21.3671,549.62,129197.8,140228.9,36.234,41.7702,84.074,842.268,0.999,0.392,81.3,84.075,157.053,745,3040.0,33.86,20.971,108.119,4124.4,72.674,0.135,2.00
50000,1296,1.702,0.509,5.46,165090,158663,45,3,6468,994,889408.4,151040.1,0.243,0.588,0.061,0.109,145,13.63,9.85,0.70,3.75,0.62,3.06,0.36,2.40,11.95,7.38,0.00,0.00,0.029,0.115,239,0.127,0.103,0.863,0.000,0.034,236095,230198,1,0.974,0.026,0.051,410362,0.112,2.052,0.039,16.77,54911,28,151.952,1.000,0.151,6382343,1.19,12.83,0.005,0.002,0.000,6,10,23,64,17664,0.067,0.00,0.0057,0.023,213,0.630,0.000,0.918,0.335,3.46,3.52,6.17,0.04,0.023,1.13,1.24,1.21,0.630,0.00271,1.58,21.4928,791.98,129248.6,140228.9,35.871,43.4140,82.975,831.123,0.998,0.384,78.9,82.975,157.352,771,3185.3,40.55,20.058,109.619,3839.7,72.554,0.135,2.00
60000,1474,1.537,0.408,6.08,174434,167527,25,0,6704,472,911207.2,153379.5,0.203,0.596,0.074,0.127,146,11.69,9.13,0.16,1.55,0.23,2.17,0.09,1.07,11.22,8.54,0.00,0.00,0.013,0.074,221,0.098,0.158,0.811,0.000,0.031,244655,236551,2,0.569,0.424,0.012,399098,0.106,1.762,0.030,17.90,61790,0,324.957,0.000,0.117,6420422,1.05,15.85,0.001,0.000,0.000,6,9,22,64,17229,0.066,0.00,0.0055,0.041,294,0.614,0.000,0.911,0.323,2.94,4.50,3.61,0.00,0.001,1.06,1.06,1.06,0.614,0.00258,1.70,21.3584,611.49,130854.3,140229.1,36.433,40.2729,85.591,842.192,1.000,0.389,85.2,85.590,156.910,600,2265.2,42.72,20.743,107.807,3121.4,73.596,0.135,2.00
70000,1482,1.661,0.425,5.53,175611,168053,36,4,7510,730,919173.2,156906.7,0.189,0.589,0.067,0.154,149,12.39,9.46,0.71,3.80,0.35,2.23,0.22,1.71,11.12,6.88,0.00,0.00,0.019,0.088,236,0.138,0.149,0.816,0.000,0.035,244558,234517,1,0.818,0.182,0.026,324026,0.099,1.757,0.032,20.38,66689,99,214.941,0.500,0.159,5661844,1.18,15.55,0.007,0.006,0.000,5,10,23,64,18364,0.070,0.00,0.0056,0.044,280,0.578,0.000,0.894,0.323,3.08,4.84,3.44,0.03,0.020,1.13,1.24,1.17,0.578,0.00276,1.97,21.9627,607.35,130351.5,140230.1,37.986,38.0238,85.810,828.523,0.999,0.391,87.6,85.810,155.799,685,2451.1,35.72,21.436,103.504,3227.6,71.695,0.134,2.00
80000,1800,1.461,0.303,5.11,182936,174735,60,0,7823,1206,994962.5,140708.4,0.230,0.540,0.050,0.180,160,10.07,7.31,0.25,2.42,0.25,1.55,0.11,1.19,9.45,5.42,0.00,0.00,0.017,0.082,169,0.159,0.148,0.817,0.001,0.035,233329,224373,1,1.000,0.000,0.021,270674,0.120,1.461,0.019,30.38,56447,0,116.674,0.000,0.135,4459221,1.07,16.97,0.005,0.002,0.000,5,9,15,64,18121,0.069,0.00,0.0058,0.041,472,0.446,0.000,0.822,0.283,2.95,4.56,3.02,0.01,0.003,1.04,1.10,1.07,0.446,0.00261,5.69,19.3221,468.06,132178.5,140231.0,33.304,31.0576,93.973,772.791,0.935,0.394,98.3,93.972,140.504,425,1325.1,30.10,17.575,94.463,2215.4,68.730,0.135,2.00
90000,1812,1.505,0.309,5.70,179112,171396,88,4,7612,781,1029788.2,148550.1,0.210,0.544,0.047,0.199,163,9.91,7.91,0.34,2.46,0.28,1.69,0.13,1.60,9.16,5.87,0.00,0.00,0.017,0.084,177,0.177,0.174,0.801,0.000,0.025,232778,221655,1,0.583,0.417,0.012,336287,0.113,1.579,0.019,34.75,56834,24,190.205,1.000,0.120,4377968,1.08,17.19,0.004,0.002,0.000,5,8,14,64,17960,0.069,0.00,0.0062,0.037,501,0.414,0.000,0.735,0.302,2.90,4.45,3.00,0.03,0.009,1.04,1.12,1.08,0.414,0.00269,7.77,20.4109,593.18,131978.8,140232.2,30.407,28.7212,96.917,729.287,0.906,0.399,98.5,96.917,131.845,370,1202.1,37.34,15.304,90.908,2282.0,67.675,0.135,2.00
100000,1907,1.377,0.199,8.89,115316,110790,158,3,4270,185,950938.6,85459.8,0.075,0.548,0.052,0.325,159,7.15,4.49,0.14,1.25,0.01,0.21,0.19,1.39,6.80,3.41,0.00,0.00,0.001,0.014,135,0.523,0.197,0.782,0.000,0.021,134835,126682,2,0.907,0.078,0.038,518195,0.116,1.167,0.012,56.78,44534,471,461.945,0.333,0.049,3281011,1.04,19.53,0.000,0.000,0.000,5,6,9,54,13629,0.052,0.00,0.0073,0.082,343,0.283,0.000,0.419,0.287,2.39,3.08,3.18,0.00,0.001,1.02,1.06,1.05,0.283,0.00258,19.82,11.9006,248.62,133982.0,140232.3,26.794,25.6566,91.768,580.781,0.968,0.396,92.9,91.768,92.392,219,880.5,37.48,7.507,60.447,1187.4,38.268,0.135,2.00
