step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations
10000,1628,1.407,0.060,12.73,65490,62279,85,0,2935,2306,983888.8,75933.9,0.024,0.560,0.353,0.063,140,7.64,1.98,0.00,0.00,0.02,0.77,0.01,0.10,7.61,1.89,0.00,0.00,0.001,0.025,127,0.318,0.256,0.741,0.000,0.003,53023,43643,1,0.381,0.619,0.004,801867,0.148,0.074,0.000,85.56,30517,0,32.929,0.000,0.000,1641832,1.00,17.81,0.000,0.000,0.000,6,7,9,31,12432,0.047,2.06,0.0079,0.107,734,0.186,0.000,0.203,0.274,2.59,2.41,4.70,0.00,0.000,1.00,1.00,1.00,0.186,0.00488,32.47,11.5321,17.39,2803.1,139737.2,43.754,3.9277,95.253,425.574,0.498,0.000,133408.6,81.912,33.695,0,-0.0,1.57,32.351,0.000,0.0,0.000,0.135,2.00
20000,1669,1.374,0.051,12.72,40854,38359,284,0,2170,1,822783.2,9445.2,0.000,0.490,0.506,0.003,168,7.63,2.42,0.03,0.66,0.02,0.46,0.03,0.60,7.55,2.15,0.00,0.00,0.001,0.022,125,0.161,0.277,0.719,0.000,0.004,7703,3350,1,0.986,0.014,0.006,153188,0.106,0.084,0.000,82.06,15701,0,9445.152,0.000,0.000,701334,1.01,16.29,0.000,0.000,0.000,6,7,10,42,12738,0.049,0.00,0.0065,0.107,735,0.088,0.000,0.138,0.000,2.79,1.95,6.32,0.00,0.001,1.00,1.01,1.01,0.088,0.00343,39.39,1.0982,18.71,2975.7,139737.3,42.397,0.1535,81.917,293.599,0.524,0.000,133376.2,81.920,6.521,2,8.9,5.87,0.109,0.000,0.0,0.000,0.139,1.99
30000,1611,1.413,0.049,12.71,40056,37688,371,0,2055,0,824923.4,9159.8,0.001,0.490,0.508,0.002,167,7.82,2.25,0.02,0.65,0.03,0.96,0.03,0.53,7.74,1.91,0.00,0.00,0.002,0.037,116,0.351,0.256,0.741,0.000,0.003,7612,2940,2,0.528,0.358,0.005,103302,0.111,0.067,0.000,82.04,15431,0,9159.805,0.000,0.000,794588,1.01,15.66,0.000,0.000,0.000,6,7,10,38,12604,0.048,0.01,0.0066,0.115,698,0.098,0.000,0.120,0.000,3.00,2.06,6.91,0.00,0.000,1.00,1.01,1.01,0.098,0.00343,42.37,1.0681,19.42,3335.5,139737.4,39.430,0.1519,81.890,320.669,0.553,0.000,133071.4,81.920,6.342,1,1.7,2.00,0.216,0.000,0.0,0.000,0.131,2.00
40000,1559,1.409,0.046,12.84,37739,35733,389,0,1669,1,825865.6,8837.5,0.001,0.478,0.520,0.001,165,8.38,2.10,0.05,0.94,0.03,0.53,0.00,0.03,8.30,1.93,0.00,0.00,0.002,0.039,95,0.192,0.259,0.733,0.000,0.008,6302,2941,4,0.726,0.055,0.001,97070,0.109,0.076,0.000,82.05,14812,0,8837.503,0.000,0.000,670973,1.02,14.56,0.000,0.000,0.000,7,8,10,33,13072,0.050,0.02,0.0064,0.107,676,0.087,0.000,0.114,0.000,3.09,2.04,7.06,0.00,0.000,1.01,1.02,1.03,0.087,0.00363,43.61,1.0311,16.15,3470.5,139737.5,38.153,0.1476,81.918,341.291,0.557,0.000,133054.0,81.920,6.160,1,6.4,6.40,0.263,0.000,0.0,0.000,0.136,2.00
50000,1569,1.436,0.049,12.84,35874,33988,404,0,1472,10,826059.4,8496.4,0.002,0.462,0.536,0.001,163,8.22,2.30,0.03,0.58,0.05,1.01,0.01,0.25,8.13,2.00,0.00,0.00,0.003,0.047,116,0.205,0.245,0.753,0.000,0.002,5188,2959,5,0.866,0.010,0.003,71923,0.115,0.184,0.001,82.06,14568,0,849.636,0.000,0.000,505837,1.01,14.94,0.000,0.001,0.000,6,8,10,37,12894,0.049,0.04,0.0065,0.119,684,0.069,0.000,0.106,0.000,3.06,1.91,7.11,0.00,0.000,1.00,1.01,1.01,0.069,0.00360,43.92,0.9954,16.84,3482.9,139737.5,37.822,0.1457,81.908,346.989,0.554,0.000,132937.3,81.920,6.229,20,93.1,8.00,0.299,0.000,0.0,0.000,0.131,2.00
60000,1601,1.417,0.043,12.71,35379,33517,448,0,1382,13,826077.0,8375.1,0.002,0.450,0.548,0.000,165,8.19,2.28,0.06,0.90,0.03,0.78,0.02,0.54,8.07,1.88,0.00,0.10,0.003,0.042,99,0.182,0.255,0.741,0.000,0.004,4771,2891,3,0.994,0.000,0.004,55545,0.118,0.111,0.000,82.06,13961,0,644.236,0.000,0.000,482895,1.02,14.96,0.000,0.000,0.001,6,8,10,46,13111,0.050,0.02,0.0064,0.129,674,0.067,0.000,0.099,0.000,3.11,1.88,7.24,0.00,0.001,1.01,1.02,1.02,0.067,0.00341,44.35,0.9802,12.38,3521.3,139737.6,37.414,0.1433,81.924,351.487,0.556,0.000,132974.2,81.920,5.947,5,24.8,7.96,0.272,0.000,0.0,0.000,0.137,2.00
70000,1597,1.407,0.050,12.67,36147,34333,464,0,1354,7,826637.9,8639.7,0.004,0.460,0.535,0.001,164,8.21,2.35,0.08,1.00,0.05,0.51,0.02,0.31,8.07,2.01,0.00,0.00,0.004,0.052,120,0.177,0.252,0.743,0.000,0.005,5540,3403,1,0.995,0.005,0.003,59538,0.119,0.223,0.001,82.07,14409,0,1234.245,0.000,0.000,562314,1.03,14.91,0.000,0.001,0.000,6,8,10,37,13115,0.050,0.10,0.0064,0.130,668,0.076,0.000,0.100,0.000,3.12,1.93,7.31,0.00,0.001,1.02,1.03,1.04,0.076,0.00349,44.34,1.0163,11.75,3540.5,139737.6,37.329,0.1523,81.910,353.338,0.560,0.000,132868.8,81.920,7.104,27,123.4,8.00,0.720,0.000,0.0,0.000,0.134,2.01
80000,1606,1.431,0.067,12.66,36588,34844,403,0,1332,10,826844.6,8636.2,0.004,0.466,0.530,0.001,164,8.08,2.56,0.08,1.04,0.03,0.73,0.02,0.48,7.95,2.06,0.00,0.00,0.002,0.031,108,0.289,0.247,0.747,0.000,0.006,5999,3163,1,0.991,0.009,0.003,57204,0.117,0.386,0.003,82.07,14367,0,863.624,0.000,0.000,609828,1.03,15.21,0.000,0.000,0.000,6,7,10,38,12981,0.050,0.11,0.0065,0.122,680,0.080,0.000,0.100,0.001,3.14,1.96,7.27,0.00,0.001,1.01,1.03,1.03,0.080,0.00344,44.53,1.0132,11.03,3518.5,139737.6,37.131,0.1497,81.890,352.384,0.557,0.000,132565.7,81.920,6.943,67,356.0,8.00,0.704,0.000,0.0,0.000,0.137,1.99
90000,1619,1.421,0.086,12.57,39244,37349,407,0,1475,23,826049.4,9143.0,0.007,0.472,0.519,0.002,161,8.05,3.90,0.09,1.39,0.04,0.82,0.02,0.47,7.89,3.62,0.00,0.00,0.003,0.045,113,0.372,0.235,0.760,0.000,0.006,7832,4084,1,0.994,0.006,0.003,58613,0.124,0.499,0.005,82.08,15400,0,397.523,0.000,0.001,807951,1.03,15.42,0.000,0.000,0.000,6,7,10,56,13029,0.050,0.22,0.0065,0.127,678,0.103,0.000,0.101,0.002,3.15,2.01,7.34,0.00,0.001,1.02,1.03,1.04,0.103,0.00333,44.22,1.0800,19.93,3586.1,139737.7,37.315,0.1649,81.882,355.722,0.567,0.000,132183.9,81.920,8.600,120,622.8,8.00,1.609,0.000,0.0,0.000,0.131,2.01
100000,1593,1.410,0.094,12.70,40458,38592,386,0,1506,29,827375.3,9203.9,0.011,0.476,0.511,0.002,159,7.83,2.51,0.08,0.98,0.06,1.30,0.01,0.40,7.68,1.74,0.00,0.05,0.003,0.047,112,0.436,0.245,0.751,0.000,0.003,8516,4588,1,0.976,0.024,0.003,63329,0.115,0.579,0.006,82.08,15764,0,317.374,0.000,0.000,910523,1.02,15.42,0.000,0.000,0.001,6,7,10,50,12469,0.048,0.25,0.0068,0.127,676,0.114,0.000,0.103,0.002,3.20,1.97,7.51,0.00,0.001,1.01,1.02,1.03,0.114,0.00335,44.26,1.0932,14.67,3700.2,139737.7,37.246,0.1734,81.902,361.879,0.573,0.000,132001.6,81.920,10.113,128,783.0,8.00,2.146,0.000,0.0,0.000,0.135,1.99
