step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake
10000,0,325,19.76,1.88,2.19,1.57,14.12,0.01,1.36,0.009,0.073,300258.1,76294.4,1,10,5.34,1.54,1.43,12.7669,435.76,100096.8,0.0722,3.0957,5462,19.6843,244,51.7577,228024.1
10000,1,346,20.98,2.21,1.69,0.95,16.12,0.00,1.39,0.000,0.083,274413.2,64077.5,1,15,5.82,1.51,1.46,11.0345,498.33,24541.8,6.3582,3.1433,5461,19.6807,189,46.3676,202037.4
10000,2,75,25.36,2.37,2.20,0.33,20.45,0.00,1.40,0.000,0.022,123277.3,28320.6,1,8,6.48,1.43,1.54,4.8099,85.72,2509.0,31.8952,3.2316,5461,19.6807,394,17.0627,49543.1
20000,0,329,26.02,4.38,1.66,2.05,17.93,0.08,2.00,0.024,0.098,312798.8,77443.4,1,21,6.67,2.17,2.25,13.3575,429.77,99413.0,0.0000,2.6217,5462,18.4339,216,52.1009,287723.4
20000,1,301,23.54,3.28,1.06,0.73,18.47,0.01,1.73,0.003,0.081,268756.2,57723.9,1,19,5.87,1.88,1.92,9.9291,542.83,26169.8,7.4230,3.0351,5461,18.4305,200,46.8683,240410.2
20000,2,80,21.29,1.55,1.55,0.43,17.76,0.00,1.26,0.000,0.019,70452.8,6075.9,1,10,6.22,1.36,1.36,1.0830,32.31,2546.6,36.5519,3.4513,5461,18.4305,344,10.9379,35961.5
30000,0,374,26.87,7.48,0.87,0.71,17.81,0.05,2.71,0.013,0.115,327499.5,67506.9,1,15,7.38,3.11,3.11,10.9921,480.96,97989.7,0.0000,1.8509,5462,20.6512,182,49.7806,308252.7
30000,1,321,23.03,4.34,0.63,0.68,17.38,0.01,1.84,0.003,0.083,304527.3,67652.7,1,12,6.86,1.91,1.86,11.1952,299.66,27080.6,6.8002,2.4754,5461,20.6474,192,50.0188,278725.6
30000,2,124,21.02,2.31,0.79,1.76,16.16,0.00,1.41,0.000,0.031,81363.5,7302.5,1,13,6.52,1.57,1.59,1.2941,51.57,3162.5,34.0995,3.5619,5461,20.6474,333,14.3607,46065.4
40000,0,365,25.08,6.36,0.38,0.49,17.85,0.00,2.38,0.003,0.106,371527.0,78652.2,1,13,7.16,2.59,2.61,12.3578,458.26,98692.9,0.0000,1.5113,5462,22.6103,185,53.7460,354105.2
40000,1,405,21.77,4.77,0.39,0.25,16.36,0.01,2.10,0.002,0.099,301397.3,62296.5,1,13,6.83,2.26,2.25,9.7220,320.62,25843.2,5.4708,1.9554,5461,22.6062,213,46.3977,281971.5
40000,2,146,22.52,4.45,0.18,0.44,17.45,0.03,1.82,0.007,0.039,93499.0,8752.0,1,11,7.42,1.77,1.81,1.4808,90.38,2985.9,34.7129,3.4506,5461,22.6062,409,15.6714,59593.2
50000,0,402,26.06,8.93,0.12,0.07,16.95,0.00,3.11,0.000,0.119,365022.8,77266.0,1,18,7.38,3.67,3.62,12.1229,506.55,98830.2,0.0000,1.3635,5462,24.0705,155,51.7542,348768.8
50000,1,323,24.87,6.26,0.21,0.37,18.02,0.00,2.46,0.000,0.093,355394.6,81217.4,1,13,7.52,2.79,2.75,12.1804,353.61,26304.5,6.8494,1.6306,5461,24.0661,175,49.3551,336142.1
50000,2,93,21.44,4.67,0.26,0.13,16.39,0.00,2.05,0.000,0.022,97190.9,10743.7,1,8,7.09,2.22,1.98,1.6888,36.99,3203.5,33.0760,3.2501,5461,24.0661,347,15.6298,64339.4
60000,0,383,24.88,6.37,0.33,0.64,17.54,0.01,2.49,0.003,0.109,385457.2,81069.6,1,17,7.26,2.57,2.61,12.1510,366.11,97806.7,0.0000,1.2798,5462,24.3489,177,53.5780,370353.8
60000,1,352,22.29,4.54,0.19,0.66,16.89,0.00,2.05,0.000,0.089,331718.4,69684.2,1,12,7.17,2.14,2.25,10.3399,331.31,26065.9,7.3672,1.7678,5461,24.3445,224,47.3031,312999.9
60000,2,131,27.17,6.31,0.57,0.06,20.22,0.03,2.41,0.008,0.042,97052.9,10761.2,1,13,7.97,3.00,2.53,1.7382,114.37,3019.5,30.3832,3.1992,5461,24.3445,444,18.0126,65865.0
70000,0,390,25.09,5.81,0.07,0.63,18.58,0.01,2.34,0.003,0.111,368881.5,78849.8,1,9,7.46,2.62,2.73,11.9082,381.27,98553.4,0.0000,1.3928,5462,24.0685,164,52.8751,352177.0
70000,1,379,23.73,3.92,0.01,0.27,19.53,0.00,1.94,0.000,0.103,343126.7,80162.2,1,10,7.26,2.08,2.12,11.8921,332.90,26385.4,6.8750,1.7274,5461,24.0641,210,48.2626,326163.1
70000,2,154,24.82,3.88,0.14,0.29,20.51,0.03,2.05,0.006,0.045,96970.8,10877.4,1,9,7.06,2.24,2.24,1.6816,81.97,3526.2,33.5395,3.2678,5461,24.0641,337,14.9950,63745.7
80000,0,462,23.60,5.17,0.14,0.28,18.00,0.01,2.20,0.002,0.124,364074.8,86107.6,1,19,7.41,2.42,2.46,12.9415,477.18,98847.5,0.0000,1.3804,5462,24.8331,142,51.7064,348923.6
80000,1,386,22.77,3.62,0.08,0.43,18.65,0.01,1.89,0.003,0.103,371870.2,95673.1,1,11,6.93,2.09,2.08,13.7875,414.72,26639.0,6.9881,1.7186,5461,24.8286,156,48.8864,353204.3
80000,2,124,24.40,4.02,0.40,0.10,19.88,0.05,1.97,0.024,0.033,102987.2,12290.5,1,15,7.52,2.18,2.22,1.8842,61.79,3403.3,33.5185,3.3639,5461,24.8286,369,15.3631,69828.7
90000,0,456,22.28,3.29,0.07,0.36,18.55,0.00,1.87,0.002,0.116,359732.2,91549.6,1,20,6.86,2.18,2.02,13.4707,445.56,100833.7,0.0000,1.5368,5462,24.5109,143,50.6403,342896.9
90000,1,347,25.23,3.06,0.24,0.19,21.75,0.00,1.65,0.000,0.100,367074.6,90693.9,1,14,7.09,1.92,1.54,13.4850,409.79,25587.6,6.9537,1.8912,5461,24.5064,174,48.8069,346615.3
90000,2,103,27.68,1.75,0.06,0.00,25.87,0.00,1.36,0.000,0.033,104303.6,11518.9,1,9,7.71,1.41,1.40,1.7581,40.95,2776.1,35.1198,3.4414,5461,24.5064,356,14.5100,69918.9
100000,0,348,24.74,4.99,0.64,0.49,18.62,0.04,2.14,0.009,0.100,371053.8,95539.4,1,16,7.36,2.58,2.09,14.2400,428.75,99533.4,0.0000,1.4175,5462,24.1059,155,51.5902,356449.4
100000,1,383,23.41,3.59,0.45,0.42,18.96,0.04,1.76,0.010,0.101,346991.4,82937.0,1,13,6.86,1.93,1.59,12.3064,512.60,25653.9,6.9818,1.8499,5461,24.1014,180,47.9447,327089.8
100000,2,103,26.26,3.41,0.00,0.12,22.74,0.00,1.73,0.000,0.031,99724.8,11061.6,1,5,7.86,1.95,1.69,1.7353,57.94,2983.4,34.0178,3.4578,5461,24.1014,390,15.6600,65434.9
110000,0,425,24.12,4.02,0.30,0.17,19.64,0.01,1.93,0.002,0.118,386553.0,95002.4,1,11,7.26,2.37,1.81,14.2179,519.48,99428.3,0.0000,1.3475,5462,25.4039,126,52.1633,371848.4
110000,1,437,23.53,4.91,0.00,0.30,18.32,0.00,2.09,0.000,0.116,371066.0,92663.2,1,17,7.18,2.55,1.89,13.5638,427.04,26071.5,6.6082,1.6513,5461,25.3992,163,49.8273,352915.6
110000,2,120,22.40,5.35,0.00,0.43,16.62,0.00,2.14,0.000,0.031,104035.2,10824.1,1,16,7.13,2.59,2.00,1.7191,45.44,3170.5,32.1311,3.4090,5461,25.3992,349,15.7779,69746.9
120000,0,410,25.59,4.45,0.50,0.24,20.39,0.01,1.95,0.005,0.121,383774.0,99409.1,1,6,7.19,2.40,1.62,14.6293,525.49,97061.4,0.0000,1.3841,5462,24.9703,143,51.3950,369161.0
120000,1,362,25.28,6.04,0.45,0.33,18.47,0.10,2.23,0.028,0.104,362473.6,88418.5,1,15,7.47,2.77,1.79,13.2205,428.58,27278.7,5.7301,1.5186,5461,24.9657,230,51.0808,346307.8
120000,2,101,27.45,5.02,0.12,0.81,21.50,0.04,1.85,0.010,0.031,100784.9,10198.0,1,12,8.02,2.26,1.25,1.6166,32.77,2885.5,32.5943,3.0719,5461,24.9657,436,16.1833,70826.6
130000,0,384,22.55,3.89,0.25,0.27,18.15,0.00,1.93,0.000,0.099,387590.9,103005.4,1,16,6.96,2.34,1.83,15.1863,425.01,99409.4,0.0000,1.3634,5462,24.9963,162,51.0129,372630.9
