step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake
100000,0,344,7.61,0.09,0.01,0.00,7.51,0.00,1.02,0.000,0.030,175487.6,2350.3,1,180,3.24,1.01,1.03,0.3096,6.28,480.0,27.9781,17.4134,5462,12.2890,125,0.0000,0.0
100000,1,573,7.56,0.10,0.01,0.00,7.45,0.00,1.03,0.000,0.050,297844.8,2929.6,1,22,3.17,1.02,1.03,0.3399,2.88,870.8,9.0498,29.3556,5461,25.4526,1,0.0000,0.0
100000,2,676,8.16,0.05,0.12,0.03,7.96,0.00,1.01,0.001,0.063,362273.8,3926.7,1,55,3.20,1.00,1.01,0.4437,5.50,2349.4,0.2185,35.3130,5461,44.1785,2,0.0000,0.0
110000,0,348,7.74,0.09,0.03,0.01,7.61,0.00,1.02,0.000,0.031,178962.9,2105.5,2,178,3.27,1.01,1.03,0.2713,3.97,513.0,27.1083,17.6586,5462,12.2890,24,0.0000,0.0
110000,1,568,7.65,0.15,0.06,0.05,7.40,0.00,1.06,0.000,0.049,297017.0,2796.9,2,29,3.18,1.04,1.06,0.3253,5.16,881.9,8.7806,29.2649,5461,25.4526,0,0.0000,0.0
110000,2,689,7.70,0.04,0.01,0.03,7.63,0.00,1.02,0.000,0.061,360751.8,3952.7,2,67,3.11,1.01,1.02,0.4484,4.87,2348.0,0.2280,35.1519,5461,44.1785,0,0.0000,0.0
120000,0,371,7.63,0.11,0.02,0.01,7.49,0.00,1.03,0.000,0.032,179487.3,1903.2,4,161,3.21,1.01,1.04,0.2469,9.17,533.9,26.5931,17.7989,5462,12.2890,77,0.0000,0.0
120000,1,578,7.35,0.04,0.01,0.01,7.30,0.00,1.02,0.000,0.049,296751.0,2662.6,4,21,3.20,1.02,1.02,0.3104,7.20,901.6,8.5291,29.2606,5461,25.4526,0,0.0000,0.0
120000,2,683,8.09,0.06,0.03,0.05,7.96,0.00,1.02,0.000,0.063,359164.5,3884.4,4,46,3.25,1.01,1.03,0.4375,8.13,2380.7,0.1663,35.0022,5461,44.1785,1,0.0000,0.0
130000,0,340,7.88,0.10,0.00,0.07,7.71,0.00,1.03,0.000,0.031,181768.0,2319.3,2,162,3.33,1.01,1.03,0.3025,6.07,574.6,26.7531,18.0140,5462,12.2890,133,0.0000,0.0
130000,1,575,7.73,0.08,0.05,0.00,7.61,0.00,1.02,0.000,0.051,297106.9,2663.3,2,23,3.32,1.02,1.03,0.3124,3.76,930.2,8.4061,29.2953,5461,25.4526,1,0.0000,0.0
130000,2,675,8.10,0.02,0.05,0.01,8.01,0.00,1.01,0.000,0.063,357059.2,3911.2,2,54,3.27,1.00,1.01,0.4396,4.58,2434.0,0.1503,34.7648,5461,44.1785,0,0.0000,0.0
140000,0,385,8.18,0.27,0.04,0.04,7.84,0.00,1.08,0.000,0.037,183891.0,2397.3,2,160,3.31,1.05,1.09,0.3177,9.82,609.1,26.4880,18.1559,5462,12.2890,61,0.0000,0.0
140000,1,575,7.59,0.04,0.02,0.00,7.53,0.00,1.01,0.000,0.050,297299.9,2829.8,2,27,3.27,1.00,1.01,0.3340,6.55,960.6,8.3355,29.3120,5461,25.4526,1,0.0000,0.0
140000,2,670,8.24,0.07,0.07,0.01,8.09,0.01,1.02,0.004,0.063,355326.6,3777.8,2,43,3.30,1.02,1.02,0.4240,2.80,2440.7,0.1422,34.6198,5461,44.1785,0,0.0000,0.0
150000,0,358,8.08,0.04,0.04,0.00,7.99,0.00,1.02,0.000,0.033,185324.1,2221.7,3,163,3.35,1.02,1.02,0.2895,9.86,549.3,25.8883,18.3572,5462,12.2890,65,0.0000,0.0
150000,1,562,7.57,0.03,0.00,0.01,7.53,0.00,1.01,0.000,0.049,296214.4,2575.2,3,29,3.32,1.00,1.01,0.2982,2.46,973.0,8.2829,29.2080,5461,25.4526,0,0.0000,0.0
150000,2,673,8.25,0.11,0.01,0.07,8.07,0.00,1.04,0.000,0.063,354361.4,3812.1,3,53,3.35,1.03,1.04,0.4275,7.17,2433.3,0.1308,34.5147,5461,44.1785,2,0.0000,0.0
160000,0,379,7.84,0.03,0.00,0.00,7.82,0.00,1.01,0.000,0.034,185337.6,2205.9,3,167,3.26,1.00,1.01,0.2856,4.40,633.1,25.7629,18.3404,5462,12.2890,29,0.0000,0.0
160000,1,567,7.66,0.07,0.00,0.04,7.54,0.00,1.02,0.000,0.050,296206.4,2639.4,3,22,3.26,1.02,1.02,0.3071,3.53,955.4,8.3657,29.2074,5461,25.4526,0,0.0000,0.0
