step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations
10000,617,2.640,0.678,6.37,55709,55040,14,3,1540,1802,652707.7,171548.2,0.158,0.558,0.144,0.140,73,32.85,10.65,3.51,7.26,0.62,3.39,1.44,3.59,27.28,10.47,0.00,0.00,0.017,0.079,190,0.120,0.053,0.917,0.000,0.029,128920,126165,1,0.911,0.089,0.198,1272329,0.140,2.493,0.056,9.18,36176,12,95.199,1.000,0.277,2642351,1.49,0.68,0.010,0.013,0.000,21,31,47,64,20269,0.077,0.00,0.0039,0.010,60,0.772,0.000,0.434,0.581,7.63,7.88,7.91,0.03,0.015,1.35,1.68,1.47,0.772,0.00403,0.78,27.7958,986.06,127016.1,140221.0,34.714,85.5336,55.524,709.692,0.997,0.383,62.3,55.518,159.638,881,4142.0,33.01,29.083,119.172,5528.3,43.618,0.137,1.99
20000,811,2.323,0.570,6.95,89133,86231,186,0,2522,418,789477.4,205585.6,0.058,0.646,0.191,0.105,93,26.26,11.20,4.41,7.16,0.17,1.32,0.73,3.09,20.96,9.42,0.00,0.00,0.010,0.081,258,0.065,0.047,0.926,0.000,0.027,187838,187098,1,0.858,0.142,0.115,1164922,0.071,2.257,0.047,8.10,45817,0,491.832,0.000,0.224,5084951,1.57,2.35,0.005,0.000,0.000,14,25,41,64,21297,0.081,0.00,0.0046,0.022,102,0.846,0.000,0.363,0.539,6.78,7.82,7.61,0.01,0.014,1.37,1.64,1.64,0.846,0.00269,0.93,30.9805,992.61,128505.4,140220.5,38.185,56.0807,68.798,727.424,0.998,0.355,70.2,68.797,160.574,747,3714.3,46.72,10.876,116.625,4195.9,71.064,0.136,2.00
30000,806,2.443,0.569,6.56,97300,93979,324,0,3002,408,819022.9,205181.2,0.051,0.615,0.228,0.106,92,27.94,10.79,4.98,8.05,0.48,2.65,0.33,2.09,22.14,9.11,0.00,0.00,0.015,0.072,200,0.145,0.041,0.933,0.000,0.026,198769,197808,1,0.483,0.517,0.087,767528,0.057,2.228,0.047,7.77,47357,0,502.895,0.000,0.258,5731377,1.61,1.34,0.022,0.006,0.000,16,29,38,64,22518,0.086,0.00,0.0046,0.021,132,0.863,0.000,0.446,0.523,7.45,7.89,7.87,0.03,0.011,1.46,1.54,1.72,0.863,0.00236,1.02,30.2459,1021.87,128407.4,140219.9,37.529,52.6994,72.585,739.254,0.999,0.362,72.3,72.585,160.501,764,3809.9,35.29,9.656,117.527,4059.5,74.520,0.134,2.00
40000,887,2.331,0.551,7.05,104647,100950,382,0,3234,283,867913.7,225683.2,0.054,0.625,0.205,0.116,93,25.76,10.09,4.51,7.16,0.17,0.99,0.23,1.68,20.85,9.00,0.00,0.00,0.007,0.040,248,0.116,0.050,0.938,0.000,0.012,210263,209501,2,0.391,0.589,0.059,575689,0.070,2.275,0.044,7.28,50049,0,797.467,0.000,0.281,5878811,1.69,2.13,0.007,0.002,0.000,12,25,35,64,22847,0.087,0.00,0.0047,0.020,108,0.865,0.000,0.344,0.515,7.10,7.81,7.89,0.04,0.011,1.43,1.88,1.73,0.865,0.00235,1.04,32.4875,1050.68,128584.8,140219.3,37.066,48.4259,77.324,759.447,0.998,0.349,76.6,77.323,160.638,698,3393.6,40.12,9.196,118.447,4180.6,79.882,0.134,2.00
50000,865,2.211,0.554,7.02,105904,102286,399,0,3241,483,871792.0,234976.4,0.051,0.624,0.222,0.104,92,24.35,9.75,3.55,6.53,0.16,1.02,0.32,1.71,20.32,7.96,0.00,0.07,0.010,0.072,241,0.135,0.036,0.946,0.000,0.018,219084,218240,1,0.894,0.106,0.066,422299,0.078,2.245,0.047,7.39,52725,0,486.494,0.000,0.286,5894139,1.47,2.68,0.007,0.005,0.001,13,23,33,64,21064,0.080,0.00,0.0050,0.023,111,0.859,0.000,0.385,0.529,6.93,7.70,7.55,0.01,0.002,1.54,1.41,1.47,0.859,0.00247,0.99,33.9484,1049.84,128745.2,140219.0,37.194,48.4719,77.200,766.073,0.997,0.367,71.2,77.200,160.755,710,3439.6,39.14,9.142,118.264,4190.5,80.196,0.134,2.00
60000,908,2.272,0.484,7.41,100567,97151,384,0,2989,307,846456.8,223099.6,0.032,0.631,0.225,0.112,94,23.15,9.55,3.27,5.88,0.48,2.26,0.58,2.22,18.81,7.96,0.00,0.00,0.030,0.130,241,0.080,0.039,0.926,0.000,0.035,210354,209363,2,0.648,0.162,0.182,934373,0.064,2.145,0.039,7.08,49497,0,726.709,0.000,0.229,5760758,1.43,2.48,0.007,0.004,0.000,13,22,33,64,21019,0.080,0.00,0.0050,0.011,123,0.859,0.000,0.393,0.534,6.73,7.64,7.60,0.02,0.011,1.35,1.43,1.48,0.859,0.00226,0.98,32.5989,978.22,129725.1,140218.7,37.067,51.0750,74.818,757.883,0.999,0.365,73.0,74.818,160.797,560,2827.7,36.00,8.855,118.712,3763.1,77.938,0.135,2.00
70000,922,2.163,0.520,7.69,106835,103061,376,0,3384,254,879381.3,243836.2,0.031,0.601,0.259,0.109,94,23.37,10.01,3.15,6.24,0.12,1.10,0.44,1.82,19.66,8.07,0.00,0.00,0.009,0.077,262,0.068,0.037,0.937,0.000,0.026,230973,230063,3,0.412,0.358,0.106,1501295,0.068,2.213,0.042,7.25,55563,0,959.985,0.000,0.252,5952578,1.42,2.65,0.003,0.001,0.000,10,22,35,64,21544,0.082,0.00,0.0049,0.025,126,0.854,0.000,0.432,0.549,6.68,7.61,7.67,0.01,0.007,1.34,1.46,1.44,0.854,0.00226,1.04,35.1951,925.34,129190.3,140218.0,38.666,46.4638,77.613,774.330,0.998,0.373,74.6,77.613,160.710,689,3317.3,43.88,8.414,116.877,3883.5,81.177,0.134,2.00
80000,1038,2.189,0.491,8.04,108654,104661,361,1,3515,470,894626.7,246877.2,0.032,0.589,0.267,0.113,91,22.45,9.62,2.51,4.75,0.37,1.95,0.45,2.41,19.11,8.08,0.00,0.00,0.016,0.089,311,0.063,0.022,0.949,0.000,0.029,235192,234211,3,0.397,0.184,0.086,949798,0.084,2.113,0.042,7.34,59625,50,525.271,0.000,0.248,6045285,1.36,2.90,0.001,0.003,0.000,9,21,34,64,23301,0.089,0.00,0.0045,0.013,135,0.858,0.000,0.487,0.549,6.60,7.72,7.76,0.01,0.006,1.24,1.47,1.37,0.858,0.00191,1.04,35.5415,906.50,129354.9,140217.5,36.884,46.8786,79.058,786.992,0.998,0.376,81.1,79.058,160.808,622,3136.9,34.58,8.900,118.581,3693.1,82.540,0.135,2.00
90000,1018,2.320,0.485,7.89,108405,104593,381,0,3451,260,896081.6,256744.3,0.030,0.622,0.247,0.102,91,25.05,10.49,2.44,4.90,0.07,0.59,0.79,3.10,21.74,10.26,0.00,0.05,0.004,0.035,333,0.059,0.028,0.955,0.000,0.017,238190,236836,2,0.655,0.282,0.107,1081556,0.096,2.139,0.040,7.15,60493,0,987.478,0.000,0.276,6531728,1.36,2.22,0.003,0.004,0.003,14,23,37,64,25497,0.097,0.00,0.0040,0.015,209,0.869,0.000,0.437,0.555,7.10,7.87,7.74,0.01,0.006,1.30,1.37,1.38,0.869,0.00192,1.00,36.5152,1254.56,129313.6,140217.0,37.141,46.4281,79.264,789.768,0.997,0.370,85.3,79.264,160.874,593,2984.8,37.67,8.613,118.545,3346.6,82.916,0.134,2.00
100000,1096,2.143,0.441,7.42,107370,103455,382,0,3455,464,879393.8,246869.8,0.024,0.636,0.250,0.090,91,21.89,10.24,2.41,4.43,0.21,1.84,0.61,3.43,18.65,8.26,0.02,0.30,0.007,0.052,293,0.071,0.035,0.940,0.000,0.026,229752,228646,4,0.745,0.105,0.067,755687,0.090,1.970,0.039,7.34,58811,0,532.047,0.000,0.228,6557202,1.27,3.74,0.002,0.006,0.006,8,20,33,64,23994,0.092,0.00,0.0043,0.023,199,0.868,0.000,0.419,0.544,6.63,7.61,7.71,0.03,0.009,1.18,1.18,1.36,0.868,0.00181,1.03,34.9223,1017.34,130070.6,140216.6,37.850,46.8416,78.196,773.625,0.999,0.378,84.5,78.197,160.699,544,2872.3,34.37,8.978,117.620,3059.6,81.026,0.135,2.01
110000,1026,2.271,0.501,7.40,108112,104002,420,0,3760,834,886530.2,250918.3,0.024,0.655,0.221,0.099,92,23.08,10.35,2.33,5.25,0.26,1.47,0.31,1.42,20.17,9.58,0.00,0.06,0.011,0.060,297,0.069,0.034,0.944,0.000,0.021,234987,233867,3,0.790,0.041,0.079,772918,0.082,2.092,0.043,7.21,58603,0,300.861,0.000,0.230,6877872,1.33,2.95,0.004,0.002,0.004,9,22,35,64,23678,0.090,0.00,0.0043,0.013,173,0.871,0.000,0.437,0.551,6.69,7.74,7.73,0.00,0.005,1.27,1.30,1.38,0.871,0.00196,1.00,35.5081,1164.05,129123.4,140215.7,37.897,46.0490,78.803,794.715,0.999,0.370,81.8,78.803,160.863,654,3315.7,33.15,8.670,117.733,3348.6,82.014,0.135,2.00
120000,985,2.232,0.539,7.21,112473,108173,386,0,3955,690,906766.8,265735.1,0.028,0.609,0.231,0.132,90,22.93,9.63,3.46,5.95,0.39,1.43,0.99,3.60,18.10,7.96,0.02,0.23,0.021,0.088,300,0.057,0.036,0.939,0.000,0.025,248014,246849,1,0.819,0.181,0.145,937923,0.064,2.232,0.046,7.49,62727,0,385.123,0.000,0.249,6635296,1.54,2.62,0.002,0.025,0.005,9,22,34,64,22590,0.086,0.00,0.0051,0.018,156,0.861,0.000,0.453,0.556,6.56,7.60,7.62,0.05,0.031,1.45,1.49,1.61,0.861,0.00206,0.99,37.3571,910.42,128654.8,140215.1,37.274,45.0675,80.457,808.917,0.999,0.375,78.3,80.458,160.692,674,3418.5,37.46,9.158,118.082,4174.7,83.693,0.134,2.00
130000,1029,2.209,0.490,7.27,104526,100539,441,0,3502,1251,865368.6,233590.1,0.036,0.588,0.244,0.132,90,22.51,9.94,2.19,5.06,0.25,1.60,0.80,2.94,19.27,9.06,0.00,0.12,0.012,0.069,306,0.073,0.032,0.948,0.000,0.019,224975,223615,2,0.889,0.109,0.097,893551,0.093,2.131,0.040,7.09,56324,0,186.723,0.000,0.290,5993357,1.33,2.91,0.001,0.010,0.001,11,21,35,64,23161,0.088,0.00,0.0044,0.015,144,0.861,0.000,0.438,0.547,6.73,7.71,7.65,0.02,0.009,1.29,1.31,1.37,0.861,0.00183,1.00,33.5999,1096.78,129363.3,140214.5,36.656,49.5252,76.727,781.230,0.999,0.365,80.7,76.726,160.695,601,3020.5,35.00,8.766,119.094,3580.2,79.820,0.135,2.00
140000,988,2.124,0.473,7.44,110664,106488,401,0,3816,713,895873.1,258189.3,0.029,0.629,0.235,0.107,91,22.23,8.52,2.31,5.02,0.29,1.45,0.43,2.08,19.19,7.93,0.01,0.19,0.019,0.099,314,0.064,0.023,0.955,0.000,0.021,246115,244917,1,0.945,0.055,0.088,897279,0.087,2.042,0.040,7.10,62916,0,362.117,0.000,0.267,6811004,1.35,2.55,0.002,0.014,0.005,13,21,32,64,21962,0.084,0.00,0.0047,0.021,134,0.864,0.000,0.463,0.560,6.93,7.78,7.67,0.02,0.010,1.24,1.39,1.39,0.864,0.00206,0.99,36.5102,1025.02,129849.2,140213.9,37.156,46.3114,79.435,800.539,1.000,0.371,77.7,79.435,160.760,581,2970.7,39.09,8.380,118.603,3447.0,82.951,0.135,2.00
150000,1054,2.157,0.507,7.73,111213,106781,441,0,3925,1283,888225.3,246659.0,0.020,0.651,0.240,0.088,91,20.78,9.61,2.16,4.54,0.30,1.51,0.37,2.38,17.96,8.72,0.00,0.06,0.013,0.065,325,0.050,0.034,0.946,0.000,0.020,239949,238753,3,0.824,0.045,0.055,813941,0.070,2.176,0.042,7.07,63971,0,192.252,0.000,0.243,6973662,1.42,4.12,0.004,0.010,0.001,9,20,32,64,21901,0.084,0.00,0.0047,0.015,177,0.863,0.000,0.450,0.547,6.28,7.37,7.54,0.03,0.027,1.36,1.51,1.42,0.863,0.00199,1.00,35.1288,1175.50,129108.1,140213.2,37.728,46.2243,78.813,797.756,0.998,0.379,79.7,78.813,160.809,587,3040.4,42.84,8.164,118.043,3777.7,82.199,0.135,2.00
160000,1055,2.225,0.419,7.30,114899,110015,364,0,4519,690,909196.9,259586.3,0.022,0.630,0.259,0.089,92,22.99,9.31,2.84,5.81,0.16,0.96,0.49,2.90,19.50,7.66,0.00,0.12,0.008,0.060,326,0.034,0.043,0.935,0.000,0.023,250496,248863,1,0.957,0.043,0.082,493054,0.103,1.926,0.036,7.31,64823,0,376.212,0.000,0.253,6815863,1.47,2.20,0.002,0.006,0.001,14,22,37,64,24251,0.093,0.00,0.0044,0.018,203,0.845,0.000,0.439,0.552,6.69,7.78,7.69,0.01,0.005,1.39,1.52,1.49,0.845,0.00218,1.04,36.8314,1113.83,130427.7,140212.5,38.470,43.9469,80.512,810.041,0.999,0.359,84.9,80.511,160.784,472,2486.0,38.33,8.596,117.016,3006.2,83.992,0.135,2.00
170000,1114,2.135,0.436,7.58,117642,112588,469,0,4526,691,931116.8,260746.0,0.027,0.609,0.263,0.101,92,20.89,9.41,2.29,4.98,0.22,1.33,0.34,2.68,18.04,7.92,0.00,0.12,0.009,0.057,315,0.062,0.037,0.934,0.000,0.029,252271,250591,3,0.941,0.000,0.045,817505,0.075,1.904,0.037,7.47,64540,0,377.346,0.000,0.233,6721559,1.41,3.18,0.003,0.012,0.001,10,21,32,64,23270,0.089,0.00,0.0046,0.020,163,0.845,0.000,0.440,0.544,6.46,7.66,7.48,0.02,0.004,1.28,1.54,1.42,0.845,0.00205,1.11,36.6602,955.71,130140.8,140212.3,37.868,41.7197,83.115,803.645,0.999,0.379,83.9,83.115,160.727,568,2869.3,37.52,8.337,117.396,2999.1,86.230,0.135,2.00
180000,1165,2.115,0.443,7.49,121524,116228,580,0,4665,861,958762.5,282171.6,0.024,0.616,0.254,0.107,91,21.09,10.51,1.48,4.78,0.28,1.23,0.47,2.50,18.86,9.03,0.00,0.06,0.017,0.091,337,0.060,0.033,0.937,0.000,0.029,263814,262366,1,0.992,0.008,0.065,966460,0.093,1.955,0.039,7.26,66933,0,327.725,0.000,0.264,6870367,1.28,4.10,0.009,0.014,0.001,6,22,33,64,24571,0.094,0.00,0.0044,0.014,176,0.846,0.000,0.389,0.549,6.50,7.59,7.50,0.00,0.003,1.27,1.37,1.24,0.846,0.00209,1.05,39.1162,1311.59,129908.3,140211.7,37.291,39.7794,85.694,816.344,0.999,0.380,88.2,85.694,160.722,524,2877.6,38.38,7.826,118.240,2771.0,89.299,0.136,2.00
190000,1097,2.109,0.425,7.21,124709,119038,554,0,5185,759,969521.6,305088.2,0.019,0.619,0.261,0.102,92,21.73,8.96,1.49,4.14,0.22,1.81,0.48,2.48,19.55,7.77,0.00,0.00,0.011,0.078,295,0.110,0.041,0.926,0.001,0.032,280169,278828,1,0.893,0.107,0.080,885922,0.103,1.901,0.037,7.23,69275,0,401.961,0.000,0.290,6759897,1.24,2.79,0.000,0.006,0.000,10,22,32,62,23842,0.091,0.00,0.0045,0.012,150,0.837,0.000,0.378,0.564,6.78,7.70,7.45,0.01,0.005,1.19,1.33,1.22,0.837,0.00236,1.04,42.4089,1218.69,130377.0,140211.7,37.461,39.6138,85.769,829.833,0.999,0.361,84.1,85.770,160.771,497,2727.8,33.13,7.778,118.102,2732.2,90.355,0.135,2.00
200000,1126,2.060,0.464,7.33,123113,117198,530,0,5356,762,954308.2,303008.2,0.016,0.635,0.256,0.093,92,20.58,9.39,1.48,4.61,0.12,0.70,0.42,2.14,18.55,8.78,0.00,0.00,0.008,0.070,301,0.079,0.042,0.925,0.000,0.034,280961,279832,1,1.000,0.000,0.112,861868,0.088,2.063,0.040,7.06,70056,0,397.649,0.000,0.279,7229924,1.27,3.80,0.004,0.003,0.000,6,21,30,64,23171,0.088,0.00,0.0046,0.017,154,0.846,0.000,0.397,0.571,6.46,7.53,7.43,0.00,0.001,1.18,1.37,1.27,0.846,0.00213,1.03,41.9384,1086.58,129749.1,140211.2,37.778,40.5075,84.464,819.127,0.998,0.381,84.0,84.464,160.788,590,3114.6,43.35,7.737,117.972,3119.9,89.043,0.135,2.00
210000,1191,2.101,0.429,6.96,121297,115793,542,2,4895,563,950920.8,284592.0,0.014,0.654,0.244,0.089,91,20.61,9.24,1.21,3.85,0.19,1.64,0.49,2.70,18.72,7.90,0.01,0.15,0.007,0.057,314,0.106,0.034,0.944,0.000,0.022,266677,265275,1,0.870,0.130,0.086,1139970,0.074,1.938,0.037,6.86,66606,2,505.492,1.000,0.270,7457196,1.21,3.34,0.001,0.006,0.003,8,20,31,64,24542,0.094,0.00,0.0043,0.013,193,0.859,0.000,0.383,0.556,6.53,7.48,7.44,0.02,0.004,1.14,1.28,1.21,0.859,0.00194,1.01,39.7232,1192.84,130102.8,140210.8,37.807,40.5630,84.496,808.840,0.999,0.368,89.2,84.496,160.716,518,2880.3,31.36,7.638,118.168,2687.2,88.836,0.135,1.99
