step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations
10000,1240,1.964,0.425,10.03,98247,95627,9,0,2854,2424,871731.2,225034.9,0.175,0.494,0.156,0.175,103,16.82,10.60,0.99,3.58,0.66,2.38,0.91,3.17,14.26,7.79,0.00,0.00,0.029,0.103,386,0.074,0.098,0.876,0.000,0.026,206581,201965,2,0.285,0.435,0.131,1669180,0.119,1.979,0.033,11.83,72753,0,92.836,0.000,0.194,3907147,1.22,10.83,0.003,0.002,0.000,5,14,31,64,20860,0.080,0.00,0.0049,0.023,321,0.714,0.000,0.699,0.541,3.91,4.78,5.99,0.05,0.018,1.05,1.36,1.23,0.714,0.00228,1.15,35.4295,956.92,116295.3,140074.2,17.023,83.3731,75.321,1169.342,1.000,0.388,13960.3,73.925,159.717,484,1846.2,44.33,34.948,133.842,3703.2,62.892,0.134,2.00
20000,1362,1.626,0.440,10.47,128397,122937,90,1,5247,602,914347.1,149273.2,0.082,0.436,0.272,0.211,138,12.07,7.86,0.27,1.95,0.59,2.99,0.38,2.54,10.83,5.45,0.00,0.00,0.024,0.102,251,0.128,0.147,0.823,0.001,0.029,197631,191756,4,0.433,0.388,0.039,1179009,0.113,2.063,0.034,29.28,76824,23,247.962,1.000,0.124,3938094,1.07,12.37,0.000,0.000,0.000,6,10,22,63,16441,0.063,0.00,0.0062,0.032,375,0.495,0.000,0.650,0.399,3.58,3.96,6.09,0.01,0.004,1.03,1.09,1.08,0.495,0.00261,9.03,21.6599,567.37,83074.7,140073.9,30.460,39.1079,85.248,1140.758,0.999,0.201,47245.2,81.920,135.335,516,2065.2,35.01,11.985,95.065,4098.1,62.649,0.135,2.00
30000,1290,1.716,0.362,9.61,115627,110611,93,0,4995,195,889818.5,162569.7,0.043,0.411,0.318,0.228,141,13.87,8.43,0.38,2.56,0.26,1.77,0.47,2.55,12.76,6.60,0.00,0.00,0.013,0.087,299,0.103,0.148,0.825,0.001,0.026,196036,191943,3,0.292,0.290,0.090,971276,0.130,1.849,0.027,30.36,73491,0,833.691,0.000,0.158,3968235,1.06,10.20,0.000,0.000,0.000,7,11,24,60,17890,0.068,0.00,0.0054,0.028,309,0.517,0.000,0.573,0.455,4.11,4.09,7.23,0.01,0.002,1.02,1.08,1.08,0.517,0.00225,11.11,23.4595,822.89,82342.6,140073.6,30.586,40.1501,82.119,1238.769,0.999,0.207,49231.9,81.920,130.563,432,1787.7,35.91,9.518,91.784,2863.1,58.903,0.135,2.00
40000,1292,1.766,0.458,9.41,115402,110914,131,0,4355,272,889390.2,168231.7,0.047,0.422,0.269,0.262,139,13.95,9.27,0.36,1.74,0.56,2.94,1.16,3.26,11.87,6.55,0.00,0.00,0.021,0.096,327,0.076,0.137,0.844,0.000,0.019,196909,193007,7,0.473,0.224,0.216,1707164,0.098,2.121,0.036,27.29,74889,0,618.499,0.000,0.115,4294114,1.08,10.63,0.002,0.002,0.000,6,11,28,64,18027,0.069,0.00,0.0058,0.036,293,0.569,0.000,0.554,0.455,4.12,4.34,6.72,0.02,0.012,1.02,1.10,1.11,0.569,0.00212,9.60,24.2014,800.39,79766.4,140073.4,31.669,40.3984,82.013,1246.809,1.000,0.193,50157.7,81.920,135.139,573,2437.5,37.67,10.219,95.287,3829.2,62.131,0.134,2.00
50000,1311,1.745,0.416,10.58,115944,111682,203,0,4040,415,886543.1,158071.7,0.049,0.442,0.254,0.255,140,14.30,10.10,0.49,2.35,0.35,2.05,0.67,3.15,12.79,7.66,0.00,0.00,0.015,0.084,292,0.217,0.134,0.841,0.001,0.024,188839,185224,8,0.426,0.085,0.083,1449929,0.088,1.934,0.034,28.08,72009,0,380.896,0.000,0.141,4502824,1.07,9.72,0.010,0.002,0.000,6,10,27,64,18746,0.072,0.00,0.0053,0.022,315,0.570,0.000,0.509,0.435,4.36,4.25,7.26,0.01,0.008,1.02,1.11,1.09,0.570,0.00214,10.08,22.2497,739.78,73391.2,140073.1,37.848,33.3559,82.624,1257.125,0.999,0.160,57199.6,81.920,133.466,512,2308.9,33.13,9.002,87.838,3332.7,60.948,0.137,2.00
60000,1177,1.739,0.373,10.38,121205,116916,198,0,4225,843,888678.0,177868.4,0.040,0.480,0.204,0.276,139,14.74,8.68,0.69,2.58,0.25,1.34,0.34,2.41,13.46,6.76,0.00,0.00,0.012,0.061,286,0.159,0.087,0.892,0.001,0.020,208865,205595,6,0.283,0.168,0.042,665672,0.088,1.859,0.030,23.24,82967,0,210.995,0.000,0.161,5503796,1.12,8.21,0.003,0.004,0.000,6,12,23,64,17348,0.066,0.00,0.0056,0.044,252,0.647,0.000,0.536,0.459,4.84,5.14,7.58,0.01,0.008,1.03,1.19,1.13,0.647,0.00231,7.82,24.7926,625.04,71606.6,140073.2,41.341,32.5787,82.196,1274.830,0.999,0.176,59957.0,81.920,140.231,418,2124.1,31.58,8.936,91.437,2986.8,65.877,0.136,2.00
70000,1226,1.865,0.361,11.16,122666,118418,279,0,3920,1346,894244.6,189557.2,0.035,0.510,0.187,0.269,135,15.95,9.84,1.19,4.07,0.56,2.34,0.39,2.28,13.80,7.64,0.00,0.00,0.031,0.111,362,0.125,0.064,0.909,0.000,0.026,217782,214731,8,0.352,0.131,0.060,516285,0.104,1.787,0.029,20.04,87526,0,140.830,0.000,0.168,5810232,1.23,7.77,0.006,0.012,0.000,5,16,25,64,19551,0.075,0.00,0.0053,0.012,275,0.672,0.000,0.526,0.471,4.79,5.46,7.26,0.05,0.022,1.02,1.33,1.29,0.672,0.00229,6.70,26.8018,762.43,71539.2,140073.3,38.524,36.6929,81.918,1245.903,1.000,0.180,59936.7,81.920,143.832,444,2175.4,44.04,8.599,98.582,2653.5,69.722,0.135,2.00
80000,1278,1.864,0.387,11.00,122672,118578,364,0,3678,1484,907266.9,221892.3,0.033,0.526,0.113,0.328,129,17.74,10.17,0.53,1.93,0.83,4.17,0.26,2.02,16.11,8.39,0.00,0.00,0.028,0.109,421,0.048,0.051,0.921,0.000,0.028,236010,233352,9,0.196,0.216,0.045,588892,0.089,1.860,0.033,11.60,91743,0,149.523,0.000,0.235,6148288,1.09,6.55,0.007,0.005,0.000,6,18,29,64,22666,0.086,0.00,0.0044,0.016,258,0.775,0.000,0.521,0.503,5.48,6.23,7.54,0.03,0.015,1.03,1.14,1.11,0.775,0.00187,2.79,31.7243,885.67,73951.1,140073.3,38.688,40.6831,81.620,1208.819,1.000,0.181,56942.2,81.920,155.632,513,2454.9,32.66,9.078,110.757,2719.6,79.556,0.135,2.00
90000,1093,2.110,0.399,10.46,119519,115732,388,0,3584,1281,916754.2,228425.4,0.048,0.509,0.108,0.336,126,20.22,10.21,1.36,3.80,0.83,3.34,0.61,2.33,17.42,8.28,0.00,0.03,0.031,0.108,389,0.040,0.053,0.923,0.000,0.024,233928,231351,10,0.243,0.304,0.134,949151,0.085,1.878,0.033,11.44,89230,0,178.318,0.000,0.194,5965546,1.23,4.62,0.001,0.007,0.001,8,20,31,64,22104,0.084,0.00,0.0048,0.016,234,0.789,0.000,0.483,0.511,5.98,6.74,7.56,0.03,0.021,1.02,1.40,1.26,0.789,0.00202,2.54,32.3893,881.12,66704.4,140073.1,39.009,39.6477,82.635,1224.245,0.999,0.153,64091.2,81.920,156.278,482,2665.3,34.62,9.607,110.857,2686.5,80.721,0.134,2.00
100000,1179,2.056,0.349,10.45,118107,114950,535,1,2535,2252,912525.7,223141.4,0.039,0.528,0.079,0.353,126,20.32,8.84,1.99,4.01,0.68,2.71,0.73,3.56,16.91,7.00,0.00,0.00,0.032,0.114,466,0.029,0.037,0.937,0.000,0.025,229164,226607,6,0.396,0.183,0.140,1073889,0.080,1.716,0.031,8.13,88208,18,99.086,1.000,0.234,5881917,1.35,3.69,0.002,0.021,0.000,8,20,29,64,23955,0.091,0.00,0.0046,0.011,247,0.812,0.000,0.459,0.507,6.21,7.42,7.67,0.11,0.049,1.09,1.56,1.38,0.812,0.00197,1.37,31.4008,950.06,59411.2,140072.4,42.744,37.0791,82.714,1228.353,1.000,0.128,72032.6,81.920,159.787,437,2459.1,31.14,8.693,111.594,2087.1,83.636,0.136,2.00
