a,b,dist
1909,1978,0.51730
919,3845,0.44108
1007,4377,0.38655
1260,3484,0.71497
1679,4522,0.40927
4394,1939,0.48994
405,4750,0.42716
4187,3695,0.35600
3931,4884,0.66604
3678,4459,0.42666
1273,2441,0.38032
2441,2480,0.46200
2787,2714,0.33912
3991,76,0.59985
2427,2795,0.49811
3708,2751,0.48797
3653,1733,0.49407
2710,3257,0.43578
4736,1647,0.22717
3082,1650,0.41111
3445,254,0.80004
2467,359,0.21879
1994,377,0.32151
2346,712,0.44741
1895,2549,0.53071
4140,862,0.53421
3597,1370,0.25196
4622,98,0.37472
1548,4269,0.45204
3156,1965,0.23930
1560,149,0.41064
1260,3159,0.60098
566,3200,0.13706
4576,284,0.48224
2827,631,0.45161
1762,4094,0.49486
1165,4329,0.33928
3570,3548,0.47069
1676,4725,0.44487
1583,2633,0.49349
2297,1047,0.25541
2309,743,0.46592
4115,2781,0.68468
4356,2483,0.53983
1037,1684,0.46356
4359,2080,0.34257
4977,1251,0.31812
4449,3676,0.32981
4973,2748,0.53854
1028,4397,0.44459
2518,3992,0.52959
4693,1466,0.49140
4473,2335,0.60560
4313,3030,0.43139
876,3733,0.56350
485,2093,0.32650
1442,329,0.38624
231,413,0.60982
4191,680,0.50222
1068,483,0.43485
2682,2066,0.54869
2737,3974,0.55456
701,4206,0.45041
4835,2823,0.33540
2087,1503,0.33467
2951,540,0.29649
3558,2722,0.24347
254,1847,0.49894
2972,4257,0.44041
1837,3774,0.24584
2207,4489,0.28519
1537,3655,0.26272
3418,2817,0.42293
4230,4197,0.12447
2887,2923,0.35283
359,2623,0.30078
1532,2726,0.45475
2203,3441,0.53758
2031,1496,0.43455
3744,274,0.69913
294,2789,0.33973
3553,4990,0.22246
1771,974,0.30651
2050,4478,0.58735
599,35,0.34658
3092,4968,0.38909
283,850,0.37842
3675,4152,0.25877
152,2875,0.56761
4676,2342,0.67815
1925,4709,0.29663
2968,1808,0.42809
3425,1025,0.52372
4925,1504,0.53885
1768,971,0.41908
554,445,0.33722
26,1207,0.32945
3362,3002,0.47844
1220,4672,0.34288
936,382,0.38989
266,1524,0.36159
2299,2970,0.40310
891,2678,0.30127
2996,4480,0.43960
4478,3993,0.51646
3326,1607,0.31783
4699,4115,0.17025
1937,3707,0.69497
1488,2005,0.31124
1139,2889,0.41113
4148,1306,0.40185
4354,1757,0.27130
1146,4144,0.67427
2114,63,0.37442
1079,1803,0.46055
765,3436,0.41742
4202,1384,0.35718
4220,367,0.40462
3427,1205,0.34772
4634,1314,0.28741
427,4904,0.43805
1830,2049,0.49009
1468,3382,0.34055
1513,2539,0.38071
2471,2952,0.37361
4274,2818,0.55465
1181,2913,0.29594
980,1640,0.19234
151,1947,0.45648
4680,4066,0.83391
1401,4342,0.45459
3023,4643,0.38110
2667,2250,0.38920
1211,1910,0.66584
2241,4175,0.44399
645,1338,0.38395
294,4646,0.58155
604,2907,0.29384
3424,470,0.36585
3268,4083,0.24384
1584,2807,0.69135
712,187,0.44614
1697,4293,0.47124
1497,2046,0.53630
3629,916,0.35583
4257,2638,0.40814
1027,2759,0.63622
2778,3734,0.24167
1079,4,0.47268
4672,2177,0.55263
4880,132,0.33579
4050,852,0.67978
786,1365,0.40245
3389,4234,0.35405
3350,673,0.36711
3639,2649,0.52322
4099,2564,0.33643
942,793,0.40902
902,3223,0.37884
3265,1737,0.60397
2422,3273,0.66775
2262,354,0.60621
4738,3248,0.31548
2835,448,0.34427
1895,1945,0.45899
3909,1025,0.18653
1062,3443,0.56685
4056,4126,0.71516
566,1164,0.34510
3737,4833,0.44368
287,951,0.40730
1295,3729,0.40888
2066,1088,0.43348
3306,2055,0.56862
2790,4894,0.43766
4336,2792,0.36447
444,3744,0.42559
2632,1072,0.34173
1385,1542,0.42403
246,3843,0.39631
355,2293,0.39573
3939,3787,0.58096
1626,580,0.32933
4510,3314,0.35126
934,4909,0.30428
231,4132,0.68004
