a,b,dist
3916,1851,0.53840
4395,3467,0.22310
3036,2459,0.32812
118,2010,0.41544
575,1742,0.45203
330,2069,0.35625
46,810,0.31728
4996,4353,0.49972
798,4310,0.54079
4162,3959,0.30219
513,1889,0.59453
3410,1833,0.35352
4452,1158,0.44221
584,2437,0.33627
3370,1837,0.42413
4056,4474,0.86405
4070,4077,0.57058
2905,3834,0.32044
2449,2170,0.53469
2022,4359,0.36667
1929,569,0.43385
1758,2896,0.41036
2970,3851,0.24212
68,2576,0.30474
1069,3148,0.52844
1721,1078,0.42926
4786,538,0.62484
3073,1071,0.29301
633,3487,0.72435
3033,863,0.50316
798,3731,0.31967
3764,4891,0.45318
386,1253,0.57255
2739,3206,0.33444
1404,214,0.76747
1116,433,0.36611
950,3884,0.45509
4053,995,0.34039
2658,925,0.55003
1404,2070,0.61985
37,3982,0.42228
2961,3022,0.42337
3454,1591,0.51130
1428,4813,0.39589
968,2064,0.50721
3581,1699,0.41901
3316,836,0.37588
1921,4800,0.42391
4120,1802,0.54188
1234,516,0.50191
633,2392,0.60664
1830,3373,0.44670
1485,2828,0.72289
3571,4799,0.25737
1510,2855,0.42970
4790,1034,0.33766
3645,2377,0.56282
961,4492,0.40098
2754,501,0.61632
4342,1789,0.40533
286,4676,0.47365
784,4394,0.32295
2471,4610,0.24228
337,4119,0.57550
38,3905,0.29948
4555,1068,0.50099
3497,803,0.56745
4279,1987,0.47613
3457,4973,0.40767
2085,2565,0.50491
3133,4873,0.63072
2033,4895,0.46325
514,1842,0.50390
3924,418,0.39953
3237,3545,0.53305
488,2667,0.29979
4416,2952,0.43233
3746,488,0.45457
3375,510,0.58924
4624,1437,0.39022
2614,1827,0.42989
477,4222,0.39012
409,4309,0.47060
1730,3784,0.44530
3237,3046,0.25850
4558,4764,0.42029
4984,2297,0.46048
2378,4042,0.71582
3013,1927,0.39382
2838,1539,0.30501
2884,2471,0.41584
1959,1235,0.36218
1658,1216,0.46959
2636,297,0.40013
4210,3113,0.61170
355,1629,0.70293
116,794,0.49802
511,2910,0.20307
