id,n_genes,n_edges,decode_ns,speed,metabolism,sense,size,lifespan,greed,boldness,fertility
0,10,4,14417,0.2843,0.2986,0.3921,0.2526,0.4344,0.4001,0.6984,0.7461
1,10,6,12584,0.6054,0.3071,0.5540,0.4379,0.3875,0.4634,0.2350,0.7488
2,8,4,10291,0.4119,0.4272,0.4409,0.2844,0.4347,0.7533,0.4495,0.3676
3,3,0,4709,0.4463,0.5856,0.4211,0.4404,0.5380,0.5051,0.5040,0.4742
4,12,7,16042,0.5726,0.6028,0.5928,0.5440,0.4091,0.6697,0.5492,0.5043
5,5,2,6500,0.5263,0.5254,0.3600,0.6663,0.5012,0.5783,0.6437,0.4701
6,6,2,8459,0.5379,0.3934,0.5404,0.3815,0.4197,0.4106,0.5610,0.6031
7,5,1,10792,0.5180,0.4821,0.5278,0.4306,0.4109,0.6482,0.6095,0.5120
8,9,4,11000,0.3971,0.4552,0.6035,0.3400,0.4452,0.4547,0.5789,0.5408
9,11,5,7417,0.4740,0.3548,0.3197,0.5349,0.3998,0.4908,0.5717,0.5841
10,4,2,2208,0.5143,0.6160,0.5040,0.4546,0.5545,0.6057,0.4604,0.5565
11,8,0,4167,0.4352,0.6607,0.4976,0.6147,0.5669,0.5868,0.6085,0.5980
12,10,4,5000,0.6546,0.2853,0.3942,0.6442,0.2845,0.5810,0.2478,0.5498
13,15,8,8708,0.3149,0.2533,0.3929,0.3644,0.4970,0.2528,0.4656,0.8041
14,10,5,4667,0.4720,0.4568,0.4226,0.4714,0.5429,0.4944,0.2869,0.7120
15,10,4,4541,0.3184,0.3847,0.6407,0.1985,0.4347,0.2243,0.6473,0.6521
16,10,10,4625,0.7340,0.5653,0.4367,0.4319,0.3819,0.5758,0.7213,0.3270
17,9,6,4250,0.3347,0.4444,0.3915,0.3678,0.4273,0.5947,0.4743,0.6565
18,2,0,1667,0.5918,0.4781,0.4392,0.4871,0.4185,0.4816,0.5623,0.4021
19,7,2,3417,0.6665,0.3288,0.3993,0.5249,0.4058,0.5801,0.6549,0.6084
20,6,3,2666,0.4129,0.3723,0.3959,0.5128,0.4262,0.5595,0.6520,0.4446
21,11,8,5458,0.4915,0.5658,0.5507,0.4290,0.5267,0.3309,0.6685,0.6895
22,10,7,4875,0.1562,0.6603,0.5862,0.4948,0.4929,0.6219,0.4321,0.7193
23,6,2,2375,0.6304,0.5070,0.5851,0.4702,0.5683,0.3288,0.4807,0.4804
24,7,1,3083,0.5449,0.6483,0.4171,0.4562,0.5829,0.4929,0.3893,0.6149
25,9,6,4208,0.5397,0.4827,0.2392,0.5598,0.3950,0.4758,0.7317,0.6407
26,5,4,2292,0.5590,0.4734,0.4115,0.5184,0.3635,0.4102,0.4559,0.4921
27,9,4,3958,0.2982,0.7378,0.4961,0.6329,0.5695,0.7079,0.3934,0.6723
28,3,1,1709,0.4808,0.3870,0.4790,0.4027,0.4998,0.4377,0.3966,0.5720
29,9,5,4042,0.5296,0.5899,0.4729,0.5493,0.3911,0.3951,0.5085,0.6794
30,12,8,13209,0.6748,0.2616,0.6217,0.5136,0.4780,0.2912,0.2062,0.5124
31,4,1,1833,0.5396,0.4351,0.4916,0.5111,0.4951,0.4694,0.5631,0.4011
32,7,2,3208,0.4028,0.4199,0.3519,0.5942,0.3686,0.5032,0.6261,0.4923
33,7,0,3916,0.5124,0.3190,0.5848,0.5076,0.6257,0.4307,0.3241,0.5273
34,5,0,3625,0.4631,0.3293,0.4372,0.5220,0.5195,0.4800,0.4873,0.5780
35,9,5,5250,0.6996,0.5156,0.5084,0.5708,0.7234,0.5256,0.5602,0.5852
36,5,2,2375,0.5175,0.3978,0.4984,0.4078,0.4642,0.4948,0.5720,0.5135
37,10,2,5709,0.6164,0.6967,0.3448,0.4727,0.7170,0.3053,0.5186,0.4337
38,8,1,3583,0.3774,0.5931,0.3114,0.5022,0.5580,0.4038,0.7095,0.5782
39,6,3,2375,0.4144,0.3802,0.5310,0.4708,0.5916,0.4027,0.6392,0.6230
40,4,1,1750,0.5754,0.4613,0.4118,0.4033,0.4273,0.6157,0.3923,0.5010
41,8,4,3542,0.3604,0.6798,0.6166,0.5670,0.6152,0.3131,0.5386,0.6764
42,7,4,3083,0.4596,0.4441,0.3781,0.5589,0.4137,0.3974,0.5086,0.4977
43,8,5,3583,0.4908,0.5184,0.5555,0.3570,0.6540,0.5801,0.6981,0.7131
44,6,2,2250,0.3055,0.4185,0.3933,0.4026,0.3092,0.3887,0.6068,0.5992
45,6,2,2792,0.3034,0.4884,0.3626,0.5388,0.4949,0.5480,0.5674,0.3185
46,5,1,2208,0.7099,0.4416,0.4417,0.5691,0.5233,0.5169,0.5181,0.4655
47,8,2,3708,0.4504,0.5273,0.4325,0.5726,0.4135,0.5204,0.4281,0.5378
48,9,3,4125,0.3657,0.4372,0.5450,0.4236,0.5837,0.5091,0.5041,0.6070
49,14,6,7958,0.4646,0.5697,0.3437,0.5367,0.6612,0.4509,0.6651,0.3878
50,8,5,3334,0.5710,0.3959,0.6119,0.7695,0.3604,0.4579,0.5411,0.5304
51,4,0,1708,0.5946,0.3961,0.3750,0.7010,0.4369,0.5148,0.4945,0.4980
52,8,4,3292,0.4163,0.5426,0.6177,0.5249,0.5966,0.5094,0.5964,0.5498
