a,b,dist
4534,224,0.61128
3698,4190,0.36055
4524,2947,0.52408
1121,704,0.38108
1571,2716,0.46409
4179,3816,0.58168
2450,2478,0.41014
1637,1157,0.33774
1957,2917,0.36408
2865,3755,0.43618
3220,4902,0.42585
909,2877,0.30368
3760,4823,0.32114
1744,1602,0.46006
931,867,0.30404
2590,1815,0.12984
3542,2910,0.25347
2023,4745,0.26909
1522,801,0.29925
2186,1000,0.43568
1814,602,0.34319
4375,3205,0.50761
3123,2755,0.30815
1058,2495,0.43477
4897,2180,0.38295
5,4491,0.29916
2250,1476,0.53336
1065,302,0.28064
3688,468,0.45912
1891,3301,0.49713
1872,4276,0.45102
3315,2889,0.38116
2568,3939,0.24911
15,1450,0.71073
1011,1704,0.47877
515,205,0.66273
743,3742,0.34543
365,4904,0.71055
857,4126,0.46337
1178,3094,0.29277
2778,2152,0.24877
4737,3085,0.43563
1340,1219,0.43392
58,1284,0.39729
2422,843,0.36737
2170,469,0.30581
1834,81,0.35404
4559,4571,0.45849
2855,1274,0.31898
95,609,0.59950
4615,4083,0.41807
1733,2141,0.37904
2013,2629,0.41489
1079,2635,0.55700
2412,4664,0.51246
4892,2044,0.28480
2538,225,0.70146
453,4316,0.56381
3155,175,0.55725
3323,2143,0.38950
3396,50,0.55924
2243,3637,0.39805
77,2490,0.46109
373,3592,0.39892
4022,3049,0.69232
3590,4662,0.53871
4581,706,0.35022
4119,4531,0.49996
933,307,0.24142
1242,1654,0.48042
3522,724,0.62257
4172,4644,0.39557
1603,4681,0.25949
3230,2393,0.77284
1831,3855,0.32007
1875,2012,0.42206
4767,4074,0.58771
1468,3734,0.25486
1988,4008,0.44793
2979,1630,0.49030
4639,4812,0.30075
1104,4779,0.52597
172,2923,0.76678
1529,1847,0.30289
4404,3237,0.46058
851,2504,0.41519
1387,2893,0.36987
3782,4221,0.40025
4127,3521,0.67775
4211,2901,0.37608
4001,4007,0.47353
1917,4390,0.24297
1434,4589,0.41817
4392,2955,0.37376
2131,4693,0.47171
1442,3415,0.36174
1130,1648,0.42069
2677,1756,0.32800
1774,3401,0.76444
11,2408,0.49140
689,1356,0.32649
3818,1012,0.50819
1978,2655,0.39066
2366,4288,0.55826
880,2715,0.63367
3591,463,0.68863
2460,4971,0.42162
4927,3671,0.42247
4073,4242,0.43486
20,4123,0.57567
758,374,0.50227
3015,2124,0.53270
2948,3653,0.30052
3030,1057,0.22753
434,2624,0.64651
4997,647,0.37150
4396,3004,0.35919
2035,571,0.20578
2467,1665,0.20796
1238,1112,0.42313
2637,3270,0.38042
2853,2244,0.52827
56,3219,0.41795
1843,3984,0.50226
2053,4975,0.58473
13,1785,0.58329
4515,4518,0.50286
4029,3041,0.39166
235,2118,0.66642
3743,275,0.56678
2374,1023,0.24641
2283,3428,0.35010
195,465,0.27038
3087,4805,0.35666
2067,2232,0.47158
1487,3695,0.60761
3898,4146,0.48721
3175,2576,0.38035
4318,3014,0.86972
1633,1588,0.34607
3146,3869,0.48248
3506,3361,0.42810
2616,4175,0.50130
