run,pop,size_mean,no_room,blocked,place_k,cells_held,land_bare,travel_p50,gut_income,grass,digestive_mean,lineages,ms_step,kinds_at,placed_at,top_kind,top_share,lines,step
control,10253.047619047618,27.64,0.5028768275565102,0.5263880414887125,nan,nan,nan,4.892857142857143,0.0035264665684349022,21380.666666666668,16.50190476190476,12.333333333333334,29.85590476190476,8.142857142857142,4.9523809523809526,0.12598587674247982,0.5891295168613853,3,40000
step 0,10253.047619047618,27.64,0.5028768275565102,0.5263880414887125,5.632857142857143,0.11904761904761904,0.8655809523809523,4.892857142857143,0.0035264665684349022,21380.666666666668,16.50190476190476,12.333333333333334,27.243142857142857,6.666666666666667,4.333333333333333,0.176578073089701,0.6185166411117157,4,40000
ring r1,10249.42857142857,28.845238095238095,0.45528201232729665,0.5869192836750584,5.228095238095238,0.11506190476190477,0.8737619047619047,3.511904761904762,0.0030664732310834355,16610.619047619046,18.21952380952381,15.0,39.427238095238096,6.095238095238095,3.3333333333333335,0.19351830263464678,0.5660044870915591,1,40000
rays r2,8443.190476190477,31.08952380952381,0.39961280007904376,0.5228293224358004,8.18047619047619,0.10804761904761905,0.8855571428571428,4.607142857142857,0.003360600155364511,13837.809523809523,19.794761904761906,11.285714285714286,29.835761904761906,7.428571428571429,3.9523809523809526,0.21976568405139835,0.5562165931894429,2,40000
ring r2,11670.714285714286,26.04952380952381,0.3564342311694373,0.6407261971543678,6.654285714285714,0.11531904761904761,0.8821809523809524,3.7738095238095237,0.0032353350967760865,12855.809523809523,16.282857142857143,15.904761904761905,44.62061904761905,5.523809523809524,3.6666666666666665,0.32808030853831815,0.3036071988700781,4,40000
rays r4,12748.57142857143,25.930476190476192,0.31719790953034427,0.5760288880094974,12.972857142857142,0.12794761904761906,0.861904761904762,3.488095238095238,0.002792678506689478,10358.380952380952,17.376190476190477,12.761904761904763,47.392380952380954,5.714285714285714,3.761904761904762,0.21656005516847787,0.5646213581877925,1,40000
