step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain,seed,sprouted
2000,-20,0,1822,76.1636,62.97,41.64,14.50,31,28.03,10.382,5.166,0.3601,243.855,0.00,0.0000
2000,-20,1,2515,262.3586,236.81,1073.43,22.64,29,27.62,10.312,5.438,0.5302,345.839,0.00,0.0000
2000,-20,2,3882,301.5511,255.76,11119.65,32.19,118,27.38,10.248,5.605,0.8377,507.170,0.00,0.0000
2000,-10,0,1809,137.7708,137.27,24.36,24.66,10,34.54,14.528,3.760,0.3146,388.075,0.00,0.0000
2000,-10,1,2069,450.0815,431.30,920.56,25.98,12,34.29,14.499,3.881,0.4454,571.740,0.00,0.0000
2000,-10,2,4346,310.4388,237.95,15881.24,40.53,280,32.26,13.425,4.589,0.8056,796.656,0.00,0.0000
2000,0,0,1824,144.9855,152.82,30.79,25.90,5,38.82,17.356,2.898,0.2200,435.045,0.00,0.0000
2000,0,1,1745,291.1389,278.64,844.63,30.13,0,38.52,17.282,3.001,0.3734,742.278,0.00,0.0000
2000,0,2,4798,326.3947,266.34,15269.39,44.58,213,35.94,15.900,3.877,0.6743,982.112,0.00,0.0000
2000,10,0,3018,139.9007,148.10,51.58,24.91,4,40.19,18.284,2.651,0.1967,456.697,0.00,0.0000
2000,10,1,2733,383.2576,375.96,1359.37,33.80,4,39.78,18.152,2.804,0.3477,781.156,0.00,0.0000
2000,10,2,3694,266.0851,241.23,9744.45,57.89,240,35.83,16.131,4.175,0.6058,886.586,0.00,0.0000
2000,20,0,3997,90.7785,91.49,61.79,30.00,3,37.77,16.883,3.354,0.1467,259.228,0.00,0.0000
2000,20,1,3278,242.7814,233.86,1555.60,49.18,16,38.29,17.244,3.245,0.3499,635.806,0.00,0.0000
2000,20,2,1170,85.6420,63.56,2059.36,66.05,62,35.24,15.639,4.219,0.5306,711.008,0.00,0.0000
2000,30,0,6747,258.8062,246.96,85.03,43.10,30,35.06,14.968,3.826,0.1900,255.760,0.00,0.0000
2000,30,1,2301,175.2194,176.22,995.48,42.29,33,37.24,16.027,3.027,0.3659,522.109,0.00,0.0000
2000,30,2,226,68.4677,73.23,250.65,19.24,1,35.14,14.587,3.405,0.5481,628.225,0.00,0.0000
2000,40,0,6690,316.9908,293.77,63.39,43.94,105,31.11,12.075,4.414,0.1967,165.607,0.00,0.0000
2000,40,1,1253,180.4313,139.28,495.32,28.54,27,33.94,13.298,3.231,0.5218,457.785,0.00,0.0000
2000,40,2,227,36.9320,31.70,269.99,16.88,3,33.30,13.140,3.566,0.6600,588.430,0.00,0.0000
