step,medium,hab,reach,blocks,hit_body,hit_wall,near,ring,axis,free_here,free_around
2,0,4,6,25,24,0,6,6,0,10,91
7,0,1,9,53,36,0,9,1,0,15,95
10,2,14,8,64,32,0,8,4,0,3,60
11,1,11,8,49,32,0,5,1,0,12,65
14,0,6,10,47,40,0,8,8,0,8,33
15,0,6,9,81,36,0,9,1,0,12,56
15,0,4,9,64,36,0,8,11,0,10,89
16,0,0,7,28,28,0,8,8,1,5,43
16,0,4,12,144,48,0,13,7,0,8,53
16,0,7,8,49,32,0,8,8,0,11,47
16,1,14,7,25,28,0,4,1,0,8,86
17,0,0,8,64,32,0,8,8,0,8,64
19,1,14,7,49,28,0,7,5,0,4,41
19,1,11,7,43,28,0,5,1,0,15,49
19,0,6,7,49,28,0,7,10,0,4,34
20,0,2,10,25,40,0,8,3,0,1,61
20,1,14,8,45,32,0,9,2,0,10,63
20,0,2,8,64,32,0,8,12,0,12,72
20,1,10,11,99,44,0,11,11,0,10,24
21,0,1,8,64,32,0,8,2,0,12,76
22,0,8,9,39,36,0,4,1,0,13,98
22,0,2,10,100,40,0,10,4,0,4,56
23,0,7,7,49,28,0,8,2,0,12,79
23,1,11,9,81,36,0,9,11,0,4,32
23,1,11,8,64,32,0,8,6,0,0,21
23,1,13,6,24,24,0,8,3,0,5,49
23,0,4,7,39,28,0,10,6,0,0,53
24,0,6,6,36,24,0,10,4,0,0,12
24,1,14,10,37,40,0,9,9,0,0,30
26,1,11,8,47,32,0,8,8,0,4,64
26,0,1,9,64,36,0,14,11,0,0,48
26,1,10,6,36,24,0,6,2,0,4,50
27,0,0,7,49,28,0,8,2,0,3,28
27,1,10,8,63,32,0,12,3,0,8,53
28,1,14,8,64,32,0,8,1,0,0,26
28,0,0,8,20,32,0,2,2,0,7,55
29,0,2,7,49,28,0,7,3,0,4,43
29,0,7,8,64,32,0,8,1,0,6,55
30,0,7,8,64,32,0,8,1,0,3,18
30,1,14,9,81,36,0,9,8,0,10,92
30,0,0,8,64,32,0,16,3,0,13,42
30,0,2,7,39,28,0,10,2,0,0,74
30,0,1,7,44,28,0,10,3,0,1,48
30,0,0,7,36,28,0,7,1,0,12,55
30,0,7,9,20,36,0,8,1,0,8,63
30,0,0,7,42,28,0,15,8,0,11,39
30,1,14,10,63,40,0,13,4,0,10,53
30,0,2,9,81,36,0,9,2,0,0,17
31,1,14,9,81,36,0,15,1,0,4,56
31,0,0,6,19,24,0,8,6,0,4,47
31,0,7,8,21,32,0,3,2,0,10,61
31,0,1,8,49,32,0,7,5,0,4,52
31,0,0,7,37,28,0,7,4,0,8,45
31,1,10,6,34,24,0,10,11,1,4,24
32,1,10,7,35,28,0,18,2,0,12,60
32,1,14,8,64,32,0,16,1,0,5,41
32,0,1,10,57,40,0,13,3,0,1,54
32,0,1,7,15,28,0,10,5,0,6,26
32,1,14,7,49,28,0,6,1,0,12,66
32,1,14,9,81,36,0,16,6,0,0,0
32,0,7,9,81,36,0,10,2,0,13,68
32,0,7,10,43,40,0,9,2,0,8,61
33,1,11,8,49,32,0,14,1,0,12,24
33,0,4,6,17,24,0,2,1,0,3,87
33,0,6,8,64,32,0,15,2,0,0,16
33,1,14,7,18,28,0,8,3,0,6,67
33,0,8,6,22,24,0,6,1,0,5,52
34,0,4,8,64,32,0,14,11,0,10,51
34,0,1,7,49,28,0,7,3,0,0,6
34,1,10,8,64,32,0,11,6,0,3,62
34,1,14,8,56,32,0,11,2,0,2,21
34,1,11,7,49,28,0,14,9,1,7,39
34,1,14,9,47,36,0,22,5,0,1,14
34,0,6,6,36,24,0,7,4,0,12,48
35,1,14,9,81,36,0,22,6,0,4,53
35,0,2,9,81,36,0,17,2,0,7,26
35,1,14,6,19,24,0,6,1,0,5,59
35,0,4,8,12,32,0,5,2,0,0,48
36,1,11,8,13,32,0,7,3,0,5,50
36,1,11,8,64,32,0,12,1,0,8,21
36,0,8,6,36,24,0,12,20,1,2,19
36,1,11,7,49,28,0,12,6,0,0,12
36,0,2,6,36,24,0,6,11,0,12,89
36,0,2,8,64,32,0,8,12,0,8,36
36,1,14,7,49,28,0,7,2,0,0,17
37,0,2,7,22,28,0,7,1,0,10,33
37,0,1,11,121,44,0,15,1,0,5,50
37,0,2,8,64,32,0,13,2,0,16,42
37,0,2,7,49,28,0,12,6,0,0,30
37,0,1,8,35,32,0,5,2,0,12,32
37,0,7,8,64,32,0,21,2,0,0,27
37,1,14,8,64,32,0,7,11,0,0,5
38,0,1,7,49,28,0,14,9,1,0,26
38,0,5,7,13,28,0,6,1,0,4,27
38,0,1,6,36,24,0,6,3,0,12,51
38,1,11,6,36,24,0,10,3,0,0,9
38,1,14,9,81,36,0,9,1,0,12,96
38,1,11,8,64,32,0,14,15,0,0,5
38,1,14,9,81,36,0,9,3,0,12,47
39,1,11,7,49,28,0,9,3,0,7,12
39,0,1,5,25,20,0,11,1,0,0,23
39,0,6,6,36,24,0,6,2,0,0,12
39,1,14,9,71,36,0,18,9,0,0,31
39,0,4,7,49,28,0,12,7,0,12,70
39,1,14,8,64,32,0,14,5,0,3,12
39,1,14,10,62,40,0,5,2,0,3,93
39,0,5,9,53,36,0,8,4,0,12,70
40,0,5,8,62,32,0,15,4,0,0,57
40,1,11,9,81,36,0,25,6,0,0,0
40,0,1,9,81,36,0,8,5,0,8,36
40,0,0,9,39,36,0,8,5,0,9,46
40,0,4,8,24,32,0,11,2,0,9,47
40,0,2,7,47,28,0,16,4,0,1,36
40,1,14,8,64,32,0,10,3,0,0,20
40,1,14,7,49,28,0,13,14,1,0,8
40,0,8,6,36,24,0,12,13,0,0,12
41,1,14,8,43,32,0,11,2,0,3,43
41,1,14,9,81,36,0,18,4,0,3,31
41,0,1,7,49,28,0,7,3,0,8,71
41,1,11,7,19,28,0,2,1,0,5,77
41,1,10,6,22,24,0,6,2,0,6,61
41,0,7,8,57,32,0,12,1,0,11,55
41,0,6,11,68,44,0,9,4,0,14,72
42,0,1,9,76,36,0,13,6,0,4,52
42,1,11,8,64,32,0,10,3,0,0,19
42,0,0,6,35,24,0,19,10,1,0,12
42,1,14,5,25,20,0,11,5,0,0,28
42,0,8,7,49,28,0,14,8,0,3,32
42,1,1,10,34,40,0,10,3,0,6,61
42,1,10,7,49,28,0,13,3,0,12,56
42,0,0,6,25,24,0,5,1,0,6,59
42,1,14,8,43,32,0,9,5,0,7,53
42,0,0,8,24,32,0,18,3,0,4,24
43,0,5,9,75,36,0,9,17,0,12,53
43,0,2,10,68,40,0,22,1,0,10,52
43,1,11,7,27,28,0,18,5,0,15,49
43,0,1,10,43,40,0,13,3,0,1,41
43,0,4,9,15,36,0,9,2,0,4,52
43,1,14,10,81,40,0,14,5,0,0,22
43,1,10,8,64,32,0,8,4,0,5,46
44,0,2,10,100,40,0,22,2,0,8,61
44,0,0,8,38,32,0,9,2,0,11,39
44,1,11,6,23,24,0,6,4,0,4,38
44,0,7,8,64,32,0,12,10,0,12,65
44,1,11,6,36,24,0,19,8,1,0,0
44,0,0,5,25,20,0,10,6,0,0,8
44,0,6,7,49,28,0,14,1,0,8,64
44,1,14,7,49,28,0,7,1,0,4,32
44,0,7,7,49,28,0,8,2,0,0,20
44,0,1,8,42,32,0,21,3,0,12,60
45,0,1,8,64,32,0,8,1,0,12,67
45,0,0,8,64,32,0,23,3,1,4,50
45,0,0,8,64,32,0,20,3,0,6,35
45,0,5,9,81,36,0,9,18,0,0,80
45,0,2,8,64,32,0,12,5,0,12,24
45,0,1,7,36,28,0,10,9,0,1,27
45,0,1,7,49,28,0,12,9,1,4,24
45,0,7,11,32,44,0,11,10,0,8,26
45,0,2,6,32,24,0,13,1,0,0,36
45,0,1,8,64,32,0,8,5,0,8,58
46,0,1,7,33,28,0,6,3,0,5,18
46,1,11,8,64,32,0,11,3,0,0,48
46,0,6,6,21,24,0,6,1,0,0,23
46,1,11,8,58,32,0,13,5,0,8,8
46,0,0,6,36,24,0,10,2,0,0,36
46,1,14,7,15,28,0,9,2,0,7,58
46,0,3,7,49,28,0,8,3,0,0,0
46,0,2,7,49,28,0,10,3,0,2,16
46,0,5,8,18,32,0,6,1,0,9,36
46,0,1,7,49,28,0,8,1,0,7,38
46,1,11,7,49,28,0,9,2,0,0,32
46,0,4,8,64,32,0,16,4,0,7,11
46,0,7,7,15,28,0,7,2,0,3,55
46,1,14,9,81,36,0,16,7,0,0,0
46,1,10,9,55,36,0,9,3,0,9,46
46,0,7,6,10,24,0,7,1,0,3,67
47,0,0,9,81,36,0,11,1,0,4,56
47,0,6,7,49,28,0,13,2,0,11,29
47,1,11,6,33,24,0,12,3,0,0,10
47,0,5,7,49,28,0,14,1,0,3,47
47,0,0,7,36,28,0,8,2,0,7,16
47,0,1,8,49,32,0,14,3,1,0,9
47,0,4,11,18,44,0,8,2,0,5,45
47,1,14,6,36,24,0,6,3,0,0,58
47,0,7,8,64,32,0,22,7,0,8,54
47,1,11,8,29,32,0,4,2,0,7,67
47,1,14,6,17,24,0,6,5,0,8,56
48,1,14,7,49,28,0,12,4,0,8,36
48,0,1,7,49,28,0,7,8,0,0,36
48,1,11,10,64,40,0,10,4,0,0,31
48,0,8,9,61,36,0,5,2,0,5,65
48,0,0,7,49,28,0,7,2,0,12,64
48,0,1,7,15,28,0,10,13,0,2,54
48,1,11,7,35,28,0,18,3,0,0,36
48,1,11,6,28,24,0,9,4,0,5,46
48,0,2,8,64,32,0,9,2,0,8,56
48,0,5,9,69,36,0,9,1,0,12,71
48,0,2,9,81,36,0,11,2,0,4,16
49,0,2,8,64,32,0,23,1,0,0,0
49,0,2,8,64,32,0,7,7,0,0,30
49,0,7,9,81,36,0,18,4,0,12,40
49,1,14,8,61,32,0,8,4,0,4,85
49,0,7,7,40,28,0,14,7,0,3,44
49,1,11,9,81,36,0,18,5,1,12,38
49,1,11,7,38,28,0,19,7,0,10,39
50,0,0,11,61,44,0,6,2,0,9,28
50,1,10,7,49,28,0,12,3,0,0,16
50,0,0,7,49,28,0,15,4,0,5,33
50,1,11,8,64,32,0,13,12,0,0,48
50,1,14,8,64,32,0,16,6,1,5,8
50,0,5,7,49,28,0,12,1,0,0,6
50,0,4,7,31,28,0,7,2,0,2,55
50,0,3,7,17,28,0,7,1,0,8,62
50,1,11,7,49,28,0,14,12,1,0,28
50,1,14,7,47,28,0,19,4,0,2,21
50,1,11,10,81,40,0,10,1,0,4,21
50,1,14,9,81,36,0,9,10,0,8,88
51,0,0,7,47,28,0,18,5,0,8,15
51,0,4,9,36,36,0,12,1,0,2,52
51,0,7,7,31,28,0,7,2,0,13,60
51,1,11,9,21,36,0,10,2,0,0,58
51,1,14,6,36,24,0,9,1,0,0,26
51,1,11,7,49,28,0,7,7,0,8,64
51,1,14,7,28,28,0,17,4,1,4,37
51,0,8,9,23,36,0,2,2,0,11,33
51,0,8,8,29,32,0,10,7,0,7,59
52,1,14,9,43,36,0,21,3,0,4,67
53,0,0,8,64,32,0,8,1,0,0,18
53,0,5,10,100,40,0,10,2,0,4,56
53,1,11,9,59,36,0,27,4,0,4,27
53,1,11,7,25,28,0,7,1,0,8,25
53,0,7,10,49,40,0,13,1,0,12,39
53,1,11,7,49,28,0,10,3,0,4,24
53,1,11,8,31,32,0,8,2,0,4,24
53,0,1,7,49,28,0,21,1,0,3,27
53,0,7,9,81,36,0,16,5,0,5,46
53,0,0,8,38,32,0,12,2,0,10,47
53,0,6,6,36,24,0,9,9,0,7,65
53,1,14,6,17,24,0,6,4,0,9,34
53,0,0,10,53,40,0,7,1,0,16,66
53,0,1,7,13,28,0,6,1,0,4,26
53,0,4,6,15,24,0,5,1,0,3,74
54,0,3,10,82,40,0,19,1,0,7,39
54,0,4,10,99,40,0,15,1,0,8,37
54,0,7,7,39,28,0,14,4,0,3,33
54,0,7,9,39,36,0,8,1,0,0,18
54,0,7,7,49,28,0,23,6,0,14,49
54,0,8,8,64,32,0,8,5,0,0,32
54,0,7,7,21,28,0,10,1,0,6,32
54,0,0,8,26,32,0,7,3,0,4,36
54,1,14,7,5,28,0,3,3,0,9,72
54,1,11,8,28,32,0,6,3,0,11,56
54,0,2,8,64,32,0,8,2,0,0,0
54,1,11,6,36,24,0,10,1,0,7,42
54,0,4,7,44,28,0,15,9,0,11,44
54,0,3,7,35,28,0,10,4,0,0,42
55,0,0,9,81,36,0,13,7,0,12,66
55,0,4,9,81,36,0,16,2,0,0,28
55,0,7,8,10,32,0,7,3,0,5,40
55,0,3,8,64,32,0,16,3,0,8,37
55,1,11,8,64,32,0,8,4,0,0,48
55,0,4,8,62,32,0,21,7,0,0,18
55,1,14,7,49,28,0,7,3,0,0,0
55,0,4,6,36,24,0,12,13,1,0,24
55,1,14,7,49,28,0,14,3,1,7,52
55,0,7,9,35,36,0,4,1,0,13,37
56,0,0,8,49,32,0,7,7,0,8,64
56,0,4,7,25,28,0,18,2,0,2,34
56,0,7,7,48,28,0,7,9,0,10,84
56,0,5,7,49,28,0,14,6,0,0,0
56,0,1,9,18,36,0,3,1,0,6,74
56,1,10,8,32,32,0,8,5,0,0,33
56,2,11,8,12,32,0,4,1,0,7,78
57,0,2,6,36,24,0,7,2,0,0,54
57,0,5,7,30,28,0,10,1,0,4,60
57,0,4,7,49,28,0,14,6,0,0,51
57,1,11,7,19,28,0,14,9,0,6,35
57,0,7,9,81,36,0,12,2,0,0,40
57,0,6,8,36,32,0,8,1,0,2,45
57,1,11,8,49,32,0,7,5,0,6,32
57,0,6,9,64,36,0,9,1,0,0,24
57,1,14,8,64,32,0,8,9,0,14,65
57,0,7,10,37,40,0,10,6,0,10,41
57,0,4,9,33,36,0,9,2,0,7,73
58,0,4,11,30,44,0,17,2,0,0,53
58,0,5,6,10,24,0,7,1,0,1,30
58,0,1,9,59,36,0,23,1,0,6,54
58,0,7,8,40,32,0,16,3,1,6,44
58,1,11,6,20,24,0,10,3,0,1,43
58,0,0,7,15,28,0,3,3,0,8,47
58,0,1,7,27,28,0,20,7,0,3,29
58,0,7,8,64,32,0,9,2,0,12,37
58,1,14,7,49,28,0,13,1,0,4,20
58,0,0,9,29,36,0,7,2,0,16,51
58,1,11,6,23,24,0,12,1,0,5,75
59,1,11,8,22,32,0,11,5,0,3,44
59,0,6,7,49,28,0,18,2,0,4,33
59,0,7,8,48,32,0,25,6,0,8,41
59,1,14,8,64,32,0,25,9,0,4,7
59,0,3,8,64,32,0,18,12,1,4,30
59,0,5,6,36,24,0,6,3,0,0,36
59,0,1,6,36,24,0,13,8,0,0,14
59,0,1,7,18,28,0,7,7,0,2,59
59,0,7,7,32,28,0,9,1,0,9,33
59,1,11,8,19,32,0,10,2,0,12,60
59,0,7,8,36,32,0,5,3,0,13,39
59,0,1,8,42,32,0,18,1,0,10,22
60,0,7,8,57,32,0,16,9,0,6,22
60,1,11,8,64,32,0,16,6,0,0,36
60,0,2,7,43,28,0,5,3,0,1,41
60,0,7,8,12,32,0,4,2,0,7,84
60,0,5,7,35,28,0,11,2,0,10,63
60,0,1,9,81,36,0,16,5,0,12,36
60,0,7,7,49,28,0,16,2,0,0,0
60,0,7,6,36,24,0,23,4,0,0,65
60,0,2,7,49,28,0,14,3,0,4,34
60,1,11,9,71,36,0,15,7,0,10,57
60,1,11,7,29,28,0,4,1,0,8,64
61,0,4,8,54,32,0,25,12,0,4,27
61,1,11,9,18,36,0,4,2,0,12,72
61,0,7,7,49,28,0,7,1,0,0,35
61,1,11,8,22,32,0,8,8,0,10,66
61,0,1,5,25,20,0,11,1,0,0,23
61,0,4,8,24,32,0,10,5,0,0,45
61,0,0,7,49,28,0,7,4,0,10,63
61,0,2,7,49,28,0,9,1,0,9,20
61,2,11,7,20,28,0,9,6,0,2,46
61,0,3,8,24,32,0,7,3,0,4,36
61,0,2,9,81,36,0,9,7,0,6,36
61,1,14,8,64,32,0,34,5,1,0,56
61,0,5,7,42,28,0,9,1,0,1,34
61,0,0,8,38,32,0,8,1,0,0,24
61,0,4,7,32,28,0,10,1,0,2,52
62,0,7,9,81,36,0,17,22,0,4,38
62,0,0,8,64,32,0,16,8,0,11,41
62,1,14,10,100,40,0,11,1,0,0,36
62,1,14,9,81,36,0,11,1,0,9,46
62,0,5,8,34,32,0,14,1,0,6,28
62,1,11,10,100,40,0,21,2,0,0,28
62,1,14,9,81,36,0,10,2,0,2,22
62,0,4,6,36,24,0,9,2,0,0,26
62,1,14,9,81,36,0,24,7,0,0,37
62,0,7,8,59,32,0,8,7,0,8,55
62,1,11,7,49,28,0,23,6,0,2,28
62,0,1,7,49,28,0,7,6,0,0,15
62,0,1,9,81,36,0,14,5,0,16,73
62,1,14,6,36,24,0,12,2,0,3,57
62,1,14,6,16,24,0,7,2,0,11,37
62,0,0,6,36,24,0,6,3,0,12,32
62,1,14,7,18,28,0,7,5,0,0,16
62,0,8,9,33,36,0,19,2,0,0,54
63,0,1,8,49,32,0,8,1,0,0,57
63,0,2,5,17,20,0,12,1,0,0,41
63,0,8,8,64,32,0,19,4,0,0,9
63,0,2,9,81,36,0,9,8,0,12,72
63,1,11,8,60,32,0,9,2,0,8,44
63,0,2,6,36,24,0,7,7,0,0,24
63,0,1,7,21,28,0,14,8,0,2,54
63,1,14,7,49,28,0,14,8,1,0,0
63,0,4,9,44,36,0,12,1,1,9,71
