run,seed,kinds_at,placed_at,top_kind,top_share,lines,kills,no_room,blocked,place_k,pop,travel
control,9,7.450980392156863,4.745098039215686,0.14738298039970937,0.5799305003796769,1,0.28294466591999107,0.48783506049339687,0.5219692076918269,nan,9441.764705882353,5.75
control,10,8.27450980392157,4.647058823529412,0.1486853006584398,0.6281520392234675,1,0.25470049030897224,0.492039269819165,0.5463367703344278,nan,8860.35294117647,4.25
control,11,7.254901960784314,4.470588235294118,0.1691253125201812,0.422830016248573,3,0.2842107819170713,0.4708800053343228,0.5185583647122108,nan,8995.098039215687,6.0
control,12,7.764705882352941,4.235294117647059,0.135056452837831,0.5172943609386459,1,0.3014026518350503,0.46504697179596904,0.4797138519766257,nan,7831.117647058823,4.75
control,13,7.2745098039215685,3.7450980392156863,0.1632230032288497,0.7773393500632766,1,0.2670640771754078,0.4658210783499889,0.47053921160096673,nan,8757.254901960785,5.75
control,14,7.607843137254902,3.5098039215686274,0.13065708394129777,0.44886112314978155,3,0.2723287926396276,0.46497831971232007,0.4909601131056938,nan,8280.235294117647,4.0
ring2,9,5.196078431372549,3.196078431372549,0.3641352477461129,0.39918302239805625,2,0.3034783636091403,0.34064511559712307,0.619825121213377,6.907647058823529,10960.196078431372,2.75
ring2,10,6.549019607843137,3.6862745098039214,0.16510312166729932,0.6045607062085312,2,0.34742162673856175,0.3211572662062559,0.5402218552859986,7.08235294117647,8367.078431372549,3.0
ring2,11,4.352941176470588,2.7254901960784315,0.31600898770798763,0.607600654857383,1,0.33478290291917284,0.33561995554014595,0.6269303597727751,6.902745098039215,10980.313725490196,1.5
ring2,12,4.117647058823529,2.607843137254902,0.3886425196850394,0.38309200561302653,3,0.3183993580001052,0.33038732671090437,0.6214146790869076,6.898823529411764,10762.823529411764,2.0
ring2,13,4.823529411764706,2.392156862745098,0.34240733709145077,0.7049241850617389,2,0.3120868117560719,0.3198561101022469,0.5644422566561081,6.5188235294117645,10705.666666666666,2.0
ring2,14,6.686274509803922,3.784313725490196,0.2177641489132774,0.6594838516658255,3,0.335479359926543,0.3344919050256527,0.5933416706196903,6.680588235294118,10047.137254901962,3.5
