step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share
11000,9788,5043,25038,58507,51660,33374,95,18927,1075,66,261916,2697606,28013.125,10815.911,0.2931,6017.680,0.119,0.683,0.128,0.071,0.582,0.285,1198,0.0789,0.6037,0.111,23.7,49.0,71.7,44.52,1.95,14.22,1.51,26.84,7.48,1.092,0.301,0.078,0.081,15.985,0.510,0.0030,232,801,4591,7442,1500,39,0.831,5366,42,989,8757,675,1702,7411,3.40,16.05,6615,12.5880,66792,4274,249117,651.7,-0.0,786986,19.723,2631002.543,7.61e-15,0.00046,16.93,15949,18.926,1.305,17.391,0.230,18.926,3394,3191,3203,0.4157,0.953,1.037,1.320,1.102,0.978,1.193,9967.594,6954.257,15615.966,9805.829,8609.010,1801.182,1029.550,1967.499,0.648,0.598,0.508,0.672,0.388,0.501,3258,4638,0.6136,1.0000,1.0000,0.1051,1.0000,1.0000,0.5909,0.6240,0.7050,0.0416,0.0426,0.0477,0.0000,0.2188,0.9371,0.0473,0.6605,0.9412,0.00249
12000,9479,4810,21418,44290,38351,22771,101,17944,1026,45,237660,2497331,23846.168,8346.282,0.2949,3965.311,0.109,0.701,0.123,0.067,0.576,0.292,1083,0.0753,0.6052,0.106,24.8,49.0,70.1,44.22,1.87,14.85,1.49,26.01,7.45,1.097,0.313,0.077,0.082,15.737,0.492,0.0031,248,932,3664,6715,1033,30,0.864,5126,116,722,8641,1048,1250,7181,3.48,16.17,8544,14.0745,67020,4699,231744,645.4,-0.0,803964,18.959,2631002.543,1.24e-14,0.00001,31.67,11823,16.042,1.262,14.561,0.220,16.043,3583,2831,3065,0.4032,0.949,1.036,1.364,1.100,0.981,1.201,9165.955,6480.995,10994.726,8984.496,7832.257,1534.122,959.717,1887.132,0.631,0.589,0.522,0.618,0.341,0.497,3484,2712,0.4975,1.0000,0.9999,0.1225,1.0000,1.0000,0.5973,0.6250,0.7108,0.0427,0.0421,0.0416,0.0000,0.7468,0.9383,0.2621,0.6599,0.9485,0.00244
13000,10177,5133,25287,55346,48486,29932,127,18635,1272,24,278005,2823969,28264.125,10285.047,0.2970,5124.619,0.106,0.698,0.123,0.072,0.589,0.282,1157,0.0753,0.6017,0.117,22.7,49.0,70.6,43.68,1.84,14.92,1.68,25.24,7.52,1.104,0.313,0.077,0.081,15.814,0.499,0.0029,235,830,3631,8918,835,27,0.677,5683,290,1354,8533,822,1310,8045,3.50,16.12,7316,13.1605,67068,4368,216511,780.5,-0.0,821911,19.736,2631002.543,2.12e-14,0.00001,10.33,16023,18.299,1.264,16.760,0.275,18.299,3370,3330,3477,0.4263,0.947,1.034,1.408,1.107,0.976,1.224,10354.971,7481.077,14102.015,10159.733,9126.997,1751.766,1152.331,2256.331,0.651,0.600,0.527,0.636,0.380,0.529,3203,4658,0.5115,1.0000,0.9999,0.1143,1.0000,0.9999,0.5973,0.6339,0.7241,0.0454,0.0382,0.0426,0.0000,0.0000,0.8274,0.1762,0.6233,0.9563,0.00248
14000,9964,5024,23454,45873,38835,22342,77,18551,1413,27,287635,2733820,25219.830,9730.880,0.3068,4215.393,0.086,0.732,0.121,0.062,0.569,0.296,1411,0.0809,0.6064,0.116,23.1,49.0,73.4,43.83,1.60,15.33,1.26,25.64,7.53,1.124,0.319,0.072,0.077,15.136,0.484,0.0030,237,910,3632,9856,864,24,0.736,5473,247,1397,8320,863,1091,8010,4.25,16.95,7501,12.1026,67105,4758,204935,696.3,0.0,835462,19.492,2631002.543,1.04e-14,0.00037,33.24,13190,17.232,1.271,15.721,0.241,17.233,3068,3168,3728,0.4158,0.962,1.041,1.479,1.126,0.980,1.244,9935.267,7265.593,10711.625,9746.107,8977.491,1794.272,1265.920,2455.295,0.603,0.596,0.519,0.568,0.374,0.493,3062,3676,0.4827,1.0000,1.0000,0.1318,1.0000,0.9999,0.5919,0.6528,0.7318,0.0341,0.0404,0.0354,0.0000,0.7572,0.9652,0.0775,0.6548,0.9787,0.00250
15000,10644,5112,25465,58464,50926,32899,100,19139,1669,40,293238,2966108,27214.661,10967.133,0.3167,5163.057,0.075,0.739,0.126,0.060,0.582,0.291,1247,0.0746,0.6148,0.123,22.7,49.0,70.8,42.59,1.57,14.01,1.39,25.62,7.48,1.139,0.298,0.075,0.083,14.218,0.480,0.0030,228,880,3584,10305,917,23,0.684,5755,85,1456,9103,625,1818,8201,4.00,16.11,5869,10.9897,67120,4719,196398,1160.3,-0.0,846963,19.451,2631002.543,3.63e-14,0.00007,23.67,17053,17.965,1.267,16.402,0.297,17.966,3314,3415,3915,0.4202,0.961,1.036,1.540,1.136,0.984,1.277,10932.122,7451.041,12173.254,10755.930,9448.534,1574.593,1370.043,2859.439,0.609,0.622,0.529,0.680,0.409,0.515,3183,3937,0.5073,1.0000,1.0000,0.1408,1.0000,0.9999,0.5934,0.6646,0.7438,0.0431,0.0327,0.0344,0.0000,0.2819,0.9314,0.1919,0.6827,0.9948,0.00250
16000,9578,4915,24316,46372,38965,21893,163,19604,1541,37,275522,3030308,24688.064,9564.146,0.3031,4344.601,0.073,0.750,0.119,0.058,0.583,0.293,1418,0.0834,0.6184,0.121,21.0,48.3,70.8,41.17,1.51,14.67,0.95,24.04,7.49,1.155,0.315,0.074,0.080,15.164,0.491,0.0030,230,861,3573,9715,875,21,0.622,5427,57,1236,8285,488,985,8105,4.16,16.85,5806,8.7873,67031,4843,188032,567.4,-0.0,858667,19.597,2631002.543,1.98e-14,0.00117,15.34,13384,16.804,1.275,15.281,0.248,16.804,2334,3384,3860,0.4126,0.974,1.036,1.573,1.168,0.980,1.301,11043.338,7571.963,8639.680,10852.813,9540.172,1255.732,1510.156,2453.658,0.604,0.618,0.538,0.520,0.405,0.506,3215,4200,0.6059,1.0000,1.0000,0.1490,1.0000,0.9999,0.6037,0.6797,0.7493,0.0418,0.0332,0.0366,0.0000,0.0229,0.9110,0.0494,0.6444,0.9855,0.00253
17000,10906,5092,24165,46219,38361,21866,188,18865,1733,28,297832,2939823,24881.175,9414.627,0.3042,3752.161,0.063,0.752,0.121,0.064,0.570,0.301,1416,0.0755,0.6253,0.120,18.8,48.5,71.7,40.79,1.42,14.77,0.83,23.77,7.59,1.159,0.308,0.078,0.086,14.161,0.466,0.0029,233,921,3475,11785,921,21,0.776,6124,77,1734,9095,690,1400,8816,3.75,15.73,7452,11.3124,67119,5026,179515,688.7,-0.0,866539,18.828,2631002.543,1.59e-15,0.00038,36.12,13268,16.307,1.272,14.704,0.331,16.307,2915,3672,4319,0.3887,0.961,1.044,1.599,1.171,0.977,1.304,10598.499,7982.393,8215.169,10429.531,9988.636,1342.903,1742.147,2577.415,0.594,0.593,0.537,0.533,0.401,0.506,3182,2211,0.5168,1.0000,0.9999,0.1569,1.0000,1.0000,0.6196,0.7134,0.7456,0.0324,0.0322,0.0394,0.0000,0.8136,0.9543,0.2285,0.6720,0.9671,0.00249
18000,9898,5308,26519,56960,48971,30279,162,20705,1825,24,340989,3239003,27711.010,11729.992,0.3059,5211.252,0.067,0.741,0.119,0.074,0.577,0.300,1449,0.0861,0.6220,0.128,17.8,46.6,73.0,38.89,1.54,13.80,0.91,22.65,7.45,1.194,0.300,0.088,0.099,15.054,0.502,0.0029,228,817,3698,12455,842,20,0.702,6000,105,1264,8529,734,1350,7814,3.51,15.46,5574,11.1710,67101,5108,169760,655.9,-0.0,879725,20.649,2631002.543,3.36e-15,0.00021,9.52,17419,18.673,1.263,17.077,0.334,18.674,2893,2912,4093,0.3743,0.966,1.071,1.671,1.167,0.980,1.364,10106.111,7786.464,13310.425,9953.285,9658.552,2283.603,1553.253,2681.882,0.613,0.593,0.540,0.626,0.395,0.501,3091,4973,0.5228,1.0000,0.9999,0.1183,0.9999,1.0000,0.6147,0.7252,0.7838,0.0380,0.0365,0.0437,0.0000,0.0000,0.7510,0.2293,0.6411,0.9510,0.00249
19000,9955,4849,25654,47725,39386,21771,300,20655,1948,37,290270,3126382,23885.985,9997.588,0.3324,3966.907,0.060,0.761,0.121,0.058,0.561,0.314,1640,0.0866,0.6473,0.105,14.0,44.0,71.5,37.47,1.34,13.71,1.07,21.34,7.28,1.214,0.306,0.077,0.087,13.435,0.495,0.0030,230,914,3873,13473,1039,23,0.548,5848,433,1222,8300,504,930,8521,3.78,16.92,8696,12.7154,67067,4217,160718,519.5,-0.0,887699,19.256,2631002.543,7.08e-16,0.00027,24.64,14596,16.896,1.264,15.300,0.331,16.896,2576,3144,4235,0.3919,0.967,1.058,1.732,1.181,0.980,1.408,10235.096,7537.465,8020.550,10099.497,9732.846,1571.441,1371.133,3088.106,0.566,0.579,0.546,0.498,0.388,0.495,2858,2957,0.5332,1.0000,1.0000,0.1426,1.0000,1.0000,0.6197,0.6910,0.8024,0.0365,0.0316,0.0398,0.0000,0.5700,0.9495,0.1120,0.6545,0.9455,0.00251
20000,10238,4926,26969,56988,49193,29682,337,19631,1895,34,261947,2976195,25681.536,10282.515,0.3332,4827.581,0.063,0.762,0.125,0.051,0.547,0.326,1264,0.0836,0.6528,0.109,16.5,47.6,73.6,39.13,1.32,12.39,0.84,24.58,7.27,1.221,0.274,0.085,0.095,12.961,0.471,0.0029,212,847,3477,12021,937,22,0.455,5449,289,826,9123,1288,1867,7083,3.29,17.02,8384,15.1376,67072,3984,154738,952.0,-0.0,893166,18.108,2631002.543,8.32e-15,0.00033,20.54,17934,16.857,1.273,15.251,0.333,16.880,4109,2612,3517,0.3493,0.974,1.073,1.762,1.202,0.980,1.421,8585.655,6411.364,14029.139,8448.039,8031.940,1599.796,1370.822,2484.316,0.609,0.543,0.513,0.641,0.336,0.430,2716,5126,0.4404,1.0000,0.9999,0.1038,1.0000,0.9999,0.6327,0.7065,0.7889,0.0301,0.0367,0.0367,0.0000,0.3531,0.9048,0.2450,0.7352,0.9551,0.00248
21000,8103,4168,24815,54680,47658,29689,176,18346,1466,30,241806,2648607,24935.038,10203.318,0.3099,5519.209,0.073,0.723,0.147,0.056,0.539,0.328,1175,0.0997,0.6330,0.130,17.1,45.7,72.3,38.92,1.61,13.10,1.07,23.14,7.17,1.210,0.296,0.082,0.091,13.626,0.503,0.0029,223,814,3179,9638,941,24,0.508,4747,50,687,7366,355,1241,6507,4.25,20.01,4604,9.9507,66959,4149,149271,936.9,-0.0,905914,18.311,2631002.543,3.72e-15,0.00023,8.53,16124,16.405,1.270,14.889,0.246,16.405,2205,2672,3226,0.3833,0.970,1.061,1.779,1.204,0.977,1.408,8338.156,6114.448,14915.061,8183.700,7355.486,1619.484,1182.067,1882.557,0.594,0.545,0.492,0.657,0.335,0.450,2864,7108,0.4425,1.0000,1.0000,0.0886,1.0000,0.9999,0.5932,0.6944,0.7858,0.0476,0.0385,0.0378,0.0000,0.0000,0.9094,0.0740,0.6577,0.9451,0.00251
22000,8552,4249,20664,37784,30790,17016,104,16096,1414,31,227060,2301004,19989.244,7460.054,0.3107,3050.966,0.054,0.751,0.146,0.049,0.528,0.327,1231,0.0918,0.6453,0.118,17.2,44.6,67.9,37.69,1.32,13.48,0.97,21.92,7.04,1.193,0.312,0.092,0.103,13.101,0.480,0.0029,226,884,2961,9942,700,23,0.592,4985,33,610,7909,586,1340,6626,4.50,20.68,6587,9.8795,67021,3620,142920,414.5,-0.0,911839,15.257,2631002.543,8.14e-15,0.00182,31.86,11373,13.154,1.255,11.653,0.245,13.154,2683,2732,3137,0.3780,0.971,1.054,1.784,1.193,0.976,1.381,8714.202,6149.423,6868.837,8568.565,7602.808,1007.033,1496.005,1906.051,0.548,0.542,0.506,0.503,0.396,0.461,2580,2674,0.5352,1.0000,0.9999,0.1377,1.0000,0.9999,0.6363,0.6912,0.7861,0.0219,0.0457,0.0377,0.0000,0.7820,0.9505,0.1297,0.7226,0.9534,0.00249
23000,8702,4412,23389,51203,44356,27682,132,18109,1491,32,241438,2513502,23365.219,8892.084,0.2985,4388.409,0.060,0.722,0.151,0.067,0.543,0.311,1589,0.0971,0.6413,0.149,22.0,45.7,66.3,39.65,1.59,13.29,1.07,23.70,7.08,1.153,0.304,0.105,0.118,13.187,0.512,0.0030,225,815,2540,11124,707,23,0.688,4879,70,1131,7501,747,1482,6473,3.75,19.68,4746,10.6236,67112,3383,137037,673.2,0.0,920100,17.189,2631002.543,6.73e-15,0.00019,11.13,14119,15.106,1.261,13.612,0.233,15.106,3131,2786,2785,0.4400,0.941,1.032,1.765,1.113,0.977,1.375,8650.893,5240.318,12746.537,8508.237,6498.853,1158.431,1683.118,1662.127,0.624,0.507,0.511,0.670,0.357,0.433,2632,3607,0.4438,1.0000,1.0000,0.0875,1.0000,1.0000,0.6155,0.6816,0.7599,0.0371,0.0451,0.0388,0.0000,0.0000,0.7341,0.2065,0.6514,0.9419,0.00249
24000,8490,3907,20209,35557,29244,15274,74,16000,1088,19,207313,2081389,19761.546,6754.765,0.3042,2813.308,0.060,0.726,0.158,0.056,0.516,0.326,1216,0.0941,0.6332,0.130,19.5,44.8,67.5,38.39,1.52,13.46,1.17,22.24,7.01,1.159,0.306,0.097,0.107,12.952,0.496,0.0030,230,862,2239,9077,415,23,0.549,4835,89,863,7538,686,746,7058,4.70,23.42,6084,9.7714,67201,3577,130532,432.7,-0.0,927502,15.503,2631002.543,8.50e-15,0.00027,20.30,10523,12.984,1.259,11.488,0.237,12.984,2312,3138,3040,0.4345,0.955,1.033,1.722,1.176,0.972,1.340,8464.592,5512.362,7499.219,8306.414,6769.222,1168.019,1410.310,1363.128,0.542,0.503,0.512,0.473,0.351,0.487,2549,3314,0.5159,1.0000,1.0000,0.1125,1.0000,1.0000,0.6251,0.6895,0.7455,0.0384,0.0439,0.0356,0.0000,0.4606,0.9382,0.0748,0.6367,0.9467,0.00249
25000,9407,3896,22329,42132,35245,19710,93,16837,1216,23,218705,2250629,22436.281,7534.776,0.3000,3434.691,0.065,0.726,0.162,0.048,0.520,0.323,1337,0.0907,0.6345,0.138,21.9,45.3,66.2,39.65,1.62,13.59,1.05,23.39,7.02,1.142,0.314,0.110,0.120,12.358,0.448,0.0030,231,828,2531,8408,470,22,0.815,4940,351,1470,7586,724,1731,6952,5.25,24.44,5690,11.4296,67373,3195,124980,572.5,-0.0,933195,16.367,2631002.543,2.90e-14,0.00015,32.07,12270,14.357,1.253,12.867,0.237,14.357,3615,3094,2698,0.4491,0.955,1.026,1.618,1.124,0.976,1.355,8485.870,5184.042,11115.974,8355.063,6399.936,1266.022,1365.621,1468.443,0.584,0.516,0.474,0.574,0.324,0.440,2393,3336,0.5004,1.0000,1.0000,0.0971,1.0000,1.0000,0.6012,0.6928,0.7592,0.0448,0.0417,0.0321,0.0000,0.7074,0.9404,0.2658,0.6475,0.9625,0.00249
