step,lineage,size,mass,hard,muscle,sensor,digestive,bite_any,tooth,age,plant,meat,shapes
5000,1,6794,42.62,1.94,12.19,1.05,24.42,0.26,0.063,714,38.58,13.44,3685
5000,188,941,37.97,0.62,11.87,1.88,23.36,0.22,0.066,374,22.55,8.84,610
5000,231,126,36.04,1.17,6.23,0.48,27.21,0.04,0.016,227,15.91,6.63,51
5000,289,56,57.81,17.21,4.52,1.84,24.62,1.07,0.179,490,35.43,6.63,34
5000,132,52,51.20,8.69,0.21,0.12,28.94,0.00,0.000,1838,91.50,27.68,35
5000,177,37,39.21,0.11,0.59,0.00,39.95,0.00,0.000,596,31.63,15.56,18
5000,257,29,50.97,0.00,0.10,1.24,40.59,0.00,0.000,2676,138.13,46.97,23
5000,154,26,78.55,15.12,0.00,0.62,46.08,0.00,0.000,1521,111.07,14.58,15
5000,4,23,43.19,2.61,4.17,8.04,27.22,0.43,0.217,1856,98.53,25.50,18
5000,192,19,29.09,1.89,0.00,0.63,15.26,0.00,0.000,1704,71.14,28.24,14
5000,393,19,63.47,1.00,2.32,19.84,42.74,0.00,0.000,2681,147.46,35.18,19
5000,435,18,47.05,0.11,3.28,0.00,41.78,0.00,0.000,291,22.87,8.20,8
5000,125,18,51.53,5.50,3.94,1.28,29.72,1.50,0.444,621,32.55,8.27,10
5000,539,17,67.56,16.24,9.41,0.00,17.18,2.82,0.941,2332,101.49,25.05,13
5000,22,17,63.69,6.12,0.53,0.00,47.24,0.24,0.059,2537,142.05,41.15,12
5000,253,17,42.94,5.06,2.24,0.00,28.88,0.29,0.059,2362,109.73,22.96,14
5000,388,16,86.86,0.00,0.00,0.00,77.31,0.00,0.000,2185,150.04,39.95,10
5000,452,16,61.91,0.00,1.31,0.88,53.38,0.00,0.000,2228,104.03,37.24,11
5000,248,16,34.43,1.75,0.00,0.00,27.69,0.00,0.000,1729,99.61,25.46,11
5000,282,15,52.55,4.67,0.00,3.80,35.07,0.00,0.000,2577,122.43,36.00,15
5000,260,14,48.02,0.00,0.00,0.00,42.86,0.00,0.000,2444,105.79,74.35,8
5000,111,14,62.99,2.00,38.07,0.00,26.93,0.86,0.143,2260,150.82,15.27,14
5000,65,13,34.04,1.77,0.00,0.00,27.85,0.00,0.000,1724,59.20,23.85,7
5000,287,12,58.22,0.00,0.00,0.00,47.25,0.00,0.000,3112,182.95,84.41,8
5000,80,12,23.20,1.50,0.00,0.00,16.08,0.00,0.000,2228,74.91,29.62,9
5000,526,11,55.98,3.36,9.45,0.00,35.82,0.36,0.091,2063,95.44,26.96,8
5000,95,11,90.80,0.00,0.00,13.73,62.55,0.00,0.000,3547,220.64,82.61,10
5000,349,9,44.02,8.44,8.44,0.00,22.11,0.56,0.222,1701,88.83,14.54,7
5000,575,8,54.14,2.25,0.00,0.00,38.12,0.00,0.000,3896,226.42,109.19,8
5000,54,8,41.98,0.00,3.00,0.00,36.38,0.00,0.000,3589,167.52,78.68,8
5000,116,8,62.32,10.00,2.75,0.00,36.75,0.75,0.125,3253,141.45,59.32,7
5000,34,8,37.84,0.00,0.50,0.00,35.62,0.00,0.000,2436,124.59,50.50,8
5000,338,8,46.91,12.50,10.00,0.00,17.38,1.12,0.250,1087,67.38,3.22,8
5000,312,7,69.14,0.00,0.29,0.00,61.57,0.00,0.000,3751,177.42,84.38,7
5000,657,7,55.97,10.29,4.00,0.29,28.86,0.43,0.143,1936,96.80,46.76,7
5000,635,6,68.27,0.00,0.00,0.00,55.50,0.00,0.000,3237,179.97,89.83,6
