x,y,land,air,ground
0,0,0.000,-0.0000,-0.0000
1,0,0.000,-0.0000,-0.0000
2,0,0.000,-0.0000,-0.0000
3,0,0.000,-0.0000,-0.0000
4,0,0.000,-0.0000,-0.0000
5,0,0.000,-0.0000,-0.0000
6,0,0.000,-0.0000,-0.0000
7,0,0.000,-0.0000,-0.0000
8,0,0.000,-0.0000,-0.0000
9,0,0.000,-0.0000,-0.0000
10,0,0.000,-0.0000,-0.0000
11,0,0.000,-0.0000,-0.0000
12,0,0.000,-0.0000,-0.0000
13,0,0.000,-0.0000,-0.0000
14,0,0.000,-0.0000,-0.0000
15,0,0.000,-0.0000,-0.0000
16,0,0.000,-0.0000,-0.0000
17,0,0.000,-0.0000,-0.0000
18,0,0.000,-0.0000,-0.0000
19,0,0.000,-0.0000,-0.0000
20,0,0.000,-0.0000,-0.0000
21,0,0.000,-0.0000,-0.0000
22,0,0.000,-0.0000,-0.0000
23,0,0.000,-0.0000,-0.0000
24,0,0.000,-0.0000,-0.0000
25,0,0.000,-0.0000,-0.0000
26,0,0.000,-0.0000,-0.0000
27,0,0.000,-0.0000,-0.0000
28,0,0.000,-0.0000,-0.0000
29,0,0.000,-0.0000,-0.0000
30,0,0.188,0.2997,0.3881
31,0,1.000,0.4070,0.7245
32,0,1.000,0.4722,0.8556
33,0,1.000,0.4489,0.7683
34,0,1.000,0.4195,0.6772
35,0,1.000,0.4179,0.6798
36,0,1.000,0.4230,0.6966
37,0,1.000,0.4188,0.6789
38,0,1.000,0.4035,0.6212
39,0,1.000,0.3886,0.5548
40,0,1.000,0.3802,0.5050
41,0,1.000,0.3715,0.4552
42,0,1.000,0.3617,0.3968
43,0,1.000,0.3529,0.3376
44,0,1.000,0.3362,0.2173
45,0,1.000,0.3207,0.0878
46,0,1.000,0.3187,0.0717
47,0,1.000,0.2392,0.0524
48,0,1.000,0.2579,0.0533
49,0,1.000,0.3166,0.0640
50,0,1.000,0.3180,0.0694
51,0,1.000,0.2591,0.0591
52,0,1.000,0.3199,0.0766
53,0,1.000,0.2609,0.0680
54,0,1.000,0.2969,0.0581
55,0,1.000,0.2187,0.0458
56,0,1.000,0.3164,0.0596
57,0,1.000,0.3186,0.0714
58,0,1.000,0.3208,0.0803
59,0,1.000,0.3228,0.0879
60,0,0.312,0.3331,0.0814
61,0,0.000,-0.0000,-0.0000
62,0,0.000,-0.0000,-0.0000
63,0,0.000,-0.0000,-0.0000
64,0,0.000,-0.0000,-0.0000
65,0,0.000,-0.0000,-0.0000
66,0,0.000,-0.0000,-0.0000
67,0,0.000,-0.0000,-0.0000
68,0,0.000,-0.0000,-0.0000
69,0,0.000,-0.0000,-0.0000
70,0,0.188,0.2990,0.3876
71,0,1.000,0.3912,0.6957
72,0,1.000,0.4205,0.6899
73,0,1.000,0.3854,0.5210
74,0,1.000,0.3706,0.4558
75,0,1.000,0.3609,0.4016
76,0,1.000,0.3575,0.3782
77,0,1.000,0.3606,0.3962
78,0,1.000,0.3609,0.4001
79,0,1.000,0.3647,0.4207
80,0,1.000,0.3694,0.4484
81,0,1.000,0.3666,0.4360
82,0,1.000,0.3700,0.4494
83,0,1.000,0.3678,0.4398
84,0,1.000,0.3635,0.4133
85,0,1.000,0.3585,0.3797
86,0,1.000,0.3070,0.2865
87,0,1.000,0.3355,0.2150
88,0,1.000,0.3268,0.1473
89,0,1.000,0.3217,0.0941
90,0,1.000,0.3182,0.0714
91,0,1.000,0.3171,0.0652
