step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share
1000,20893,19830,101958,831616,801659,711010,18648,101030,1345,2,163541,7889575,184284.370,53239.563,0.2140,51052.692,0.250,0.250,0.261,0.239,0.698,0.289,699,0.0077,0.7548,0.254,6.4,40.6,81.5,40.08,3.77,4.16,2.94,29.21,7.77,1.019,0.084,0.049,0.050,22.910,0.863,0.0027,243,664,2729,5156,123,0,0.000,10670,6442,4705,9746,1956,6905,12032,0.00,0.50,9283,31.9044,66717,8447,537967,418.3,-0.0,464692,83.661,2631002.543,4.07e-15,0.00092,30.00,241049,114.505,1.338,110.299,2.868,114.506,15857,1812,3224,0.4625,0.827,1.013,1.224,1.014,0.899,1.113,36956.217,12711.184,174296.161,37560.956,23479.944,1432.046,475.662,279.163,0.749,0.593,0.556,0.905,0.747,0.750,6592,2664,0.7509,1.0000,1.0000,0.0268,0.9999,1.0000,0.6360,0.5262,0.5817,0.0927,0.1568,0.0635,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246
2000,15241,8416,28631,65073,60189,35950,492,32756,623,0,155109,2117557,35588.312,7247.556,0.2246,5070.179,0.226,0.340,0.229,0.204,0.559,0.376,592,0.0206,0.6233,0.243,21.5,50.4,85.6,49.22,3.56,8.11,2.22,35.32,7.86,1.031,0.157,0.057,0.057,19.078,0.660,0.0032,410,1414,2634,4683,85,0,0.000,8369,1207,2509,11525,603,1196,13442,0.00,3.50,9240,9.3683,66819,5722,489435,484.2,-0.0,532108,41.802,2631002.543,1.89e-14,0.00005,25.34,21008,32.848,1.320,30.215,1.313,32.849,3056,4409,7776,0.3798,0.878,1.022,1.188,1.033,0.922,1.092,15947.145,14582.170,6091.132,15910.914,18656.446,322.366,1095.428,759.582,0.581,0.544,0.550,0.630,0.536,0.571,5879,904,0.8153,1.0000,1.0000,0.0597,1.0000,1.0000,0.5262,0.6254,0.6159,0.1602,0.0713,0.0371,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248
3000,11240,6039,19491,47689,43165,27841,357,22663,731,1,161997,1754965,26339.174,6747.895,0.2721,3993.407,0.201,0.436,0.184,0.179,0.548,0.351,777,0.0361,0.6020,0.200,18.1,47.3,83.2,46.71,2.93,10.22,1.71,31.85,7.85,1.033,0.203,0.062,0.062,21.039,0.527,0.0034,312,1690,3415,5467,266,0,0.000,6787,36,1551,9653,512,1559,9169,0.00,6.48,13641,14.6234,66730,6453,452432,539.1,-0.0,566371,26.109,2631002.543,1.26e-14,0.00488,14.43,15717,21.630,1.353,19.677,0.601,21.631,2657,3980,4603,0.4633,0.889,1.009,1.207,1.041,0.938,1.110,11071.111,10731.573,5895.010,10986.627,13450.943,436.623,1155.154,1162.711,0.588,0.547,0.533,0.673,0.541,0.592,4777,97,0.7768,1.0000,1.0000,0.1740,0.9998,1.0000,0.6006,0.6694,0.6449,0.1002,0.0583,0.0444,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249
4000,15145,7871,30679,92792,85134,61591,522,24821,1617,41,289263,2800601,39027.598,12593.138,0.2661,7781.707,0.169,0.502,0.166,0.163,0.606,0.289,1227,0.0394,0.6226,0.183,19.4,48.8,78.5,46.77,2.22,11.73,1.53,31.29,7.77,1.023,0.238,0.057,0.059,19.840,0.532,0.0030,244,839,5872,9555,628,0,0.000,8875,95,2215,12835,1506,2985,10654,0.25,8.23,6949,16.2434,66779,5783,421662,895.4,0.0,600659,26.712,2631002.543,1.70e-14,0.00146,37.93,30326,28.040,1.330,25.741,0.969,28.041,6773,4027,4345,0.4958,0.865,1.001,1.183,1.004,0.958,1.113,12409.569,9795.881,21853.139,12244.381,12711.785,1542.916,2043.637,1224.879,0.704,0.568,0.543,0.749,0.512,0.609,4490,295,0.7026,0.9999,0.9999,0.0887,1.0000,1.0000,0.6182,0.6885,0.6726,0.0517,0.0449,0.0437,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250
5000,11039,5912,22981,50891,42948,27738,172,24581,1707,47,307655,2747698,27784.468,10895.982,0.3045,5040.388,0.138,0.572,0.145,0.146,0.577,0.297,1555,0.0682,0.6181,0.153,17.0,45.9,79.6,44.36,2.04,13.56,1.47,27.29,7.72,1.059,0.281,0.052,0.055,21.579,0.520,0.0032,288,983,8430,12531,1574,44,0.434,7199,56,1749,9234,516,1641,8882,1.75,12.92,6716,9.5662,66772,5317,389457,523.6,-0.0,638329,27.176,2631002.543,2.83e-15,0.00040,12.68,15858,23.870,1.338,22.043,0.490,23.871,2904,3836,4299,0.4373,0.948,1.019,1.237,1.064,0.971,1.135,11895.349,9129.019,9186.902,11709.329,11928.625,1096.905,2528.451,2230.238,0.672,0.558,0.531,0.642,0.460,0.574,3872,752,0.7014,1.0000,1.0000,0.1272,1.0000,1.0000,0.6470,0.7529,0.7214,0.0536,0.0470,0.0394,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249
6000,12178,5981,24559,51517,43056,26845,113,20888,1827,105,317141,2815326,27702.625,10857.728,0.2922,5065.917,0.113,0.647,0.117,0.123,0.575,0.291,1440,0.0677,0.6249,0.142,19.0,48.4,80.9,45.66,1.74,14.20,1.67,28.04,7.76,1.064,0.292,0.049,0.055,18.980,0.468,0.0030,245,1049,9803,12259,2624,55,0.492,7586,294,1641,10243,1124,2027,9027,2.69,14.34,8911,14.2735,66781,5134,357086,731.2,-0.0,668972,22.396,2631002.543,1.82e-14,0.00070,23.20,16003,21.815,1.341,19.949,0.525,21.815,4569,3590,4019,0.4251,0.951,1.025,1.234,1.069,0.974,1.139,11457.671,8341.824,10074.422,11283.984,11410.135,1468.272,2259.535,2064.004,0.641,0.566,0.540,0.553,0.437,0.592,3848,600,0.6845,1.0000,1.0000,0.1465,1.0000,1.0000,0.6433,0.7763,0.7390,0.0362,0.0403,0.0386,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248
7000,10925,6001,25142,58071,49879,32715,214,23593,1832,112,335452,3128889,29741.858,11510.430,0.2782,5677.656,0.113,0.642,0.120,0.124,0.588,0.283,1931,0.0799,0.6212,0.150,18.3,47.5,79.2,44.73,1.67,14.90,1.56,26.61,7.78,1.070,0.309,0.045,0.050,19.542,0.534,0.0031,258,911,9184,14481,3174,61,0.551,6978,519,1169,9237,997,1430,8498,3.00,15.69,6009,11.8297,66848,5106,325350,557.6,-0.0,705829,25.208,2631002.543,2.02e-14,0.00012,24.47,17893,24.579,1.344,22.818,0.418,24.579,3795,3295,3835,0.4294,0.955,1.026,1.258,1.072,0.975,1.149,10373.606,7966.462,14840.589,10177.790,10401.134,2115.323,1932.559,1784.892,0.667,0.556,0.538,0.663,0.400,0.548,3803,858,0.7002,1.0000,1.0000,0.1003,1.0000,1.0000,0.6564,0.8099,0.7714,0.0378,0.0360,0.0378,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243
8000,10595,5834,23030,46066,38114,22895,141,21268,1648,104,292522,2949579,26216.777,9610.351,0.2950,4217.168,0.089,0.681,0.120,0.110,0.580,0.287,1490,0.0810,0.6270,0.128,17.8,47.0,79.0,44.59,1.54,15.17,1.67,26.21,7.82,1.086,0.315,0.054,0.059,18.654,0.514,0.0031,253,1052,7796,15154,2754,57,0.670,6961,660,1019,8916,953,1363,8279,3.75,16.76,5819,10.6597,66749,5359,298946,472.0,-0.0,734555,22.492,2631002.543,7.96e-15,0.00110,7.77,14283,21.664,1.365,19.926,0.374,21.665,3640,3063,3892,0.3946,0.966,1.044,1.299,1.090,0.977,1.169,10261.975,8063.099,10006.465,10098.500,10328.981,1567.713,1798.148,2027.322,0.629,0.579,0.541,0.535,0.424,0.539,3741,340,0.6711,1.0000,0.9998,0.1281,1.0000,1.0000,0.6612,0.8320,0.7701,0.0378,0.0329,0.0325,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249
9000,11045,5655,25837,49010,39777,22857,316,22691,1996,83,328307,3199794,26163.733,10630.095,0.3156,4153.386,0.074,0.710,0.128,0.088,0.569,0.296,2392,0.0856,0.6449,0.125,13.7,43.0,75.8,40.27,1.28,13.59,1.50,23.91,7.78,1.122,0.304,0.043,0.048,16.804,0.493,0.0031,234,944,6415,22658,2127,55,0.478,7044,47,1116,9882,848,1937,8260,4.25,17.74,5279,10.0538,66743,5251,277157,488.1,-0.0,758630,22.176,2631002.543,2.74e-14,0.00197,30.68,15328,21.713,1.339,19.961,0.413,21.713,3859,3040,4146,0.3643,0.968,1.069,1.366,1.139,0.977,1.213,10176.635,8198.141,9956.194,9996.556,10364.369,1884.200,1959.803,2632.706,0.597,0.574,0.545,0.500,0.417,0.488,3539,617,0.5997,1.0000,1.0000,0.1244,1.0000,0.9999,0.6808,0.8972,0.8382,0.0357,0.0252,0.0333,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248
10000,10740,5741,25852,49504,40639,23141,511,22771,2188,66,321804,3250527,25229.745,10786.534,0.3269,4211.158,0.068,0.719,0.132,0.082,0.554,0.314,1941,0.0891,0.6695,0.139,10.1,42.2,76.5,37.98,1.39,13.39,1.15,22.05,7.83,1.160,0.304,0.050,0.056,16.305,0.500,0.0030,223,939,5805,23629,2362,53,0.548,6864,30,1075,9635,648,1453,8639,3.95,17.34,5364,9.3561,66760,5293,257627,513.1,0.0,780448,21.015,2631002.543,2.09e-14,0.00304,11.37,16440,20.565,1.321,18.820,0.425,20.589,2991,3143,4606,0.3535,0.971,1.085,1.468,1.159,0.980,1.284,10271.842,8266.426,8673.043,10081.726,10686.134,1906.388,1780.540,2888.448,0.557,0.570,0.543,0.498,0.439,0.480,3541,1132,0.5668,1.0000,1.0000,0.1329,1.0000,1.0000,0.6412,0.9457,0.8945,0.0338,0.0288,0.0477,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245
