run,k,k2,kinds_at,placed_at,kills,pop,d_hunger,d_thirst,d_cold,d_broken,d_wound,pop_land,over_stand,over_lawn,stand_ratio,land_ratio,stand_q,lines,line,line_stand,line_lawn,line_stand_q,line_lawn_q
life9_h0d0,0.0,0.0,7.08,4.44,0.28189704173222596,9509.0,0.35887906425078114,0.4813635689136505,0.01790174508678738,0.0020727899493294955,0.13978283179945147,4138.129032258064,17.377666666666666,18.973437500000003,0.9734763426941061,0.6882649200177449,20k/18k/18k/19k,4,1885,1.264065708418891,0.3953174245835209,28/8/12/44,106/32/79/41
life9_h0d2.5,0.0,2.5,8.44,4,0.2816445086105598,9636.90322580645,0.4088862872624157,0.4539858100126557,0.01673113946673214,0.0008435381604861646,0.11955322509771027,4032.516129032258,17.370687500000003,18.984145833333336,0.9972882581578234,0.6850597858046581,17k/17k/16k/16k,2,2390,0.9978021978021978,0.396663829787234,33/3/58/88,70/25/175/72
life9_h0d5,0.0,5.0,7.36,4.8,0.27795127373552575,10096.774193548386,0.37822220547416585,0.45934157560308503,0.02211093244750955,0.002961702972053907,0.13736358350318564,4839.548387096775,17.372541666666667,18.979479166666668,0.987034704874373,0.7125307865540902,25k/24k/24k/23k,2,1903,1.2505978851665183,0.4384768092402094,409/697/434/357,116/73/115/28
life9_h1d0,1.0,0.0,7.16,4,0.2560365519984526,8643.258064516129,0.38965285503718805,0.4749809400642673,0.01520051052390822,0.0019003461849067898,0.11826534818972965,3630.7419354838707,13.528416666666665,18.9253125,1.0009071666162686,0.7016819627113745,17k/17k/16k/16k,1,470,0.939662171528149,0.32139944758647904,1121/1068/983/909,1101/307/800/304
life9_h1d1,1.0,1.0,6.92,3.8,0.2760467146074405,9548.645161290322,0.3766476760220971,0.4548292566350275,0.016027819051814877,0.002036203820505136,0.15045904447055544,4283.419354838709,13.521333333333333,18.929479166666667,1.0045118082481495,0.7197807202775777,22k/22k/21k/21k,1,798,1.0026663530933517,0.30538011695906436,1407/1495/1428/1348,374/142/480/120
life9_h1d5,1.0,5.0,6.32,3.24,0.29948925139142496,10323.548387096775,0.3598630239520958,0.4206362275449102,0.018955838323353295,0.0028794910179640717,0.19766541916167665,4751.967741935484,13.526479166666666,18.926229166666666,1.040700135455469,0.7834611117550628,25k/25k/22k/24k,2,1104,1.121471264367816,0.45948364888123916,28/26/62/76,64/44/178/67
life9_h2.5d0,2.5,0.0,7.64,4.72,0.27092874776202713,9248.677419354839,0.39194068078009253,0.4698439360688416,0.012870488244640406,0.0027856584288475455,0.12255923647757791,4006.9032258064517,9.427458333333332,18.85485416666667,1.0359549335733966,0.7076932298891915,19k/20k/18k/18k,1,748,0.9523994327934919,0.24794143115799416,1120/1174/1114/953,465/172/594/91
life9_h2.5d2.5,2.5,2.5,7.12,4.04,0.28884086860308567,9035.0,0.39893315222190284,0.44892948866080873,0.015332942553483294,0.002103259817874045,0.1347011567459311,3422.3225806451615,9.438145833333333,18.851666666666667,1.0198744439887693,0.7311212484993997,16k/17k/16k/15k,3,14,1.141491395793499,0.4251305373084049,158/199/17/0,168/60/80/45
life9_h5d0,5.0,0.0,7.48,4.36,0.28427373271953255,9292.967741935483,0.39067505606663216,0.45847385168936705,0.011442044524811307,0.002515387303638869,0.13689366041555057,4162.8387096774195,8.5154375,18.73439583333333,0.9917757541263518,0.6733259149996981,18k/18k/17k/17k,1,535,1.0039438621424766,0.3173776123675923,1321/1341/1259/1249,1095/304/652/250
life9_h5d1,5.0,1.0,6.84,3.84,0.320128717692531,8443.129032258064,0.40429668078415854,0.43198744263413136,0.013245105516754868,0.0016633824191671634,0.14880738864578805,3216.0,8.5105,18.749437500000003,1.025687597301505,0.7172798760492831,14k/15k/13k/13k,3,3,0.9534233705226072,0.2808616748631987,580/749/839/604,533/157/670/180
life9_h5d5,5.0,5.0,7.28,4.4,0.29806179570878866,8546.0,0.4252805532820949,0.44618480358887974,0.011283011795996285,0.0027872686672885303,0.11446436266574057,3503.8064516129034,8.510854166666666,18.750041666666668,0.958897788325258,0.6740986529318542,15k/15k/15k/14k,1,1,0.9233453733270515,0.30392022811025327,1218/1121/1170/1084,1463/355/1036/405
