step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2
1000,2722,0.9129,37974.9,907,944,831,947,12,14,18
2000,2621,0.9168,47552.2,1818,938,808,875,14,16,19
3000,2697,0.9025,53704.6,2611,1032,806,859,20,21,20
4000,3014,0.4927,28691.3,421,1425,1178,411,90,114,79
5000,3882,0.5783,24376.3,402,1794,1594,494,167,197,71
6000,3684,0.5081,19282.3,389,1642,1646,396,215,221,100
7000,3365,0.4808,22036.2,330,1600,1393,372,198,164,142
8000,3630,0.4802,23187.3,371,1815,1404,411,177,236,159
9000,3450,0.4977,21170.4,358,1689,1360,401,184,189,135
10000,3319,0.4953,17092.6,310,1615,1307,397,204,223,180
11000,2364,0.5580,12738.6,366,1156,913,295,150,158,123
12000,1552,0.6018,9043.2,472,869,475,208,105,100,103
13000,1301,0.6633,7525.5,616,747,378,176,41,147,102
14000,919,0.6681,5608.8,662,625,198,96,34,95,64
15000,772,0.6036,5295.7,659,615,129,28,20,53,21
16000,1013,0.5192,5718.3,440,754,197,62,20,101,52
17000,1043,0.5657,6629.4,411,727,229,87,44,101,55
18000,1718,0.4453,6585.6,237,936,530,252,77,189,144
19000,1945,0.5347,7954.6,245,1016,704,225,93,134,141
20000,2909,0.4895,12123.9,235,1285,1125,499,143,149,212
21000,3463,0.5227,12029.6,238,1433,1471,559,232,292,225
22000,3747,0.6109,19779.1,415,1481,1715,551,302,245,151
23000,4527,0.5887,26153.0,515,1997,1954,576,347,294,179
24000,4463,0.6025,26736.5,617,1927,1857,679,351,333,207
25000,4376,0.6524,28895.4,710,1941,1801,634,263,317,157
26000,4485,0.6323,32149.6,716,1984,1884,617,266,304,152
27000,4476,0.5979,32566.0,706,1839,2064,573,246,323,154
28000,4459,0.5923,30989.7,647,1965,1867,627,241,298,172
29000,3917,0.5918,24587.5,590,1765,1523,629,254,231,212
30000,3609,0.5267,19714.5,459,1669,1431,509,282,278,204
31000,2959,0.5786,15327.9,431,1390,1102,467,208,201,215
32000,2402,0.5516,10695.8,388,1237,774,391,174,201,192
33000,1732,0.5404,8889.0,443,1097,385,250,120,159,133
34000,1238,0.6284,6372.5,503,762,282,194,75,179,152
35000,1110,0.5505,6314.4,439,866,184,60,46,142,56
36000,1113,0.5463,6574.0,421,781,217,115,37,161,110
37000,1950,0.5436,9149.0,365,1113,461,376,112,241,241
38000,2047,0.5388,9468.9,369,1036,674,337,142,201,198
39000,2965,0.5140,14021.5,330,1398,1150,417,195,260,224
40000,3563,0.5100,16038.8,334,1648,1362,553,253,259,231
41000,3620,0.5583,21015.0,431,1560,1504,556,236,215,186
42000,4955,0.5074,26961.2,409,1952,2009,994,321,238,254
43000,4858,0.5350,31919.6,486,1941,2080,837,275,222,208
44000,5299,0.5309,33584.1,494,2270,2056,973,264,279,208
45000,5093,0.5529,33897.4,511,2190,1981,922,282,289,210
46000,5132,0.5095,37958.3,524,2266,1954,912,284,250,212
47000,5048,0.5139,36489.8,539,2265,1805,978,268,260,213
48000,5075,0.5174,32590.4,481,2113,2015,947,297,263,236
49000,4718,0.5451,28492.0,475,1979,1846,893,296,278,207
50000,4109,0.5186,24227.6,467,1738,1691,680,262,237,216
51000,3657,0.5250,20024.4,435,1565,1296,796,241,208,217
52000,3005,0.5514,16247.8,451,1442,972,591,176,238,186
53000,2186,0.5640,11412.5,505,1177,612,397,127,234,202
54000,1682,0.5910,8151.4,517,1023,407,252,97,267,187
55000,1257,0.5823,5996.9,462,941,247,69,60,184,68
56000,1240,0.5742,8002.3,518,840,282,118,54,223,115
