step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2
1000,2863,0.9179,37127.4,913,959,955,949,19,22,12
2000,2796,0.9378,51064.0,1842,967,910,919,19,22,13
3000,2735,0.9448,54024.0,2771,989,865,881,19,25,15
4000,1816,0.7390,29840.0,675,950,599,267,11,34,13
5000,2124,0.7034,35994.1,998,1080,620,424,21,28,23
6000,2176,0.7693,40356.3,1379,1051,664,461,30,34,16
7000,2277,0.7536,34602.2,968,1069,780,428,48,30,15
8000,2214,0.7444,30173.9,1020,1109,728,377,38,21,25
9000,2389,0.7133,31759.8,973,1050,903,436,41,29,37
10000,2154,0.7535,25591.3,969,990,833,331,46,45,38
11000,2070,0.7063,17687.5,834,1022,714,334,57,73,45
12000,1786,0.7413,12476.4,882,892,573,321,55,79,54
13000,1334,0.8058,8871.7,1091,712,419,203,35,54,43
14000,1065,0.7014,6355.9,1012,682,263,120,28,46,37
15000,781,0.6633,7467.9,720,631,113,37,23,44,25
16000,895,0.6324,8640.9,659,723,128,44,22,60,37
17000,1277,0.5192,11478.5,520,814,247,216,37,106,109
18000,1441,0.5350,8138.9,319,650,454,337,63,80,105
19000,1821,0.4926,11496.2,305,817,656,348,85,99,88
20000,1833,0.4757,13093.9,295,865,683,285,54,109,97
21000,2187,0.4938,22942.4,414,942,866,379,92,105,98
22000,2510,0.4789,27156.3,452,1062,947,501,85,106,85
23000,2896,0.4814,28184.9,429,1327,1080,489,98,86,96
24000,2771,0.4937,28922.4,493,1199,1059,513,113,99,121
25000,3377,0.4812,34514.6,516,1597,1146,634,91,90,113
26000,3845,0.4120,21956.7,292,1644,1556,645,149,147,138
27000,4052,0.4282,23570.1,297,1610,1747,695,132,150,134
28000,3426,0.4466,21624.6,310,1434,1396,596,123,169,146
29000,3014,0.5023,22892.9,381,1280,1272,462,103,133,141
30000,2992,0.5040,20894.6,396,1260,1277,455,133,116,96
31000,2628,0.5529,15933.2,373,1160,1049,419,109,119,106
32000,2215,0.5282,12557.1,396,1157,656,402,103,101,104
33000,1687,0.5785,9344.9,426,920,455,312,84,93,105
34000,1254,0.6228,6978.1,493,838,233,183,49,123,102
35000,846,0.5603,6290.1,489,700,100,46,29,81,44
36000,1014,0.5404,6259.9,463,769,158,87,17,135,80
37000,1481,0.4835,9766.5,435,884,347,250,46,172,132
38000,2032,0.5276,11571.7,369,957,591,484,70,126,128
39000,2335,0.5251,11653.7,314,1167,686,482,86,99,113
40000,2912,0.4674,17313.7,337,1379,977,556,97,79,118
41000,2950,0.4827,23351.4,406,1339,1042,569,121,99,101
42000,3097,0.5389,30473.6,541,1318,1156,623,137,99,77
43000,3197,0.5552,34482.0,636,1356,1101,740,121,123,92
44000,2946,0.5523,37897.5,704,1291,1108,547,118,104,91
45000,3061,0.5002,43146.4,678,1333,1101,627,92,88,129
46000,3070,0.4893,44118.6,632,1362,1127,581,70,139,85
47000,3055,0.5231,43089.4,680,1391,1105,559,92,138,64
48000,2789,0.5407,40378.8,722,1222,1003,564,81,109,95
49000,2708,0.5362,40343.5,687,1193,914,601,83,96,84
50000,2459,0.5665,35232.5,693,1031,859,569,87,103,99
51000,2315,0.5266,30661.1,663,957,786,572,108,97,105
52000,2013,0.5643,21003.0,644,873,653,487,105,85,99
53000,1494,0.6017,12251.7,639,789,386,319,71,101,101
54000,1091,0.6315,9689.9,717,718,220,153,29,117,77
55000,777,0.5328,8530.8,598,639,101,37,11,81,33
56000,826,0.5327,8467.1,582,621,136,69,13,97,64
57000,1245,0.4602,14164.9,601,785,249,211,24,163,125
58000,2077,0.5301,16862.8,516,956,562,559,77,127,150
59000,2128,0.5376,18633.7,520,844,756,528,86,88,139
60000,2573,0.5177,24648.5,550,1057,890,626,101,64,112
61000,2591,0.5369,29205.9,593,1165,957,469,104,84,89
62000,2495,0.5062,38152.0,685,1053,979,463,93,81,79
63000,2432,0.4918,45748.9,785,1079,866,487,97,85,103
64000,2636,0.4856,46948.9,751,1253,878,505,101,87,90
65000,2749,0.5195,48313.1,739,1353,836,560,101,87,88
66000,2495,0.5014,49330.1,783,1241,716,538,86,71,84
67000,2575,0.4792,46836.8,737,1162,835,578,90,87,95
68000,2761,0.4821,43657.5,653,1171,966,624,93,112,104
69000,2469,0.5553,39390.2,730,971,912,586,94,116,94
70000,2364,0.5393,32893.3,696,974,856,534,69,119,81
71000,2426,0.5136,26822.7,588,1013,752,661,77,84,121
72000,1847,0.5252,23077.5,690,823,552,472,59,81,98
73000,1291,0.5957,15490.1,800,648,358,285,66,73,101
74000,1026,0.5819,10756.2,725,670,212,144,38,89,75
75000,689,0.5269,9710.4,682,542,119,28,13,74,20
76000,749,0.4593,11968.3,672,577,130,42,12,93,41
77000,1191,0.4803,16653.5,643,694,286,211,28,153,134
78000,1798,0.4600,19627.9,582,845,501,452,61,124,146
79000,2201,0.5143,21386.4,549,902,710,589,109,72,140
80000,2176,0.4743,30499.6,647,949,735,492,76,77,103
81000,2545,0.5198,37512.5,660,1075,843,627,87,85,105
82000,2397,0.5010,42289.4,732,1088,761,548,78,75,100
83000,2275,0.5108,44776.1,834,1042,787,446,84,70,86
84000,2390,0.4937,48000.3,805,1114,790,486,65,82,108
85000,2713,0.5020,47379.6,711,1246,888,579,75,106,93
86000,2580,0.5097,50838.9,779,1170,802,608,64,100,83
87000,2676,0.5161,49186.1,784,1191,861,624,80,91,108
88000,2652,0.4951,45997.4,744,1185,821,646,81,84,100
89000,2581,0.5087,45369.4,754,1213,809,559,76,90,90
90000,2301,0.5472,43396.0,834,1073,692,536,69,96,90
91000,2118,0.5227,36452.1,799,916,671,531,83,90,116
92000,1939,0.5436,27970.9,773,905,564,470,83,83,112
93000,1457,0.5882,19913.4,851,735,416,306,75,80,108
94000,1016,0.6506,13475.7,955,649,198,169,47,91,96
95000,653,0.5574,12273.9,910,519,95,39,22,69,36
96000,766,0.5601,12211.4,762,551,142,73,7,116,70
97000,1066,0.4906,18831.9,790,594,275,197,22,186,137
98000,1467,0.4969,26677.7,898,677,445,345,39,207,183
99000,2145,0.4895,25298.8,642,899,684,562,77,119,159
100000,2120,0.5085,35971.6,722,929,679,512,68,69,128
101000,2496,0.4824,40893.8,715,1075,805,616,84,79,138
102000,2619,0.4777,43105.7,718,1091,851,677,83,89,149
103000,2780,0.4975,50330.6,754,1150,935,695,89,87,105
104000,2584,0.4706,50415.8,788,1186,821,577,96,71,80
105000,2911,0.4328,52192.2,719,1343,821,747,79,74,131
106000,2765,0.4427,52518.8,734,1350,750,665,92,84,108
107000,2622,0.4836,57087.5,835,1193,770,659,86,77,97
108000,2538,0.4850,52759.9,823,1085,808,645,72,78,109
109000,2421,0.5097,48474.1,818,1047,825,549,89,68,100
110000,2191,0.5071,45505.1,858,947,727,517,75,65,96
111000,2253,0.4998,40473.8,766,901,793,559,94,71,98
112000,1863,0.5282,29839.9,742,815,588,460,105,70,110
113000,1404,0.5705,23745.9,897,694,389,321,68,77,124
114000,1024,0.6016,15903.9,987,636,227,161,45,102,83
115000,744,0.5403,10864.5,738,571,122,51,19,89,40
116000,798,0.5251,11981.5,720,614,115,69,17,103,69
117000,1091,0.4986,18009.7,796,622,264,205,16,179,169
118000,1717,0.4904,24056.3,726,754,516,447,52,198,215
119000,2034,0.4798,27229.9,679,848,672,514,83,120,145
120000,2315,0.4730,33678.4,682,913,801,601,108,73,146
121000,2449,0.4847,38439.6,708,1065,756,628,100,54,107
122000,2491,0.4464,45152.3,756,1120,775,596,95,46,106
123000,2925,0.4879,50673.9,717,1305,852,768,97,75,112
124000,2680,0.4396,51490.5,757,1233,859,588,78,85,91
125000,2744,0.4698,56320.9,763,1235,828,681,86,102,84
126000,2594,0.4746,57164.0,832,1188,778,628,83,88,98
127000,2598,0.4480,55188.1,835,1152,798,648,83,76,103
128000,2575,0.4509,55123.4,821,1133,797,645,86,66,115
129000,2504,0.4708,51623.2,840,1117,794,593,89,70,127
130000,2314,0.4849,47683.0,848,969,716,629,88,67,100
131000,2085,0.5060,42373.5,838,876,670,539,93,55,113
132000,1870,0.5182,36414.0,829,769,575,526,86,64,98
133000,1385,0.5791,26101.4,951,667,413,305,83,80,100
134000,965,0.5855,18155.0,1034,587,213,165,56,86,86
135000,680,0.5088,13069.7,854,511,112,57,25,79,51
136000,703,0.4865,13842.0,799,506,125,72,9,106,70
137000,1091,0.4482,20596.0,844,592,255,244,23,183,174
138000,1748,0.4514,25734.8,754,729,507,512,49,208,239
139000,1920,0.4661,29991.4,753,784,613,523,94,102,168
140000,1991,0.4666,38076.2,800,776,710,505,75,86,145
141000,1971,0.4424,43507.5,860,863,674,434,81,51,99
142000,2092,0.4369,50952.0,877,935,702,455,85,60,119
143000,2200,0.4414,52443.8,878,947,724,529,93,56,123
144000,2113,0.4572,56657.1,951,956,670,487,95,42,103
145000,2141,0.4358,59333.6,985,1018,643,480,104,50,101
146000,2216,0.4436,59154.8,922,1023,705,488,103,60,100
147000,2117,0.4738,61600.2,1005,1035,633,449,106,53,102
148000,2034,0.4154,58654.3,1005,1004,559,471,107,45,93
149000,2087,0.4322,54744.2,949,1009,598,480,93,64,99
150000,1958,0.4658,50005.1,951,905,555,498,66,73,122
151000,1734,0.4637,48837.6,1067,834,516,384,91,58,96
152000,1667,0.4745,39247.4,938,805,514,348,77,67,80
153000,1339,0.6019,28284.3,1049,705,351,283,77,81,111
154000,912,0.6096,20059.9,1109,584,179,149,50,73,99
155000,683,0.4832,15162.0,900,503,127,53,26,101,52
156000,721,0.4716,15442.0,796,496,147,78,14,110,70
157000,1098,0.4772,21861.7,838,608,270,220,24,189,170
158000,1480,0.4581,30596.8,994,676,433,371,50,209,258
159000,2025,0.4721,33549.7,792,815,695,515,89,115,190
160000,2013,0.4645,40979.7,826,877,647,489,87,58,145
161000,2013,0.4565,50290.8,995,954,627,432,92,55,119
162000,2177,0.4345,54217.8,911,987,667,523,83,63,116
163000,2125,0.4287,57822.4,952,1032,623,470,86,62,113
164000,1987,0.4394,60168.7,1045,1054,516,417,84,43,111
165000,2026,0.4393,61980.5,1046,991,625,410,78,54,97
166000,2155,0.4172,61785.4,989,1039,599,517,67,68,108
167000,2168,0.4354,60724.7,946,1091,559,518,76,69,108
168000,2117,0.4700,60639.3,1022,1036,578,503,75,55,126
169000,1944,0.4707,58391.4,1069,955,562,427,64,57,123
170000,1919,0.4617,53725.2,997,889,597,433,71,68,116
171000,1794,0.4582,47495.4,1017,844,534,416,65,47,113
