step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2
1000,3050,0.9361,38446.3,920,950,1099,1001,12,17,15
2000,2995,0.9295,51111.2,1857,951,1084,960,12,15,16
3000,2949,0.9447,54857.5,2782,934,1078,937,11,16,16
4000,2159,0.6688,37436.7,649,928,890,341,25,20,16
5000,2232,0.7361,46983.1,1053,914,912,406,26,19,16
6000,2378,0.7540,49396.2,1454,1009,882,487,20,18,17
7000,2825,0.6184,45278.6,729,1305,1163,357,35,29,27
8000,2797,0.6786,42933.8,870,1307,1052,438,37,30,54
9000,2674,0.6720,41459.2,991,1294,994,386,32,42,36
10000,2566,0.6115,35737.5,748,1185,1011,370,58,27,64
11000,2498,0.6281,30777.1,755,1194,857,447,72,65,70
12000,1919,0.6988,23874.2,907,871,660,388,54,53,54
13000,1460,0.7288,15187.5,886,696,444,320,65,71,72
14000,1044,0.7653,9558.6,1013,636,256,152,38,60,49
15000,750,0.6920,8313.8,913,565,154,31,26,65,23
16000,745,0.5195,8981.1,733,575,125,45,19,82,41
17000,1175,0.5362,13150.0,586,653,290,232,46,112,112
18000,1762,0.6033,14695.1,563,785,535,442,83,58,104
19000,2092,0.6090,21549.6,652,914,687,491,83,51,84
20000,2453,0.6188,26035.6,678,934,934,585,74,68,90
21000,2874,0.6002,31993.2,730,1263,1030,581,81,73,106
22000,3241,0.5841,34489.2,745,1349,1318,574,88,86,127
23000,3408,0.5502,35219.8,629,1435,1307,666,73,82,82
24000,3609,0.5337,35741.7,605,1459,1445,705,79,99,81
25000,3803,0.5556,31753.6,536,1474,1580,749,97,135,95
26000,3133,0.5503,24386.7,519,1269,1316,548,90,100,105
27000,3275,0.5777,27025.1,475,1331,1472,472,84,120,110
28000,3361,0.6602,30316.4,603,1288,1494,579,69,100,109
29000,3428,0.6286,31576.9,756,1329,1474,625,86,93,93
30000,2483,0.6029,19500.8,548,934,1075,474,81,74,104
31000,2202,0.6226,19681.0,607,914,886,402,94,68,95
32000,2253,0.6622,18343.9,702,1004,747,502,93,72,78
33000,1651,0.6293,11804.4,670,788,500,363,92,73,89
34000,1146,0.6623,8910.3,766,667,278,201,43,88,84
