step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2
1000,2734,0.8943,40166.0,901,917,979,838,25,20,21
2000,2710,0.8897,56889.6,1781,948,948,814,24,24,21
3000,2655,0.9085,63484.7,2645,972,889,794,25,27,26
4000,2427,0.6106,41391.3,584,1185,894,348,26,41,19
5000,2217,0.6622,57373.3,1030,1292,713,212,37,26,22
6000,2232,0.7012,61377.7,1371,1286,649,297,39,33,35
7000,2627,0.6053,53685.1,825,1409,899,319,41,46,38
8000,2488,0.6145,51775.9,944,1407,743,338,54,49,45
9000,2406,0.6347,46121.9,948,1308,811,287,53,53,45
10000,2405,0.6291,37724.7,750,1285,807,313,55,59,76
11000,2105,0.6480,31640.1,799,993,758,354,50,83,79
12000,1627,0.6792,21233.6,921,715,578,334,60,69,89
13000,1199,0.7339,12554.0,978,530,391,278,53,60,59
14000,709,0.7898,6833.8,1266,365,210,134,37,53,36
15000,300,0.7900,3205.8,1334,227,47,26,10,14,11
16000,315,0.5905,3811.5,818,239,46,30,1,32,28
17000,792,0.4785,10030.1,617,401,190,201,31,102,128
18000,1650,0.5467,11393.0,479,658,545,447,118,126,175
19000,2003,0.5552,17396.8,512,832,750,421,106,117,144
20000,2455,0.5833,26063.5,606,1064,998,393,88,125,150
21000,2910,0.5478,32142.1,642,1306,1177,427,106,116,138
22000,3111,0.5619,33576.6,610,1485,1193,433,140,138,177
23000,3413,0.5590,41966.2,683,1695,1125,593,136,110,193
24000,3793,0.5587,47942.7,713,1942,1284,567,125,158,199
25000,4065,0.5178,44004.0,618,2169,1331,565,128,194,184
26000,4033,0.4924,39504.4,555,2181,1300,552,135,186,187
27000,4291,0.4742,35474.9,493,2278,1467,546,146,180,209
28000,4033,0.5286,35983.4,521,2028,1357,648,153,199,204
29000,3330,0.5282,33945.4,599,1790,1000,540,128,127,217
30000,2869,0.5539,31499.1,663,1436,1016,417,118,162,175
31000,2275,0.5793,25435.5,660,1099,811,365,93,128,163
32000,1730,0.6405,17001.9,717,843,574,313,89,124,110
33000,1172,0.6741,11527.8,913,542,384,246,46,104,105
34000,674,0.7493,6700.4,1100,381,175,118,42,65,73
35000,303,0.6898,3963.5,1118,244,37,22,7,14,20
36000,355,0.4676,4406.0,751,268,57,30,1,43,28
37000,769,0.4642,9491.9,614,396,215,158,26,107,111
38000,1562,0.5352,13472.7,509,697,484,381,90,134,199
39000,2084,0.5456,14724.5,460,994,764,326,115,148,154
40000,2333,0.5714,21529.1,590,1161,851,321,131,136,180
41000,2484,0.5443,31423.6,677,1223,915,346,105,134,186
42000,2690,0.5309,33884.3,663,1346,1027,317,95,140,168
43000,2907,0.5304,47929.6,766,1509,963,435,100,129,175
44000,3262,0.5009,51806.1,773,1690,1147,425,95,146,158
45000,3574,0.4986,45386.2,637,1930,1194,450,110,164,179
46000,3253,0.5057,47289.0,712,1747,1085,421,121,140,175
47000,3389,0.4922,41390.0,660,1746,1191,452,130,156,179
48000,3306,0.5233,37144.5,647,1651,1155,500,149,135,182
49000,3028,0.5215,32420.5,631,1531,989,508,127,149,200
50000,2416,0.5373,22614.6,568,1223,886,307,120,112,134
51000,2084,0.5960,20752.7,660,1028,730,326,93,122,149
52000,1661,0.6279,14718.0,749,785,560,316,108,111,149
53000,1169,0.6527,7470.0,722,623,346,200,85,67,110
54000,622,0.7492,4126.5,865,352,167,103,27,55,71
55000,310,0.7161,3470.5,997,256,36,18,12,24,15
56000,335,0.5194,4125.8,944,263,47,25,6,43,20
57000,775,0.4168,8845.1,598,457,194,124,32,99,87
58000,1688,0.4508,11602.1,439,744,576,368,103,170,178
59000,2040,0.5132,16828.0,481,905,782,353,133,110,147
60000,2221,0.5507,23620.8,585,1057,877,287,117,106,134
61000,2383,0.5627,30377.9,703,1144,949,290,110,108,142
62000,2643,0.5274,39035.8,739,1345,917,381,111,111,163
63000,2876,0.5177,45393.1,744,1626,892,358,121,138,153
64000,2994,0.5217,45280.0,763,1518,1016,460,126,130,142
65000,3414,0.5176,48870.9,728,1843,1054,517,121,152,162
66000,3548,0.4992,49440.1,711,1833,1196,519,116,188,136
67000,3345,0.4825,48272.8,740,1714,1165,466,144,173,132
68000,3291,0.4962,45691.1,686,1692,1163,436,149,171,137
69000,3080,0.5312,44516.9,760,1531,1079,470,129,167,144
70000,2751,0.5329,38553.3,768,1341,999,411,156,132,137
71000,2488,0.5527,28070.3,649,1061,944,483,118,133,139
72000,1914,0.6416,20392.6,750,833,755,326,91,112,89
73000,1329,0.7043,10603.5,829,631,412,286,91,95,125
74000,704,0.7486,7120.6,1268,365,209,130,49,66,74
75000,305,0.6754,3829.3,1248,247,34,24,21,14,17
76000,323,0.4180,4246.2,784,252,38,33,2,37,31
77000,773,0.4437,10407.8,596,409,223,141,22,131,104
78000,1737,0.4750,11396.2,447,682,603,452,94,170,184
79000,1855,0.5704,14993.3,543,826,686,343,113,109,163
80000,2336,0.5347,24121.8,629,1032,930,374,135,103,201
81000,2399,0.5615,29589.9,744,1168,831,400,131,96,207
82000,2651,0.5311,35564.4,716,1350,951,350,137,119,162
83000,2909,0.5163,40745.6,728,1554,1033,322,108,137,151
84000,3674,0.5171,39911.8,596,1893,1325,456,134,129,159
85000,3493,0.5102,39771.8,633,1748,1320,425,134,134,137
86000,3379,0.5223,42761.3,702,1742,1257,380,147,128,125
87000,3457,0.4964,42544.9,643,1739,1275,443,129,106,166
88000,3263,0.5259,40986.5,642,1640,1204,419,156,133,137
89000,2894,0.5308,38248.5,726,1479,1031,384,128,124,145
90000,2667,0.5636,35221.8,763,1322,978,367,127,129,129
91000,2367,0.5885,25856.5,714,1115,916,336,123,133,122
92000,1826,0.6709,16546.7,806,878,633,315,125,107,129
93000,1178,0.7037,8233.1,876,560,388,230,75,98,131
94000,681,0.7342,5351.2,995,382,155,144,46,73,100
95000,296,0.6689,3547.7,1176,233,41,22,12,30,17
96000,370,0.5405,3583.4,666,279,49,42,0,42,39
97000,673,0.4279,8932.0,624,360,196,117,23,105,97
98000,1538,0.5052,12162.4,515,712,510,316,98,186,198
99000,1921,0.5825,13462.5,491,841,745,335,109,127,180
100000,2433,0.5635,21105.3,587,1126,941,366,143,142,187
