step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2
1000,3023,0.9335,39935.5,924,978,1072,973,8,14,11
2000,2962,0.9355,55715.7,1864,970,1070,922,10,15,13
3000,2903,0.9346,61947.6,2815,981,1023,899,12,16,14
4000,2531,0.6863,37607.9,588,966,1111,454,21,23,33
5000,3874,0.6616,40339.7,669,1955,1452,467,65,72,78
6000,4369,0.6967,44688.5,859,1959,1602,808,81,82,104
7000,4464,0.6808,39705.0,747,2213,1628,623,110,104,130
8000,4483,0.6482,29463.0,582,1920,1930,633,85,147,132
9000,3143,0.6659,15862.9,467,1303,1371,469,93,96,127
10000,2353,0.6473,9485.6,477,1083,793,477,58,83,125
11000,1567,0.7364,6188.2,680,736,583,248,45,66,58
12000,1355,0.7919,7091.1,948,562,559,234,61,56,77
13000,1086,0.7541,6235.8,1128,595,318,173,46,54,61
14000,677,0.7799,3724.3,931,384,183,110,36,53,49
15000,343,0.6152,2337.0,659,293,25,25,8,17,21
16000,328,0.5945,3154.7,690,269,27,32,1,25,28
17000,741,0.5358,9706.7,569,427,173,141,18,71,61
18000,1539,0.6082,12517.7,512,722,440,377,72,75,124
19000,2026,0.6027,18647.4,643,901,675,450,81,83,136
20000,2379,0.6641,25305.3,784,1136,802,441,88,73,124
21000,2981,0.6793,27020.2,730,1332,1134,515,67,82,119
22000,3062,0.6688,32329.9,857,1429,1171,462,57,78,92
23000,3632,0.6289,36593.3,746,1575,1517,540,70,84,107
24000,4306,0.6333,32406.6,558,1945,1735,626,113,102,125
25000,4534,0.6257,34285.4,608,2072,1810,652,123,91,125
26000,4346,0.6226,30528.4,558,1920,1792,634,114,123,104
27000,3980,0.6131,28436.7,499,1742,1647,591,97,106,114
28000,4073,0.6192,34410.5,609,1850,1594,629,91,102,122
29000,3569,0.6789,32724.2,712,1534,1429,606,85,90,122
30000,3169,0.7005,29175.2,818,1382,1228,559,88,76,99
31000,2660,0.7244,23042.7,909,1119,1070,471,70,68,84
32000,2058,0.7507,17351.5,1006,878,727,453,62,58,108
33000,1373,0.7822,13211.0,1109,634,427,312,67,57,101
34000,920,0.8065,8015.6,1333,509,238,173,49,46,58
35000,415,0.6867,3626.3,982,386,17,12,11,9,7
