step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied
10000,1734,0.781,0.523,7.46,37537,29397,3526,636,3661,63608,1036847.8,356124.6,0.286,0.420,0.164,0.130,77,34.65,20.53,2.07,6.37,3.48,8.08,2.85,7.47,25.55,17.64,0.04,0.38,0.082,0.170,856,0.074,0.054,0.937,0.000,0.009,209591,202674,26,0.540,0.061,0.260,7288553,0.266,2.567,0.041,6.37,61064,387,5.599,0.281,0.179,10743547,1.50,6.33,0.331,0.202,0.016,8.4,35.6,61.4,119.8,58876,0.225,0.00,0.0023,0.049,291,0.953,0.000,0.642,0.822,5.05,6.39,6.15,0.11,0.034,1.60,1.53,1.45,0.954,0.00058,2.15,65.5411,1896.53,93740.4,139882.8,78.761,99.1594,156.192,786.551,0.992,0.291,63.5,71.373,235.616,596,2816.0,81.37,24.717,154.785,3495.5,87.674,0.135,2.00,20.1579,34953.7,0.8268,0.4217,33.95,1.024,0.162,1.4775,0.0000,0.476,0.113,0.387,0.0000,7.70,1.21,8,36,62,100,67.4765,2.8894,0.7070,0.0000,0.0000
20000,1318,1.174,0.395,4.96,12746,11356,1241,294,271,52200,482009.0,133246.9,0.120,0.636,0.114,0.130,168,46.01,14.17,1.35,4.74,4.64,8.84,6.27,7.88,29.74,14.05,0.04,0.32,0.101,0.185,660,0.089,0.097,0.900,0.000,0.003,52336,49996,2,0.964,0.033,0.653,4397369,0.239,2.252,0.025,18.20,13974,698,2.553,0.235,0.209,4229785,1.31,1.29,0.531,0.318,0.018,27.1,47.1,57.6,104.5,55357,0.211,0.00,0.0012,0.092,276,0.681,0.000,0.491,0.762,6.00,6.73,6.58,0.05,0.024,1.28,1.38,1.28,0.683,0.00307,3.40,19.9970,2087.14,97083.1,139882.8,21.386,21.9468,81.545,307.780,0.940,0.292,54.8,39.215,66.024,520,1910.0,69.16,5.101,42.628,1831.3,30.080,0.135,1.99,25.4279,33513.9,0.6793,0.4954,42.00,1.150,0.116,0.5225,0.0000,0.421,0.134,0.166,0.0000,6.97,0.47,23,48,49,81,34.8052,0.3641,0.6525,0.0000,0.0000
30000,1777,1.081,0.579,6.25,22735,18339,2060,919,958,121137,1011587.5,479814.4,0.080,0.651,0.125,0.144,114,37.23,21.52,1.28,4.17,7.10,11.42,2.90,6.56,19.27,15.43,0.05,0.44,0.162,0.226,1053,0.051,0.071,0.908,0.001,0.020,220060,214914,1,0.714,0.286,0.351,8301605,0.298,3.018,0.037,11.89,52199,756,3.961,0.217,0.288,10072667,1.31,4.85,0.296,0.419,0.017,6.4,40.9,62.4,105.2,54296,0.207,0.00,0.0030,0.072,294,0.868,0.000,0.562,0.897,4.86,5.73,5.78,0.08,0.026,1.33,1.39,1.27,0.871,0.00169,3.78,85.0222,4143.24,88981.8,139882.8,93.029,87.2761,132.654,623.539,0.932,0.281,59.3,57.172,226.301,417,1598.6,71.27,6.920,133.365,3160.2,90.682,0.135,2.00,21.4467,38110.9,0.9744,0.6489,30.55,1.227,0.191,1.4775,0.0000,0.507,0.170,0.420,0.0000,6.88,0.58,6,32,49,81,51.4378,2.7251,0.5959,0.0000,0.0000
40000,1313,1.431,0.450,7.76,19364,15944,726,3004,154,352726,473600.6,267394.7,0.053,0.666,0.124,0.157,178,50.18,33.64,0.68,3.51,10.55,16.14,1.33,4.24,23.38,15.76,0.02,0.29,0.138,0.182,868,0.113,0.101,0.891,0.000,0.008,66435,57887,3,0.652,0.017,0.204,2331121,0.230,2.780,0.028,18.85,18899,724,0.758,0.154,0.281,5568409,1.20,3.03,0.330,0.558,0.005,10.4,44.5,110.4,164.4,47192,0.180,0.00,0.0015,0.088,251,0.673,0.000,0.662,0.718,5.49,6.30,6.24,0.04,0.018,1.21,1.24,1.20,0.686,0.00465,4.35,21.5223,2636.32,100397.2,139882.8,18.991,25.4772,84.539,280.432,0.839,0.307,47.1,37.937,62.400,272,885.4,114.51,4.270,43.421,3145.4,28.599,0.135,2.00,21.9824,28862.8,0.9408,0.4460,35.94,1.326,0.341,0.5225,0.0000,0.457,0.205,0.346,0.0000,6.97,0.83,8,36,64,93,31.3185,0.5167,0.5743,0.0000,0.0000
50000,1965,1.321,0.497,8.72,27592,21377,1387,4000,176,465576,1031729.1,670038.1,0.024,0.673,0.118,0.185,122,40.54,27.65,1.49,3.45,7.01,10.80,1.41,3.87,16.65,12.55,0.06,0.43,0.126,0.161,1509,0.028,0.070,0.922,0.001,0.008,228742,208445,7,0.581,0.089,0.285,5165692,0.236,2.905,0.029,19.00,65654,799,1.439,0.115,0.357,10402702,1.37,3.63,0.175,0.653,0.022,8.7,34.2,75.9,183.2,52197,0.199,0.00,0.0032,0.077,451,0.788,0.000,0.680,0.881,4.77,5.64,5.61,0.71,0.194,1.23,1.50,1.39,0.798,0.00375,12.15,83.7198,3809.13,88452.2,139882.8,75.484,95.8805,141.238,440.124,0.876,0.284,61.2,57.364,192.820,246,800.9,106.94,4.405,135.439,2851.5,85.472,0.135,2.00,19.8642,39033.3,1.0695,0.6336,26.56,1.433,0.377,1.4775,0.0000,0.473,0.195,0.413,0.0000,6.45,0.75,7,26,49,77,47.3844,2.6181,0.5476,0.0000,0.0000
60000,1781,1.275,0.410,9.10,26397,21457,576,4373,175,494488,516662.3,368839.9,0.012,0.742,0.102,0.144,171,31.66,23.69,0.73,3.02,5.21,9.49,1.27,3.56,14.38,10.94,0.01,0.20,0.108,0.163,1312,0.014,0.085,0.899,0.000,0.016,89263,75572,2,0.684,0.035,0.258,3920056,0.160,2.255,0.026,21.66,28321,704,0.746,0.106,0.333,7211155,1.22,4.78,0.097,0.634,0.005,5.6,28.9,69.9,161.8,38449,0.147,0.00,0.0020,0.083,336,0.655,0.000,0.711,0.716,4.32,5.17,5.06,0.02,0.010,1.27,1.19,1.22,0.671,0.00503,5.58,25.4268,2222.27,103834.3,139882.8,16.261,23.5761,94.495,252.928,0.800,0.319,46.6,41.734,59.084,196,590.2,50.88,3.602,42.108,3047.4,30.161,0.134,2.00,14.5350,25886.8,1.2048,0.4647,21.59,1.409,0.379,0.5225,0.0000,0.481,0.247,0.289,0.0000,6.23,0.58,4,22,36,81,32.0105,0.7560,0.4761,0.0000,0.0000
70000,3050,0.946,0.556,12.07,71262,50894,703,14896,3500,807647,1034956.2,909566.2,0.045,0.636,0.152,0.167,104,20.11,22.81,0.60,2.51,4.09,9.16,0.43,2.29,7.83,8.04,0.03,0.29,0.117,0.176,1883,0.012,0.068,0.895,0.001,0.036,345523,307210,7,0.598,0.301,0.075,3862138,0.190,3.173,0.036,17.30,114324,591,1.126,0.150,0.373,16168121,1.21,8.03,0.043,0.566,0.015,3.3,12.8,46.0,268.0,39505,0.151,0.00,0.0043,0.083,574,0.800,0.000,0.811,0.796,3.18,4.00,4.05,0.21,0.058,1.21,1.26,1.20,0.816,0.00271,8.69,87.1178,4319.01,94670.8,139882.8,74.128,96.4775,157.901,502.433,0.943,0.290,66.5,61.859,209.601,237,800.9,109.41,5.840,141.957,3479.2,88.911,0.134,2.00,10.4697,31932.5,1.4148,0.6086,12.95,1.440,0.412,1.4775,0.0000,0.503,0.266,0.350,0.0000,5.91,1.06,2,9,30,121,47.9662,5.6165,0.4784,0.0000,0.0000
80000,3233,0.872,0.351,11.98,68743,51537,266,14623,2134,515091,526329.8,426114.5,0.054,0.714,0.092,0.140,147,14.78,13.48,0.19,1.50,3.29,6.37,0.28,2.23,6.32,5.97,0.00,0.08,0.112,0.192,1474,0.039,0.068,0.899,0.002,0.031,125785,101076,2,0.733,0.035,0.042,1732790,0.136,2.060,0.022,25.94,52555,507,0.827,0.172,0.341,8797477,1.08,9.48,0.010,0.508,0.002,2.3,10.2,38.0,105.0,32584,0.124,0.00,0.0026,0.079,674,0.525,0.000,0.663,0.479,2.71,3.16,4.18,0.02,0.010,1.07,1.10,1.08,0.541,0.00251,6.98,22.1524,2192.69,106983.6,139882.8,15.211,20.2603,106.355,250.201,0.883,0.330,63.1,44.397,55.160,138,384.0,48.67,3.149,37.483,2485.7,26.774,0.135,2.00,7.2099,23309.6,1.3848,0.5797,10.08,1.347,0.385,0.5225,0.0000,0.494,0.290,0.257,0.0000,5.92,0.86,2,9,19,81,34.5822,1.7132,0.4355,0.0000,0.0000
90000,3941,0.810,0.323,14.50,140353,103872,1230,25441,9102,593199,1113550.4,831994.9,0.037,0.615,0.130,0.218,89,14.27,13.05,0.25,1.54,2.75,5.11,0.21,2.35,5.78,4.86,0.01,0.14,0.112,0.167,1579,0.081,0.076,0.885,0.001,0.039,374871,323563,4,0.646,0.141,0.036,1850522,0.171,1.832,0.022,21.53,135912,561,1.403,0.152,0.307,24436541,1.12,9.93,0.008,0.437,0.004,2.3,10.5,28.0,142.0,35457,0.135,0.00,0.0049,0.086,857,0.755,0.000,0.832,0.632,2.45,3.06,3.68,0.02,0.012,1.13,1.13,1.12,0.765,0.00193,10.56,67.0006,1776.95,96727.4,139882.8,69.990,71.5777,206.694,756.820,0.949,0.303,84.4,88.913,213.049,172,554.8,49.43,5.920,139.987,2436.3,96.529,0.135,2.00,8.4906,33461.4,1.5820,0.7966,9.00,1.440,0.415,1.4775,0.0000,0.571,0.295,0.364,0.0000,5.77,1.23,2,8,17,117,68.7552,12.5388,0.4763,0.0000,0.0000
100000,3087,0.859,0.327,18.00,73863,57858,476,13730,2653,402259,556971.2,380364.2,0.032,0.771,0.071,0.126,135,14.45,9.06,0.14,1.21,2.93,3.64,0.22,1.55,5.92,5.51,0.01,0.14,0.153,0.175,1229,0.169,0.087,0.875,0.001,0.038,116905,85839,3,0.502,0.047,0.042,860455,0.123,1.806,0.022,29.69,55821,526,0.946,0.149,0.330,10451568,1.05,8.14,0.008,0.412,0.003,2.5,16.0,22.0,92.3,28422,0.108,0.00,0.0031,0.124,672,0.529,0.000,0.630,0.402,2.53,3.03,3.74,0.01,0.006,1.06,1.05,1.06,0.541,0.00267,8.20,17.5602,1236.65,103176.7,139882.8,12.530,15.8109,114.609,261.930,0.824,0.318,61.0,49.716,50.253,202,642.3,57.56,3.034,35.194,2708.7,26.061,0.135,2.00,8.9873,27743.8,1.4662,0.6787,9.21,1.552,0.448,0.5225,0.0000,0.675,0.310,0.515,0.0000,5.34,1.31,2,9,15,49,39.6996,1.7768,0.4632,0.0000,0.0000
