step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2
1000,2854,0.9180,37813.1,919,972,918,964,17,15,17
2000,2775,0.9232,52973.1,1852,991,890,894,19,15,15
3000,2782,0.9281,60618.2,2739,1035,857,890,17,15,16
4000,1877,0.7054,34356.7,698,988,640,249,25,33,17
5000,2153,0.7399,40939.7,1058,1078,664,411,26,33,20
6000,2112,0.7732,45444.3,1590,1107,629,376,32,31,23
7000,2360,0.7000,43126.9,951,1184,735,441,27,26,19
8000,2378,0.7241,39546.7,1034,1218,693,467,25,33,28
9000,2327,0.7619,38545.5,1242,1133,717,477,22,33,25
10000,2076,0.7095,28295.4,980,1009,654,413,31,25,33
11000,1947,0.7524,23313.4,945,932,608,407,35,37,37
12000,1724,0.6903,19980.1,983,840,472,412,32,51,66
13000,1293,0.6914,17235.0,1054,606,366,321,57,52,95
14000,804,0.6791,10167.3,1118,474,184,146,30,63,70
15000,462,0.5390,5739.5,802,398,40,24,6,34,20
16000,508,0.5276,7628.4,761,388,57,63,1,57,62
17000,803,0.4296,16907.9,926,436,192,175,7,140,138
18000,1482,0.4973,26560.3,879,719,422,341,34,199,236
19000,2513,0.5400,22360.3,590,1005,841,667,92,114,158
20000,2339,0.5656,24102.9,595,990,814,535,80,87,112
21000,2317,0.5490,29371.7,631,1045,806,466,73,62,77
22000,2589,0.5211,34942.8,688,1192,886,511,81,47,74
23000,2690,0.4558,31217.8,503,1179,1026,485,71,75,87
24000,2802,0.4543,25509.7,441,1210,995,597,72,100,99
25000,2883,0.5088,34129.5,549,1126,1167,590,88,84,82
26000,3160,0.4693,30180.9,445,1313,1286,561,93,104,88
27000,3402,0.4380,34947.4,496,1261,1396,745,104,107,121
28000,3216,0.4773,32707.5,499,1377,1230,609,86,90,98
29000,3225,0.4440,27093.5,427,1301,1308,616,111,101,98
30000,3029,0.4526,22441.7,386,1139,1237,653,114,93,107
31000,2339,0.5053,19662.0,451,1007,858,474,102,70,83
32000,2079,0.4709,13646.8,404,916,690,473,101,92,137
33000,1363,0.5444,11450.9,598,623,397,343,89,118,136
