step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied
10000,2353,0.638,0.900,11.55,76781,58531,3265,9594,4490,424527,1016552.1,478354.1,0.166,0.635,0.075,0.123,71,24.64,23.32,0.84,3.90,5.21,8.35,1.04,6.58,8.48,10.79,0.03,0.33,0.216,0.231,1439,0.099,0.079,0.881,0.003,0.037,229717,214864,4,0.784,0.099,0.068,5009576,0.248,2.950,0.073,6.66,65927,463,1.127,0.233,0.403,24369446,1.26,24.68,0.023,0.518,0.011,5.2,16.5,52.5,229.7,36650,0.140,0.00,0.0051,0.060,477,0.946,0.000,0.685,0.668,3.31,4.35,4.44,0.06,0.029,1.30,1.23,1.27,0.953,0.00089,2.34,55.8230,1175.67,113255.9,140196.6,78.526,112.0280,178.530,818.218,0.992,0.368,44.0,78.727,253.945,1218,5130.8,45.67,26.007,172.770,7997.2,87.302,0.135,2.00,4.0313,9485.6,0.4758,0.4645,15.58,1.586,0.259,1.5887,0.0000,0.534,0.061,0.760,0.0000,10.41,1.80,4,10,34,108,73.7512,2.8964,0.6473,0.0000,0.0000
20000,2379,0.684,0.479,11.44,26061,22141,555,2183,1156,143194,317504.4,117701.5,0.045,0.741,0.083,0.131,166,26.64,22.85,1.48,3.87,4.61,7.58,1.49,7.66,11.12,9.82,0.03,0.35,0.166,0.202,1541,0.041,0.094,0.886,0.002,0.018,54787,48545,4,0.496,0.000,0.110,1349043,0.146,2.425,0.032,11.52,17872,443,0.822,0.238,0.292,7906906,1.43,14.07,0.047,0.556,0.016,7.1,21.9,51.8,258.9,44461,0.170,0.00,0.0012,0.068,441,0.794,0.000,0.732,0.544,3.91,4.98,4.83,0.21,0.086,1.54,1.35,1.43,0.800,0.00111,2.21,9.9739,1856.49,104097.4,140196.6,12.251,26.0821,56.464,310.807,0.877,0.339,49.3,25.933,56.049,422,1451.4,68.93,5.430,41.409,3810.4,20.026,0.135,2.01,10.6369,25305.3,0.8111,0.4295,18.69,1.362,0.356,0.4113,0.0000,0.482,0.074,0.445,0.0000,8.28,2.87,5,15,34,140,23.0226,0.2629,0.6641,0.0000,0.0000
30000,3169,0.638,0.547,16.48,98411,74143,1521,14743,7214,601939,905501.4,548495.2,0.025,0.776,0.082,0.117,80,28.95,28.70,0.67,3.24,5.88,10.89,0.79,5.52,9.60,10.13,0.01,0.20,0.165,0.199,2075,0.015,0.076,0.903,0.002,0.019,237227,212750,3,0.346,0.392,0.052,2860985,0.154,2.470,0.040,12.84,89462,464,0.911,0.261,0.350,30387435,1.21,26.64,0.033,0.530,0.007,5.8,21.9,57.8,335.6,53690,0.205,0.00,0.0030,0.052,559,0.915,0.000,0.808,0.589,3.47,4.63,4.58,0.03,0.015,1.22,1.18,1.23,0.923,0.00128,4.50,46.9608,1585.60,98135.8,140196.6,86.077,99.1976,164.065,658.776,0.957,0.306,61.3,69.916,246.115,542,1944.3,78.53,10.699,156.871,4830.6,80.663,0.135,2.00,9.2064,29175.2,0.9787,0.5227,16.94,1.696,0.383,1.5887,0.0000,0.477,0.103,0.370,0.0000,11.14,3.51,4,14,33,149,62.6807,3.1799,0.7005,0.0000,0.0000
40000,3168,0.696,0.447,16.32,33096,26663,1154,4072,1208,258913,382515.3,205251.7,0.030,0.777,0.110,0.083,158,18.68,21.08,0.76,3.30,3.72,6.54,0.29,2.77,6.29,6.57,0.07,0.62,0.200,0.180,1657,0.072,0.066,0.904,0.005,0.025,74211,64758,4,0.637,0.037,0.025,780164,0.134,2.044,0.033,14.56,30374,585,0.793,0.227,0.419,10983949,1.26,31.36,0.078,0.597,0.021,4.0,13.3,35.6,326.1,35050,0.134,0.00,0.0019,0.065,589,0.769,0.000,0.643,0.568,2.79,3.78,3.75,0.10,0.036,1.22,1.23,1.34,0.777,0.00115,3.13,14.1439,1325.93,110084.9,140196.6,11.170,20.8743,74.218,334.483,0.928,0.357,54.4,33.411,52.201,428,1400.6,36.65,4.062,38.529,4036.2,23.786,0.135,1.99,6.1079,19349.7,0.9560,0.4803,11.06,1.646,0.471,0.4113,0.0000,0.331,0.077,0.032,0.0000,11.43,4.86,3,8,23,166,29.1349,0.6447,0.5874,0.0000,0.0000
50000,2842,0.640,0.552,18.82,166287,121366,249,36047,8951,1114654,898096.6,759127.0,0.059,0.836,0.048,0.057,60,24.07,23.96,0.96,4.06,3.56,5.91,0.09,1.58,8.40,8.30,0.03,0.28,0.148,0.182,1662,0.040,0.073,0.905,0.002,0.020,281765,245067,7,0.701,0.129,0.012,447076,0.172,2.273,0.042,13.36,122126,356,0.681,0.261,0.343,35785703,1.32,32.45,0.049,0.546,0.013,6.0,16.0,52.0,277.9,37016,0.141,0.00,0.0038,0.060,494,0.875,0.000,0.661,0.417,3.06,4.32,3.97,0.06,0.027,1.33,1.37,1.33,0.889,0.00221,3.59,41.9195,807.40,111388.0,140196.6,81.453,98.2661,191.421,719.994,0.973,0.350,57.2,77.117,250.320,663,2368.0,35.74,12.643,161.895,5395.2,82.481,0.135,2.00,5.8149,16526.0,0.8154,0.4888,13.02,1.743,0.461,1.5887,0.0000,0.237,0.113,0.043,0.0000,12.05,4.29,3,9,26,94,69.0497,1.7966,0.6569,0.0000,0.0000
60000,2543,0.733,0.403,13.51,33976,28432,512,4146,1185,241619,393815.5,191855.5,0.062,0.719,0.101,0.118,162,24.67,26.60,0.66,2.91,6.39,10.07,0.07,0.57,10.09,8.59,0.01,0.26,0.199,0.238,1559,0.047,0.110,0.869,0.000,0.020,76680,66725,7,0.293,0.083,0.029,325151,0.176,2.170,0.027,16.00,33959,517,0.794,0.219,0.284,8413422,1.24,12.31,0.123,0.476,0.004,5.1,16.3,56.0,302.0,43778,0.167,0.00,0.0015,0.053,543,0.690,0.000,0.636,0.576,3.61,4.55,4.72,0.07,0.035,1.22,1.28,1.24,0.698,0.00139,3.52,12.8717,1513.01,103872.7,140196.6,11.230,18.2213,74.558,343.396,0.893,0.337,50.9,33.663,50.979,334,1140.4,45.30,4.557,36.641,3331.8,23.480,0.137,2.00,10.4393,26547.1,0.9658,0.4659,17.22,1.256,0.452,0.4113,0.0000,0.311,0.097,0.056,0.0000,7.62,4.65,5,15,29,151,29.4865,0.6512,0.6032,0.0000,0.0000
70000,3206,0.704,0.499,19.59,110775,80174,1264,19503,9171,687627,970055.4,662590.0,0.029,0.744,0.085,0.143,60,24.84,28.64,1.32,5.36,4.49,8.41,0.03,0.50,8.81,9.56,0.00,0.11,0.156,0.201,1914,0.044,0.061,0.908,0.005,0.026,294071,262641,14,0.411,0.230,0.009,534418,0.199,2.489,0.037,14.91,131295,467,0.964,0.261,0.362,29674280,1.47,25.80,0.089,0.473,0.002,5.9,18.1,48.0,682.0,46968,0.179,0.00,0.0034,0.042,585,0.889,0.000,0.722,0.628,3.21,4.09,4.44,0.14,0.068,1.36,1.60,1.48,0.897,0.00132,5.34,56.4116,2181.35,98059.7,140196.6,84.841,94.8607,176.557,688.511,0.993,0.312,61.7,74.674,244.528,416,1598.2,86.90,10.279,155.208,4059.0,86.295,0.135,2.00,9.3709,30043.0,1.0465,0.5379,14.65,1.572,0.501,1.5887,0.0000,0.336,0.143,0.131,0.0000,10.62,5.07,4,12,25,174,65.2658,5.1755,0.6269,0.0000,0.0000
80000,2303,0.899,0.422,14.12,25323,21259,1168,2958,841,167436,399117.0,202140.4,0.039,0.711,0.127,0.123,166,30.58,26.82,1.37,4.99,7.88,10.87,0.04,0.63,11.04,9.18,0.08,0.43,0.186,0.221,1369,0.064,0.105,0.881,0.001,0.013,84249,76022,9,0.290,0.007,0.005,158734,0.176,2.260,0.026,15.29,35045,644,1.207,0.190,0.343,7836607,1.35,9.73,0.215,0.535,0.046,7.5,23.5,62.0,316.0,46831,0.179,0.00,0.0016,0.067,451,0.686,0.000,0.592,0.708,3.79,4.60,5.00,0.18,0.088,1.32,1.37,1.36,0.691,0.00149,3.53,18.3386,2068.02,100096.0,140196.6,11.479,19.7311,71.784,346.204,0.876,0.315,45.6,32.856,50.745,358,1157.2,43.14,3.176,37.091,2989.9,24.820,0.134,2.00,12.8823,29667.9,0.9984,0.5513,20.33,1.339,0.373,0.4113,0.0000,0.352,0.145,0.191,0.0000,7.20,4.17,6,19,34,158,28.1749,1.2419,0.5914,0.0000,0.0000
90000,3224,0.825,0.515,20.72,73224,54011,2427,10674,5191,487437,978630.2,643151.9,0.042,0.712,0.103,0.143,70,28.54,30.52,0.90,5.08,5.84,9.66,0.01,0.44,9.58,8.91,0.00,0.05,0.151,0.187,1854,0.039,0.069,0.907,0.001,0.023,297921,271393,8,0.307,0.134,0.002,226148,0.241,3.101,0.033,15.45,124541,599,1.319,0.242,0.359,24925942,1.29,26.72,0.102,0.478,0.001,6.0,21.7,60.0,653.8,52673,0.201,0.00,0.0032,0.046,536,0.882,0.000,0.711,0.757,3.36,4.25,4.73,0.08,0.021,1.21,1.36,1.31,0.888,0.00133,6.55,67.1020,3198.99,90445.7,140196.6,92.503,90.4886,162.595,640.261,0.952,0.277,69.3,69.784,238.994,356,1209.3,121.71,8.123,145.788,3457.3,85.573,0.135,2.00,11.3988,36749.9,1.1894,0.5809,16.34,1.633,0.454,1.5887,0.0000,0.331,0.144,0.110,0.0000,11.03,5.26,4,15,31,166,59.2721,6.2244,0.5977,0.0000,0.0000
100000,2501,0.708,0.328,14.92,28832,23348,1050,3752,1405,183681,400680.1,188109.3,0.048,0.728,0.108,0.116,155,26.50,33.57,1.02,4.82,6.20,12.32,0.03,0.49,9.10,7.46,0.00,0.00,0.123,0.184,1099,0.085,0.119,0.862,0.001,0.018,72373,64977,6,0.540,0.102,0.009,54865,0.191,1.941,0.023,16.87,31410,687,1.024,0.182,0.238,9069794,1.31,13.05,0.043,0.328,0.000,5.7,13.7,72.0,414.0,40887,0.156,0.00,0.0018,0.060,590,0.691,0.000,0.664,0.619,3.62,3.70,5.65,0.06,0.028,1.15,1.39,1.36,0.696,0.00140,4.00,15.3167,1192.12,99103.5,140196.6,11.467,18.0972,75.188,359.608,0.870,0.326,48.3,34.688,49.017,222,859.8,40.58,3.442,35.052,2808.3,23.348,0.135,2.00,13.0265,32579.3,1.3783,0.5250,16.35,1.338,0.382,0.4113,0.0000,0.279,0.072,0.012,0.0000,7.87,4.07,5,11,37,141,29.9886,1.1931,0.5938,0.0000,0.0000
