step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2
1000,2700,0.8930,38997.7,899,871,964,865,30,29,31
2000,2609,0.8988,53392.6,1800,877,932,800,29,28,32
3000,2536,0.9105,59831.9,2706,872,899,765,32,31,30
4000,2149,0.6775,36981.0,595,1049,715,385,24,29,29
5000,2496,0.6775,49141.1,903,1279,777,440,30,40,45
6000,2414,0.7502,50423.2,1314,1179,762,473,27,43,51
7000,2499,0.6823,44366.1,930,1224,822,453,41,40,45
8000,2417,0.6885,46085.2,993,1213,834,370,38,43,50
9000,2208,0.6979,44362.1,1179,1096,752,360,30,45,38
10000,2085,0.7132,32107.8,1044,1065,770,250,43,38,41
11000,1701,0.7225,27028.6,1012,921,560,220,43,53,67
12000,1428,0.7787,18192.4,1136,742,472,214,57,63,83
13000,1024,0.8613,10251.9,1238,569,312,143,31,42,60
14000,667,0.8291,5166.6,1414,428,156,83,22,25,29
15000,542,0.7768,4496.6,1090,462,67,13,24,22,11
16000,558,0.6882,4768.9,845,489,51,18,25,28,15
17000,753,0.6813,8340.9,773,560,130,63,37,56,50
18000,1247,0.5766,15496.8,689,689,345,213,55,81,117
19000,1705,0.5355,30410.9,782,845,568,292,85,124,152
20000,2022,0.5425,42675.4,931,974,676,372,73,107,178
21000,2357,0.5045,48782.8,859,1122,770,465,92,84,163
22000,2817,0.5218,53363.8,807,1326,971,520,75,66,155
23000,3003,0.5088,56704.9,808,1519,881,603,63,67,117
24000,3264,0.5447,57998.3,789,1616,923,725,74,92,115
25000,3203,0.5526,55468.9,841,1654,947,602,70,88,116
26000,3350,0.5379,53263.5,808,1716,1007,627,71,100,124
27000,3297,0.5672,50477.1,806,1618,1050,629,67,96,120
28000,3273,0.5613,47185.9,824,1563,1112,598,98,108,123
29000,2901,0.5826,39088.2,820,1466,933,502,75,102,93
30000,2843,0.5874,31287.3,738,1385,997,461,99,124,119
31000,2559,0.6206,26092.3,677,1112,1024,423,113,113,100
32000,2162,0.6369,20321.1,739,1001,735,426,97,100,82
33000,1636,0.6528,11281.8,700,787,468,381,84,98,109
34000,1172,0.6468,9166.4,793,698,262,212,55,103,114
35000,819,0.5934,6977.4,758,640,123,56,26,77,45
36000,866,0.5035,7895.3,619,614,159,93,26,119,89
37000,1398,0.4778,11268.7,482,754,361,283,71,161,164
38000,2111,0.4652,15645.7,445,996,637,478,124,156,179
39000,2923,0.4564,20441.1,388,1312,889,722,171,126,209
40000,3225,0.4747,24776.8,437,1470,1135,620,152,119,165
41000,3466,0.4435,26931.4,436,1601,1249,616,153,157,137
42000,4179,0.4549,34089.0,440,1896,1549,734,148,125,147
43000,4012,0.4541,37499.7,519,1710,1645,657,142,156,137
44000,4192,0.4098,37324.2,468,1719,1760,713,165,173,121
45000,3996,0.4219,36902.7,455,1686,1689,621,155,186,151
46000,4026,0.3962,31326.6,378,1606,1795,625,166,153,117
47000,3910,0.4056,29387.5,357,1523,1729,658,164,133,142
48000,3564,0.4169,27298.1,342,1396,1628,540,162,140,113
49000,3373,0.3827,25640.4,326,1313,1560,500,135,137,99
50000,2946,0.4325,21667.9,336,1065,1374,507,113,141,110
51000,2379,0.4649,23031.8,450,978,1026,375,105,116,79
52000,2351,0.4721,17767.8,442,1022,877,452,135,113,126
53000,1843,0.6218,12213.4,576,959,541,343,140,101,125
54000,1222,0.7062,9039.9,937,714,337,171,91,108,96
55000,825,0.5636,7304.0,903,603,174,48,51,101,44
56000,954,0.4874,7934.4,574,637,178,139,18,146,124
57000,1499,0.4343,12037.1,532,821,381,297,66,201,199
58000,2135,0.4810,15326.2,487,1011,611,513,134,193,215
59000,2670,0.5011,19191.8,480,1069,1033,568,150,140,205
60000,2958,0.5294,28003.8,626,1174,1204,580,159,126,198
61000,2952,0.5068,38813.3,722,1223,1251,478,155,119,135
62000,2994,0.4970,44612.6,758,1212,1223,559,172,138,115
63000,3216,0.4599,48662.8,705,1359,1242,615,179,134,124
64000,3320,0.4648,50871.9,688,1519,1180,621,139,142,112
65000,3207,0.4955,56180.2,749,1603,1026,578,135,126,111
66000,3118,0.4782,60829.5,799,1596,969,553,106,129,105
67000,3235,0.4609,60820.2,747,1560,1059,616,145,153,141
68000,3236,0.4716,54887.1,691,1556,1119,561,156,150,119
69000,2879,0.5019,52615.2,764,1393,972,514,141,126,117
70000,2617,0.4876,50793.7,798,1174,917,526,124,100,92
71000,2484,0.4919,41387.1,743,1086,871,527,97,87,103
72000,2189,0.5121,31434.7,726,924,781,484,105,82,102
73000,1636,0.5801,18803.3,784,824,449,363,87,103,152
74000,1114,0.5709,11218.5,782,642,282,190,68,111,136
75000,680,0.5162,7157.5,730,513,123,44,30,95,40
76000,798,0.4875,9200.6,640,545,157,96,30,133,92
77000,1322,0.4380,15975.9,694,671,342,309,50,202,213
78000,1837,0.4594,15950.8,497,853,580,404,107,128,197
79000,2323,0.4623,23091.2,509,1006,786,531,136,106,201
80000,2654,0.4736,31238.5,575,1113,1022,519,157,106,157
81000,2659,0.4983,38348.0,640,1136,1047,476,141,90,143
82000,2900,0.4652,44513.5,661,1393,987,520,147,111,124
83000,3032,0.4634,51349.2,705,1440,1040,552,153,131,150
84000,3179,0.4696,58276.1,714,1562,1032,585,130,128,128
85000,3149,0.4195,57866.7,702,1662,985,502,151,156,112
86000,2845,0.4594,59170.8,757,1405,954,486,137,128,91
87000,2969,0.4645,57477.4,731,1390,1032,547,143,125,123
88000,2860,0.4552,57388.1,748,1396,978,486,144,128,121
89000,2762,0.4757,54134.9,756,1228,1025,509,129,127,92
90000,2738,0.4858,49596.2,707,1199,975,564,101,134,139
91000,2360,0.4733,40340.2,728,1054,839,467,102,135,121
92000,2091,0.5022,28610.6,655,937,698,456,116,133,131
93000,1572,0.5496,18226.1,703,834,437,301,110,115,137
94000,1015,0.5576,11474.6,738,626,219,170,64,101,119
95000,695,0.4964,7198.6,573,521,121,53,22,92,46
96000,796,0.4322,8495.9,532,564,133,99,19,115,98
97000,1346,0.4205,12368.2,513,728,330,288,51,192,196
98000,1810,0.4492,16337.5,486,857,543,410,103,126,192
99000,2101,0.4917,23828.5,548,987,706,408,109,119,170
100000,2448,0.4424,32789.5,564,1057,930,461,134,116,161
