step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2
1000,2921,0.9213,35910.6,916,952,976,993,17,17,17
2000,2833,0.9294,47799.5,1846,925,927,981,20,16,18
3000,2800,0.9368,53001.1,2769,980,896,924,16,19,15
4000,2246,0.6460,34918.3,564,1131,698,417,22,20,29
5000,2621,0.6784,46332.7,888,1308,794,519,32,30,44
6000,2702,0.7295,48028.8,1237,1297,836,569,35,43,54
7000,2743,0.7211,36084.1,929,1191,962,590,37,59,46
8000,2715,0.7024,34035.2,959,1293,894,528,41,50,44
9000,2824,0.6965,33421.0,958,1400,860,564,41,53,52
10000,2718,0.6913,29781.8,921,1220,956,542,41,64,50
11000,2398,0.6251,19784.0,698,1036,914,448,59,56,71
12000,1700,0.5647,10224.5,426,671,627,402,83,68,81
13000,1453,0.6105,8368.6,454,554,570,329,73,75,103
14000,1232,0.5503,7507.9,474,463,462,307,66,88,105
15000,1067,0.5539,6316.5,445,414,355,298,93,86,108
16000,1080,0.5370,8238.5,517,390,381,309,88,88,124
17000,1433,0.5318,8166.7,391,557,507,369,103,93,120
18000,1930,0.4627,11550.4,354,770,596,564,101,88,154
19000,2113,0.4359,12147.8,294,830,756,527,149,66,153
20000,2408,0.4053,12581.7,254,1027,829,552,140,107,137
21000,2606,0.4114,20094.3,352,1038,991,577,112,108,110
22000,2999,0.4341,21812.4,363,1169,1124,706,134,123,123
23000,2923,0.4044,21485.5,342,1195,1126,602,138,129,123
24000,3182,0.4092,22900.0,334,1400,1168,614,147,127,131
25000,3139,0.4100,24397.3,363,1312,1182,645,138,110,120
26000,3001,0.3929,19182.7,305,1363,1107,531,177,121,122
27000,3251,0.3965,21796.4,308,1405,1249,597,138,131,102
28000,2977,0.4041,20472.4,320,1223,1111,643,120,135,117
29000,2723,0.4844,23534.6,412,1050,1072,601,112,149,101
30000,2890,0.4972,31582.0,542,1164,1066,660,115,85,109
31000,2768,0.5462,28982.4,670,1125,1002,641,133,85,116
32000,2417,0.5296,20317.6,598,885,912,620,116,102,119
33000,2051,0.5734,13295.6,521,737,770,544,126,94,130
34000,1488,0.6055,10227.0,664,517,510,461,111,90,143
35000,1353,0.5661,7570.8,638,472,478,403,114,111,143
36000,1335,0.5281,8406.5,556,489,437,409,124,119,151
37000,1566,0.4745,9446.1,479,607,513,446,132,123,157
38000,1880,0.5069,10107.1,403,781,610,489,97,119,158
39000,2013,0.5082,15161.4,496,815,709,489,106,117,138
40000,2396,0.4482,21945.7,510,912,869,615,106,93,158
41000,2456,0.4727,26597.8,533,1059,835,562,110,97,129
42000,2642,0.4493,34669.5,595,1178,934,530,157,81,105
43000,2725,0.4664,40272.2,658,1266,850,609,140,87,151
44000,2689,0.4585,44268.0,672,1270,821,598,128,104,102
45000,2640,0.4523,49970.2,747,1247,764,629,127,69,101
46000,2656,0.4458,47944.2,692,1218,840,598,125,77,119
47000,2461,0.4584,46250.3,731,1191,792,478,113,88,95
