step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2
1000,3046,0.9258,36782.9,917,1007,1083,956,8,17,15
2000,2989,0.9251,52830.0,1853,1009,1083,897,8,15,11
3000,2941,0.9310,62893.8,2800,1003,1055,883,12,17,11
4000,2110,0.7128,36043.4,659,784,843,483,21,26,26
5000,2291,0.7285,49822.9,1084,1073,841,377,30,34,31
6000,2481,0.7388,56158.2,1500,1183,860,438,34,34,34
7000,2622,0.6381,49102.6,820,1263,966,393,21,40,33
8000,2905,0.5704,50055.3,788,1521,889,495,33,38,47
9000,2955,0.6169,47464.0,870,1436,933,586,41,23,64
10000,2777,0.6622,38250.5,811,1246,987,544,34,45,66
11000,2261,0.6471,27916.1,834,941,871,449,44,47,77
12000,1832,0.7320,19309.4,948,680,802,350,52,56,73
13000,1454,0.7607,12621.3,1007,563,586,305,40,38,70
14000,1276,0.6599,10263.3,889,476,520,280,50,41,68
15000,1132,0.6511,6903.7,631,374,425,333,55,58,87
16000,1251,0.6339,7039.9,593,444,469,338,71,64,101
17000,1474,0.6465,8513.1,621,535,555,384,67,74,99
18000,1648,0.6226,11336.5,612,618,630,400,65,71,89
19000,1648,0.5874,19548.6,760,670,634,344,57,57,73
20000,2011,0.5728,28588.4,789,826,761,424,51,62,87
21000,2028,0.5833,32995.4,838,824,825,379,44,57,75
22000,2088,0.5603,40521.7,948,867,794,427,49,40,69
23000,2123,0.5040,39137.1,810,905,755,463,53,24,61
24000,2035,0.5548,42348.6,840,910,720,405,66,41,60
25000,2147,0.4942,42539.6,837,964,730,453,79,37,61
26000,2100,0.5214,31506.1,640,903,827,370,73,53,75
27000,2115,0.5130,30535.6,616,914,847,354,103,67,85
28000,2029,0.5377,26582.4,653,910,767,352,82,65,71
29000,2054,0.5204,20539.0,594,903,861,290,69,83,71
30000,1619,0.5720,14850.5,504,622,732,265,63,87,79
31000,1726,0.5927,18164.5,629,722,726,278,81,75,92
32000,1709,0.5688,18292.4,667,660,729,320,70,68,82
33000,1437,0.5852,11643.9,567,547,567,323,64,66,77
34000,1129,0.6271,7629.3,588,429,452,248,69,61,84
35000,971,0.5767,7509.1,626,378,387,206,48,69,88
36000,1086,0.5424,6993.5,540,394,420,272,54,96,113
37000,1349,0.5308,8512.3,436,527,468,354,84,92,99
38000,1655,0.5378,10631.1,400,676,630,349,108,67,99
39000,1733,0.4968,17999.5,495,678,714,341,80,59,77
40000,2140,0.4930,23641.8,527,846,900,394,98,42,86
41000,2227,0.4540,22555.5,514,902,934,391,86,83,91
42000,2398,0.4812,20472.6,445,1012,996,390,65,51,95
43000,2339,0.5395,26094.3,595,1020,990,329,71,60,77
44000,2426,0.5486,29964.1,690,1029,1089,308,73,76,64
45000,2591,0.5276,29974.6,659,1040,1139,412,87,74,68
46000,2444,0.5372,24679.9,614,1026,1066,352,113,75,69
47000,2498,0.5144,26335.7,596,1044,1064,390,67,83,75
48000,2319,0.5455,25963.8,622,972,1033,314,78,65,80
49000,2368,0.5414,27970.7,698,1024,985,359,72,70,86
50000,2326,0.6079,27051.1,753,985,990,351,62,82,79
51000,2058,0.5982,23933.8,769,849,873,336,63,46,78
52000,1893,0.6133,19189.9,759,725,793,375,60,67,103
53000,1619,0.6109,12610.3,657,645,656,318,84,63,95
54000,1468,0.5974,8645.5,597,551,556,361,97,90,122
55000,1279,0.6153,6182.6,541,455,452,372,91,87,141
56000,1442,0.6082,7289.7,571,515,542,385,103,91,140
57000,1737,0.5337,8902.3,535,632,662,443,115,138,139
58000,1965,0.5573,12046.8,471,731,709,525,82,105,115
59000,2255,0.5605,17622.6,558,789,892,574,97,100,104
60000,2187,0.5670,29039.0,782,823,863,501,98,72,66
61000,2351,0.5206,38082.9,829,835,929,587,90,58,63
62000,2554,0.5016,38786.0,746,953,991,610,76,62,64
63000,2718,0.5099,43721.4,794,1051,962,705,76,53,64
64000,2766,0.5221,48856.6,847,1123,946,697,91,49,76
65000,2826,0.5188,47868.1,787,1227,979,620,82,59,68
66000,2860,0.4797,44487.8,741,1311,971,578,78,69,57
67000,2827,0.4942,47155.8,792,1231,988,608,84,73,103
68000,2892,0.4907,47369.3,755,1269,994,629,97,84,91
69000,2775,0.5211,37893.0,707,1212,962,601,107,64,109
70000,2479,0.5220,33508.2,725,1052,929,498,102,82,97
71000,2201,0.5348,29197.9,687,903,794,504,84,71,113
72000,1966,0.5544,22489.7,647,783,702,481,91,84,106
73000,1632,0.5833,14846.2,647,645,554,433,96,73,105
74000,1384,0.5939,10514.5,641,537,434,413,87,75,139
75000,1192,0.5931,7027.9,623,408,423,361,96,83,103
76000,1274,0.5620,7265.3,517,437,432,405,93,86,153
77000,1623,0.5132,8456.7,455,619,512,492,95,82,186
78000,1899,0.5013,11953.8,458,737,677,485,85,95,176
79000,2178,0.4982,18741.9,496,906,793,479,89,87,132
80000,2326,0.4991,27732.9,591,977,840,509,94,90,108
81000,2526,0.4778,34175.6,639,1023,913,590,127,65,127
82000,2608,0.4663,40378.9,714,1121,975,512,105,75,104
83000,2633,0.5044,44667.7,720,1132,937,564,104,82,108
84000,2637,0.5116,45985.2,759,1136,989,512,92,89,95
85000,2830,0.4728,50288.9,753,1285,992,553,91,104,81
86000,2785,0.4908,50357.6,757,1197,952,636,101,107,71
87000,2774,0.4957,51033.1,776,1270,923,581,100,94,93
88000,2595,0.4875,53284.4,845,1117,904,574,84,84,104
89000,2520,0.5183,44994.9,806,1058,898,564,100,69,114
90000,2299,0.5094,38616.4,760,991,794,514,98,81,101
91000,2280,0.5360,35178.1,753,925,813,542,93,80,110
92000,1998,0.5901,23386.4,701,779,715,504,104,80,120
93000,1685,0.5703,15466.0,656,627,622,436,102,72,136
94000,1354,0.6307,10382.1,681,491,481,382,113,88,137
95000,1146,0.6195,8000.2,668,407,413,326,107,96,127
96000,1156,0.5718,8284.9,581,426,394,336,88,92,130
97000,1507,0.5388,10288.7,497,564,543,400,95,110,136
98000,1722,0.5360,14891.0,526,671,658,393,92,101,116
99000,1845,0.4997,24230.1,623,708,705,432,78,79,120
100000,2016,0.4846,33472.0,713,805,801,410,81,73,93
101000,2095,0.4783,40720.5,754,891,745,459,84,56,87
102000,2156,0.4490,46581.9,799,902,833,421,98,60,91
103000,2112,0.4527,52502.6,879,929,760,423,90,50,78
104000,2384,0.4471,54662.2,821,1097,787,500,106,67,76
105000,2365,0.4288,57238.6,855,1039,834,492,80,68,84
106000,2410,0.4498,58034.7,847,1100,750,560,90,65,75
107000,2285,0.4656,53141.4,843,1018,768,499,72,81,89
108000,2185,0.4467,50905.6,847,941,768,476,74,75,69
109000,2092,0.4742,51239.2,879,852,797,443,77,84,76
110000,2140,0.4953,44489.1,823,867,799,474,75,70,84
111000,2002,0.5345,37540.3,801,766,726,510,77,62,97
112000,1778,0.5911,29727.1,806,663,661,454,70,64,101
113000,1568,0.5434,20937.8,690,608,567,393,77,56,100
114000,1352,0.5747,14033.5,666,489,486,377,75,76,122
115000,1138,0.5641,9547.4,689,390,406,342,78,74,113
116000,1127,0.5306,8643.5,578,408,396,323,72,94,98
117000,1422,0.4944,11548.7,535,517,529,376,84,95,139
118000,1717,0.4712,16476.0,508,684,674,359,88,93,96
119000,1800,0.5117,25322.4,630,747,699,354,67,86,85
120000,2096,0.4442,35727.9,703,868,859,369,77,88,75
121000,2188,0.4570,44103.2,783,915,806,467,78,81,77
122000,2104,0.4615,50334.0,863,897,760,447,80,42,62
123000,2234,0.4293,54394.3,860,974,778,482,75,40,82
124000,2356,0.4457,56098.6,833,1030,807,519,81,48,72
125000,2302,0.4492,59618.5,875,1087,722,493,106,49,81
126000,2114,0.4532,58477.2,936,952,726,436,78,47,58
127000,2106,0.4587,57769.4,903,991,651,464,66,49,61
128000,2030,0.4310,56141.7,892,1016,614,400,77,51,80
129000,2087,0.4614,51352.6,816,985,669,433,71,54,78
130000,2039,0.4566,47609.7,809,855,713,471,59,50,88
131000,1865,0.4815,41975.7,828,743,639,483,75,46,75
132000,1759,0.5304,32712.9,769,670,638,451,60,45,76
133000,1501,0.5576,22595.3,729,574,521,406,72,56,88
134000,1217,0.5949,13537.9,743,431,435,351,84,58,100
135000,1108,0.5126,10061.8,645,408,366,334,81,59,105
136000,1198,0.5234,9647.6,582,437,414,347,105,73,125
137000,1388,0.5065,11967.8,569,506,536,346,82,88,110
138000,1701,0.4644,18873.4,574,621,663,417,90,86,113
139000,1929,0.4603,28279.2,634,774,719,436,75,85,91
140000,1857,0.4637,39717.0,818,788,656,413,62,66,87
141000,2103,0.4146,48264.7,807,898,752,453,67,53,59
142000,2150,0.4126,51493.1,845,913,786,451,67,46,44
143000,2173,0.4602,56372.8,926,1013,705,455,66,49,58
144000,2314,0.4425,57860.9,846,1064,750,500,58,53,71
145000,2191,0.4459,59044.9,923,1020,693,478,67,52,75
146000,2298,0.4578,58657.3,894,1092,707,499,86,43,82
147000,2342,0.4214,58342.7,865,1042,775,525,88,36,73
148000,2126,0.4553,54081.1,903,1002,691,433,84,42,66
149000,2049,0.4646,49094.8,877,957,748,344,67,48,57
150000,1888,0.4852,47145.9,911,810,703,375,43,49,53
151000,1749,0.4620,41070.9,849,731,642,376,62,45,58
152000,1635,0.4881,33821.6,806,672,584,379,46,54,71
153000,1487,0.5508,25802.1,820,508,615,364,53,67,61
154000,1210,0.5686,17786.2,810,419,483,308,41,62,64
155000,971,0.5407,13249.6,843,332,387,252,56,58,103
156000,1060,0.5472,13090.5,721,401,378,281,56,80,90
157000,1273,0.5067,15411.5,713,482,451,340,66,98,117
158000,1466,0.4829,21621.8,724,597,558,311,79,82,89
159000,1653,0.4906,30286.3,739,694,630,329,55,70,75
160000,1821,0.4552,41146.8,881,771,676,374,66,54,83
161000,1936,0.4334,46059.9,881,859,720,357,73,38,63
162000,1950,0.4292,50717.0,902,885,682,383,41,30,58
163000,2006,0.4247,57475.1,978,928,715,363,54,34,47
164000,2039,0.4438,56636.1,953,955,658,426,56,27,55
165000,1937,0.4533,56087.6,976,935,635,367,58,29,43
166000,2064,0.4656,58629.9,974,1044,625,395,64,42,54
167000,1999,0.4417,56909.3,1018,1019,591,389,68,42,56
168000,1960,0.4571,57892.1,1035,983,555,422,58,40,71
169000,1895,0.4728,50442.4,960,979,552,364,54,40,57
170000,1653,0.4797,45439.1,1035,810,497,346,46,33,53
171000,1607,0.4767,43315.6,979,717,571,319,37,53,46
172000,1502,0.4874,35212.3,891,669,510,323,49,39,57
173000,1304,0.5245,27676.3,905,557,451,296,60,43,63
174000,1095,0.5543,20710.5,933,466,398,231,56,54,68
175000,931,0.6122,16237.0,999,356,298,277,68,70,103
176000,813,0.5695,15112.2,999,316,269,228,64,60,96
177000,1002,0.4940,19373.1,917,419,347,236,72,87,96
178000,1364,0.4589,25347.7,802,554,523,287,68,97,106
179000,1569,0.4640,34289.6,855,666,604,299,72,84,106
180000,1663,0.4720,46122.4,983,781,591,291,80,67,102
181000,1798,0.4394,54840.1,1002,834,647,317,80,49,91
182000,1925,0.4275,57299.7,981,950,645,330,69,56,92
183000,1926,0.4476,62276.5,1095,977,594,355,76,62,97
184000,1888,0.4253,64100.9,1100,990,538,360,74,48,87
185000,1865,0.4306,64374.1,1097,1010,533,322,70,47,98
186000,1958,0.4484,65674.9,1063,1054,531,373,82,40,112
187000,1839,0.4475,64964.5,1142,973,509,357,66,41,106
188000,1921,0.4534,63715.5,1084,1060,535,326,56,57,96
189000,1876,0.4712,60398.2,1047,941,534,401,63,58,99
190000,1872,0.4241,56863.0,1034,966,539,367,51,60,97
191000,1733,0.4732,51763.9,1057,843,504,386,73,46,112
192000,1568,0.5115,42596.8,1038,694,517,357,64,50,103
193000,1322,0.5484,32502.7,1045,536,477,309,66,77,108
194000,1062,0.6224,23778.8,1114,412,365,285,56,74,103
195000,823,0.6610,17557.6,1237,315,259,249,61,58,94
196000,831,0.5836,15899.0,1092,316,297,218,62,70,82
197000,975,0.5436,20906.2,1030,381,345,249,78,66,102
198000,1275,0.4855,29394.8,981,539,462,274,68,94,114
199000,1541,0.4497,38242.0,941,640,595,306,60,90,116
200000,1700,0.4512,49007.1,1007,747,614,339,63,56,121
201000,1925,0.4104,58065.9,1004,892,625,408,71,68,130
202000,1990,0.4402,60728.0,983,988,602,400,73,55,126
203000,1999,0.4382,68457.0,1124,1068,504,427,83,57,141
204000,2034,0.4164,68959.2,1106,1038,556,440,80,69,124
205000,2007,0.4305,64245.6,1046,1051,521,435,53,48,121
206000,1996,0.4203,67831.6,1120,1095,499,402,54,47,105
207000,2004,0.4217,68191.2,1117,1042,550,412,55,56,88
208000,2007,0.4240,62802.5,987,1038,554,415,67,59,118
209000,1986,0.4507,59863.1,1046,1073,518,395,99,65,121
210000,1834,0.4591,57976.4,1180,934,509,391,92,62,114
211000,1699,0.4885,48442.6,1100,776,493,430,60,65,124
212000,1557,0.5022,40948.2,1075,687,507,363,61,77,118
213000,1334,0.5292,32765.3,1108,553,434,347,76,73,141
214000,1052,0.6502,23552.5,1201,348,403,301,57,94,111
215000,887,0.6483,17433.5,1206,304,311,272,76,68,104
216000,848,0.6144,15657.8,1153,327,265,256,87,52,114
217000,1018,0.5864,21201.9,1107,383,397,238,95,81,113
218000,1341,0.5377,27653.2,964,553,463,325,97,86,154
219000,1652,0.4776,37545.7,954,664,630,358,88,81,151
220000,1775,0.4524,48395.4,1035,766,617,392,64,57,138
221000,1987,0.4489,59961.3,1027,926,629,432,88,54,122
222000,2026,0.4501,61668.4,1042,994,618,414,64,40,116
223000,1987,0.4394,65831.1,1121,1063,537,387,73,43,104
224000,2147,0.4392,69894.0,1057,1131,540,476,68,58,133
225000,2088,0.4176,69470.4,1094,1131,516,441,72,38,125
226000,1999,0.4292,70461.7,1177,1116,480,403,79,54,117
227000,2073,0.4539,68352.3,1080,1146,497,430,71,46,100
228000,1943,0.4601,67721.2,1164,1061,466,416,60,53,111
229000,1953,0.4455,63567.4,1131,1057,501,395,70,45,121
230000,1882,0.4325,56760.1,1066,946,507,429,64,50,111
231000,1792,0.4961,51829.2,1077,863,508,421,73,39,113
232000,1591,0.5248,43952.1,1136,759,490,342,75,50,103
233000,1485,0.5758,31757.5,984,606,512,367,80,90,134
234000,1102,0.6497,22433.8,1143,404,383,315,74,85,129
235000,910,0.7033,17516.5,1356,322,321,267,76,85,123
236000,924,0.6407,14564.7,1054,335,337,252,71,74,102
237000,1046,0.5736,19788.2,1032,402,400,244,81,88,118
238000,1342,0.5335,27307.0,1006,525,489,328,96,110,143
239000,1645,0.4930,35338.7,908,659,640,346,96,84,137
240000,1753,0.4552,48255.7,1031,743,653,357,75,78,130
241000,1884,0.4766,58738.1,1084,935,550,399,84,49,145
242000,2075,0.4241,61790.7,1005,1040,585,450,77,64,140
243000,2108,0.4507,67969.3,1088,1159,534,415,80,61,133
244000,2065,0.4305,71143.2,1153,1143,509,413,83,66,116
245000,2127,0.4076,70643.0,1081,1134,558,435,64,64,102
246000,2116,0.4362,71287.3,1130,1169,514,433,71,51,115
247000,2114,0.4541,71026.5,1119,1159,521,434,79,40,106
248000,2144,0.4230,68014.3,1042,1127,547,470,90,58,119
249000,1966,0.4283,63603.2,1121,1061,473,432,95,52,118
250000,1854,0.4563,59864.7,1147,971,478,405,70,59,121
251000,1899,0.4513,52392.7,1005,904,531,464,63,70,138
252000,1733,0.5234,44210.8,1017,771,562,400,56,80,130
253000,1436,0.5864,34319.3,1140,559,494,383,72,86,161
254000,1159,0.5962,21496.6,1114,449,392,318,75,95,131
255000,884,0.6776,16672.8,1237,305,309,270,71,77,130
256000,854,0.6452,16706.4,1206,321,303,230,68,85,96
257000,1066,0.5966,19690.7,1016,400,369,297,66,86,120
258000,1328,0.5354,27862.4,1020,537,448,343,104,104,141
259000,1601,0.4978,38429.3,1044,645,592,364,97,118,156
260000,1897,0.4470,47175.7,952,797,670,430,66,100,156
261000,1986,0.4386,58789.6,1038,938,614,434,71,76,134
262000,2073,0.4149,64725.0,1071,1009,623,441,85,53,133
263000,2139,0.4296,67642.0,1063,1100,558,481,101,57,146
264000,2227,0.4477,70222.8,1072,1189,599,439,86,53,128
265000,2157,0.4339,69935.0,1123,1138,594,425,94,68,134
266000,2154,0.4304,70473.5,1097,1127,582,445,84,73,119
267000,2024,0.4130,70054.4,1128,1075,526,423,63,58,122
268000,2057,0.4327,68076.6,1125,1071,539,447,55,46,135
269000,2096,0.4356,65771.4,1061,1054,582,460,69,58,128
270000,1868,0.4936,61655.3,1201,942,518,408,77,72,137
271000,1819,0.4942,52748.4,1129,849,540,430,59,69,152
272000,1716,0.5087,43826.8,1044,760,550,406,59,77,139
273000,1456,0.5879,34477.6,1111,564,545,347,73,87,132
274000,1126,0.6741,23724.7,1224,415,379,332,75,91,125
275000,926,0.6231,16941.2,1195,350,312,264,67,85,126
276000,895,0.5810,16390.9,1155,338,307,250,69,74,96
277000,1029,0.5802,20497.2,1063,400,371,258,68,85,120
278000,1354,0.5517,28881.6,993,562,469,323,93,108,119
279000,1731,0.5124,38410.2,958,784,578,369,101,134,144
280000,1896,0.4662,49799.7,1006,884,588,424,84,92,147
281000,2139,0.4226,61926.6,993,1077,608,454,79,59,137
282000,2268,0.4259,65969.0,1031,1147,639,482,61,66,136
283000,2149,0.4258,74159.5,1174,1117,567,465,67,69,118
284000,2205,0.4027,73081.3,1113,1153,583,469,74,68,104
285000,2187,0.4289,69165.8,1077,1151,562,474,88,47,108
286000,2169,0.4633,71558.5,1104,1154,547,468,83,55,124
287000,2059,0.3808,69592.2,1155,1128,477,454,78,51,142
288000,2081,0.4147,65100.3,1047,1112,518,451,75,57,120
289000,2124,0.4322,65356.6,1046,1117,548,459,74,60,120
290000,1953,0.4700,60923.1,1150,953,557,443,79,71,142
291000,1834,0.4662,50902.9,1059,876,525,433,76,68,115
292000,1691,0.4920,43534.1,1044,780,522,389,73,62,103
293000,1389,0.6098,32674.4,1118,583,455,351,64,73,113
294000,1096,0.6843,24509.5,1231,407,381,308,63,94,113
295000,899,0.6819,17423.1,1252,330,296,273,55,76,113
296000,904,0.6427,16215.8,1132,335,321,248,51,87,111
297000,1050,0.5952,20788.8,1081,385,380,285,66,85,134
298000,1376,0.5218,28064.6,944,528,523,325,78,127,134
299000,1626,0.5123,36764.7,969,676,591,359,84,110,134
300000,1910,0.4911,50496.1,1007,885,593,432,111,98,153
