step,event,lineage,other,size
95000,split,970,855,15
95000,extinct,907,0,8
95000,extinct,917,0,12
95000,extinct,947,0,10
95000,extinct,958,0,6
96000,extinct,580,0,14
96000,extinct,706,0,10
96000,extinct,925,0,6
97000,extinct,926,0,20
99000,split,990,855,51
101000,split,973,887,22
101000,split,984,855,38
101000,split,996,855,291
101000,extinct,296,0,376
102000,split,1000,844,36
102000,split,1001,915,10
102000,split,1002,844,21
102000,split,1003,855,37
104000,split,1009,984,67
104000,split,1010,915,10
104000,split,1011,996,318
104000,split,1015,996,10
104000,extinct,1001,0,10
105000,split,1017,956,9
105000,split,1018,996,80
105000,split,1024,970,15
106000,split,1025,996,67
106000,extinct,1017,0,9
107000,split,1036,956,100
107000,split,1037,984,27
107000,extinct,1002,0,7
108000,split,1046,970,9
108000,extinct,973,0,11
108000,extinct,1003,0,5
109000,split,1065,996,61
109000,split,1069,1025,7
109000,extinct,855,0,12
109000,extinct,990,0,6
110000,split,1048,970,5
110000,split,1076,844,13
110000,split,1077,970,16
110000,split,1089,1009,7
111000,split,1052,984,7
111000,split,1072,1024,7
111000,split,1092,1011,6
111000,extinct,1000,0,5
112000,split,1056,996,17
112000,split,1105,1011,33
112000,split,1106,1011,81
112000,extinct,915,0,16
112000,extinct,1036,0,18
112000,extinct,1089,0,7
113000,extinct,1010,0,6
113000,extinct,1024,0,7
113000,extinct,1046,0,9
113000,extinct,1048,0,5
113000,extinct,1052,0,7
113000,extinct,1072,0,7
113000,extinct,1077,0,5
114000,extinct,844,0,14
114000,extinct,1009,0,28
114000,extinct,1015,0,11
114000,extinct,1065,0,11
114000,extinct,1076,0,14
115000,split,1147,1025,13
115000,extinct,970,0,6
115000,extinct,1025,0,7
115000,extinct,1037,0,10
115000,extinct,1092,0,6
116000,split,1158,956,149
116000,extinct,984,0,5
116000,extinct,1069,0,14
116000,extinct,1106,0,13
117000,split,1170,1011,44
117000,extinct,996,0,12
118000,extinct,1056,0,5
121000,split,1157,956,51
123000,split,1190,1170,56
124000,extinct,1105,0,12
125000,split,1199,1170,17
125000,split,1200,1011,6
125000,split,1201,1170,7
125000,extinct,1147,0,16
127000,split,1219,956,8
128000,split,1232,1011,18
128000,extinct,1201,0,7
128000,extinct,1219,0,8
129000,split,1243,1190,38
129000,split,1244,1011,8
129000,extinct,1018,0,8
131000,split,1260,1011,5
131000,extinct,1200,0,8
132000,split,1264,956,64
132000,split,1269,1011,7
133000,extinct,1190,0,13
133000,extinct,1243,0,12
133000,extinct,1244,0,9
135000,split,1303,1011,12
135000,extinct,1199,0,12
135000,extinct,1260,0,5
135000,extinct,1269,0,5
136000,split,1316,1011,6
136000,extinct,1232,0,7
136000,extinct,1264,0,39
137000,split,1328,1011,141
137000,split,1330,1011,28
137000,split,1332,1170,135
137000,extinct,1157,0,12
137000,extinct,1170,0,5
139000,split,1338,1330,6
141000,extinct,956,0,36
142000,split,1315,1011,10
143000,split,1351,1303,11
144000,extinct,1315,0,10
145000,split,1359,1303,494
145000,split,1360,1303,54
146000,split,1366,1332,28
147000,extinct,1330,0,6
147000,extinct,1360,0,54
148000,extinct,1338,0,6
150000,split,1393,1328,30
150000,split,1395,1328,12
150000,extinct,1303,0,6
152000,split,1414,1359,26
153000,extinct,1316,0,9
153000,extinct,1351,0,17
153000,extinct,1393,0,5
153000,extinct,1395,0,5
154000,split,1437,1328,14
155000,extinct,1011,0,13
155000,extinct,1332,0,6
156000,extinct,1414,0,22
158000,split,1477,1471,7
159000,extinct,1366,0,5
162000,split,1488,1359,57
163000,split,1495,1359,21
165000,split,1508,1359,8
165000,split,1510,1359,29
166000,extinct,1477,0,6
167000,split,1522,1359,5
168000,split,1525,1437,16
168000,split,1526,1359,20
169000,split,1533,1359,14
