step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug
10000,2475,0.726,0.400,8.32,41049,32519,3356,362,3767,37362,1148112.1,363462.1,0.310,0.316,0.153,0.221,110,23.52,19.56,1.38,4.98,1.19,4.59,1.22,3.91,18.07,13.94,0.02,0.31,0.031,0.113,917,0.045,0.111,0.876,0.004,0.009,199030,192359,28,0.585,0.110,0.146,5708248,0.269,2.259,0.031,5.38,61410,308,9.728,0.489,0.131,9085542,1.32,9.35,0.129,0.069,0.007,4.8,17.2,53.0,116.7,54093,0.206,0.00,0.0026,0.040,610,0.921,0.000,0.748,0.795,3.94,5.41,4.83,0.04,0.011,1.39,1.28,1.32,0.922,0.00036,2.71,63.5075,2336.86,62624.8,140185.7,37.164,71.5285,192.064,0.000,1.000,0.003,79.0,86.809,244.807,411,1710.8,51.28,22.992,73.531,2120.4,30.616,0.134,2.00,20.9695,51899.6,1.1453,0.4934,21.86,1.032,0.135,1.5345,0.0000,0.523,0.139,0.529,0.0000,7.43,0.90,4,16,49,90,83.0692,2.8659,0.6768,0.0000,0.0000,59.4613,100.00,41.8414,435.6441,16075.0,73.1673,71.5598
20000,2472,0.747,0.307,10.37,23267,19681,1515,1039,1035,38657,488434.9,126672.8,0.165,0.598,0.071,0.166,244,22.88,22.36,4.67,8.74,2.51,5.03,0.85,2.85,8.95,5.80,0.65,1.24,0.050,0.106,1058,0.203,0.160,0.826,0.001,0.013,53628,50044,3,0.706,0.000,0.156,1745027,0.225,2.201,0.019,17.94,18896,958,3.277,0.107,0.164,4432141,2.33,11.61,0.041,0.398,0.237,4.4,11.3,60.4,133.4,41962,0.160,0.00,0.0022,0.112,569,0.445,0.000,0.697,0.585,3.41,4.13,4.17,0.69,0.239,2.78,1.41,2.59,0.446,0.00136,6.26,15.8106,1129.71,84051.9,140185.7,2.124,13.0499,91.146,0.000,1.000,0.027,56.0,43.825,49.551,171,608.2,95.81,2.217,14.872,2664.1,8.774,0.135,2.00,13.0092,32158.9,1.2960,0.9676,16.97,1.166,0.119,0.4655,0.0000,0.340,0.050,0.002,0.0000,7.03,0.48,4,9,42,72,39.4693,1.0015,0.5862,0.0000,0.0000,13.1584,100.00,92.5527,276.4182,15915.7,21.9163,21.9322
30000,2826,0.782,0.387,10.14,58505,46686,2381,6594,2490,211903,1012342.1,393259.3,0.198,0.552,0.123,0.127,162,23.34,18.42,3.37,5.22,4.64,6.81,0.56,2.86,9.55,6.97,1.01,1.55,0.117,0.171,1456,0.071,0.127,0.865,0.000,0.008,171437,157895,2,0.465,0.076,0.080,4206139,0.265,2.322,0.028,10.66,61707,676,1.856,0.167,0.182,16479626,2.08,9.52,0.118,0.474,0.328,3.7,17.0,47.8,106.5,51192,0.195,0.00,0.0038,0.068,708,0.782,0.000,0.683,0.662,3.50,4.21,4.46,1.06,0.333,2.25,1.28,2.51,0.786,0.00121,7.55,44.0899,2319.41,57315.8,140185.7,52.783,52.3676,186.321,0.000,1.000,0.000,75.1,82.207,232.255,198,777.6,58.45,4.644,69.221,2987.8,38.826,0.133,2.01,17.8963,50574.9,1.3422,0.8190,18.11,1.136,0.113,1.5345,0.0000,0.345,0.050,0.008,0.0000,6.70,0.66,3,13,36,64,73.9302,4.8577,0.6398,0.0000,0.0000,53.8290,100.00,50.9218,452.9300,22341.8,57.3651,56.7225
40000,2593,0.853,0.332,10.40,26676,21461,1020,3729,699,153280,491988.9,196939.1,0.210,0.521,0.138,0.131,234,21.83,18.39,2.38,4.67,3.94,6.86,0.34,1.89,10.47,8.18,0.69,1.39,0.098,0.166,1304,0.071,0.160,0.826,0.002,0.011,67356,61539,7,0.420,0.032,0.075,1019918,0.254,2.072,0.023,9.92,23466,648,1.285,0.108,0.168,5781879,1.77,10.37,0.107,0.380,0.217,4.1,13.8,46.8,104.8,44408,0.169,0.00,0.0018,0.088,700,0.663,0.000,0.592,0.614,3.42,4.16,4.25,0.73,0.222,1.92,1.23,2.02,0.670,0.00118,2.60,17.7909,1734.04,76048.3,140185.7,1.216,20.3363,91.772,0.000,1.000,0.000,61.9,41.412,62.990,242,849.1,40.77,2.997,24.997,2472.2,13.816,0.134,2.00,14.0514,36435.3,1.2024,0.7143,17.13,1.138,0.117,0.4655,0.0000,0.362,0.062,0.040,0.0000,6.79,0.67,4,12,36,70,37.2955,1.0660,0.5746,0.0000,0.0000,12.5859,100.00,88.5142,278.0373,18857.7,24.9552,25.3036
50000,2845,0.852,0.434,10.33,58357,42705,1707,11617,2076,528379,1039944.4,625262.8,0.143,0.533,0.143,0.180,148,27.12,25.50,2.92,5.85,5.84,9.77,0.50,2.03,9.98,8.40,0.59,1.33,0.118,0.174,1911,0.024,0.106,0.884,0.001,0.009,202166,178276,7,0.464,0.146,0.126,2930707,0.217,2.971,0.027,7.84,72567,584,1.183,0.137,0.251,16230990,1.91,10.08,0.089,0.544,0.192,3.3,16.5,66.2,154.2,54734,0.209,0.00,0.0037,0.082,673,0.841,0.000,0.718,0.714,3.66,4.40,4.62,0.69,0.211,2.06,1.43,2.14,0.850,0.00148,4.60,57.2110,3216.86,62369.6,140185.7,46.606,65.3835,191.737,0.000,1.000,0.001,73.3,79.262,239.700,209,708.4,112.17,5.458,76.906,2737.2,40.890,0.136,2.00,15.9705,45436.1,1.2669,0.6620,19.24,1.165,0.219,1.5345,0.0000,0.352,0.059,0.017,0.0000,7.00,0.93,3,13,44,81,71.4900,3.5626,0.6257,0.0000,0.0000,54.1833,100.00,46.8853,436.6810,21236.8,61.2631,61.0252
60000,2263,0.956,0.346,10.09,29569,22698,782,5648,1023,307621,500451.8,272273.5,0.126,0.608,0.120,0.145,227,26.61,20.68,3.80,5.81,5.52,7.83,0.29,1.92,10.26,8.88,0.79,1.39,0.138,0.185,1684,0.013,0.108,0.882,0.002,0.009,74524,62234,10,0.526,0.091,0.054,1253414,0.184,2.148,0.023,12.23,28703,610,0.885,0.122,0.312,7411051,2.21,7.80,0.094,0.621,0.278,3.2,22.9,56.1,121.4,44972,0.172,0.00,0.0022,0.105,517,0.690,0.000,0.700,0.618,3.82,4.60,4.92,0.91,0.286,2.46,1.50,2.52,0.699,0.00184,3.84,18.8684,1888.92,81595.6,140185.7,1.426,18.8821,95.724,0.000,1.000,0.000,54.9,42.064,58.064,205,684.9,56.88,2.458,23.150,2614.4,13.340,0.137,1.99,14.9356,33799.3,1.1969,0.5620,19.87,1.098,0.138,0.4655,0.0000,0.326,0.066,0.035,0.0000,6.66,0.67,3,18,37,81,36.5925,1.3134,0.5767,0.0000,0.0000,11.9819,100.00,91.5644,277.8976,15694.1,23.6432,24.1975
70000,2626,0.966,0.415,9.29,52598,38865,2129,8350,2891,593864,1034655.9,651317.9,0.141,0.593,0.099,0.167,161,32.60,22.62,4.26,6.16,6.28,7.54,0.19,1.31,11.54,9.79,0.75,1.33,0.156,0.176,1969,0.008,0.080,0.912,0.000,0.007,194374,166124,13,0.402,0.424,0.042,1420299,0.182,2.590,0.029,7.00,68208,625,1.097,0.140,0.277,17913134,2.35,6.39,0.120,0.614,0.265,4.9,30.0,62.2,138.2,58485,0.223,0.00,0.0034,0.096,715,0.870,0.000,0.821,0.732,4.09,4.93,5.20,0.91,0.287,2.62,1.58,2.71,0.879,0.00171,4.29,59.0595,2749.06,57113.3,140185.7,49.969,64.7094,190.005,0.000,1.000,0.000,72.7,76.426,240.344,235,883.0,90.80,4.541,74.842,2907.1,40.322,0.135,2.00,18.9545,49774.6,1.1814,0.6151,22.27,1.217,0.222,1.5345,0.0000,0.356,0.068,0.030,0.0000,6.62,0.73,5,21,40,68,68.1257,3.8122,0.6245,0.0000,0.0000,53.5627,100.00,45.0164,427.8771,22173.6,61.7361,61.0881
80000,2318,0.962,0.325,9.79,27233,21334,1005,3944,1258,267558,492604.1,266681.6,0.104,0.661,0.079,0.156,241,28.14,21.47,4.12,6.30,5.27,7.16,0.15,1.17,9.54,7.59,0.70,1.26,0.123,0.158,1565,0.028,0.112,0.880,0.000,0.007,68239,56755,5,0.406,0.021,0.037,586679,0.154,2.053,0.023,12.35,24941,659,0.997,0.125,0.283,7591171,2.33,8.14,0.103,0.607,0.263,4.1,23.6,58.2,109.4,44232,0.169,0.00,0.0022,0.120,555,0.679,0.000,0.756,0.618,3.69,4.47,4.88,0.73,0.273,2.55,1.49,2.76,0.688,0.00198,3.85,20.1456,1697.73,81498.9,140185.7,1.347,20.4040,93.408,0.000,1.000,0.001,59.0,40.690,57.451,136,534.4,60.59,2.068,23.616,2648.3,13.407,0.134,2.01,14.6110,33868.4,1.2255,0.6200,19.08,1.212,0.216,0.4655,0.0000,0.335,0.070,0.036,0.0000,6.66,0.65,3,16,36,62,35.1201,0.9796,0.5794,0.0000,0.0000,12.4185,100.00,89.9888,261.6308,15901.3,22.6938,23.3210
90000,2850,0.822,0.351,9.38,60956,45575,2055,8375,4419,515293,1031957.2,593407.1,0.105,0.648,0.106,0.141,164,26.09,18.84,4.55,5.74,4.85,6.83,0.36,2.14,9.11,7.18,0.95,1.40,0.125,0.169,1946,0.028,0.082,0.912,0.000,0.006,194948,170886,7,0.531,0.055,0.060,1603965,0.181,2.198,0.025,7.92,65674,590,1.152,0.163,0.285,20312432,2.51,7.72,0.096,0.598,0.349,3.9,22.5,49.3,98.8,53775,0.205,0.00,0.0040,0.097,766,0.857,0.000,0.873,0.691,3.70,4.38,5.02,0.98,0.352,2.74,1.56,3.05,0.864,0.00163,5.20,55.3228,2078.98,63821.7,140185.7,49.158,63.6412,189.587,0.000,1.000,0.000,72.8,77.987,237.869,146,559.0,76.65,4.345,77.186,2826.5,42.481,0.136,2.00,16.2149,46212.6,1.2028,0.6431,18.87,1.129,0.154,1.5345,0.0000,0.323,0.060,0.016,0.0000,6.58,0.74,4,16,36,64,69.5990,3.7312,0.6277,0.0000,0.0000,53.6510,100.00,46.8202,430.8479,20504.6,58.2903,57.8300
100000,2227,0.959,0.298,9.96,30662,24246,909,4262,1868,250357,494264.1,245742.8,0.087,0.716,0.085,0.112,238,24.91,20.11,4.30,6.01,4.29,6.73,0.31,2.17,9.62,7.32,0.93,1.44,0.097,0.152,1445,0.022,0.129,0.859,0.001,0.011,70542,60503,6,0.434,0.071,0.048,852984,0.142,1.886,0.021,13.98,25720,658,0.982,0.129,0.253,8259429,2.38,9.24,0.108,0.568,0.321,3.4,18.8,51.0,104.6,41245,0.157,0.00,0.0023,0.133,565,0.656,0.000,0.800,0.586,3.62,4.05,5.16,0.96,0.323,2.66,1.43,2.83,0.663,0.00210,4.58,18.1891,1255.22,84106.8,140185.7,1.350,18.8057,93.345,0.000,1.000,0.001,56.1,41.418,54.621,116,421.7,40.07,1.663,23.723,2744.3,13.942,0.132,2.01,15.4367,34377.5,1.3458,0.6124,18.52,1.100,0.084,0.4655,0.0000,0.314,0.047,0.005,0.0000,6.87,0.81,3,15,36,61,35.2473,1.4839,0.5514,0.0000,0.0000,12.1493,100.00,92.3881,267.5591,13513.4,20.4917,21.1909
