step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake
10000,0,1779,11.59,0.11,2.59,0.04,4.94,0.00,1.04,0.000,0.157,543235.4,301919.2,3,134,2.44,1.04,1.06,42.0730,1340.08,27639.8,5.1263,1.1337,5462,28.5560,79,50.1113,312093.8,165.42,2.2924,647.7,17.6042
10000,1,1386,13.90,0.30,3.37,0.05,5.53,0.00,1.13,0.001,0.146,506065.6,261301.4,3,158,2.69,1.14,1.17,35.6792,1053.32,29114.4,7.8771,1.3635,5461,28.5508,94,48.5963,288428.3,81.35,19.6946,667.3,15.9856
10000,2,828,17.42,0.24,4.55,0.10,6.39,0.00,1.08,0.000,0.107,328504.8,159031.3,2,166,3.02,1.06,1.11,20.0258,626.89,34085.9,3.4913,1.5046,5461,28.5508,129,31.0476,182612.9,53.21,34.7591,541.9,8.7789
20000,0,1651,12.74,0.45,1.54,0.01,5.94,0.00,1.16,0.001,0.151,279147.4,200471.3,4,165,2.59,1.12,1.19,13.6952,1040.01,25847.5,0.7857,4.0884,5462,14.1198,63,21.1824,151311.1,165.42,0.7826,411.0,8.7132
20000,1,1164,13.56,0.58,1.59,0.00,6.60,0.00,1.19,0.001,0.117,129990.4,86452.1,4,148,2.75,1.14,1.23,4.5441,660.86,33926.4,0.1038,4.0452,5461,14.1172,60,8.5485,56417.8,81.35,4.2972,263.6,3.2933
20000,2,825,13.32,0.40,1.53,0.01,7.05,0.00,1.14,0.001,0.084,80496.8,45822.5,3,204,2.77,1.08,1.17,2.3338,361.18,43489.7,0.0063,3.6331,5461,14.1172,52,4.7271,27360.4,53.21,7.6882,235.6,1.6897
30000,0,1815,9.85,0.54,1.22,0.07,4.77,0.00,1.21,0.000,0.137,520562.8,454161.4,7,167,2.19,1.18,1.24,37.0537,1032.28,27622.3,15.4584,2.5834,5462,34.1169,45,36.4680,293282.7,165.42,2.4679,434.8,19.6936
30000,1,1345,10.96,0.53,1.43,0.01,5.15,0.00,1.20,0.001,0.110,493612.4,404553.8,5,151,2.32,1.13,1.24,31.6608,525.42,32692.1,17.2788,3.8515,5461,34.1106,39,33.5824,271407.2,81.35,18.0651,244.4,17.8851
30000,2,1100,10.91,0.30,1.31,0.00,5.65,0.00,1.12,0.000,0.091,329823.4,246572.6,4,201,2.36,1.08,1.15,18.9965,532.33,39351.2,7.8242,5.0979,5461,34.1106,24,20.7858,170826.1,53.21,32.0106,217.3,10.7084
40000,0,1601,10.92,0.49,1.19,0.03,6.21,0.00,1.19,0.000,0.145,282754.9,159017.2,7,143,2.50,1.15,1.23,12.3211,866.74,26914.6,1.1578,8.9299,5462,14.7608,30,14.8581,120895.0,165.42,0.8134,384.4,7.2416
40000,1,1110,11.65,0.42,1.50,0.05,6.82,0.00,1.13,0.001,0.111,131463.6,66031.8,7,230,2.74,1.08,1.18,4.4259,433.03,35028.7,0.2494,6.5146,5461,14.7581,27,5.0638,40211.9,81.35,3.7952,249.2,2.5998
40000,2,783,12.09,0.45,1.43,0.05,7.54,0.00,1.13,0.000,0.085,90454.7,44717.1,7,262,2.86,1.05,1.16,2.9234,228.95,44516.8,0.0877,5.2134,5461,14.7581,26,2.8960,23477.0,53.21,7.5850,126.1,1.5075
50000,0,1552,10.15,0.68,0.64,0.02,6.44,0.00,1.24,0.003,0.137,536927.9,426318.8,8,145,2.51,1.19,1.28,36.9414,1008.47,28536.6,14.8093,3.3079,5462,34.7297,31,37.2784,306698.4,165.42,2.2258,365.1,19.3530
50000,1,1226,10.17,0.75,0.57,0.04,6.58,0.00,1.27,0.000,0.111,469551.6,338826.6,8,191,2.54,1.20,1.29,27.5358,448.09,33923.3,16.7990,4.8397,5461,34.7233,32,31.6909,256568.2,81.35,17.5294,262.2,16.1175
50000,2,1035,9.39,0.50,0.74,0.02,5.93,0.01,1.19,0.004,0.086,316052.4,198975.1,7,240,2.37,1.15,1.21,14.7017,247.77,41689.6,8.0530,7.2846,5461,34.7233,16,18.3931,150480.4,53.21,30.5993,118.5,9.2227
60000,0,1460,11.02,0.37,0.95,0.00,7.44,0.00,1.14,0.001,0.145,283695.1,140712.9,12,153,2.73,1.11,1.14,11.7497,500.17,28592.8,1.4289,8.8980,5462,14.8923,32,14.6773,124563.4,165.42,0.8215,286.0,7.0890
60000,1,1187,10.87,0.37,0.95,0.00,7.59,0.00,1.13,0.000,0.122,128341.9,52997.3,13,258,2.67,1.09,1.15,3.5000,295.00,36363.3,0.2070,6.6004,5461,14.8896,26,4.8887,39423.2,81.35,3.8370,207.6,2.2767
60000,2,849,11.02,0.29,0.92,0.00,7.85,0.00,1.11,0.000,0.088,84628.2,30224.7,13,315,2.68,1.07,1.13,1.9325,113.98,46402.3,0.0713,5.3857,5461,14.8896,11,2.3432,19930.0,53.21,7.5723,83.2,1.0957
70000,0,1562,10.48,0.48,1.49,0.00,5.92,0.01,1.17,0.003,0.141,497973.6,337344.5,7,183,2.31,1.12,1.20,30.0865,799.21,27212.3,16.3698,4.2499,5462,33.7735,37,33.7458,282358.7,165.42,2.3979,339.4,16.9967
70000,1,1521,11.23,0.61,1.43,0.01,5.76,0.01,1.21,0.003,0.135,490539.6,312135.7,8,211,2.24,1.14,1.24,29.0712,1281.36,31775.8,17.1244,6.0596,5461,33.7673,42,31.6503,261473.8,81.35,16.4967,408.4,16.4774
70000,2,913,10.69,0.38,1.44,0.00,5.75,0.00,1.13,0.001,0.080,318786.8,207525.9,9,226,2.21,1.09,1.14,17.2370,409.39,38822.1,6.8633,7.4891,5461,33.7673,30,18.0547,148993.2,53.21,30.9592,166.7,9.5086
