step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2
68000,4929,0.4457,43022.7,459,1852,1709,1368,196,181,236,23703,27374,34767,465,495,283
69000,4210,0.4634,38337.6,500,1601,1497,1112,156,174,221,25955,29343,36549,363,365,267
70000,3996,0.4675,33397.2,501,1562,1521,913,183,211,226,27212,31776,38822,339,408,167
71000,3153,0.5087,25161.5,557,1373,1118,662,163,203,262,29802,35895,42284,369,256,96
72000,2372,0.5594,18644.4,613,1195,679,498,155,196,260,31818,39691,45739,267,104,47
73000,1633,0.5554,11383.3,693,897,435,301,86,180,215,33713,43171,49108,163,56,33
74000,977,0.5660,7414.3,727,573,240,164,23,165,134,34666,45278,51171,102,24,12
75000,757,0.5258,7068.4,718,577,134,46,18,107,44,34032,45815,52168,60,13,8
76000,801,0.5318,7346.5,722,575,145,81,15,126,75,33300,45493,52360,99,5,13
77000,1087,0.5382,9223.8,593,614,320,153,30,216,130,32491,44247,51664,180,51,30
78000,1791,0.4791,13327.7,485,916,498,377,71,267,241,30780,41859,49959,283,68,56
79000,2966,0.4535,18510.9,414,1428,834,704,145,229,301,29002,39153,47623,371,130,94
80000,3682,0.4538,24510.3,420,1634,1123,925,166,211,380,27820,35905,45105,329,207,108
81000,4273,0.4519,28686.7,431,1792,1327,1154,209,279,350,26669,33596,42348,377,313,189
82000,4909,0.4512,33476.4,393,1818,1830,1261,225,221,318,25774,30563,40414,399,437,221
83000,5275,0.4442,37030.5,396,1874,2085,1316,261,215,267,25570,28060,37968,407,529,285
84000,5568,0.4133,41208.0,413,2145,2008,1415,247,201,287,24306,26837,35932,498,573,311
85000,5693,0.4506,41960.5,419,2187,1943,1563,248,194,290,24181,26917,34809,585,494,294
86000,5639,0.4462,42326.0,420,2305,1763,1571,221,214,343,23463,27947,34365,618,449,308
87000,5580,0.4391,41848.0,405,2356,1896,1328,248,224,318,22993,27439,35515,641,521,282
88000,5378,0.4355,39915.8,425,2163,1834,1381,224,226,332,23822,28006,36690,551,464,274
89000,4753,0.4563,34888.5,416,1903,1594,1256,214,195,288,26345,31229,38230,434,334,262
90000,4070,0.4744,30560.4,465,1762,1362,946,199,226,208,28044,33427,40008,416,305,171
91000,3214,0.5115,24105.8,516,1502,973,739,139,210,251,30031,36838,42806,400,208,108
92000,2407,0.5089,17214.5,537,1153,694,560,92,200,277,32725,40378,45488,259,120,56
93000,1546,0.5414,12706.9,677,918,361,267,65,184,188,34230,42965,47614,184,31,37
94000,1044,0.5680,7558.9,746,671,240,133,35,154,113,34931,45324,50172,154,69,31
95000,816,0.5564,5716.5,632,635,140,41,15,118,38,34875,46397,51650,116,26,31
96000,874,0.5389,7209.8,692,637,160,77,15,136,76,33785,45772,51805,99,32,20
97000,1294,0.4977,10893.3,678,754,329,211,29,242,175,31947,44046,51169,116,25,45
98000,2160,0.4833,11929.4,505,1095,613,452,84,292,270,31312,42848,50798,182,64,74
99000,2890,0.4540,15730.5,433,1230,948,712,138,277,372,30164,39982,49309,300,177,59
100000,3816,0.4591,20970.3,384,1635,1231,950,177,258,315,28486,36887,46845,354,225,115
