step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees,fruit,fruit_intake,water,dry,root,root_intake
10000,0,912,25.35,1.91,2.46,1.73,16.66,0.06,1.49,0.015,0.240,452678.3,153471.9,21,56,4.12,1.36,1.68,26.9110,788.00,19383.0,12.8735,1.3740,5462,27.9887,142,57.8286,95240.2,165.42,2.6650,5085.8,30.4599
10000,1,834,26.48,1.69,2.36,2.09,18.55,0.03,1.38,0.010,0.234,413379.3,141791.8,26,57,4.08,1.40,1.32,24.8500,583.96,24390.2,12.4349,1.5564,5461,27.9836,245,55.1018,80114.6,81.35,18.2176,6287.3,27.7515
10000,2,563,25.74,1.97,2.21,2.73,17.86,0.02,1.48,0.011,0.160,327000.4,100877.2,16,58,4.37,1.47,1.48,17.1607,277.27,25252.2,6.7768,1.5480,5461,27.9836,158,39.4601,51823.4,53.21,39.5506,4502.2,21.7573
20000,0,1282,22.69,0.71,5.67,0.01,8.26,0.02,1.20,0.007,0.215,263146.8,136507.7,4,133,3.19,1.16,1.25,11.9912,962.89,24214.9,0.4661,2.4116,5462,13.7237,74,32.7473,59244.0,165.42,1.0866,6302.0,17.9777
20000,1,934,21.84,0.88,4.45,0.01,9.67,0.01,1.26,0.004,0.159,127319.5,53425.0,4,151,3.26,1.20,1.30,4.2812,487.35,29758.7,0.1778,2.5187,5461,13.7212,104,12.9314,19832.8,81.35,4.2626,5230.1,8.0543
20000,2,702,23.18,1.30,4.64,0.03,10.04,0.02,1.39,0.010,0.130,84359.4,32098.1,5,167,3.50,1.31,1.48,2.1811,200.46,36604.6,0.0537,2.5651,5461,13.7212,110,7.2509,9423.1,53.21,8.0704,4182.4,4.8712
30000,0,1365,23.07,0.74,4.52,0.15,6.41,0.00,1.28,0.003,0.184,462329.9,363575.2,11,150,2.55,1.24,1.32,31.7358,1509.80,20535.1,12.7529,1.4517,5462,27.8728,84,60.5386,150315.2,165.42,3.0373,6146.3,30.7032
30000,1,1253,22.31,0.74,4.19,0.07,6.37,0.00,1.29,0.003,0.163,451592.2,348815.7,10,107,2.50,1.25,1.34,29.6577,1472.02,22844.8,15.4084,1.9307,5461,27.8677,90,58.9693,138604.3,81.35,19.4248,6126.3,30.2402
30000,2,939,21.71,0.65,4.25,0.11,6.39,0.01,1.28,0.005,0.123,294194.0,211402.6,7,130,2.50,1.26,1.29,15.5556,605.21,26087.9,6.3952,2.5687,5461,27.8677,75,33.5065,70348.5,53.21,32.6534,4465.1,19.9211
40000,0,1286,18.47,0.28,3.90,0.04,6.96,0.00,1.11,0.002,0.165,286100.9,295800.2,4,147,2.42,1.11,1.13,18.5254,1135.41,24965.1,0.2617,4.8024,5462,13.7142,53,29.4102,66981.1,165.42,0.8575,5332.6,17.1045
