step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2
66000,3535,0.4668,69133.4,888,1194,1432,909,158,194,245,15569,17312,21841,1536,1695,1062
67000,3366,0.5071,68787.1,919,1179,1330,857,171,172,232,16697,17889,22400,1263,1570,853
68000,3323,0.5098,68227.3,914,1208,1252,863,162,164,218,16756,18679,22741,1246,1178,987
69000,3093,0.4636,63748.3,909,1118,1121,854,171,162,209,18078,20012,24317,1214,1211,904
70000,2816,0.4964,56839.4,932,1139,978,699,160,138,205,20820,23595,26935,1211,984,819
71000,2534,0.5174,48061.0,928,1178,760,596,173,124,216,23935,27363,30667,1157,828,605
72000,1911,0.5165,34419.6,983,976,559,376,113,142,196,27744,33446,36836,1063,680,577
73000,1427,0.5915,22018.1,1001,818,346,263,103,128,172,31175,39022,42396,828,547,522
74000,889,0.6052,13879.7,1059,546,202,141,52,139,119,32881,42570,46706,825,523,523
75000,625,0.5488,9691.1,967,456,101,68,20,89,67,33172,44225,49115,874,464,462
76000,717,0.5314,11723.9,855,460,158,99,10,150,99,31309,43653,49479,920,440,406
77000,1018,0.5039,17209.2,919,588,251,179,20,190,158,28968,41192,48256,865,423,375
78000,1469,0.4656,23010.8,856,702,444,323,59,232,237,27035,38272,46109,936,430,373
79000,2103,0.4674,31101.8,771,926,694,483,79,229,249,25068,33694,42129,1089,672,521
80000,2544,0.4855,47344.5,871,1067,803,674,132,213,238,20239,27178,35877,1159,876,684
81000,2981,0.4529,55733.2,867,1130,1051,800,138,177,234,19161,22798,30467,1335,1057,685
82000,3377,0.4516,62286.2,826,1386,1089,902,147,169,231,16977,20182,26174,1608,1240,868
83000,3556,0.4699,67370.8,896,1368,1191,997,179,181,246,15948,18374,23857,1564,1358,1032
84000,3656,0.4787,70121.2,908,1439,1243,974,210,179,236,15364,17774,22440,1568,1375,1122
85000,3828,0.4838,69679.8,899,1542,1274,1012,197,216,253,15657,17577,21938,1696,1447,1170
86000,3900,0.5021,68660.1,920,1504,1360,1036,177,199,261,16287,18007,22248,1552,1384,1103
87000,3876,0.4892,68496.0,911,1563,1238,1075,186,192,254,16093,19152,23111,1660,1231,1112
88000,3925,0.5001,64281.1,882,1630,1292,1003,207,204,332,17683,20565,24812,1410,1208,939
89000,3605,0.5060,58375.7,915,1508,1245,852,186,162,268,19126,22607,27635,1315,1205,860
90000,3124,0.5138,53200.3,940,1304,1108,712,165,186,244,21515,24179,29810,1334,1103,782
91000,2733,0.5079,46094.5,931,1213,893,627,146,156,218,23175,27768,32579,1214,972,840
92000,2096,0.5463,35062.2,1026,1048,595,453,142,179,253,27216,33308,37162,1152,834,686
93000,1470,0.5980,21291.1,1046,826,357,287,104,151,192,31623,38690,42475,1086,811,708
94000,991,0.6044,13348.1,1060,591,233,167,67,153,134,33407,42261,46476,992,724,649
95000,705,0.5007,10891.6,1046,488,145,72,33,113,69,32662,43862,48575,960,715,552
96000,762,0.4987,11931.2,962,505,156,101,21,139,96,31475,43415,49239,914,625,510
97000,1073,0.4604,17604.3,926,630,262,181,35,209,169,29199,40978,47761,857,559,475
98000,1637,0.4979,23590.9,863,788,504,345,76,274,246,26611,37745,45590,1076,653,490
99000,2215,0.4650,33592.9,799,962,721,532,122,249,288,24008,33003,41739,1139,959,603
100000,2815,0.4966,47063.9,856,1195,930,690,158,213,281,20556,27163,36469,1050,993,735
