step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug
10000,3993,0.933,0.435,11.27,116697,91598,1689,7764,13083,315848,1312327.9,716040.6,0.217,0.473,0.115,0.195,104,13.60,13.02,0.20,1.41,3.26,4.85,0.05,0.63,5.45,6.47,0.00,0.04,0.226,0.214,2105,0.037,0.039,0.847,0.038,0.076,428185,408078,4,0.529,0.017,0.015,3377853,0.230,2.376,0.031,4.00,120591,411,2.267,0.289,0.437,14413163,1.08,18.96,0.002,0.505,0.001,2.7,9.2,29.8,137.5,35801,0.137,0.00,0.0060,0.073,828,0.891,0.000,0.786,0.728,2.65,4.88,2.73,0.03,0.015,1.08,1.11,1.08,0.901,0.00049,1.85,97.7780,3020.28,90840.0,140185.7,16.495,99.7379,198.874,0.000,1.000,0.010,80.6,85.657,247.979,302,1085.3,67.46,22.441,129.755,2786.4,78.314,0.133,2.00,8.8822,35466.7,1.5072,0.7437,8.97,1.482,0.156,1.5345,0.0000,0.474,0.096,0.451,0.0000,8.35,2.14,2,6,20,79,78.6717,5.0267,0.4255,0.0000,0.0000,56.7461,100.00,59.8242,476.5930,1857.0,42.5543,42.3686
20000,3640,0.852,0.264,14.33,92229,77760,213,6076,8533,316588,490857.5,332824.5,0.104,0.603,0.098,0.195,175,13.13,11.46,0.48,2.43,1.56,3.00,0.01,0.16,6.40,5.66,0.00,0.06,0.105,0.162,1770,0.031,0.067,0.837,0.023,0.073,157732,137383,4,0.526,0.035,0.002,145649,0.156,1.826,0.016,11.77,63909,411,1.051,0.247,0.327,8148414,1.16,14.32,0.001,0.448,0.001,3.2,10.8,25.9,126.0,30758,0.117,0.00,0.0021,0.086,825,0.634,0.000,0.850,0.426,2.68,4.12,3.78,0.01,0.004,1.11,1.20,1.18,0.654,0.00105,2.78,20.5731,2062.05,103263.6,140185.7,0.896,18.7143,96.957,0.000,1.000,0.184,74.8,42.354,62.991,175,576.6,61.76,5.432,34.458,1190.3,23.509,0.135,2.00,7.5688,27550.5,1.4079,0.6396,8.45,1.495,0.419,0.4655,0.0000,0.604,0.146,0.640,0.0000,7.35,1.15,2,7,17,65,37.2794,1.2543,0.4354,0.0000,0.0000,12.7680,100.00,106.5777,288.5131,910.2,13.6015,13.6962
30000,4260,0.721,0.255,18.02,276391,220721,583,20143,34324,669639,1265037.8,1073752.1,0.124,0.476,0.194,0.206,77,10.48,10.06,0.47,2.27,1.31,2.91,0.03,1.31,5.12,5.69,0.00,0.03,0.115,0.171,2146,0.034,0.042,0.848,0.032,0.079,618734,547257,7,0.138,0.634,0.004,206375,0.236,1.803,0.016,11.53,271509,405,1.603,0.254,0.383,20843036,1.19,17.09,0.002,0.490,0.000,2.4,7.9,22.0,107.4,29572,0.113,0.00,0.0058,0.075,1100,0.700,0.000,0.870,0.555,2.27,3.25,3.27,0.00,0.004,1.14,1.22,1.22,0.721,0.00126,7.65,87.7109,2090.04,99665.6,140185.7,40.561,47.9569,245.127,0.000,1.000,0.099,87.6,102.338,230.715,108,343.1,55.11,5.909,90.836,1351.7,73.552,0.135,2.00,7.3679,31387.3,1.6770,0.7957,6.94,1.538,0.456,1.5345,0.0000,0.721,0.231,0.784,0.0000,7.37,1.51,2,5,15,84,91.5928,5.3692,0.4561,0.0000,0.0000,52.5436,100.00,77.2080,592.8660,896.5,48.2858,48.2872
40000,3494,0.702,0.213,15.64,74758,62985,620,4227,7692,175893,504598.9,269829.8,0.075,0.585,0.113,0.226,183,11.41,10.23,0.46,2.23,1.34,3.32,0.04,0.62,6.70,6.83,0.00,0.03,0.112,0.170,1854,0.062,0.065,0.847,0.017,0.070,143989,123842,8,0.400,0.044,0.007,113945,0.190,1.613,0.014,20.66,60277,535,1.534,0.227,0.335,5351418,1.16,14.59,0.000,0.533,0.000,3.0,8.0,24.0,119.6,29824,0.114,0.00,0.0022,0.107,783,0.393,0.000,0.605,0.487,2.66,3.37,4.25,0.01,0.004,1.11,1.20,1.17,0.405,0.00114,7.77,19.6704,1528.72,106460.1,140185.7,1.495,11.2134,97.039,0.000,1.000,0.205,74.9,44.277,43.457,83,284.2,65.74,1.924,22.818,1239.3,18.458,0.134,2.01,7.4825,26143.8,1.4517,0.8035,8.54,1.419,0.417,0.4655,0.0000,0.699,0.182,0.893,0.0000,7.23,1.35,2,6,19,64,38.4772,1.8259,0.4468,0.0000,0.0000,12.1937,100.00,107.7390,286.2848,759.6,11.3352,11.3489
50000,3813,0.650,0.205,15.34,272829,220334,631,15468,36077,566317,1248543.5,943558.4,0.135,0.501,0.121,0.243,80,9.95,8.73,0.65,2.43,0.65,1.90,0.02,0.39,6.34,6.01,0.00,0.09,0.072,0.142,1949,0.036,0.046,0.861,0.020,0.073,589398,515845,9,0.512,0.130,0.006,303812,0.229,1.645,0.013,15.43,241615,405,1.666,0.267,0.327,17913525,1.24,16.83,0.001,0.502,0.002,2.6,7.4,19.5,114.0,29244,0.112,0.00,0.0052,0.088,1035,0.588,0.000,0.765,0.539,2.48,3.06,4.11,0.01,0.003,1.18,1.27,1.32,0.607,0.00156,13.90,79.1789,1704.33,104149.6,140185.7,39.661,43.0789,239.746,0.000,1.000,0.143,83.6,104.176,217.335,79,272.0,58.57,4.960,87.362,1057.5,71.375,0.135,2.00,7.5037,28611.5,1.5791,0.7815,7.67,1.318,0.422,1.5345,0.0000,0.654,0.205,0.778,0.0000,7.55,1.41,2,5,16,57,92.2334,5.9963,0.4849,0.0000,0.0000,50.3546,100.00,82.6186,597.4070,745.8,44.6918,44.6932
60000,3496,0.574,0.131,13.85,73562,62665,786,2548,7880,145800,496182.0,223848.0,0.101,0.575,0.076,0.249,186,10.97,9.02,0.35,1.84,0.94,3.13,0.00,0.02,7.59,5.64,0.00,0.02,0.054,0.128,1699,0.032,0.077,0.856,0.016,0.051,132250,113921,13,0.216,0.059,0.000,40201,0.214,1.093,0.009,20.88,55160,590,1.535,0.237,0.254,4440242,1.13,16.42,0.003,0.496,0.000,3.2,9.1,20.0,98.0,31062,0.118,0.00,0.0019,0.118,849,0.348,0.000,0.520,0.450,2.70,3.05,4.75,0.00,0.001,1.09,1.14,1.17,0.358,0.00111,9.10,17.1822,909.15,111358.4,140185.7,1.707,9.2873,95.306,0.000,1.000,0.264,82.4,44.671,41.727,69,229.7,38.49,2.007,21.909,728.7,18.392,0.135,2.00,6.6478,23240.8,1.1814,0.7466,8.89,1.211,0.385,0.4655,0.0000,0.617,0.186,0.683,0.0000,7.86,1.52,3,8,17,49,39.1572,1.6474,0.5060,0.0000,0.0000,12.2308,100.00,108.2768,286.1103,576.8,10.4444,10.4613
70000,3996,0.678,0.269,18.48,228068,186125,1072,14573,25798,549765,1236165.6,845981.2,0.130,0.464,0.125,0.281,87,10.81,9.40,0.50,2.35,1.46,2.93,0.00,0.12,5.82,5.79,0.01,0.11,0.106,0.174,1765,0.089,0.055,0.857,0.015,0.073,509393,449473,9,0.331,0.139,0.002,109412,0.213,2.173,0.016,17.80,213728,463,1.539,0.249,0.327,15122479,1.18,14.98,0.009,0.437,0.002,2.1,9.4,20.0,100.0,31112,0.119,0.00,0.0053,0.099,913,0.613,0.000,0.687,0.554,2.26,2.93,3.63,0.02,0.008,1.12,1.20,1.22,0.628,0.00167,16.93,76.3947,2489.96,97810.1,140185.7,40.357,41.6028,228.125,0.000,1.000,0.092,89.6,101.308,210.115,109,367.7,98.38,4.099,83.451,1199.0,69.283,0.134,2.00,8.3576,33397.2,1.6537,0.6740,7.79,1.398,0.494,1.5345,0.0000,0.692,0.247,0.694,0.0000,6.89,2.32,2,6,15,60,87.4761,7.1753,0.4675,0.0000,0.0000,49.8538,100.00,79.7158,569.3160,914.5,43.0165,42.9827
80000,3682,0.657,0.178,17.73,77668,65743,650,5067,6522,227945,501634.9,257021.6,0.087,0.583,0.087,0.243,168,10.73,7.62,0.24,1.80,1.35,2.67,0.00,0.13,6.75,6.26,0.00,0.07,0.104,0.167,1606,0.150,0.082,0.837,0.014,0.067,131735,110043,5,0.352,0.051,0.001,19237,0.177,1.513,0.011,20.60,59000,556,1.128,0.219,0.301,4790939,1.08,15.76,0.007,0.437,0.001,3.0,10.3,18.0,64.0,30724,0.117,0.00,0.0020,0.102,925,0.366,0.000,0.548,0.421,2.46,2.86,4.15,0.00,0.001,1.07,1.09,1.10,0.379,0.00118,7.83,17.6337,1336.27,108831.0,140185.7,1.230,11.1527,97.564,0.000,1.000,0.235,80.6,44.819,43.616,85,308.9,66.81,2.311,23.193,872.0,18.591,0.135,2.00,6.6568,24510.3,1.3704,0.6362,8.34,1.369,0.495,0.4655,0.0000,0.684,0.246,0.687,0.0000,7.29,2.54,2,6,16,52,38.4699,2.0123,0.4538,0.0000,0.0000,12.3424,100.00,108.6696,282.9950,643.6,11.0789,11.1060
90000,4070,0.657,0.222,18.38,279977,225464,1020,24057,29048,802646,1255282.2,919868.6,0.116,0.537,0.103,0.244,75,10.50,10.04,0.35,1.92,1.46,3.13,0.02,0.47,5.71,5.83,0.16,0.84,0.096,0.162,1738,0.112,0.064,0.868,0.013,0.056,537009,456123,7,0.343,0.232,0.006,79507,0.204,1.633,0.015,17.69,231502,397,1.146,0.239,0.317,19921842,1.13,15.86,0.004,0.454,0.037,2.1,8.0,20.8,116.0,30736,0.117,0.00,0.0054,0.104,946,0.613,0.000,0.756,0.481,2.28,2.88,3.57,0.16,0.039,1.14,1.10,1.16,0.631,0.00188,14.57,69.8988,1799.89,101479.7,140185.7,37.495,39.0376,250.017,0.000,1.000,0.147,93.9,108.701,214.678,88,310.0,69.73,6.023,85.992,1185.8,70.188,0.134,2.00,7.5087,30560.4,1.7290,0.5895,7.55,1.386,0.511,1.5345,0.0000,0.685,0.261,0.644,0.0000,7.07,2.32,2,6,16,56,94.1243,6.9212,0.4744,0.0000,0.0000,50.8674,100.00,82.5354,596.8717,892.6,44.7869,44.7620
100000,3816,0.621,0.189,15.66,83746,70106,626,5661,7607,224499,502661.8,244402.0,0.088,0.600,0.053,0.259,168,9.86,8.61,0.24,2.07,1.16,2.43,0.00,0.03,6.47,6.15,0.01,0.14,0.087,0.156,1480,0.129,0.081,0.842,0.014,0.062,131059,108047,10,0.281,0.052,0.000,45862,0.214,1.516,0.010,20.54,56828,544,1.089,0.217,0.309,5073062,1.09,16.84,0.005,0.469,0.003,2.7,8.1,18.0,108.6,30032,0.115,0.00,0.0020,0.114,950,0.363,0.000,0.536,0.371,2.40,2.51,4.58,0.01,0.005,1.06,1.10,1.10,0.375,0.00113,7.93,15.8033,1402.45,112217.5,140185.7,1.156,9.6509,99.259,0.000,1.000,0.273,81.1,46.095,44.318,100,320.4,54.11,2.578,23.544,978.0,19.274,0.134,2.00,5.4954,20970.3,1.1549,0.6233,7.87,1.262,0.476,0.4655,0.0000,0.636,0.240,0.596,0.0000,7.59,2.31,2,6,15,80,39.6350,2.1586,0.4591,0.0000,0.0000,12.5184,100.00,109.4950,291.0775,694.6,10.5847,10.6045
