step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2892,0.00,112.39,0.38,1528,1,2,0,1.00,1.00,1.00,4,2,4,30.5,54.666,6,2.000,0.876,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2889,0.00,107.02,10.58,1546,2,2,0,1.00,1.00,1.00,1,2,4,55.6,59.595,6,2.000,0.629,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2887,0.00,96.77,6.90,590,1,0,0,1.00,1.00,1.00,2,2,4,36.8,47.269,6,2.000,0.944,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2876,0.17,125.33,27.46,1534,2,0,0,1.00,1.00,1.00,4,2,4,62.9,59.239,6,2.000,0.884,4
100000,14.00,7,0,0,0,7,0,1.00,2,0.000,2875,0.56,110.07,4.88,590,2,1,0,1.00,1.00,1.00,3,3,4,56.3,56.208,7,2.000,0.947,4
100000,14.00,7,0,0,0,7,0,1.00,2,0.000,2851,2.23,130.69,40.63,1571,2,0,0,1.00,1.00,1.00,2,3,4,40.6,69.268,7,2.000,0.937,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2851,2.03,113.47,9.84,1571,0,0,0,1.00,1.00,1.00,2,2,4,15.0,56.325,6,2.000,0.943,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2850,0.04,87.61,20.95,1571,2,2,0,1.00,1.00,1.00,2,2,4,47.0,34.752,6,2.000,0.943,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2843,1.20,131.15,35.29,590,0,0,0,1.00,1.00,1.00,2,2,4,8.2,45.347,6,2.000,0.679,4
100000,14.00,7,0,0,0,7,0,1.00,2,0.000,2843,1.61,87.14,21.13,590,2,0,0,1.00,1.00,1.00,2,3,4,52.3,38.918,7,2.000,0.885,4
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2824,0.00,120.51,176.02,1560,2,0,0,1.00,1.00,1.00,2,4,4,46.3,59.202,16,2.000,0.901,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2820,0.00,115.71,7.67,1534,0,0,0,1.00,1.00,1.00,4,2,4,20.9,52.786,6,2.000,0.854,4
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2819,4.01,153.28,127.74,1560,0,0,0,1.00,1.00,1.00,2,4,4,2.8,134.766,16,2.000,0.902,4
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2816,3.51,243.27,137.49,1560,0,0,0,1.00,1.00,1.00,1,4,4,17.6,159.988,16,2.000,0.901,4
100000,16.00,8,0,0,0,8,0,1.00,2,0.000,2812,0.07,129.13,57.69,1571,1,0,0,1.00,1.00,1.00,4,3,4,29.8,61.472,8,2.000,0.956,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2801,0.00,91.50,21.07,1562,1,0,0,1.00,1.00,1.00,4,2,4,37.1,53.955,6,2.000,0.812,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2796,0.05,112.74,21.70,1571,0,0,0,1.00,1.00,1.00,4,2,4,24.3,42.782,6,2.000,0.960,4
100000,18.00,9,0,0,0,9,0,1.00,0,0.000,2788,1.92,125.37,28.65,1590,1,1,0,1.00,1.00,1.00,4,4,4,31.7,42.371,9,2.000,0.795,4
100000,18.00,9,0,0,0,9,0,1.00,0,0.000,2786,0.00,80.08,10.21,1528,0,0,0,1.00,1.00,1.00,4,4,4,21.1,9.679,9,2.000,0.634,4
100000,14.00,7,0,0,0,7,0,1.00,2,0.000,2785,0.00,87.13,23.54,1552,2,0,0,1.00,1.00,1.00,4,3,4,38.3,24.988,7,2.000,0.765,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2782,0.03,131.43,29.93,1562,1,0,0,1.00,1.00,1.00,2,2,4,36.8,56.758,6,2.000,0.812,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2778,0.00,88.70,18.02,1551,0,1,0,1.00,1.00,1.00,2,2,4,17.0,48.670,6,2.000,0.791,4
100000,32.00,16,0,11,0,5,0,1.00,0,0.344,2769,0.00,84.86,53.88,1560,0,0,0,1.00,1.00,1.00,4,4,4,4.9,11.039,16,2.000,0.866,4
100000,16.00,8,0,0,0,8,0,1.00,0,0.000,2767,0.00,77.55,11.13,1528,2,0,0,1.00,1.00,1.00,4,4,4,46.3,5.358,8,2.000,0.735,4
100000,18.00,9,0,0,0,9,0,1.00,0,0.000,2766,-0.00,84.32,1.02,1528,2,0,0,1.00,1.00,1.00,4,4,4,39.1,7.839,9,2.000,0.669,4
100000,16.00,8,0,0,0,8,0,1.00,2,0.000,2765,0.00,88.27,19.52,1552,2,0,0,1.00,1.00,1.00,4,3,4,41.0,24.511,8,2.000,0.789,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2757,0.00,74.52,20.07,1551,1,0,0,1.00,1.00,1.00,2,2,4,31.7,23.893,6,2.000,0.777,4
100000,16.00,8,0,0,0,8,0,1.00,2,0.000,2749,0.00,76.17,27.39,1571,0,0,0,1.00,1.00,1.00,4,3,4,21.0,11.938,8,2.000,0.956,4
100000,8.00,4,0,0,0,4,0,1.00,6,0.000,2748,0.00,81.13,7.80,1554,0,1,0,1.00,1.00,1.00,2,1,4,24.3,33.763,4,2.000,0.450,4
100000,20.00,10,0,0,0,10,0,1.00,0,0.000,2745,0.00,131.26,29.38,1528,2,0,0,1.00,1.00,1.00,4,4,4,39.8,56.514,10,2.000,0.717,4
100000,16.00,8,0,0,0,8,0,1.00,2,0.000,2743,0.03,123.36,11.53,1552,2,0,0,1.00,1.00,1.00,2,3,4,46.3,73.172,8,2.000,0.805,4
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2739,0.00,120.09,68.71,1560,1,0,0,1.00,1.00,1.00,4,4,4,33.7,36.752,16,2.000,0.901,4
100000,32.00,16,0,9,0,7,0,1.00,0,0.281,2739,2.70,217.54,122.56,1560,1,0,0,1.00,1.00,1.00,2,4,4,28.4,140.860,16,2.000,0.943,4
100000,16.00,8,0,0,0,8,0,1.00,2,0.000,2732,0.00,51.33,32.34,1571,0,0,0,1.00,1.00,1.00,4,3,4,19.6,1.085,8,2.000,0.956,4
100000,20.00,10,0,0,0,10,0,1.00,0,0.000,2732,0.00,97.49,9.00,1528,1,0,0,1.00,1.00,1.00,4,4,4,26.5,33.218,10,2.000,0.717,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2725,0.00,120.40,34.23,1551,1,0,0,1.00,1.00,1.00,2,2,4,29.1,59.657,6,2.000,0.787,4
100000,16.00,8,0,0,0,8,0,1.00,0,0.000,2720,0.00,111.02,47.25,1528,1,0,0,1.00,1.00,1.00,3,4,4,37.3,58.891,8,2.000,0.735,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2718,3.06,186.88,146.75,1534,0,0,0,1.00,1.00,1.00,2,2,4,17.4,60.000,6,2.000,0.886,4
100000,8.00,4,0,0,0,4,0,1.00,6,0.000,2718,0.00,63.74,7.96,1554,1,1,0,1.00,1.00,1.00,2,1,4,27.8,18.459,4,2.000,0.450,4
100000,14.00,7,0,0,0,7,0,1.00,0,0.000,2706,0.86,94.88,21.32,1528,1,0,0,1.00,1.00,1.00,2,4,4,28.9,39.200,7,2.000,0.728,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2704,2.72,72.72,6.85,1551,1,0,0,1.00,1.00,1.00,2,2,4,31.3,10.075,6,2.000,0.777,4
100000,16.00,8,0,0,0,8,0,1.00,0,0.000,2700,0.36,138.26,26.90,1528,2,0,0,1.00,1.00,1.00,1,4,4,43.8,60.627,8,2.000,0.735,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2698,0.00,94.45,8.05,1551,2,0,0,1.00,1.00,1.00,2,2,4,44.6,40.476,6,2.000,0.807,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2697,0.00,92.49,15.82,1551,1,0,0,1.00,1.00,1.00,1,2,4,26.8,40.948,6,2.000,0.777,4
100000,16.00,8,0,0,0,8,0,1.00,0,0.000,2689,-0.00,112.51,32.02,1528,1,0,0,1.00,1.00,1.00,3,4,4,30.4,61.516,8,2.000,0.735,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2685,1.59,92.89,22.66,1534,1,0,0,1.00,1.00,1.00,2,2,4,31.8,52.303,6,2.000,0.885,4
100000,16.00,14,0,0,0,8,0,1.00,4,0.000,2684,0.00,139.14,37.32,590,0,0,0,1.00,1.00,1.00,2,2,4,20.7,60.199,8,2.000,0.695,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2676,0.61,95.98,6.53,1551,0,0,0,1.00,1.00,1.00,2,2,4,6.9,52.939,6,2.000,0.807,4
100000,10.00,5,0,0,0,5,0,1.00,4,0.000,2674,0.00,69.94,5.54,590,2,2,0,1.00,1.00,1.00,3,2,4,41.2,19.374,5,2.000,0.946,4
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2674,0.00,107.46,118.38,1560,2,0,0,1.00,1.00,1.00,4,4,4,41.6,58.039,16,2.000,0.901,4
100000,14.00,7,0,0,0,7,0,1.00,2,0.000,2669,0.00,66.02,7.46,1562,0,0,0,1.00,1.00,1.00,4,3,4,13.7,5.175,7,2.000,0.812,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2668,1.94,109.83,20.39,590,1,1,0,1.00,1.00,1.00,2,2,4,26.7,57.990,6,2.000,0.944,4
100000,10.00,5,0,0,0,5,0,1.00,4,0.000,2652,2.65,105.58,6.85,590,1,2,0,1.00,1.00,1.00,2,2,4,34.0,50.000,5,2.000,0.942,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2643,0.01,97.40,31.00,1534,1,2,0,1.00,1.00,1.00,4,2,4,34.8,44.243,6,2.000,0.884,4
100000,4.00,6,0,0,0,2,0,1.00,10,0.000,2643,0.00,60.22,7.70,1577,2,2,0,1.00,1.00,1.00,1,1,2,43.6,5.235,2,2.000,0.639,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2642,0.10,88.96,0.78,590,1,1,0,1.00,1.00,1.00,1,2,4,30.6,39.375,6,2.000,0.944,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2633,0.00,77.19,10.79,1534,1,0,0,1.00,1.00,1.00,1,2,4,37.1,20.710,6,2.000,0.885,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2632,1.45,78.93,10.25,590,2,0,0,1.00,1.00,1.00,2,2,4,40.3,23.177,6,2.000,0.944,4
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2628,0.00,77.41,121.27,1560,2,1,0,1.00,1.00,1.00,4,4,4,48.7,7.673,16,2.000,0.901,4
100000,20.00,10,0,0,0,10,0,1.00,0,0.000,2627,0.00,107.24,19.79,1528,1,0,0,1.00,1.00,1.00,1,4,4,34.0,46.116,10,2.000,0.717,4
100000,16.00,8,0,0,0,8,0,1.00,0,0.000,2627,0.00,149.36,18.89,590,2,0,0,1.00,1.00,1.00,3,4,4,39.0,51.007,8,2.000,0.944,4
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2626,3.91,133.59,141.47,1560,1,1,0,1.00,1.00,1.00,2,4,4,35.2,85.912,16,2.000,0.901,4
100000,16.00,8,0,0,0,8,0,1.00,0,0.000,2618,0.62,87.41,25.70,1528,2,0,0,1.00,1.00,1.00,4,4,4,49.0,36.802,8,2.000,0.865,4
100000,10.00,5,0,0,0,5,0,1.00,4,0.000,2615,0.09,80.86,0.47,590,1,1,0,1.00,1.00,1.00,2,2,4,26.1,32.330,5,2.000,0.963,4
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2612,0.10,91.21,105.63,1560,1,1,0,1.00,1.00,1.00,4,4,4,36.5,47.755,16,2.000,0.840,4
100000,10.00,5,0,0,0,5,0,1.00,4,0.000,2602,0.00,78.94,5.58,1562,2,1,0,1.00,1.00,1.00,2,2,4,42.4,39.752,5,2.000,0.813,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2599,0.17,106.31,29.48,1551,1,0,0,1.00,1.00,1.00,2,2,4,35.0,60.000,6,2.000,0.777,4
100000,16.00,8,0,0,0,8,0,1.00,0,0.000,2599,0.00,87.46,12.19,590,0,0,0,1.00,1.00,1.00,2,4,4,17.7,14.130,8,2.000,0.943,4
100000,28.00,14,0,8,0,6,0,1.00,0,0.286,2596,1.44,127.92,17.09,1473,2,0,0,1.00,1.00,1.00,2,4,4,46.0,59.735,14,2.000,0.848,4
100000,10.00,5,0,0,0,5,0,1.00,4,0.000,2594,-0.00,82.95,14.65,590,1,0,0,1.00,1.00,1.00,2,2,4,28.6,43.876,5,2.000,0.944,4
100000,16.00,8,0,0,0,8,0,1.00,0,0.000,2589,0.04,109.00,30.20,590,0,0,0,1.00,1.00,1.00,3,4,4,13.0,41.849,8,2.000,0.944,4
100000,16.00,8,0,0,0,8,0,1.00,0,0.000,2580,0.18,83.28,24.58,590,1,0,0,1.00,1.00,1.00,4,4,4,36.0,20.844,8,2.000,0.944,4
100000,16.00,8,0,0,0,8,0,1.00,0,0.000,2578,0.02,83.98,9.10,590,2,1,0,1.00,1.00,1.00,3,4,4,48.3,22.006,8,2.000,0.950,4
100000,32.00,16,0,11,0,5,0,1.00,0,0.344,2578,3.15,160.89,290.66,1560,0,0,0,1.00,1.00,1.00,2,4,4,24.6,132.024,16,2.000,0.903,4
100000,14.00,7,0,0,0,7,0,1.00,2,0.000,2572,-0.00,79.77,7.93,1528,1,0,0,1.00,1.00,1.00,2,3,4,32.2,21.229,7,2.000,0.764,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2561,2.19,116.88,28.32,590,0,1,0,1.00,1.00,1.00,2,2,4,23.1,60.000,6,2.000,0.944,4
100000,10.00,5,0,0,0,5,0,1.00,4,0.000,2557,0.00,56.51,3.75,1501,1,0,0,1.00,1.00,1.00,3,2,4,28.0,2.926,5,2.000,0.810,4
100000,8.00,4,0,0,0,4,0,1.00,6,0.000,2550,-0.00,55.64,9.10,1528,2,2,0,1.00,1.00,1.00,1,2,4,39.0,9.557,4,2.000,0.766,4
100000,10.00,5,0,0,0,5,0,1.00,4,0.000,2547,0.00,71.42,8.18,590,0,0,0,1.00,1.00,1.00,3,2,4,9.8,31.183,5,2.000,0.952,4
100000,8.00,4,0,0,0,4,0,1.00,6,0.000,2523,1.59,94.70,8.62,1528,0,2,0,1.00,1.00,1.00,2,2,4,24.0,40.000,4,2.000,0.766,4
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2522,0.00,83.72,28.37,1560,2,0,0,1.00,1.00,1.00,1,4,4,47.2,17.978,16,2.000,0.901,4
100000,28.00,16,0,10,0,4,0,1.00,0,0.357,2520,0.00,55.36,103.04,1560,0,1,0,1.00,1.00,1.00,2,4,4,21.8,33.674,14,2.000,0.901,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2515,0.22,98.86,6.15,1564,2,0,0,1.00,1.00,1.00,2,2,4,50.7,59.118,6,2.000,0.681,4
100000,6.00,3,0,0,0,3,0,1.00,8,0.000,2510,1.17,94.42,18.57,1574,0,0,0,1.00,1.00,1.00,1,1,4,2.9,29.976,3,2.000,0.606,4
100000,10.00,16,0,0,0,5,0,1.00,4,0.000,2503,0.03,80.30,10.39,590,1,0,0,1.00,1.00,1.00,2,2,4,30.9,3.198,5,2.000,0.878,4
100000,8.00,4,0,0,0,4,0,1.00,6,0.000,2496,0.07,66.73,7.25,590,0,0,0,1.00,1.00,1.00,2,1,4,24.3,26.963,4,2.000,0.926,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2491,0.00,77.93,6.53,590,1,0,0,1.00,1.00,1.00,2,2,4,33.5,37.070,6,2.000,0.946,4
100000,8.00,4,0,0,0,4,0,1.00,6,0.000,2486,0.00,63.68,3.26,1245,2,0,0,1.00,1.00,1.00,1,2,3,38.5,15.461,4,2.000,0.333,4
100000,16.00,8,0,0,0,8,0,1.00,0,0.000,2484,0.07,101.37,28.46,1528,0,0,0,1.00,1.00,1.00,3,4,4,13.1,40.395,8,2.000,0.840,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2484,0.30,65.19,13.98,1528,2,0,0,1.00,1.00,1.00,4,2,4,39.4,16.740,6,2.000,0.876,4
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2477,0.00,128.77,103.88,1560,2,0,0,1.00,1.00,1.00,2,4,4,40.6,78.907,16,2.000,0.884,4
100000,16.00,8,0,0,0,8,0,1.00,0,0.000,2469,0.00,89.99,9.45,1528,0,0,0,1.00,1.00,1.00,4,4,4,17.0,28.945,8,2.000,0.840,4
100000,8.00,4,0,0,0,4,0,1.00,6,0.000,2466,0.89,63.27,4.92,1528,1,1,0,1.00,1.00,1.00,3,2,4,36.9,18.722,4,2.000,0.786,4
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2460,0.00,68.93,65.44,1560,0,1,0,1.00,1.00,1.00,4,4,4,15.9,3.526,16,2.000,0.901,4
100000,14.00,7,0,0,0,7,0,1.00,4,0.000,2454,0.00,100.85,13.77,1571,2,2,0,1.00,1.00,1.00,1,2,4,43.9,23.499,7,2.000,0.955,4
100000,20.00,10,0,0,0,10,0,1.00,0,0.000,2452,2.48,118.76,33.15,1528,1,0,0,1.00,1.00,1.00,2,4,4,29.7,50.506,10,2.000,0.843,4
100000,32.00,16,0,9,0,7,0,1.00,0,0.281,2451,0.61,100.33,30.33,1560,0,0,0,1.00,1.00,1.00,2,4,4,14.9,51.740,16,2.000,0.890,4
100000,10.00,5,0,0,0,5,0,1.00,4,0.000,2451,0.27,58.95,6.44,1245,0,0,0,1.00,1.00,1.00,3,2,4,0.6,16.673,5,2.000,0.319,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2445,0.00,73.77,4.94,590,0,0,0,1.00,1.00,1.00,2,2,4,20.8,36.075,6,2.000,0.944,4
100000,20.00,10,0,0,0,10,0,1.00,0,0.000,2445,0.00,96.29,8.49,1528,2,1,0,1.00,1.00,1.00,2,4,4,40.2,17.880,10,2.000,0.833,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2444,0.00,85.74,11.27,590,0,0,0,1.00,1.00,1.00,1,2,4,21.2,40.221,6,2.000,0.946,4
100000,4.00,5,0,0,0,2,0,1.00,10,0.000,2437,0.00,57.06,8.38,1571,1,0,0,1.00,1.00,1.00,1,2,1,27.4,5.263,2,2.000,0.865,4
100000,26.00,16,0,0,0,13,0,1.00,0,0.000,2436,0.04,119.70,2.22,1571,2,2,0,1.00,1.00,1.00,4,4,4,41.2,46.584,13,2.000,0.900,4
100000,10.00,5,0,0,0,5,0,1.00,4,0.000,2434,-0.00,67.43,1.76,1546,1,0,0,1.00,1.00,1.00,2,2,4,33.3,20.004,5,2.000,0.391,4
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2434,2.73,78.66,31.70,1560,1,0,0,1.00,1.00,1.00,2,4,4,27.3,2.830,16,2.000,0.901,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2433,0.00,88.75,60.10,1564,0,0,0,1.00,1.00,1.00,4,2,4,11.2,59.250,6,2.000,0.681,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2433,0.00,89.57,23.58,590,0,0,0,1.00,1.00,1.00,2,2,4,13.4,53.469,6,2.000,0.946,4
100000,32.00,16,0,11,0,5,0,1.00,0,0.344,2427,0.00,125.23,73.03,1560,0,0,0,1.00,1.00,1.00,2,4,4,20.4,62.591,16,2.000,0.913,4
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2420,2.61,217.01,32.22,1560,0,2,0,1.00,1.00,1.00,2,4,4,18.0,125.797,16,2.000,0.887,4
100000,16.00,8,0,0,0,8,0,1.00,2,0.000,2419,0.01,84.94,9.21,1571,0,0,0,1.00,1.00,1.00,3,3,4,12.9,36.098,8,2.000,0.948,4
100000,14.00,7,0,0,0,7,0,1.00,2,0.000,2418,0.10,100.18,24.54,1449,0,0,0,1.00,1.00,1.00,2,3,4,16.3,69.748,7,2.000,0.942,4
100000,6.00,3,0,0,0,3,0,1.00,8,0.000,2416,1.34,72.45,13.47,1574,0,0,0,1.00,1.00,1.00,2,1,4,2.9,29.808,3,2.000,0.606,4
100000,32.00,16,0,10,0,6,0,1.00,0,0.312,2413,0.00,139.26,168.88,1560,0,1,0,1.00,1.00,1.00,2,4,4,1.5,125.458,16,2.000,0.901,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2412,1.09,68.96,5.77,590,0,0,0,1.00,1.00,1.00,1,2,4,18.7,20.268,6,2.000,0.946,4
100000,32.00,16,0,9,0,7,0,1.00,0,0.281,2411,0.99,84.53,50.82,1560,2,0,0,1.00,1.00,1.00,2,4,4,59.2,15.080,16,2.000,0.890,4
100000,12.00,6,0,0,0,6,0,1.00,4,0.000,2410,0.00,66.56,6.06,590,0,0,0,1.00,1.00,1.00,4,2,4,20.1,15.126,6,2.000,0.944,4
100000,16.00,8,0,0,0,8,0,1.00,0,0.000,2404,0.00,74.40,12.37,590,1,0,0,1.00,1.00,1.00,1,4,4,33.3,25.103,8,2.000,0.915,4
