step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain
1000,-60,0,5012,425292.5829,5682.32,79.37,1.86,0,2.46,0.210,14.880,0.4893,27.215
1000,-60,1,2713,468071.3132,6225.03,849.77,0.90,0,0.63,0.118,16.162,0.9456,37.161
1000,-60,2,9,1937.3028,23.76,11.19,14.60,0,7.65,0.472,11.128,0.9906,50.584
1000,-50,0,6805,556665.6776,6432.97,86.19,15.59,0,11.96,2.226,10.127,0.3730,52.012
1000,-50,1,1504,259413.4352,3235.15,523.79,10.15,0,10.27,1.856,11.069,0.7457,81.853
1000,-50,2,389,81115.4170,996.59,513.13,21.11,0,10.86,2.094,10.958,0.9696,92.597
1000,-40,0,6366,578458.3254,5241.44,56.47,26.59,0,21.30,6.377,6.821,0.3192,110.809
1000,-40,1,1277,230542.8220,2509.75,588.05,21.16,0,19.57,5.844,7.668,0.6189,170.492
1000,-40,2,438,91179.9489,994.31,554.61,26.49,0,18.55,5.404,8.104,0.7906,171.450
1000,-30,0,3639,423590.8358,3595.00,79.96,37.80,0,28.11,10.333,5.063,0.3356,225.122
1000,-30,1,2234,398098.2988,3709.78,968.44,29.21,0,27.24,10.046,5.481,0.4704,274.454
1000,-30,2,2304,509867.1440,5000.43,5561.30,25.61,0,27.53,10.327,5.482,0.8010,338.313
1000,-20,0,1661,166969.6122,1422.16,35.35,58.61,0,33.43,13.863,4.020,0.2593,300.485
1000,-20,1,1744,309932.5194,2916.17,713.85,33.15,0,32.69,13.505,4.292,0.4197,426.588
1000,-20,2,4814,1128262.5703,10292.53,17979.92,31.26,0,31.85,13.122,4.564,0.8682,464.161
1000,-10,0,1896,188207.6483,1442.25,26.71,64.01,0,36.99,16.289,3.356,0.2444,388.623
1000,-10,1,1275,225739.2702,1999.12,534.42,36.94,0,36.32,15.900,3.522,0.3435,517.818
1000,-10,2,5053,1198399.0628,10551.07,20428.23,34.34,0,34.65,15.088,4.098,0.8377,580.575
1000,0,0,1958,180087.2509,1379.23,23.78,71.34,0,38.78,17.473,2.999,0.1715,337.577
1000,0,1,1079,192940.2759,1702.50,455.10,44.98,0,38.38,17.215,3.071,0.3042,553.111
1000,0,2,5330,1254832.5677,11076.10,20236.72,36.94,0,35.61,15.797,3.988,0.7845,614.809
1000,10,0,3262,287793.1367,2897.49,46.25,76.50,0,37.66,16.730,3.243,0.1973,339.860
1000,10,1,1767,315454.3796,3116.40,743.35,43.84,0,36.98,16.267,3.380,0.3448,525.377
1000,10,2,4416,1013044.6305,9468.82,13625.51,23.61,0,33.05,14.374,4.747,0.7571,543.831
1000,20,0,4184,288640.6691,2763.88,49.58,64.36,0,32.61,13.643,4.516,0.1891,197.078
1000,20,1,1989,353608.1645,3699.35,828.39,34.30,0,31.81,13.246,4.772,0.4262,405.355
1000,20,2,2272,505979.9056,5070.37,5541.29,17.66,0,30.56,12.685,5.238,0.7547,448.135
1000,30,0,6570,480018.3070,5132.10,75.55,38.69,0,26.45,9.894,6.046,0.2484,155.425
1000,30,1,1715,301595.8348,3447.07,657.76,29.75,0,29.11,11.019,4.906,0.5216,314.034
1000,30,2,989,214607.8328,2156.94,1858.23,61.46,0,28.44,10.712,5.172,0.7771,325.894
1000,40,0,6431,352538.6161,3699.59,57.16,28.09,0,19.74,6.072,7.872,0.2498,81.590
1000,40,1,1219,214276.6979,2276.38,462.82,43.09,0,23.72,7.390,5.863,0.6822,202.176
1000,40,2,520,110826.8413,1032.52,801.78,64.96,0,23.58,7.582,6.175,0.8702,213.161
1000,50,0,5072,114369.0334,995.67,10.15,19.03,0,11.11,2.281,10.984,0.1815,25.198
1000,50,1,628,111495.8002,1011.27,233.46,53.16,0,17.72,4.072,7.454,0.8782,132.414
1000,50,2,16,3478.6111,28.19,20.96,34.30,0,19.15,4.318,6.431,0.9672,146.378
1000,60,0,3853,18631.5290,99.35,0.91,11.91,0,2.35,0.233,15.057,0.1138,5.121
1000,60,1,2,361.3635,2.27,0.47,20.07,0,9.32,0.587,10.123,0.9684,61.981
1000,70,0,4656,5018.7211,7.46,0.17,8.42,0,-5.43,0.001,20.728,0.0813,0.899
1000,80,0,3564,1481.3949,0.54,0.07,4.84,0,-11.91,0.000,26.913,0.0684,0.200
2000,-60,0,5043,340.3152,3719.73,78.92,-15.40,0,-9.01,0.000,24.073,0.5142,9.734
2000,-60,1,2683,217.0722,3885.01,810.07,-19.23,0,-11.00,0.000,26.029,0.9581,11.357
2000,-60,2,8,2.6858,14.79,9.83,-9.52,0,-1.74,0.000,17.160,0.9946,22.711
2000,-50,0,6824,1863.6983,5348.55,85.67,-9.31,0,1.09,0.127,15.855,0.4072,21.675
2000,-50,1,1498,834.5092,2593.54,523.25,-1.85,0,0.15,0.096,16.564,0.7812,29.499
2000,-50,2,376,253.3273,778.08,491.69,-3.94,0,1.03,0.104,16.026,0.9864,33.561
2000,-40,0,6367,2634.6969,5239.96,55.74,2.36,0,11.99,2.256,10.131,0.3743,55.708
2000,-40,1,1275,1130.1343,2402.32,584.75,9.42,0,11.11,2.121,10.786,0.6813,77.717
2000,-40,2,439,411.8940,925.45,553.52,8.30,0,10.30,1.938,11.211,0.8550,81.396
2000,-30,0,3642,2258.3446,3961.95,79.72,9.51,0,20.55,6.095,7.119,0.4166,136.347
2000,-30,1,2219,2132.4620,3915.27,957.98,16.94,0,20.26,6.107,7.414,0.5781,164.469
2000,-30,2,2316,2591.9463,5080.34,5594.69,26.05,0,21.38,6.724,7.130,0.8839,192.256
2000,-20,0,1661,890.3128,1566.10,35.08,15.01,0,28.26,10.536,5.120,0.3068,210.989
2000,-20,1,1742,1721.5403,3120.71,713.85,16.48,0,27.55,10.306,5.471,0.4904,294.510
2000,-20,2,4816,5257.8789,10380.55,18026.19,32.12,0,27.38,10.212,5.567,0.9215,299.228
