step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right
11000,11460,2840,47416,76482,59857,28375,691,30948,5350,3,400304,3629870,24202.702,11511.105,0.2913,4223.213,0.037,0.900,0.035,0.029,0.433,0.403,2793,0.1453,0.7895,0.122,10.1,27.0,44.3,22.65,0.25,8.07,0.36,13.97,6.06,1.253,0.287,0.010,0.012,5.901,0.416,0.0036,147,479,675,23075,154,13,0.442,5985,45,1293,10122,698,2062,8700,20.25,28.56,7718,12.1770,66796,4495,242859,729.6,-0.0,802281,16.866,2630837.750,4.78e-15,0.00193,16.93,28276,23.932,1.369,21.787,0.776,23.933,3995,3783,3682,0.4104,0.952,1.035,1.963,1.451,0.969,1.328,9937.406,6325.538,10733.582,9714.897,7977.435,3559.049,1677.841,2051.003,0.374,0.505,0.418,0.423,0.314,0.379,3778,8330,0.5053,0.9999,0.9998,0.0903,1.0000,0.9999,0.9569,1.2031,1.0849,0.0170,0.0079,0.0077,0.0000,0.2188,0.9371,0.0473,0.6605,0.9412,0.00249,895,0.9996,0.9475,0.8967,0.9958,0.0459,0.0579,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0538,0.0688,0.0469,0.060,0.065,0.064,0.057
12000,10367,2570,50639,84907,67939,33544,724,31756,5554,0,450146,3710475,25203.588,13307.735,0.2727,5635.703,0.036,0.905,0.033,0.026,0.430,0.402,3145,0.1665,0.7924,0.121,10.0,25.3,43.3,23.19,0.39,7.62,0.44,14.73,6.09,1.192,0.281,0.014,0.017,6.153,0.421,0.0036,133,451,670,21787,88,12,0.381,5218,196,1119,9052,696,1248,8423,22.50,31.05,6727,11.6202,67024,4593,225871,668.5,-0.0,822970,17.171,2630837.750,1.45e-14,0.00001,31.67,31016,24.488,1.369,22.500,0.619,24.488,3095,3799,3473,0.4735,0.930,1.007,1.960,1.308,0.972,1.329,9949.641,6036.316,13570.866,9720.753,7547.671,3917.775,1688.309,2065.947,0.364,0.510,0.410,0.480,0.301,0.358,4053,13591,0.4730,1.0000,0.9997,0.0847,1.0000,1.0000,0.9104,1.2308,1.1139,0.0313,0.0087,0.0108,0.0000,0.7468,0.9383,0.2621,0.6599,0.9485,0.00244,831,0.9996,0.9483,0.9249,0.9964,0.0503,0.0616,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0560,0.0628,0.0442,0.090,0.053,0.070,0.071
13000,10464,2921,45682,73232,58747,26798,752,32684,4550,0,352170,3734725,24037.676,10349.545,0.2799,4188.955,0.035,0.898,0.039,0.028,0.439,0.402,2973,0.1554,0.7976,0.121,11.0,26.4,44.5,23.14,0.36,7.75,0.51,14.51,6.06,1.237,0.276,0.013,0.015,6.339,0.430,0.0037,151,473,663,19115,102,11,0.464,5423,121,1409,8934,1004,1246,8214,20.75,29.83,7521,11.2316,67070,4283,210873,591.2,-0.0,838821,17.856,2630837.750,1.68e-14,0.00031,10.33,27194,23.605,1.354,21.568,0.683,23.606,3797,3194,3473,0.4379,0.930,1.028,1.977,1.306,0.969,1.409,10488.675,6748.457,9491.697,10243.330,8491.605,2451.279,1518.553,2190.758,0.362,0.521,0.413,0.426,0.320,0.365,3571,7213,0.5098,1.0000,0.9995,0.1074,1.0000,1.0000,0.9125,1.1876,1.1025,0.0197,0.0143,0.0109,0.0000,0.0000,0.8274,0.1762,0.6233,0.9563,0.00248,1138,0.9997,0.9429,0.9116,0.9968,0.0458,0.0588,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0561,0.0657,0.0469,0.090,0.062,0.068,0.086
14000,9245,2569,46971,79543,64375,31877,695,32016,4874,3,409834,3755614,24424.554,12168.208,0.2774,5062.758,0.030,0.899,0.045,0.027,0.442,0.399,2690,0.1733,0.7923,0.131,11.1,27.0,44.2,23.98,0.34,8.00,0.36,15.28,6.15,1.201,0.278,0.018,0.020,6.532,0.449,0.0037,145,475,751,18987,124,14,0.462,4740,234,1216,7795,995,889,7361,20.25,30.54,5400,9.2660,67110,4259,199486,664.1,-0.0,855027,17.625,2630837.750,1.63e-14,0.00010,33.24,29323,23.711,1.311,21.874,0.527,23.712,2731,3447,3067,0.4503,0.946,1.020,1.976,1.306,0.971,1.364,10203.723,5857.295,12092.091,9989.484,7405.737,3631.382,1466.845,2007.223,0.404,0.515,0.402,0.497,0.304,0.360,3697,10268,0.4778,1.0000,0.9998,0.0903,1.0000,0.9999,0.8908,1.1799,1.0533,0.0215,0.0089,0.0130,0.0000,0.7572,0.9652,0.0775,0.6548,0.9787,0.00250,1029,0.9995,0.9460,0.9015,0.9966,0.0416,0.0676,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0567,0.0577,0.0448,0.058,0.077,0.065,0.071
15000,9652,2722,39458,61118,49448,21030,630,27903,3498,1,288051,3291642,21765.431,8260.298,0.2688,3420.434,0.038,0.892,0.042,0.028,0.454,0.394,2061,0.1387,0.7864,0.122,11.9,28.0,46.6,25.04,0.45,8.22,0.41,15.95,6.29,1.178,0.277,0.024,0.025,6.697,0.443,0.0037,152,484,746,13908,92,14,0.534,4746,62,1114,8476,435,1002,8215,15.50,26.07,6194,9.0809,67127,4643,190835,600.3,-0.0,865193,15.886,2630837.750,5.49e-15,0.00013,23.67,22234,19.796,1.303,17.986,0.506,19.796,2615,3565,3472,0.4572,0.952,1.014,1.975,1.254,0.971,1.332,10247.333,6249.618,7402.499,10024.888,7758.478,1687.936,1481.091,1670.837,0.363,0.529,0.428,0.417,0.297,0.349,3840,6382,0.5425,0.9995,0.9997,0.1341,1.0000,1.0000,0.8872,1.1414,1.0441,0.0370,0.0084,0.0113,0.0000,0.2819,0.9314,0.1919,0.6827,0.9948,0.00250,1267,0.9994,0.9299,0.8767,0.9967,0.0432,0.0672,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0562,0.0680,0.0500,0.085,0.076,0.060,0.090
16000,9933,3129,45365,74496,60154,28389,742,32614,4702,1,392834,3997666,24698.655,11234.677,0.2734,4521.173,0.039,0.891,0.041,0.029,0.469,0.381,2992,0.1542,0.7827,0.135,12.0,28.8,45.9,25.16,0.50,8.62,0.44,15.61,6.23,1.209,0.286,0.021,0.024,6.803,0.445,0.0037,155,486,946,20182,166,14,0.532,5200,78,1458,8397,916,1389,7628,14.25,25.34,4880,8.2975,67042,4753,183166,625.6,-0.0,876202,18.385,2630837.750,1.77e-15,0.00007,15.34,27308,23.955,1.299,22.056,0.600,23.956,3024,3369,3540,0.4538,0.937,1.019,1.988,1.257,0.971,1.393,11174.143,6731.982,9247.057,10965.844,9006.927,2706.089,1678.409,2329.006,0.394,0.547,0.444,0.414,0.339,0.416,3798,6319,0.4884,1.0000,0.9998,0.1090,0.9999,1.0000,0.8099,1.1107,1.0672,0.0367,0.0094,0.0120,0.0000,0.0229,0.9110,0.0494,0.6444,0.9855,0.00253,1448,0.9998,0.9115,0.8898,0.9954,0.0455,0.0623,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0591,0.0686,0.0527,0.092,0.082,0.075,0.085
17000,11038,2838,41200,67232,54474,25403,629,29197,4174,5,335824,3616768,22367.393,9650.240,0.2788,3797.482,0.039,0.894,0.037,0.030,0.467,0.386,2450,0.1249,0.7877,0.150,10.8,27.8,44.0,23.15,0.21,7.94,0.44,14.56,6.06,1.275,0.271,0.010,0.011,6.244,0.413,0.0036,158,515,865,16968,155,11,0.490,5618,89,1620,9329,493,1571,8974,13.50,25.69,6680,9.4771,67129,4794,175213,625.0,-0.0,884887,16.728,2630837.750,5.13e-15,0.00020,36.12,25622,22.030,1.317,19.860,0.854,22.031,3420,3726,3892,0.4231,0.937,1.033,1.994,1.444,0.966,1.423,10981.795,6539.519,6841.725,10767.268,8555.883,1998.318,1627.921,2226.520,0.360,0.544,0.454,0.414,0.338,0.411,4181,5310,0.5505,0.9999,1.0000,0.1243,0.9999,0.9999,0.9929,1.1232,1.0406,0.0164,0.0053,0.0070,0.0000,0.8136,0.9543,0.2285,0.6720,0.9671,0.00249,1409,0.9996,0.9217,0.8860,0.9961,0.0458,0.0612,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0560,0.0688,0.0593,0.075,0.112,0.094,0.079
18000,10236,2938,48527,82073,66403,32783,763,32574,5894,3,410601,4024220,25046.274,12833.673,0.3005,5123.278,0.038,0.887,0.042,0.032,0.458,0.392,2669,0.1548,0.7890,0.148,11.3,28.0,43.7,23.15,0.38,8.16,0.34,14.28,5.99,1.294,0.278,0.014,0.015,6.213,0.434,0.0036,151,478,857,19684,149,17,0.510,5052,180,1013,9043,810,1153,8273,19.50,28.67,5977,10.1304,67107,5193,166411,845.4,-0.0,896939,18.117,2630837.750,3.19e-15,0.00025,9.52,32849,26.122,1.305,24.023,0.794,26.122,3062,3472,3702,0.4273,0.946,1.026,1.999,1.442,0.969,1.476,10486.080,6896.272,10924.120,10282.911,8962.522,3367.865,1437.756,2904.774,0.382,0.540,0.447,0.459,0.330,0.406,4524,9209,0.5003,1.0000,0.9997,0.0936,1.0000,1.0000,0.8905,1.1384,1.0523,0.0325,0.0092,0.0085,0.0000,0.0000,0.7510,0.2293,0.6411,0.9510,0.00249,1649,0.9990,0.9323,0.9045,0.9972,0.0440,0.0512,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0545,0.0608,0.0536,0.075,0.074,0.078,0.073
19000,10738,3165,45454,77256,62357,31135,667,31327,4536,2,386582,3835230,25216.859,11450.560,0.2756,4791.691,0.036,0.893,0.046,0.025,0.455,0.392,2495,0.1449,0.7816,0.156,12.0,29.0,46.0,24.28,0.28,8.44,0.42,15.15,6.10,1.271,0.278,0.011,0.013,6.598,0.425,0.0036,154,490,806,19177,131,20,0.515,5568,653,1122,8963,1085,1383,8270,16.00,26.73,6137,10.9079,67072,4728,157420,849.4,-0.0,907284,17.846,2630837.750,8.67e-15,0.00016,24.64,29620,24.856,1.312,22.649,0.896,24.857,3879,3073,3786,0.4035,0.946,1.037,1.997,1.318,0.971,1.466,10325.558,7423.035,10339.783,10128.215,9540.551,2697.853,1406.446,2554.571,0.374,0.524,0.455,0.468,0.311,0.432,4071,7724,0.4714,0.9998,0.9995,0.0990,1.0000,0.9999,0.8953,1.1137,1.0631,0.0167,0.0075,0.0093,0.0000,0.5700,0.9495,0.1120,0.6545,0.9455,0.00251,1363,0.9995,0.9253,0.8920,0.9975,0.0452,0.0520,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0562,0.0634,0.0553,0.098,0.086,0.091,0.085
20000,9367,2758,39871,68206,55087,27735,600,28658,3964,0,333922,3553705,22950.959,10256.507,0.2842,4325.804,0.031,0.888,0.053,0.028,0.463,0.388,1872,0.1477,0.7733,0.164,12.0,29.0,48.3,26.22,0.54,8.38,0.57,16.73,6.31,1.235,0.270,0.019,0.018,6.999,0.446,0.0036,160,529,794,16301,141,21,0.511,4800,427,1134,7806,743,1032,7592,13.75,27.24,6092,9.8211,67071,4362,150419,574.3,-0.0,917232,16.941,2630837.750,7.61e-15,0.00094,20.54,26548,23.000,1.310,21.055,0.635,23.024,3011,3068,3288,0.4181,0.931,1.022,1.998,1.310,0.965,1.418,9878.646,6215.324,9413.304,9686.705,8176.755,2309.665,1251.202,2369.836,0.374,0.544,0.454,0.457,0.341,0.439,4371,7261,0.5187,1.0000,0.9998,0.1033,0.9999,1.0000,0.8120,1.0653,1.0403,0.0415,0.0080,0.0087,0.0000,0.3531,0.9048,0.2450,0.7352,0.9551,0.00248,1359,0.9994,0.8925,0.8777,0.9973,0.0463,0.0530,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0571,0.0775,0.0658,0.099,0.145,0.124,0.096
