step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right
1000,18500,14216,123331,832877,795142,694578,14968,66833,2009,2,240218,5507378,181774.496,68357.547,0.2268,64952.858,0.231,0.251,0.290,0.228,0.650,0.315,1040,0.0188,0.7156,0.190,12.0,40.8,81.5,41.99,3.73,5.04,3.32,29.90,7.78,1.029,0.127,0.043,0.042,24.851,0.689,0.0023,162,468,2229,12468,99,0,0.000,9397,5159,4113,9228,1695,5563,11242,0.00,1.07,13754,34.9271,66723,7949,539295,2097.0,-0.0,455118,53.372,2631075.518,1.66e-14,0.00093,30.00,242125,107.726,1.375,104.298,2.052,107.727,12885,2253,3362,0.4475,0.835,1.016,1.238,1.025,0.914,1.119,38378.206,12018.500,177162.934,38910.886,30653.534,1734.615,1062.043,608.030,0.725,0.548,0.516,0.889,0.731,0.668,6243,42121,0.5338,1.0000,1.0000,0.0428,0.9999,1.0000,0.5509,0.8514,0.8864,0.1049,0.0420,0.0227,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,18130,0.9998,0.7158,0.7163,0.9987,0.0622,0.0512,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.1251,0.2317,0.1999,0.470,0.477,0.488,0.443
2000,13722,5924,60706,107473,88017,45866,901,45277,5731,0,452963,4808488,34934.681,17784.032,0.3167,8819.293,0.112,0.609,0.160,0.120,0.518,0.335,4641,0.1263,0.7414,0.171,8.6,23.0,70.0,28.15,2.69,6.83,1.15,17.48,7.17,1.077,0.263,0.045,0.049,12.405,0.553,0.0033,174,1115,1991,27032,62,0,0.000,8442,1386,2331,10005,875,1987,10860,0.00,12.00,12392,13.2680,66824,4726,490661,1134.8,-0.0,524899,39.787,2631075.518,1.33e-14,0.00071,25.34,35114,41.994,1.385,39.622,0.987,41.994,4670,3402,5650,0.3620,0.920,1.037,1.289,1.095,0.946,1.141,14921.603,11695.908,11933.717,14906.246,16914.013,2907.951,3157.429,2899.359,0.577,0.473,0.529,0.550,0.374,0.424,4221,7436,0.5528,1.0000,0.9996,0.0890,1.0000,1.0000,0.5865,1.0018,1.0111,0.1795,0.0229,0.0168,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,7040,0.9993,0.8209,0.8370,0.9989,0.0437,0.0487,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0829,0.1213,0.1081,0.200,0.189,0.190,0.163
3000,12922,3572,62482,104067,82877,40794,791,42652,8211,2,541430,4886953,28495.933,16653.294,0.3062,6291.224,0.052,0.803,0.086,0.058,0.486,0.340,4855,0.1728,0.8175,0.155,7.4,20.3,54.3,23.42,1.96,7.07,0.60,13.79,6.85,1.111,0.310,0.048,0.057,7.711,0.461,0.0037,136,507,1472,31655,104,0,0.000,7757,188,1746,10988,950,2640,9332,4.50,20.60,11823,14.5747,66748,4598,454231,1038.8,-0.0,566027,23.489,2631075.518,1.49e-14,0.00159,14.43,34595,30.995,1.389,28.756,0.850,30.995,4815,3666,4441,0.4109,0.932,1.034,1.414,1.123,0.960,1.221,11853.875,7728.364,12322.300,11733.590,10731.268,3684.298,3216.150,3461.621,0.523,0.439,0.505,0.471,0.329,0.388,3642,9515,0.4772,1.0000,0.9995,0.1030,1.0000,1.0000,0.7158,1.0144,1.0328,0.1507,0.0250,0.0284,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,2902,1.0000,0.8635,0.8747,0.9986,0.0470,0.0606,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0675,0.0755,0.0695,0.135,0.117,0.119,0.094
4000,13038,3143,62880,103669,83139,40005,784,41072,7511,6,493196,4790520,28608.030,15433.416,0.2971,6274.761,0.038,0.837,0.074,0.051,0.484,0.342,4726,0.1676,0.8301,0.139,7.5,19.6,45.2,21.68,1.30,7.16,0.42,12.80,6.65,1.119,0.319,0.040,0.048,6.444,0.429,0.0038,131,435,1266,29750,151,0,0.000,7409,159,2381,10498,751,2150,10137,11.00,25.12,9097,13.1610,66789,4694,423417,978.8,0.0,602931,20.118,2631075.518,5.31e-16,0.00123,37.93,34359,28.836,1.387,26.687,0.762,28.836,4702,4265,4071,0.4373,0.936,1.026,1.486,1.164,0.969,1.224,11493.544,6457.057,15074.376,11339.932,8468.483,3884.987,2676.060,2597.607,0.524,0.445,0.481,0.480,0.302,0.323,4077,11970,0.4824,0.9999,0.9993,0.0822,1.0000,1.0000,0.8214,1.0407,1.0191,0.1162,0.0197,0.0255,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,2205,0.9996,0.8658,0.8618,0.9969,0.0425,0.0653,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0627,0.0749,0.0708,0.105,0.115,0.108,0.078
5000,12873,3174,62414,99567,78938,36544,609,40960,7630,10,498874,4729372,28428.366,15017.292,0.2953,5808.559,0.030,0.843,0.075,0.052,0.469,0.349,3270,0.1793,0.8407,0.147,7.8,19.0,43.6,20.77,0.90,6.73,0.33,12.80,6.73,1.174,0.301,0.024,0.031,5.857,0.441,0.0037,132,427,995,27427,100,6,0.537,6937,98,1509,11266,888,2233,9752,16.25,27.67,7293,11.3929,66783,4714,392511,810.5,-0.0,638627,20.120,2631075.518,1.47e-14,0.00046,12.68,33609,28.904,1.392,26.758,0.753,28.904,4248,4257,4368,0.4321,0.938,1.031,1.654,1.253,0.971,1.294,12004.390,7265.642,12967.661,11836.188,9433.076,3523.166,2653.483,3032.084,0.448,0.488,0.464,0.436,0.299,0.369,4030,12474,0.5311,0.9998,0.9994,0.0962,1.0000,1.0000,0.8130,1.1196,1.0706,0.0830,0.0120,0.0248,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,1505,0.9997,0.9465,0.8963,0.9983,0.0425,0.0611,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0622,0.0511,0.0487,0.085,0.085,0.087,0.072
6000,12553,2820,59508,90713,71026,30653,552,41668,7097,2,486858,4249094,26503.552,13411.243,0.2847,4748.901,0.023,0.839,0.085,0.053,0.434,0.378,3916,0.1824,0.8516,0.180,8.6,19.3,46.1,21.19,0.83,7.34,0.30,12.72,6.60,1.152,0.302,0.033,0.040,5.701,0.411,0.0039,135,435,934,24679,123,7,0.463,7543,280,1456,10817,1501,2369,8683,15.25,27.43,7238,11.9365,66793,4710,359818,862.1,-0.0,673336,19.716,2631075.518,3.19e-15,0.00013,23.20,31968,27.951,1.403,25.651,0.897,27.952,5046,3599,3908,0.4555,0.909,1.018,1.692,1.160,0.967,1.312,11272.957,7068.310,11243.780,11111.210,8897.462,3605.792,2488.690,2567.860,0.401,0.442,0.456,0.399,0.278,0.345,3946,9688,0.4100,0.9999,0.9997,0.0909,1.0000,0.9999,0.8510,1.1076,1.0590,0.0545,0.0206,0.0298,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,1373,0.9998,0.9409,0.8935,0.9981,0.0457,0.0644,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0598,0.0484,0.0456,0.049,0.101,0.079,0.083
7000,10426,2882,55067,88984,70300,33407,510,37647,5762,1,459952,3960592,25717.235,13009.791,0.2687,5284.662,0.021,0.856,0.069,0.054,0.429,0.389,3343,0.1988,0.8391,0.172,9.2,19.9,49.7,22.04,0.73,7.03,0.40,13.88,6.62,1.150,0.290,0.032,0.036,6.383,0.440,0.0038,133,423,977,22433,151,5,0.511,6178,857,1109,8460,806,1498,8122,15.50,28.13,6878,11.8979,66865,4190,327807,772.9,-0.0,708113,18.542,2631075.518,1.81e-14,0.00057,24.47,31859,26.437,1.396,24.422,0.618,26.437,3870,3349,3207,0.4660,0.904,1.015,1.687,1.214,0.965,1.267,10590.402,6344.508,12480.634,10435.758,8085.506,3628.029,2357.042,1740.058,0.413,0.428,0.448,0.457,0.289,0.377,3903,12571,0.4881,0.9998,0.9995,0.0881,0.9999,1.0000,0.8141,1.0880,1.0266,0.0480,0.0200,0.0217,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,1213,0.9998,0.9294,0.8714,0.9983,0.0465,0.0622,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0630,0.0595,0.0564,0.072,0.126,0.096,0.090
8000,10821,2672,50953,76782,59296,25364,465,35199,4512,2,403899,3586005,24168.929,10858.562,0.2664,4133.003,0.021,0.855,0.061,0.063,0.421,0.398,2849,0.1769,0.8359,0.166,8.5,19.2,51.4,21.67,0.53,7.22,0.34,13.58,6.60,1.158,0.286,0.024,0.028,6.059,0.441,0.0038,140,437,898,16526,132,6,0.486,6093,321,1129,9371,827,1257,8737,17.00,29.24,5845,10.5271,66766,4114,301743,662.4,-0.0,737588,17.721,2631075.518,4.42e-15,0.00060,7.77,27752,24.677,1.407,22.619,0.651,24.678,3829,3607,3385,0.4170,0.925,1.034,1.735,1.288,0.957,1.225,9830.139,6091.382,11178.589,9656.726,7466.617,3478.454,2014.858,1232.248,0.384,0.428,0.452,0.402,0.269,0.322,3840,9696,0.4822,0.9999,0.9999,0.0907,1.0000,1.0000,0.8067,1.0740,0.9987,0.0355,0.0099,0.0219,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,1149,0.9999,0.9401,0.8753,0.9985,0.0476,0.0628,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0619,0.0488,0.0447,0.062,0.099,0.079,0.084
9000,8786,2341,45635,67122,52393,21081,406,35064,4062,4,312281,3319618,21253.612,8795.845,0.2805,3321.122,0.019,0.854,0.063,0.064,0.415,0.406,1902,0.2032,0.8521,0.145,9.0,19.0,46.4,20.77,0.48,6.60,0.32,13.37,6.47,1.127,0.281,0.029,0.036,6.279,0.476,0.0040,142,442,783,11959,123,9,0.425,5134,35,1021,7730,586,1093,7107,20.25,32.51,6897,9.9373,66754,3596,279955,431.5,-0.0,760921,16.871,2631075.518,3.19e-15,0.00192,30.68,24642,21.935,1.398,20.067,0.470,21.936,2451,3264,3071,0.4657,0.918,1.013,1.712,1.238,0.959,1.218,9761.365,5697.482,7872.140,9598.106,7104.488,2202.334,1995.495,1276.894,0.365,0.426,0.448,0.371,0.275,0.326,3616,7417,0.5477,0.9997,0.9995,0.0974,1.0000,1.0000,0.8469,1.0590,1.0153,0.0349,0.0075,0.0260,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,1123,0.9991,0.9392,0.8732,0.9980,0.0476,0.0559,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0650,0.0574,0.0526,0.069,0.094,0.080,0.085
10000,11253,2836,44051,69750,54719,25261,438,30780,2989,1,290811,3145367,22781.979,8590.562,0.2722,3643.638,0.018,0.844,0.066,0.072,0.425,0.408,1602,0.1357,0.8314,0.138,10.0,20.9,54.9,22.95,0.52,7.17,0.31,14.96,6.59,1.162,0.261,0.030,0.035,6.338,0.432,0.0038,145,446,819,12374,77,12,0.314,6597,46,1186,10021,654,2037,8562,14.50,26.89,6724,11.3022,66773,3898,261884,791.1,-0.0,779707,15.787,2631075.518,1.15e-14,0.00162,11.37,26452,22.216,1.383,20.028,0.804,22.246,4142,3706,3405,0.4147,0.919,1.035,1.730,1.303,0.952,1.220,9324.843,5617.450,10248.527,9178.071,6999.018,2226.246,1689.395,1031.283,0.407,0.415,0.455,0.454,0.300,0.331,3748,6801,0.4638,1.0000,0.9992,0.0882,1.0000,0.9999,0.8003,1.0286,0.9910,0.0303,0.0119,0.0209,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,1013,0.9997,0.9166,0.8760,0.9982,0.0471,0.0596,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0000,5.0000,5.0000,0.0594,0.0524,0.0411,0.064,0.069,0.062,0.068
