step,lineage,size,mass,hard,muscle,sensor,digestive,bite_any,tooth,age,plant,meat,shapes
5000,1,2206,24.44,0.63,6.59,0.71,15.85,0.07,0.018,276,14.50,3.77,1060
5000,5,1675,25.68,0.32,6.67,0.70,15.63,0.08,0.026,207,11.58,4.78,880
5000,6,1431,25.14,0.11,10.57,0.32,14.56,0.05,0.011,233,13.23,4.36,804
5000,3,1255,35.19,0.01,10.48,0.09,13.41,0.00,0.000,296,10.38,11.51,657
5000,2,715,29.60,0.01,9.07,0.07,10.26,0.01,0.004,317,8.98,12.06,479
5000,4,366,25.64,0.69,6.83,0.11,17.52,0.33,0.098,207,11.61,4.78,267
5000,27,241,32.42,0.18,9.83,0.54,21.95,0.07,0.017,285,16.19,5.36,181
5000,41,218,27.71,0.17,7.25,0.40,19.93,0.01,0.005,226,14.92,4.95,152
5000,659,142,39.65,0.00,14.38,0.13,14.85,0.00,0.000,551,21.79,16.77,98
5000,110,32,26.01,0.03,4.94,0.25,20.41,0.00,0.000,245,14.38,3.12,20
5000,190,28,23.58,0.00,8.00,0.00,15.29,0.00,0.000,374,22.52,3.34,18
5000,18,20,45.73,0.00,0.00,0.00,31.00,0.00,0.000,1948,57.27,41.55,13
5000,305,6,91.75,29.67,11.83,0.00,10.50,3.83,0.833,4656,214.64,12.53,6
5000,14,5,22.28,3.00,0.00,0.60,10.40,0.00,0.000,2075,73.73,32.96,5
6000,1,1854,26.38,0.30,7.01,0.30,17.48,0.01,0.003,336,18.53,4.26,921
6000,5,1665,20.78,0.35,4.88,0.77,14.39,0.07,0.023,199,11.02,3.41,922
6000,6,1343,26.01,0.26,10.86,0.11,14.64,0.06,0.015,259,14.13,5.39,675
6000,3,1188,38.66,0.08,10.32,0.12,14.24,0.02,0.006,322,11.64,10.86,615
6000,2,854,28.34,0.02,9.80,0.01,7.17,0.00,0.001,284,6.65,12.74,586
6000,41,510,29.69,0.02,7.55,0.05,21.43,0.00,0.000,257,16.14,4.67,362
6000,27,445,32.34,0.26,8.81,0.58,22.69,0.06,0.016,222,13.26,4.39,309
6000,659,152,37.51,0.57,11.48,0.05,14.12,0.36,0.086,333,15.49,9.76,118
6000,4,50,28.12,0.20,6.82,0.00,21.10,0.06,0.020,217,11.61,5.84,26
6000,669,31,26.61,0.29,10.00,0.00,10.13,0.00,0.000,542,20.41,11.81,23
6000,664,24,35.24,0.00,6.50,0.25,33.67,0.00,0.000,140,10.93,1.22,16
6000,190,20,25.44,2.70,7.85,2.25,10.40,2.35,0.550,357,19.91,1.64,17
6000,725,13,71.10,19.31,0.00,0.92,27.69,0.00,0.000,2229,88.78,61.12,12
6000,305,9,88.91,25.33,14.33,0.00,13.00,4.44,0.889,3290,150.62,7.56,8
7000,6,4193,24.65,0.53,7.20,0.36,16.32,0.05,0.014,266,15.04,4.07,2285
7000,3,1673,36.88,0.10,8.98,0.08,15.26,0.01,0.004,262,10.76,9.83,850
7000,5,1595,20.67,0.24,4.42,0.49,15.16,0.05,0.011,155,9.59,2.64,734
7000,2,1192,26.38,0.03,9.30,0.01,5.75,0.02,0.004,246,5.85,10.20,734
7000,41,457,28.07,0.13,7.62,0.05,19.88,0.04,0.007,254,16.57,3.96,325
7000,27,432,32.45,0.22,7.93,0.19,23.69,0.03,0.009,259,15.69,6.21,266
7000,664,49,27.18,1.00,9.10,2.33,16.22,0.00,0.000,141,12.03,2.14,29
7000,669,21,20.27,0.00,4.05,0.00,13.29,0.00,0.000,225,11.98,0.80,10
7000,659,18,38.50,0.28,15.50,0.78,9.72,0.22,0.056,752,30.63,15.01,16
7000,4,12,31.37,0.00,7.33,0.00,23.00,0.00,0.000,358,31.74,15.58,11
7000,305,11,101.39,26.64,19.09,0.00,14.55,5.91,1.000,1845,83.80,7.65,4
7000,1,10,22.34,0.00,7.10,0.00,9.80,0.00,0.000,360,13.00,10.34,8
7000,725,7,77.41,22.71,0.00,1.43,25.71,0.00,0.000,3748,124.74,83.23,7
8000,6,4644,25.13,0.23,7.98,0.27,16.31,0.04,0.009,240,14.15,3.27,2327
8000,5,1652,27.77,0.54,6.21,1.26,18.36,0.16,0.033,175,12.42,3.74,859
8000,2,612,27.15,0.05,9.71,0.01,4.99,0.02,0.007,313,7.01,10.70,350
8000,3,486,45.13,0.48,9.71,0.17,18.33,0.06,0.016,333,15.26,11.54,314
8000,27,298,30.54,0.00,8.65,0.01,21.50,0.00,0.000,278,16.84,5.17,202
8000,664,246,23.86,0.44,9.74,2.74,11.88,0.05,0.020,127,11.25,5.49,173
8000,775,158,34.45,0.00,8.61,0.20,10.44,0.00,0.000,419,12.98,9.49,94
8000,41,119,21.73,0.11,4.22,0.00,16.92,0.01,0.000,357,20.13,3.84,102
8000,305,5,90.04,24.20,16.60,0.00,12.20,5.00,1.000,4211,166.28,15.80,4
8000,725,5,71.43,22.20,0.00,1.80,21.20,0.00,0.000,4843,165.60,94.81,5
9000,6,3444,23.98,0.37,8.50,0.43,14.57,0.10,0.029,236,13.77,3.69,1842
9000,5,1466,22.11,0.28,5.38,0.64,14.96,0.05,0.014,201,10.62,3.83,766
9000,813,691,27.78,0.15,7.95,0.13,6.19,0.02,0.009,363,7.93,12.86,333
9000,27,394,29.79,0.24,6.27,0.36,22.76,0.11,0.043,217,14.78,3.57,284
9000,2,293,24.82,0.09,9.46,0.00,3.66,0.02,0.007,217,3.66,10.89,165
9000,3,198,41.55,0.12,10.77,0.14,12.79,0.05,0.015,408,14.44,15.22,148
9000,41,122,25.29,0.00,6.14,0.28,19.36,0.00,0.000,183,13.33,1.64,81
9000,775,97,35.48,0.23,8.95,0.24,10.59,0.13,0.052,376,11.40,9.50,58
