step,lineage,size,mass,hard,muscle,sensor,digestive,bite_any,tooth,age,plant,meat,shapes
9000,69,272,31.71,1.32,10.13,0.33,18.42,0.22,0.062,355,20.02,3.52,158
9000,89,207,33.53,0.01,7.70,0.00,25.68,0.01,0.005,479,28.17,2.74,95
9000,826,121,81.50,4.36,16.04,0.02,39.17,0.78,0.157,393,26.29,12.52,73
9000,664,43,36.87,0.00,10.09,0.12,13.02,0.00,0.000,1831,50.22,31.79,33
9000,715,33,50.64,0.15,13.09,0.00,23.55,0.06,0.000,847,33.82,21.73,23
9000,846,28,27.11,0.04,7.64,0.00,19.36,0.00,0.000,816,46.00,7.42,22
9000,130,22,44.78,0.00,0.41,1.41,32.86,0.00,0.000,1894,71.57,45.83,19
9000,720,21,19.91,0.00,2.57,0.00,17.48,0.00,0.000,596,30.33,9.11,21
9000,834,20,23.38,0.25,1.25,0.30,21.10,0.00,0.000,955,37.20,26.60,18
9000,787,11,72.49,0.00,7.09,0.00,40.64,0.00,0.000,3818,135.85,74.98,11
10000,1,3256,28.67,0.53,9.89,0.43,16.14,0.08,0.027,402,21.26,5.90,1785
10000,69,335,32.86,1.11,10.69,0.09,19.37,0.32,0.090,332,19.49,3.43,225
10000,89,209,33.90,0.14,8.04,0.00,25.27,0.03,0.014,640,35.23,3.37,123
10000,826,86,68.61,0.78,9.49,0.00,46.24,0.09,0.023,282,17.40,13.27,45
10000,664,35,38.65,0.00,9.00,0.11,14.97,0.00,0.000,1729,47.40,26.81,23
10000,715,31,52.88,0.13,13.97,0.00,24.32,0.03,0.000,944,34.91,21.71,19
10000,846,23,30.46,1.04,10.87,0.00,16.83,0.30,0.087,531,30.86,4.33,17
10000,130,22,35.38,0.00,0.27,0.45,25.59,0.00,0.000,2060,77.84,46.12,17
10000,787,11,81.57,0.00,1.55,0.00,52.27,0.00,0.000,857,38.89,18.68,9
