run,seed,arm,censuses,grown,lineage_e060,forms,form,form_low,form_high,form_held,null_medium,null_medium_held,bodies,feeling,sighted,sensors,born_sensors,sight_front,reach_front,sight_back,reach_back,sight_left,reach_left,sight_right,reach_right,steps,pop,pop_min,pop_max,pop_end,lineages,top_lineage,births_per_body,blocked,no_room,age_death_p50,size_mean,kills,moved,sense_used,ms_step,pop_land,pop_surface,pop_bottom,stay,forward,left,right,deaths_hunger,deaths_broken,deaths_wear,deaths_thirst,deaths_suffocation
given9,9,given,6,2862.0,2.5,351,6.166666666666667,5,8,4,5.066666666666666,3,17172,0.07122059166084323,0.060621942697414395,0.3105054740274866,0.38155136268343814,0.027078965758211043,0.038958770090845564,0.09061262520382017,0.13900535755881668,0.09457255998136502,0.14133473095737248,0.029815979501514094,0.043209876543209874,100000,8072.7,6900.0,9628.0,7444.0,14.82,0.43002,3.7403198434228946,0.4691,0.3913593510946448,160.1,28.0838,0.11819128743336615,0.12462999999999999,0.15358,20.2522,2911.72,2972.38,2188.6,0.05504,0.77696,0.07766,0.09022,0.6581504883772503,0.05196625215557902,0.0002482432651602162,0.2744643737815393,0.015170642420471133
senses9,9,senses,6,2413.5,1.6666666666666667,235,3.1666666666666665,3,4,3,3.1666666666666665,3,14481,0.04378150680201644,0.04274566673572267,0.36572059940611834,0.45942959740349426,0.10144327049236931,0.13175885643256682,0.07706650093225606,0.10607002278848146,0.049789379186520266,0.07064429252123472,0.11014432704923693,0.13963124093639942,100000,8101.7,6395.0,9765.0,6729.0,9.56,0.73176,4.38356394336991,0.32706,0.2917462881530009,143.1,23.2104,0.10313443748402122,0.155822,0.21254,17.14596,2882.26,2949.3,2270.14,0.04214,0.85324,0.03124,0.07336,0.6884934375110753,0.036148116311684894,0.00013951371594219856,0.26307055062350815,0.012148381837789428
given10,10,given,6,3544.8333333333335,2.5,540,6.166666666666667,5,7,3,5.533333333333333,3,21269,0.10672810193238987,0.0907423950350275,0.7566881376651464,0.9056843293055621,0.06587051577413136,0.0950679392543138,0.20320654473647093,0.26334101274154875,0.19986835300202171,0.2717570172551601,0.06178005547980629,0.08857962292538436,100000,9779.94,8108.0,12374.0,10065.0,34.28,0.53098,4.1864796716544275,0.46716,0.37971675460074555,135.9,24.49,0.15817706629565612,0.141584,0.15398,20.57574,3457.8,3191.94,3130.2,0.06276,0.77984,0.14056,0.01678,0.6498359627798131,0.10661198433759533,0.0006275314913371353,0.23045642294352803,0.012468098447726382
senses10,10,senses,6,2408.3333333333335,2,366,3.1666666666666665,3,4,3,3.1666666666666665,3,14450,0.028581314878892733,0.021730103806228373,0.17577854671280277,0.20062283737024222,0.02782006920415225,0.039792387543252594,0.036539792387543256,0.0514878892733564,0.009550173010380622,0.013633217993079585,0.04982698961937716,0.06678200692041522,100000,8672.76,7241.0,10293.0,8664.0,13.94,0.75764,4.568893870002167,0.35304,0.24446047790998185,142.02,21.398600000000002,0.09965441816900154,0.162142,0.1408,17.91772,2805.8,3235.44,2631.52,0.027460000000000002,0.8694999999999999,0.09712,0.00594,0.7172981153174047,0.034699272800854615,6.76182676300756e-05,0.23164908339401316,0.016285910220097462
given11,11,given,6,3235.0,3.1666666666666665,350,6,5,7,5,5,4,19410,0.1712519319938176,0.13137557959814528,0.6568263781555899,0.769036579082947,0.11267387944358578,0.16445131375579597,0.18619268418341062,0.25430190623390003,0.13261205564142195,0.219629057187017,0.1250386398763524,0.20066975785677485,100000,7484.22,6009.0,9058.0,6774.0,26.64,0.589,3.073431833911884,0.46366,0.41523931161557204,188.9,37.1996,0.13479940413922914,0.113162,0.15496,17.01,2764.7,2212.26,2507.26,0.05576,0.7797200000000001,0.09068,0.07384,0.6310202634104279,0.06251738453193886,0.00038593660904273814,0.2675097005688219,0.03856671487976858
senses11,11,senses,6,2607.8333333333335,2.6666666666666665,418,4,3,5,3,3.1666666666666665,3,15647,0.030932447114462837,0.021857225027161756,0.14245542276474724,0.16961717901195117,0.03419185786412731,0.04710168083338659,0.02115421486546942,0.03042116699686841,0.02530836582092414,0.038282098804882723,0.0245414456445325,0.037451268613791784,100000,8099.84,6609.0,9210.0,8003.0,18.62,0.6731,3.9528607972503162,0.45194,0.32599023052820997,164.78,26.0332,0.12878435406720454,0.145768,0.15026,17.6795,2532.74,2689.04,2878.06,0.0157,0.9038,0.05578,0.02478,0.7046887423500879,0.05049347627731532,0.00021531467772073498,0.20956234327275813,0.035040123422117875
