run,kind,share,censuses,held,forms,lineages,top_lineages,born_size,density,open_born,grass,algae,detritus,meat,kills,travel,land,surface,bottom,side,cells,eye_feeling,eye_sighted,eye_sensors,eye_sight_front,eye_sight_back,eye_sight_left,eye_sight_right
given9,plant / no tooth / roams / shore,0.2696249708828325,6,True,39,20,908:0.54 1640:0.22 964:0.12,24.0,1.0,1.2222222222222223,0.08395974279759481,0.5282130639892371,0.2382162004516601,0.14961099276150802,0.10890624220607173,11.774999999999999,0.1937365010799136,0.5157667386609072,0.29049676025917925,7,4444422444442200002220000002000000000000000000000,0.06976241900647948,0.05939524838012959,0.3129589632829374,0.017062634989200864,0.08833693304535638,0.09913606911447084,0.019870410367170625
given9,plant / no tooth / stays / shore,0.20999301187980432,6,True,29,13,908:0.47 964:0.24 1941:0.09,29.0,1.037,1.1578947368421053,0.17280810078633027,0.2738956244348901,0.37823819844663104,0.1750580763321486,0.07588437756423744,5.25,0.26234054353854686,0.266777592900721,0.47088186356073214,7,4444444444444444444444444444444444444444444444444,0.11480865224625623,0.0904048807542984,0.5305047143649473,0.04963948973932335,0.1589018302828619,0.1713810316139767,0.04658901830282862
given9,plant / no tooth / roams / surface,0.1365595154903331,6,True,32,13,908:0.51 1941:0.12 1640:0.10,18,1.0,1.2941176470588236,0.009768943917150337,0.8661263869541022,0.0,0.12410466912874753,0.12242033663203497,13.59,0.05714285714285714,0.9428571428571428,0.0,7,4444422444442200000220000000000000000000000000000,0.07249466950959488,0.07164179104477612,0.11300639658848614,0.01535181236673774,0.07164179104477612,0.10021321961620469,0.0029850746268656717
given9,plant / no tooth / roams / bottom,0.08938970416957838,6,True,24,22,908:0.88 2241:0.05 2113:0.02,23,1.142,1.1304347826086956,0.007256537435934653,0.0,0.8759657580263843,0.11677770453768099,0.05721952524749086,17.36,0.05732899022801303,0.0,0.9426710097719869,8,4444442244444442000022240000002200000002000000000000000000000000,0.009120521172638436,0.009120521172638436,0.03517915309446254,0.007817589576547232,0.001954397394136808,0.001954397394136808,0.01758957654723127
given9,mixed / no tooth / roams / shore,0.07197763801537387,5,False,36,35,1950:0.22 1520:0.11 1800:0.09,25.0,1.931,1.0,0.15493821549356263,0.1193692843942741,0.24468829137553233,0.4810042087366308,0.40532072554920323,16.955,0.4166666666666667,0.15210355987055016,0.4312297734627832,5,2222222222440424444444444,0.016181229773462782,0.015372168284789644,0.07362459546925566,0.0048543689320388345,0.019417475728155338,0.0412621359223301,0.0040453074433656954
given9,plant / no tooth / stays / surface,0.05334265082692756,1,False,18,14,1709:0.43 964:0.18 1563:0.12,33.0,1.0,1.2903225806451613,0.00812807246749867,0.8709076015952484,0.0,0.12096432593725287,0.11939474638113085,5.49,0.04694323144104803,0.9530567685589519,0.0,8,2222222422222200220000002000000420000044440000444444444444444444,0.04148471615720524,0.04148471615720524,0.12336244541484716,0.008733624454148471,0.06441048034934498,0.0611353711790393,0.009825327510917031
given9,mixed / no tooth / roams / land,0.03680409969718146,3,False,25,25,2344:0.25 1772:0.16 1840:0.12,49.0,1.4085,0.6313207547169811,0.5639317056478002,0.0004843486098079823,0.01505385899320095,0.42053008674919085,0.34021639650258584,12.16,0.9620253164556962,0.0,0.0379746835443038,8,4444444444444444444444444422224442222224422222222222222222222222,0.08702531645569621,0.07120253164556962,0.5680379746835443,0.0189873417721519,0.11550632911392406,0.058544303797468354,0.08227848101265822
given9,plant / no tooth / stays / land,0.032669461914744936,2,False,47,43,1711:0.26 2450:0.09 2133:0.08,49,1.231,0.5714285714285714,0.7381375159378307,0.0014737464134242453,0.011980788648648766,0.2484079490000962,0.10673992974832967,1.5,0.9857397504456328,0.0017825311942959,0.012477718360071301,8,4444444444444444444444444444444444444444444444444444444444444444,0.0481283422459893,0.040998217468805706,0.3155080213903743,0.0481283422459893,0.053475935828877004,0.0481283422459893,0.040998217468805706
given9,mixed / no tooth / stays / land,0.028185418122525042,1,False,12,12,1835:0.42 1783:0.36 2109:0.11,49.0,1.225,0.5714285714285714,0.5989107906074408,0.0,0.002649738478493854,0.3984394709140653,0.2146440741658357,2.435,0.9896694214876033,0.0,0.010330578512396695,7,2222222442222244444444444444444444444444444444444,0.09297520661157024,0.05578512396694215,0.5929752066115702,0.07644628099173553,0.0743801652892562,0.047520661157024795,0.11363636363636363
given9,plant / no tooth / stays / bottom,0.01863498718844631,1,False,14,14,1709:0.45 1563:0.17 1723:0.14,30.0,1.064,1.1666666666666667,0.008195870970577543,0.0,0.7746295305072335,0.21717459852218893,0.05327915463304659,3.25,0.05,0.0,0.95,7,2200000220000040000004000000400000040000004000000,0.209375,0.20625,1.015625,0.159375,0.31875,0.1625,0.140625
senses9,plant / no tooth / roams / shore,0.6520958497341344,6,True,52,29,1:0.80 1777:0.06 1172:0.06,17,1.0,1.2941176470588236,0.10664284491115578,0.4435003850538412,0.3117810669366921,0.13807570309831094,0.09872786929558267,34.0,0.26061632955628505,0.449539341311024,0.28984432913269087,7,2220000220000044400004440000440000044000004400000,0.02605104310070952,0.025203854707190512,0.2202689823149423,0.05453775283278619,0.056867520914963464,0.028592608281266547,0.07190511489992588
senses9,mixed / no tooth / roams / shore,0.1515779297009875,6,True,36,28,1:0.22 1172:0.21 1606:0.16,27,1.686,1.0,0.21863129205095577,0.0,0.3687726086042143,0.41259609934482994,0.33728751301624776,30.25,0.4924829157175399,0.0,0.5075170842824601,6,222220222220224400244400004400000000,0.01685649202733485,0.015945330296127564,0.1061503416856492,0.022779043280182234,0.02824601366742597,0.015034168564920273,0.03644646924829157
senses9,plant / no tooth / stays / shore,0.11387335128789448,6,True,8,7,1:0.81 1172:0.07 1606:0.04,30,1.096,0.9166666666666666,0.21532091586905674,0.0,0.5859007533303701,0.1987783308005732,0.0754616765589133,0.5,0.33596118859915103,0.0,0.664038811400849,7,4444444444444444444444444444444444444444444444444,0.16312916919345058,0.16070345664038813,1.3086719223771983,0.38326258338386904,0.29411764705882354,0.11582777440873257,0.4687689508793208
senses9,plant / no tooth / stays / land,0.02354809750707824,1,False,30,27,1566:0.34 1972:0.25 1819:0.06,64,1.251,0.5,0.7544372411149928,0.0,0.008472294697740237,0.2370904641872669,0.0649914650864547,0.0,0.9882697947214076,0.0,0.011730205278592375,9,333311111333311111333441111344444111444444411444444411444444441444444441444444441,0.2316715542521994,0.2287390029325513,2.3284457478005867,0.782991202346041,0.08211143695014662,0.6539589442815249,0.16715542521994134
