run,lat,quarter,grass,seed,seed_per_grass,sprout_share
s0,-60,0,1.7673,0,0,0
s0,-60,1,0.62391,0,0,0
s0,-60,2,0.59456,0,0,0
s0,-60,3,1.6752,0,0,0
s0,-50,0,1.2508,0,0,0
s0,-50,1,0.77096,0,0,0
s0,-50,2,0.85431,0,0,0
s0,-50,3,1.1934,0,0,0
s0,-40,0,1.0252,0,0,0
s0,-40,1,1.0252,0,0,0
s0,-40,2,1.1291,0,0,0
s0,-40,3,1.0266,0,0,0
s0,-30,0,1.2345,0,0,0
s0,-30,1,1.4779,0,0,0
s0,-30,2,1.6849,0,0,0
s0,-30,3,1.3548,0,0,0
s0,-20,0,1.6002,0,0,0
s0,-20,1,1.8738,0,0,0
s0,-20,2,1.9239,0,0,0
s0,-20,3,1.6411,0,0,0
s0,-10,0,1.7049,0,0,0
s0,-10,1,1.8228,0,0,0
s0,-10,2,1.7808,0,0,0
s0,-10,3,1.7043,0,0,0
s0,0,0,1.8454,0,0,0
s0,0,1,1.7372,0,0,0
s0,0,2,1.6515,0,0,0
s0,0,3,1.8124,0,0,0
s0,10,0,1.8134,0,0,0
s0,10,1,1.5582,0,0,0
s0,10,2,1.4114,0,0,0
s0,10,3,1.6688,0,0,0
s0,20,0,1.4515,0,0,0
s0,20,1,1.2762,0,0,0
s0,20,2,1.2082,0,0,0
s0,20,3,1.3283,0,0,0
s0,30,0,1.0574,0,0,0
s0,30,1,1.0439,0,0,0
s0,30,2,1.0225,0,0,0
s0,30,3,0.95078,0,0,0
s0,40,0,0.68056,0,0,0
s0,40,1,0.92678,0,0,0
s0,40,2,0.933,0,0,0
s0,40,3,0.58462,0,0,0
s0,50,0,0.22913,0,0,0
s0,50,1,0.55231,0,0,0
s0,50,2,0.55812,0,0,0
s0,50,3,0.20772,0,0,0
s0,60,0,0.015706,0,0,0
s0,60,1,0.077048,0,0,0
s0,60,2,0.070644,0,0,0
s0,60,3,0.019585,0,0,0
s0,70,0,0.0012547,0,0,0
s0,70,1,0.019449,0,0,0
s0,70,2,0.013109,0,0,0
s0,70,3,0.0031057,0,0,0
s0,80,0,0.00023681,0,0,0
s0,80,1,0.0078414,0,0,0
s0,80,2,0.0045296,0,0,0
s0,80,3,0.0010073,0,0,0
s0.1,-60,0,1.7541,0.29785,0.1698,0.093582
s0.1,-60,1,0.62274,0.29207,0.469,0.11112
s0.1,-60,2,0.60404,0.27779,0.45989,0.10864
s0.1,-60,3,1.6612,0.2923,0.17596,0.087351
s0.1,-50,0,1.2475,0.29914,0.23979,0.093271
s0.1,-50,1,0.7759,0.28859,0.37194,0.10754
s0.1,-50,2,0.86651,0.27869,0.32162,0.098595
s0.1,-50,3,1.1886,0.29517,0.24833,0.085867
s0.1,-40,0,1.036,0.29918,0.28879,0.093459
s0.1,-40,1,1.0525,0.28642,0.27214,0.10403
s0.1,-40,2,1.1699,0.28113,0.2403,0.094638
s0.1,-40,3,1.0463,0.29557,0.2825,0.086045
s0.1,-30,0,1.2293,0.3165,0.25747,0.093904
s0.1,-30,1,1.4996,0.29959,0.19977,0.1029
s0.1,-30,2,1.6873,0.29525,0.17498,0.093524
s0.1,-30,3,1.3402,0.31215,0.23292,0.087232
s0.1,-20,0,1.5913,0.2898,0.18211,0.094402
s0.1,-20,1,1.872,0.27429,0.14652,0.10072
s0.1,-20,2,1.9109,0.27335,0.14305,0.093013
s0.1,-20,3,1.6217,0.28662,0.17673,0.090994
s0.1,-10,0,1.728,0.27437,0.15878,0.094491
s0.1,-10,1,1.8526,0.26843,0.14489,0.097992
s0.1,-10,2,1.8061,0.26858,0.14871,0.094085
s0.1,-10,3,1.7266,0.27312,0.15818,0.094662
s0.1,0,0,1.8692,0.27315,0.14613,0.094469
s0.1,0,1,1.7569,0.27734,0.15786,0.094792
s0.1,0,2,1.6724,0.27895,0.16679,0.095352
s0.1,0,3,1.8414,0.27327,0.14841,0.097972
s0.1,10,0,1.8271,0.28543,0.15622,0.09424
s0.1,10,1,1.5584,0.29551,0.18962,0.09176
s0.1,10,2,1.4181,0.29915,0.21095,0.096073
s0.1,10,3,1.6913,0.28679,0.16957,0.10024
s0.1,20,0,1.4533,0.26992,0.18573,0.093917
s0.1,20,1,1.2567,0.28307,0.22526,0.089141
s0.1,20,2,1.2014,0.28627,0.23827,0.097214
s0.1,20,3,1.3392,0.2718,0.20296,0.10229
