step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered,stalled,moved,in_band,west,learners,eta,base_share,beta,hidden,eyed,learned,memory,wchange,units,sat,under_learn,under_rest,gud_learn,gud_rest,left_learn,left_rest,pace,turned
10000,3790,1.307,2.530,23.56,145993,99070,0,44160,453,2505209,1147904.5,1204732.8,0.084,0.747,0.098,0.071,75,26.65,15.13,0.45,2.01,7.00,5.45,0.10,0.81,5.54,5.21,0.03,0.27,0.264,0.142,2429,0.021,0.028,0.933,0.005,0.034,279577,214228,2,0.118,0.868,0.026,3818625,0.171,3.365,0.298,102.71,118031,221,0.481,0.188,0.427,15774485,1.17,2.49,0.279,0.705,0.017,8.0,26.0,49.9,184.9,49628,0.189,0.00,0.0055,0.068,1031,0.594,0.001,0.526,0.487,2.92,3.74,3.83,0.11,0.054,1.18,1.16,1.18,0.630,0.00294,85.52,62.2715,1834.11,71400.6,140496.8,0.144,45.3859,238.881,0.000,1.000,0.001,78.6,88.548,105.745,6073,37197.8,20.48,105.976,5.90,24.089,1223.2,9.377,0.135,2.00,5.4350,20598.7,0.6652,0.3684,13.09,1.984,0.123,1.5414,0.0000,0.019,0.063,0.003,0.0000,4.41,0.69,4,13,25,87,78.8261,0.0017,0.4177,0.0000,0.0000,40.0831,100.00,54.6146,275.8945,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0031,0.0012,0.000003,2,0.1971,0.0071,0.0110,48,185,507,0.0000,0.0000,0.0055,0.022,5.9702,0.0141,2.3347,0.0222,0.2895,0.0887,0.0000,-0.00049,0.981,0.0844,0.734,0.242,0.09,0.026,0.000,0.000,0.0000,0.000,0.000,0.0000,1.2719,0.0000,2.4439,0.00000,0.05323,0.8640,0.8621
20000,2955,1.287,2.660,34.31,55070,44455,0,11417,16,581458,443713.3,332445.8,0.022,0.804,0.101,0.073,83,27.60,14.24,0.52,2.18,6.99,4.80,0.01,0.24,5.75,4.67,0.02,0.18,0.259,0.135,1620,0.031,0.049,0.910,0.006,0.035,67453,44418,7,0.283,0.622,0.002,140500,0.135,3.402,0.308,42.55,43259,312,0.572,0.228,0.342,7217008,1.21,1.84,0.366,0.625,0.009,10.0,30.0,42.0,158.0,39238,0.150,0.00,0.0026,0.081,724,0.523,0.000,0.358,0.238,2.94,3.72,3.84,0.14,0.074,1.20,1.21,1.22,0.541,0.00182,10.89,10.3571,1010.86,70867.2,140496.8,1.615,11.5707,96.625,0.000,1.000,0.000,60.6,39.195,41.372,6399,39684.9,12.44,35.793,4.11,8.274,1509.3,2.002,0.135,1.99,6.9572,20558.5,0.7747,0.4852,13.28,2.000,0.001,0.4586,0.0000,0.001,0.003,0.000,0.0000,4.24,0.58,5,14,19,66,35.1468,0.0021,0.4146,0.0000,0.0000,11.8152,100.00,74.1081,188.5463,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0028,0.0012,0.000002,17,0.1706,0.0200,0.0159,51,207,705,0.0000,0.0000,0.0012,0.002,0.9564,0.0175,0.5509,0.0156,0.3562,0.0649,0.0000,-0.00018,0.998,0.0959,0.671,0.273,0.01,0.002,0.000,0.000,0.0000,0.000,0.000,0.0000,1.2629,0.0000,2.2824,0.00000,0.05556,0.8799,0.8785
30000,3083,1.385,2.048,37.61,98979,84445,0,14172,127,902465,1109259.0,539370.3,0.039,0.792,0.089,0.080,61,42.54,19.29,0.36,1.86,8.64,5.12,0.01,0.32,11.90,7.00,0.00,0.03,0.204,0.093,1510,0.062,0.066,0.921,0.003,0.009,137583,84227,19,0.352,0.309,0.001,128805,0.196,3.127,0.235,102.27,97140,277,0.598,0.195,0.116,20563439,1.07,0.88,0.538,0.443,0.001,24.0,44.0,62.0,200.0,64458,0.246,0.00,0.0030,0.078,852,0.706,0.000,0.336,0.317,3.75,4.64,4.67,0.06,0.033,1.06,1.07,1.07,0.717,0.00235,76.01,25.5906,644.09,62527.9,140496.8,0.365,29.7788,231.852,0.000,1.000,0.000,86.1,102.878,107.852,5157,30630.5,12.66,93.425,4.68,31.216,1084.5,11.614,0.135,2.00,12.1450,37443.0,0.7678,0.4287,20.91,2.000,0.001,1.5414,0.0000,0.000,0.004,0.000,0.0000,4.87,0.90,11,22,30,100,97.2454,0.0015,0.4921,0.0000,0.0000,42.6801,100.00,42.5894,293.3326,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0025,0.0010,0.000003,107,1.3886,0.1314,0.0318,74,263,802,0.0000,0.0000,0.0039,0.009,1.5245,0.2294,0.8786,0.0341,0.2321,0.0646,0.0000,0.00003,0.999,0.0957,0.827,0.439,0.00,0.001,0.000,0.000,0.0000,0.000,0.000,0.0000,0.9937,0.0000,1.8974,0.00000,0.03517,0.8296,0.8285
40000,2771,1.601,1.863,36.57,29054,26517,0,2628,56,225612,450725.2,132446.8,0.016,0.806,0.100,0.077,105,46.82,20.66,0.48,2.40,8.67,5.12,0.00,0.02,13.79,7.96,0.00,0.06,0.188,0.088,1300,0.145,0.095,0.890,0.001,0.014,29966,18175,13,0.522,0.114,0.000,7067,0.244,3.004,0.211,42.87,23559,258,0.587,0.235,0.108,5700356,1.11,0.96,0.537,0.400,0.000,24.0,50.0,70.0,338.0,63543,0.242,0.00,0.0012,0.083,726,0.567,0.000,0.221,0.179,3.88,4.86,4.88,0.04,0.024,1.11,1.09,1.12,0.575,0.00149,10.68,7.8106,515.36,66506.9,140496.8,2.421,8.6921,89.968,0.000,1.000,0.000,74.6,41.943,42.910,4753,27710.2,11.45,35.597,5.08,7.365,952.2,2.152,0.133,2.00,13.1247,36368.5,0.7167,0.3946,22.93,2.000,0.000,0.4586,0.0000,0.000,0.000,0.000,0.0000,5.11,0.93,12,25,33,169,38.9747,0.0030,0.4713,0.0000,0.0000,11.7966,100.00,73.2322,211.4800,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0023,0.0010,0.000002,165,1.2089,0.0924,0.0645,90,276,1132,0.0000,0.0000,0.0055,0.010,0.3620,0.2642,0.2886,0.0220,0.3498,0.0333,0.0000,-0.00009,0.999,0.0971,0.897,0.512,0.00,0.000,0.000,0.000,0.0000,0.000,0.000,0.0000,0.8017,0.0000,1.2253,0.00000,0.05537,0.7920,0.7912
50000,3347,1.263,1.681,36.99,84159,73154,0,9809,251,728120,1129308.8,452564.8,0.010,0.811,0.103,0.076,70,41.56,18.63,0.35,2.23,8.03,4.37,0.00,0.03,12.05,6.84,0.00,0.02,0.198,0.088,1426,0.138,0.078,0.906,0.003,0.013,114542,72918,11,0.491,0.193,0.001,13653,0.158,2.874,0.190,106.22,80718,217,0.622,0.234,0.117,19653680,1.08,0.85,0.572,0.414,0.000,22.0,42.0,58.0,196.0,68375,0.261,0.00,0.0028,0.067,973,0.702,0.000,0.309,0.308,3.72,4.58,4.59,0.04,0.022,1.07,1.08,1.09,0.711,0.00203,80.46,26.4274,694.04,60336.6,140496.8,1.023,21.4604,235.371,0.000,1.000,0.000,96.1,107.050,113.589,4390,24894.0,13.06,93.897,4.93,22.906,740.2,10.708,0.133,2.00,13.5993,45516.9,0.8574,0.3876,20.43,2.000,0.000,1.5414,0.0000,0.000,0.000,0.000,0.0000,4.80,0.84,11,21,25,81,102.0021,0.0054,0.5178,0.0000,0.0000,41.9352,100.00,41.5011,302.3713,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0023,0.0009,0.000002,369,2.8468,0.1452,0.0499,86,271,917,0.0000,0.0000,0.0045,0.010,0.9598,0.5881,0.7441,0.0329,0.2449,0.0475,0.0000,0.00016,1.000,0.0975,0.917,0.546,0.00,0.001,0.000,0.000,0.0000,0.000,0.000,0.0000,0.7896,0.0000,1.4418,0.00000,0.03962,0.7996,0.7987
60000,2718,1.700,1.848,35.96,27503,25558,0,2295,25,226225,449328.4,134631.8,0.017,0.796,0.117,0.070,108,48.30,22.40,0.69,3.33,8.50,5.19,0.00,0.00,14.26,7.96,0.00,0.08,0.180,0.087,1323,0.123,0.094,0.890,0.002,0.015,28161,17341,18,0.411,0.164,0.000,3648,0.097,3.000,0.209,43.41,21981,247,0.595,0.264,0.107,5517932,1.19,1.09,0.552,0.438,0.001,24.0,50.0,72.0,202.0,63751,0.243,0.00,0.0012,0.090,691,0.553,0.000,0.212,0.176,3.93,4.91,4.92,0.07,0.039,1.14,1.20,1.20,0.561,0.00150,10.83,9.0767,569.92,65657.4,140496.8,2.623,8.6027,90.273,0.000,1.000,0.000,72.3,41.860,43.469,4719,27455.0,15.73,35.155,5.06,6.517,923.5,1.985,0.132,2.01,13.7007,37238.5,0.7426,0.3749,23.46,2.000,0.001,0.4586,0.0000,0.000,0.001,0.000,0.0000,5.19,0.93,12,25,36,100,39.0074,0.0040,0.4415,0.0000,0.0000,11.7595,100.00,73.0256,220.2578,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0022,0.0009,0.000002,254,1.5572,0.1071,0.0752,92,278,1233,0.0000,0.0000,0.0019,0.003,0.2993,0.3298,0.3009,0.0213,0.3645,0.0333,0.0000,0.00022,1.000,0.0978,0.806,0.390,0.00,0.000,0.000,0.000,0.0000,0.000,0.000,0.0000,0.7767,0.0000,1.2891,0.00000,0.05865,0.7922,0.7914
70000,3067,1.619,1.755,36.03,77166,67911,0,8505,58,741930,1124694.6,460081.8,0.008,0.835,0.084,0.073,72,49.23,23.42,0.79,3.71,8.36,4.61,0.00,0.00,14.67,8.62,0.00,0.05,0.178,0.080,1484,0.186,0.078,0.908,0.000,0.015,110714,72089,23,0.640,0.119,0.000,9666,0.131,2.933,0.200,105.53,76425,226,0.620,0.214,0.099,18709970,1.19,0.81,0.563,0.424,0.001,26.0,50.0,72.0,360.0,73073,0.279,0.00,0.0025,0.073,776,0.689,0.000,0.341,0.343,4.01,4.96,4.99,0.08,0.042,1.12,1.20,1.21,0.699,0.00225,82.34,28.3736,787.16,60464.3,140496.8,0.438,21.7901,232.443,0.000,1.000,0.000,84.0,105.892,112.317,4499,25878.1,14.12,93.453,5.15,22.674,815.3,10.784,0.135,2.00,14.0899,43213.6,0.7941,0.3728,23.83,2.000,0.000,1.5414,0.0000,0.000,0.000,0.000,0.0000,5.17,0.93,13,25,36,120,100.7604,0.0016,0.4809,0.0000,0.0000,41.5592,100.00,41.0596,300.7670,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0023,0.0009,0.000002,343,3.0658,0.1604,0.0547,91,278,955,0.0000,0.0000,0.0029,0.005,1.0481,0.6564,0.7807,0.0460,0.2587,0.0482,0.0000,0.00012,0.999,0.0967,0.754,0.289,0.00,0.000,0.000,0.000,0.0000,0.000,0.000,0.0000,0.7372,0.0000,1.1728,0.00000,0.03565,0.7820,0.7811
80000,2673,1.636,1.697,35.55,26394,24538,0,2012,9,236591,455609.6,139051.4,0.015,0.825,0.092,0.067,111,51.23,24.29,0.89,4.19,8.26,4.50,0.00,0.00,15.57,8.77,0.00,0.05,0.169,0.082,1183,0.269,0.100,0.887,0.001,0.012,28061,18091,7,0.831,0.051,0.000,990,0.028,2.888,0.191,43.64,21052,270,0.588,0.263,0.098,5428319,1.23,1.01,0.595,0.392,0.001,26.0,50.0,72.0,288.0,66088,0.252,0.00,0.0011,0.091,646,0.544,0.000,0.252,0.201,4.09,5.04,5.04,0.09,0.044,1.16,1.25,1.25,0.552,0.00156,11.33,9.3635,673.66,66090.6,140496.8,2.284,8.3312,90.981,0.000,1.000,0.000,74.8,42.085,43.125,4396,25041.1,13.30,35.490,5.25,6.214,753.8,1.948,0.137,1.99,14.7439,39410.5,0.7617,0.3638,24.72,2.000,0.000,0.4586,0.0000,0.000,0.000,0.000,0.0000,5.29,0.90,13,25,36,144,39.1605,0.0024,0.4770,0.0000,0.0000,11.6692,100.00,73.2147,213.4790,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0022,0.0010,0.000002,229,1.6145,0.1100,0.0765,94,282,1245,0.0000,0.0000,0.0017,0.003,0.3559,0.3790,0.3318,0.0254,0.3769,0.0323,0.0000,0.00014,0.998,0.0963,0.750,0.190,0.00,0.000,0.000,0.000,0.0000,0.000,0.000,0.0000,0.7260,0.0000,1.1250,0.00000,0.05385,0.7760,0.7752
90000,3052,1.407,1.749,35.72,72735,64482,0,7471,49,709263,1118352.4,446708.5,0.008,0.839,0.084,0.069,81,48.36,21.61,0.74,3.40,8.50,4.46,0.00,0.00,14.20,7.96,0.00,0.02,0.184,0.084,1397,0.244,0.068,0.918,0.000,0.014,106079,69932,10,0.726,0.124,0.000,4470,0.231,2.949,0.198,105.25,72045,230,0.630,0.211,0.097,18264217,1.18,0.90,0.561,0.413,0.000,24.0,50.0,72.0,226.0,71535,0.273,0.00,0.0026,0.077,785,0.687,0.000,0.349,0.354,3.98,4.91,4.94,0.09,0.044,1.12,1.18,1.21,0.696,0.00223,83.17,28.9138,817.75,59870.5,140496.8,0.432,21.7991,230.234,0.000,1.000,0.000,88.8,105.068,112.196,4469,25822.6,16.80,92.948,5.22,22.244,804.6,10.645,0.134,2.00,14.6232,44630.1,0.8194,0.3679,23.44,2.000,0.000,1.5414,0.0000,0.000,0.000,0.000,0.0000,5.15,0.83,12,25,36,100,100.0424,0.0017,0.5095,0.0000,0.0000,41.4522,100.00,40.4008,296.4933,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0022,0.0009,0.000002,354,3.1737,0.1661,0.0579,93,286,1021,0.0000,0.0000,0.0017,0.003,1.0263,0.6510,0.7728,0.0410,0.2618,0.0465,0.0000,0.00001,0.998,0.0967,0.797,0.252,0.00,0.000,0.000,0.000,0.0000,0.000,0.000,0.0000,0.7371,0.0000,1.2071,0.00000,0.03555,0.7749,0.7741
100000,2565,1.708,1.891,35.71,24944,23298,0,1890,19,220455,450746.5,129472.0,0.014,0.826,0.090,0.069,119,52.78,25.64,1.04,4.17,8.95,5.85,0.00,0.00,15.36,8.82,0.00,0.11,0.176,0.087,1272,0.176,0.101,0.879,0.003,0.016,26077,15813,10,0.443,0.239,0.000,3135,0.170,3.042,0.216,43.50,19933,253,0.587,0.260,0.084,5262669,1.24,0.96,0.556,0.415,0.002,26.0,50.0,72.0,338.0,65028,0.248,0.00,0.0011,0.082,678,0.544,0.000,0.251,0.197,4.14,5.10,5.12,0.14,0.060,1.15,1.28,1.27,0.552,0.00164,11.23,9.0706,688.58,63723.7,140496.8,2.390,8.3630,89.582,0.000,1.000,0.000,70.1,41.805,43.173,4739,28070.6,13.63,35.058,5.31,6.281,958.7,1.942,0.134,2.00,15.0611,38631.6,0.7739,0.3592,25.35,2.000,0.000,0.4586,0.0000,0.000,0.000,0.000,0.0000,5.35,0.93,13,25,36,144,38.8431,0.0004,0.4713,0.0000,0.0000,11.7361,100.00,73.3404,214.5403,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0021,0.0009,0.000002,224,1.5807,0.1049,0.0811,95,289,1362,0.0000,0.0000,0.0017,0.002,0.3369,0.3638,0.3160,0.0230,0.3751,0.0332,0.0000,-0.00005,0.999,0.0966,0.719,0.228,0.00,0.000,0.000,0.000,0.0000,0.000,0.000,0.0000,0.7272,0.0000,1.0713,0.00000,0.05533,0.7698,0.7691
