step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density,digest,side,water,worn,travel,drift,hidden,eta,beta,wchange,turns,pace
100000,8.00,16,0,2,0,2,0,1.00,4,0.250,3910,1.56,150.12,29.38,579,0,0,0,1.00,1.00,1.00,1,4,2,20.7,24.286,4,2.000,0.852,4,1.000,11,4.91,4.75,0,0.0263,0.000,0.0000,3353,1.0000
100000,6.00,16,0,1,0,2,0,1.00,8,0.167,3907,0.00,131.15,30.45,603,0,1,0,1.00,1.00,1.00,2,2,2,21.2,13.732,3,2.000,0.820,4,1.000,9,6.40,5.00,0,0.0239,0.000,0.0000,3383,1.0000
100000,4.00,16,0,1,0,1,0,1.00,8,0.250,3895,0.00,130.46,32.01,590,1,1,0,1.00,1.00,1.00,2,2,2,35.6,6.936,2,2.000,0.926,4,1.000,11,7.85,-7.25,0,0.0670,0.000,0.0000,3403,1.0000
100000,6.00,16,0,1,0,2,0,1.00,6,0.167,3886,0.71,131.80,18.28,438,1,0,0,1.00,1.00,1.00,2,2,3,29.2,12.387,3,2.000,0.879,4,1.000,12,6.18,1.50,0,0.0353,0.000,0.0000,3394,1.0000
100000,6.00,16,0,2,0,1,0,1.00,6,0.333,3882,0.00,96.16,35.56,486,0,0,0,1.00,1.00,1.00,1,2,3,12.6,8.045,3,2.000,0.746,4,1.000,12,10.50,8.25,0,0.0231,0.000,0.0000,3408,1.0000
100000,7.00,16,0,2,1,1,0,1.00,6,0.286,3873,0.00,103.21,22.42,584,0,0,0,1.00,1.00,1.00,3,3,2,13.9,6.334,4,2.000,0.962,4,1.000,12,11.91,-7.50,1,0.0000,0.000,0.0000,3365,1.0000
100000,10.00,16,0,3,0,2,0,1.00,2,0.300,3866,0.00,122.86,15.35,603,1,0,0,1.00,1.00,1.00,2,4,3,30.0,14.558,5,2.000,0.788,4,1.000,11,28.25,24.25,0,0.0264,0.000,0.0000,3387,1.0000
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,3863,0.00,127.97,23.84,603,0,0,0,1.00,1.00,1.00,1,1,1,20.0,3.869,1,2.000,0.820,4,1.000,12,10.75,8.75,0,0.0239,0.000,0.0000,3395,1.0000
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,3843,0.00,129.79,25.66,595,1,0,0,1.00,1.00,1.00,1,1,1,27.8,6.302,1,2.000,0.827,4,1.000,12,15.90,-4.50,0,0.0558,0.000,0.0000,3385,1.0000
100000,16.00,16,0,3,0,5,0,1.00,0,0.188,3842,2.69,196.14,26.74,594,0,0,0,1.00,1.00,1.00,4,4,4,18.6,78.715,8,2.000,0.841,4,1.000,8,1.68,0.75,0,0.0395,0.000,0.0000,3286,1.0000
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,3836,0.00,132.69,44.83,579,1,0,0,1.00,1.00,1.00,1,1,1,25.6,1.821,1,2.000,0.852,4,1.000,10,3.75,3.00,0,0.0263,0.000,0.0000,3384,1.0000
100000,12.00,16,0,2,0,4,0,1.00,4,0.167,3831,0.00,95.58,31.87,597,0,0,0,1.00,1.00,1.00,3,3,3,2.9,15.171,6,2.000,0.797,4,1.000,9,3.01,-2.25,0,0.0172,0.000,0.0000,3290,1.0000
100000,6.00,16,0,0,0,3,0,1.00,8,0.000,3829,1.39,151.92,49.66,594,0,0,0,1.00,1.00,1.00,2,1,3,17.3,22.711,3,2.000,0.843,4,1.000,10,4.37,4.00,0,0.0390,0.000,0.0000,3272,1.0000
100000,4.00,16,0,0,0,2,0,1.00,10,0.000,3828,0.00,148.33,22.33,241,1,0,0,1.00,1.00,1.00,1,1,2,24.1,8.052,2,2.000,0.763,4,1.000,11,10.98,-7.25,0,0.0592,0.000,0.0000,3325,1.0000
100000,6.00,16,0,1,0,2,0,1.00,4,0.167,3814,0.64,143.82,50.54,552,1,0,0,1.00,1.00,1.00,3,3,3,35.7,25.734,3,2.000,0.886,4,1.000,12,9.80,-6.00,0,0.0714,0.000,0.0000,3286,1.0000
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,3805,0.00,93.51,24.25,241,1,0,0,1.00,1.00,1.00,1,1,1,26.6,0.737,1,2.000,0.786,4,1.000,12,19.47,17.75,0,0.0196,0.000,0.0000,3340,1.0000
100000,4.00,16,0,2,0,0,0,1.00,10,0.500,3803,0.00,148.14,27.18,241,0,0,0,1.00,1.00,1.00,2,1,2,21.6,4.789,2,2.000,0.814,4,1.000,11,3.54,-0.50,0,0.0416,0.000,0.0000,3307,1.0000
100000,2.00,16,0,0,0,1,0,1.00,12,0.000,3802,-0.00,126.11,35.48,532,0,1,0,1.00,1.00,1.00,1,1,1,23.0,0.836,1,2.000,0.698,4,1.000,11,26.44,25.50,0,0.0201,0.000,0.0000,3314,1.0000
100000,4.00,16,0,0,0,2,0,1.00,10,0.000,3797,0.00,127.72,36.99,515,0,0,0,1.00,1.00,1.00,2,1,2,15.5,9.452,2,2.000,0.900,4,1.000,13,10.85,2.75,0,0.0568,0.000,0.0000,3386,1.0000
100000,2.00,16,0,1,0,0,0,1.00,12,0.500,3794,0.00,118.84,62.97,594,1,0,0,1.00,1.00,1.00,1,1,1,27.2,3.681,1,2.000,0.799,4,1.000,12,13.86,13.75,0,0.0267,0.000,0.0000,3331,1.0000
100000,14.00,16,0,2,0,5,0,1.00,2,0.143,3789,0.00,117.25,18.17,594,0,0,0,1.00,1.00,1.00,3,3,4,19.6,27.481,7,2.000,0.815,4,1.000,9,1.06,0.75,0,0.0456,0.000,0.0000,3272,1.0000
