step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies,cornered,stalled,moved,in_band,west,learners,eta,base_share,beta,hidden,eyed,learned,memory,wchange,units,sat,under_learn,under_rest,gud_learn,gud_rest,left_learn,left_rest,pace,turned
10000,2206,1.204,1.216,10.22,102107,80031,0,20726,565,2461197,1249729.8,1115501.1,0.109,0.725,0.091,0.075,84,37.43,20.23,2.57,5.04,8.85,7.27,0.18,1.30,18.87,13.92,0.39,1.01,0.242,0.169,1749,0.022,0.030,0.961,0.001,0.008,219692,172085,3,0.654,0.115,0.035,2678728,0.174,2.482,0.131,108.40,77959,247,0.453,0.156,0.272,13091961,1.43,3.12,0.237,0.719,0.149,12.0,36.9,64.5,161.2,67218,0.256,0.00,0.0030,0.105,492,0.608,0.001,0.567,0.548,4.74,5.86,5.77,0.68,0.254,1.49,1.28,1.47,0.644,0.00599,69.31,59.2495,780.77,96876.1,140122.1,0.110,40.0819,254.163,0.000,1.000,0.034,102.3,100.909,116.639,3212,17343.9,13.14,110.659,6.71,22.906,417.4,9.344,0.134,2.00,8.5727,18911.3,0.4381,0.3267,30.47,1.245,0.536,1.5345,0.0000,0.480,0.163,0.623,0.0000,6.59,0.78,9,31,49,81,89.6047,0.0012,0.5086,0.0000,0.0000,50.6797,100.00,65.9161,271.0541,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0030,0.0012,0.000006,0,0.2204,0.0281,0.0199,57,194,512,0.0000,0.0000,0.0099,0.029,8.5065,0.0109,2.6800,0.0286,0.2804,0.1185,0.0000,0.00042,0.371,0.0054,0.695,0.324,0.14,0.035,0.000,0.000,0.0000,0.000,0.000,0.0000,0.9872,0.0000,1.7221,0.00000,0.05267,1.0000,1.0000
20000,2542,1.513,1.771,15.01,37828,33743,0,3735,8,593438,481587.3,261567.8,0.052,0.787,0.073,0.089,141,33.49,17.26,0.80,2.88,9.42,7.18,0.11,1.02,10.27,9.32,0.15,0.68,0.280,0.158,1806,0.039,0.060,0.923,0.004,0.013,48070,34263,5,0.668,0.095,0.023,242900,0.240,2.957,0.200,47.33,18885,363,0.441,0.161,0.358,4075028,1.22,2.87,0.317,0.682,0.054,10.0,33.8,50.0,161.7,52375,0.200,0.00,0.0018,0.100,571,0.430,0.000,0.412,0.292,3.62,4.71,4.77,0.22,0.079,1.26,1.13,1.25,0.453,0.00260,11.28,8.9667,1102.54,88395.7,140122.1,0.000,5.9080,101.540,0.000,1.000,0.032,72.6,44.552,41.214,4407,25744.7,27.31,33.086,6.20,3.976,731.7,1.607,0.132,2.01,6.7231,17090.0,0.5296,0.3512,20.60,1.668,0.492,0.4655,0.0000,0.325,0.228,0.313,0.0000,5.45,0.74,6,21,36,81,39.8889,0.0079,0.3895,0.0000,0.0000,13.6810,100.00,99.9305,205.6682,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0030,0.0014,0.000004,6,0.1943,0.0197,0.0313,57,180,643,0.0000,0.0000,0.0016,0.006,2.1007,0.0195,0.7316,0.0220,0.4104,0.0691,0.0000,0.00013,0.746,0.0197,0.812,0.678,0.08,0.023,0.000,0.000,0.0000,0.000,0.000,0.0000,0.5730,0.0000,0.7666,0.00000,0.08922,1.0000,1.0000
30000,2400,1.026,1.273,12.50,122631,102317,0,20427,28,2144125,1185973.4,1037342.6,0.058,0.797,0.064,0.081,82,28.90,14.85,3.09,4.19,8.36,6.33,0.20,1.94,11.70,9.25,1.08,1.57,0.289,0.182,1987,0.013,0.038,0.950,0.002,0.010,211037,147421,5,0.481,0.213,0.032,518141,0.201,2.514,0.137,114.05,89680,289,0.484,0.162,0.292,18384667,1.81,2.67,0.243,0.752,0.367,10.0,28.9,48.8,126.0,56025,0.214,0.00,0.0042,0.112,600,0.607,0.000,0.575,0.439,4.07,5.13,5.09,1.21,0.417,2.05,1.27,2.03,0.633,0.00471,70.44,42.9606,747.42,96930.1,140122.1,0.000,25.3861,265.389,0.000,1.000,0.032,86.0,106.002,120.907,3377,18167.6,13.93,98.118,5.62,16.482,385.8,7.961,0.134,2.00,7.6692,18406.1,0.4978,0.3684,23.34,1.184,0.455,1.5345,0.0000,0.574,0.180,0.798,0.0000,5.78,0.75,8,24,36,64,96.8501,0.0017,0.4858,0.0000,0.0000,50.4325,100.00,72.7303,280.1551,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0030,0.0012,0.000005,1,0.2404,0.0271,0.0177,58,198,590,0.0000,0.0000,0.0010,0.003,8.4142,0.0162,3.1366,0.0346,0.2952,0.1358,0.0000,-0.00012,0.765,0.0113,0.488,0.237,0.13,0.032,0.000,0.000,0.0000,0.000,0.000,0.0000,0.8602,0.0000,1.4442,0.00000,0.04551,1.0000,1.0000
40000,2230,1.608,1.797,10.87,41474,37041,0,4600,2,618535,480663.2,285235.1,0.056,0.757,0.092,0.095,144,33.05,16.62,1.91,3.97,9.25,6.72,0.03,0.51,10.95,9.00,0.46,1.17,0.290,0.181,1563,0.034,0.063,0.924,0.000,0.013,51793,35049,3,0.252,0.593,0.008,184510,0.245,2.952,0.204,47.30,19827,356,0.461,0.154,0.325,4428016,1.60,2.49,0.356,0.629,0.157,9.7,33.7,55.0,92.6,49388,0.188,0.00,0.0020,0.104,527,0.432,0.000,0.429,0.270,3.81,4.91,4.93,0.63,0.207,1.68,1.33,1.77,0.455,0.00302,12.01,9.3249,1084.27,90558.3,140122.1,0.000,5.9149,103.353,0.000,1.000,0.032,61.5,44.182,39.418,4481,26112.8,16.74,31.432,5.66,3.437,749.3,1.515,0.135,2.00,6.7275,15002.3,0.4863,0.3771,22.15,1.406,0.258,0.4655,0.0000,0.690,0.110,0.955,0.0000,5.54,0.60,7,24,36,61,39.4694,0.0058,0.3686,0.0000,0.0000,13.5249,100.00,100.9258,198.3223,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0030,0.0013,0.000004,1,0.1466,0.0135,0.0259,55,186,683,0.0000,0.0000,0.0002,0.001,2.8046,0.0134,0.9914,0.0166,0.3872,0.1002,0.0000,0.00059,0.335,0.0040,0.855,0.234,0.03,0.008,0.000,0.000,0.0000,0.000,0.000,0.0000,0.6546,0.0000,0.8110,0.00000,0.10740,1.0000,1.0000
50000,2430,1.337,1.461,10.82,113095,99150,0,13739,5,1910856,1190515.1,950007.2,0.045,0.776,0.085,0.094,92,34.48,17.30,3.96,4.95,9.10,6.92,0.02,0.33,11.43,8.80,1.32,1.78,0.259,0.163,1957,0.016,0.035,0.955,0.002,0.008,183639,134999,16,0.380,0.165,0.006,273756,0.222,2.691,0.159,114.73,70325,322,0.497,0.152,0.300,17406656,2.20,2.56,0.273,0.723,0.405,11.6,33.0,53.1,129.6,59549,0.227,0.00,0.0043,0.106,533,0.614,0.000,0.557,0.408,4.17,5.22,5.28,1.46,0.440,2.46,1.44,2.59,0.636,0.00418,69.25,40.2064,1081.26,91993.0,140122.1,0.000,25.0270,262.725,0.000,1.000,0.011,84.0,106.097,123.459,3813,20816.9,28.07,99.110,5.55,16.246,501.7,7.846,0.135,2.00,7.8916,19176.7,0.4978,0.3800,24.51,1.264,0.381,1.5345,0.0000,0.714,0.119,0.983,0.0000,5.89,0.57,8,25,36,64,97.8490,0.0015,0.4572,0.0000,0.0000,51.1805,100.00,71.3144,284.5634,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0030,0.0012,0.000004,1,0.2510,0.0255,0.0193,62,207,617,0.0000,0.0000,0.0003,0.001,9.6442,0.0274,3.1476,0.0313,0.2996,0.1102,0.0000,0.00054,0.593,0.0067,0.471,0.189,0.02,0.006,0.000,0.000,0.0000,0.000,0.000,0.0000,0.8700,0.0000,1.4139,0.00000,0.04596,1.0000,1.0000
60000,2448,1.449,1.514,12.42,38325,34425,0,3879,1,611338,484843.8,281776.5,0.049,0.790,0.069,0.093,138,35.59,17.13,3.58,4.92,9.48,7.07,0.05,0.62,10.54,7.88,1.18,1.74,0.266,0.173,1883,0.035,0.048,0.935,0.004,0.013,47943,34319,6,0.439,0.330,0.011,104511,0.185,2.748,0.170,46.92,18190,389,0.461,0.139,0.357,4385317,2.16,2.71,0.274,0.714,0.348,12.0,36.4,54.9,120.6,57889,0.221,0.00,0.0019,0.119,587,0.432,0.000,0.424,0.273,4.00,5.04,5.24,1.22,0.358,2.36,1.34,2.61,0.453,0.00272,11.74,9.0289,1087.53,91496.8,140122.1,0.000,6.3888,103.663,0.000,1.000,0.053,81.5,44.482,41.080,3852,21742.4,16.11,33.625,5.77,3.999,531.3,1.566,0.134,1.99,7.5359,18447.8,0.4972,0.3789,23.65,1.393,0.373,0.4655,0.0000,0.678,0.070,0.988,0.0000,5.82,0.71,8,24,36,64,39.8619,0.0041,0.4346,0.0000,0.0000,13.6126,100.00,98.5915,201.0962,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0029,0.0013,0.000004,2,0.1606,0.0225,0.0290,60,193,693,0.0000,0.0000,0.0002,0.000,2.0813,0.0176,0.7359,0.0212,0.4146,0.0741,0.0000,0.00008,0.582,0.0090,0.447,0.179,0.05,0.011,0.000,0.000,0.0000,0.000,0.000,0.0000,0.6970,0.0000,0.8782,0.00000,0.08860,1.0000,1.0000
70000,2251,1.227,1.422,10.14,102359,92690,0,9832,29,1802582,1179370.1,832425.8,0.033,0.810,0.064,0.093,100,35.12,15.47,4.40,5.07,8.59,7.00,0.08,1.09,12.75,8.50,1.45,1.82,0.233,0.159,1676,0.046,0.051,0.942,0.000,0.007,169712,133959,7,0.506,0.287,0.019,423056,0.190,2.654,0.155,113.28,57050,332,0.462,0.133,0.302,16050240,2.38,2.22,0.301,0.694,0.434,14.3,35.3,52.2,96.7,58104,0.222,0.00,0.0041,0.103,542,0.600,0.000,0.539,0.418,4.21,5.23,5.46,1.51,0.454,2.67,1.41,2.92,0.621,0.00433,72.55,34.1599,790.94,93878.7,140122.1,0.000,21.3394,258.384,0.000,1.000,0.017,84.7,107.716,119.402,3704,20358.2,18.41,94.766,5.80,15.536,532.8,7.466,0.134,2.00,8.2268,18518.6,0.4649,0.3500,25.81,1.203,0.228,1.5345,0.0000,0.642,0.103,0.914,0.0000,5.90,0.63,10,25,36,81,100.0304,0.0059,0.4718,0.0000,0.0000,50.0405,100.00,74.7221,281.8479,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0031,0.0013,0.000005,5,0.2724,0.0213,0.0232,67,206,622,0.0000,0.0000,0.0009,0.002,5.4782,0.0179,1.9577,0.0222,0.3141,0.1112,0.0000,0.00045,0.866,0.0163,0.256,0.065,0.07,0.019,0.000,0.000,0.0000,0.000,0.000,0.0000,0.8053,0.0000,1.1550,0.00000,0.04758,1.0000,1.0000
80000,2206,1.361,1.552,10.48,39224,35167,0,4097,1,614579,484239.9,281305.7,0.036,0.809,0.065,0.089,139,33.81,15.40,4.01,4.79,8.61,6.84,0.07,1.02,10.87,7.78,1.28,1.79,0.236,0.150,1649,0.066,0.048,0.943,0.001,0.008,48350,34531,6,0.471,0.138,0.010,186496,0.173,2.776,0.172,47.01,18370,389,0.458,0.137,0.342,4446117,2.28,2.63,0.262,0.733,0.373,12.3,34.1,50.4,97.2,51967,0.198,0.00,0.0020,0.115,469,0.416,0.000,0.457,0.257,3.97,4.96,5.27,1.33,0.395,2.49,1.39,2.83,0.435,0.00303,11.80,8.1504,745.55,93220.7,140122.1,0.000,5.8568,104.605,0.000,1.000,0.058,74.5,45.000,41.076,3992,22688.4,11.75,33.692,5.59,3.909,550.3,1.567,0.137,1.98,7.6665,16912.3,0.4938,0.3831,23.56,1.311,0.341,0.4655,0.0000,0.696,0.098,0.972,0.0000,5.77,0.68,8,24,36,64,40.4404,0.0060,0.4429,0.0000,0.0000,13.5526,100.00,99.4638,204.8334,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0029,0.0012,0.000004,4,0.1537,0.0295,0.0286,63,196,692,0.0000,0.0000,0.0006,0.002,1.7028,0.0103,0.6200,0.0258,0.4364,0.0827,0.0000,-0.00000,0.850,0.0152,0.406,0.079,0.04,0.010,0.000,0.000,0.0000,0.000,0.000,0.0000,0.7035,0.0000,0.8572,0.00000,0.08325,1.0000,1.0000
90000,2465,1.235,1.493,9.48,111066,98413,0,12346,48,1943818,1182532.2,887539.6,0.027,0.837,0.050,0.086,95,33.87,15.85,4.28,4.69,8.59,6.48,0.07,0.60,11.31,8.30,1.54,1.82,0.243,0.153,1855,0.045,0.043,0.948,0.000,0.008,176774,140508,10,0.597,0.172,0.024,744453,0.154,2.732,0.165,113.20,59594,294,0.457,0.155,0.315,17750236,2.36,2.21,0.262,0.714,0.463,13.5,32.2,51.5,96.8,59770,0.228,0.00,0.0042,0.115,586,0.612,0.000,0.583,0.393,4.10,5.08,5.37,1.57,0.472,2.63,1.37,2.94,0.632,0.00407,69.73,34.6229,750.14,91289.1,140122.1,0.000,23.0900,260.461,0.000,1.000,0.015,91.5,107.337,121.338,3827,21625.3,27.63,96.750,5.61,17.419,551.0,8.098,0.134,2.01,7.9351,19560.0,0.4921,0.3540,24.25,1.242,0.257,1.5345,0.0000,0.689,0.092,0.986,0.0000,5.78,0.73,8,24,36,64,99.1590,0.0027,0.4828,0.0000,0.0000,51.0534,100.00,72.3695,284.1804,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0031,0.0013,0.000004,0,0.2397,0.0268,0.0198,66,204,596,0.0000,0.0000,0.0017,0.005,5.5611,0.0189,2.0212,0.0280,0.3068,0.1042,0.0000,0.00031,0.631,0.0081,0.327,0.070,0.07,0.024,0.000,0.000,0.0000,0.000,0.000,0.0000,0.8668,0.0000,1.3324,0.00000,0.04248,1.0000,1.0000
100000,2347,1.332,1.337,10.05,39347,35598,0,3848,15,563305,491604.5,270854.5,0.036,0.791,0.059,0.114,141,33.47,15.93,3.62,4.73,8.86,6.79,0.17,1.18,11.33,7.95,1.23,1.75,0.255,0.159,1752,0.027,0.049,0.933,0.001,0.017,47702,35043,8,0.476,0.083,0.051,396718,0.156,2.577,0.146,47.23,17287,401,0.481,0.138,0.294,4809397,2.13,2.28,0.297,0.690,0.367,11.5,33.5,51.7,89.2,56269,0.215,0.00,0.0018,0.105,597,0.446,0.000,0.435,0.248,4.08,5.10,5.24,1.27,0.382,2.37,1.32,2.56,0.463,0.00267,11.68,8.2230,929.65,95445.6,140122.1,0.000,5.8378,105.536,0.000,1.000,0.091,78.0,45.521,41.841,3532,19024.3,28.51,34.511,5.43,3.713,405.3,1.489,0.136,2.00,7.6707,18003.1,0.4920,0.4002,23.97,1.250,0.189,0.4655,0.0000,0.661,0.079,0.961,0.0000,5.74,0.66,8,25,36,64,41.2138,0.0022,0.4389,0.0000,0.0000,13.6515,100.00,98.8557,203.6295,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0028,0.0012,0.000004,4,0.1723,0.0281,0.0298,64,203,714,0.0000,0.0000,0.0017,0.004,1.7996,0.0201,0.6544,0.0251,0.4161,0.0734,0.0000,0.00029,0.518,0.0074,0.433,0.085,0.15,0.051,0.000,0.000,0.0000,0.000,0.000,0.0000,0.7262,0.0000,0.8763,0.00000,0.07885,1.0000,1.0000
