step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2
1000,2562,0.9543,25841.0,942,836,887,839,10,11,24,21062,4359,2776
2000,2509,0.9458,38452.9,1883,844,861,804,10,11,28,26084,4465,2638
3000,2533,0.9210,51895.7,2722,889,847,797,12,13,24,27465,4107,2438
4000,2169,0.7174,35849.2,603,978,654,537,35,31,38,51214,11932,3753
5000,2256,0.7234,48318.4,1058,1020,750,486,37,37,37,53532,11255,2778
6000,2491,0.7607,55030.5,1418,1075,869,547,31,43,38,50628,9418,2957
7000,2425,0.6990,44213.5,899,1030,835,560,20,36,38,59339,13313,3615
8000,2331,0.7083,47713.9,1043,1065,819,447,34,44,45,58208,12414,2886
9000,2472,0.6990,47046.4,1129,1221,753,498,37,49,48,59442,14011,3590
10000,2175,0.6607,37780.1,950,1113,744,318,31,44,36,66981,17621,3867
11000,1725,0.7142,28800.5,1010,833,581,311,35,46,44,74619,20992,4333
12000,1301,0.7702,17932.7,1077,597,448,256,34,54,51,82452,24569,4091
13000,952,0.7973,11817.1,1142,404,342,206,41,55,57,89381,26433,4008
14000,782,0.8082,8447.8,1023,304,326,152,40,46,47,94247,28009,3620
15000,683,0.7042,8390.2,982,278,242,163,49,50,73,96545,28395,2943
16000,974,0.6201,10006.8,665,360,339,275,71,100,112,96545,27045,2314
17000,1234,0.6726,8938.6,611,469,456,309,110,97,98,96383,27122,2249
18000,1463,0.6343,14394.6,715,522,551,390,79,100,106,93211,24112,1653
19000,1822,0.5779,19194.1,657,688,729,405,105,95,101,88275,21357,1773
20000,2276,0.5620,26053.5,595,846,925,505,121,111,107,82811,18223,1442
21000,2711,0.5810,37175.1,719,1111,1059,541,100,127,97,73938,13255,1583
22000,3429,0.5124,39526.9,609,1475,1311,643,156,141,139,69500,12828,1547
23000,4104,0.5334,32659.3,462,1720,1693,691,175,199,169,70312,15382,2767
24000,4277,0.5069,37574.7,492,1927,1713,637,171,216,183,66721,14836,2980
25000,3990,0.5388,44027.3,600,1851,1504,635,132,179,151,61487,12756,2989
26000,4179,0.5360,47733.9,671,1978,1391,810,134,158,134,58209,12322,2825
27000,3795,0.5225,49361.9,753,1789,1279,727,123,134,146,57241,11764,2807
28000,3875,0.5032,42358.1,626,1803,1272,800,125,128,129,62879,14130,2793
29000,3763,0.5235,41004.9,608,1799,1132,832,120,136,144,65682,15749,3156
30000,3243,0.5365,35781.1,638,1408,1131,704,122,123,123,71123,16943,3285
31000,2924,0.5188,23281.3,478,1237,1018,669,115,128,119,79659,23147,3896
32000,2458,0.5004,16844.5,405,977,869,612,130,129,134,86184,25681,3605
33000,1713,0.5295,9874.8,374,623,605,485,101,103,163,92647,28507,3525
34000,1348,0.5415,7740.4,417,464,497,387,91,115,168,96084,29273,3172
35000,1131,0.5049,7048.3,434,387,387,357,86,91,151,98015,29331,2495
36000,1364,0.4655,8909.4,439,459,518,387,113,119,179,97718,27966,2096
37000,1612,0.4808,12156.3,468,589,555,468,123,114,200,95318,26477,2195
38000,2080,0.4683,15957.1,419,808,758,514,124,120,181,91722,24422,2046
39000,2378,0.5093,22726.1,465,964,903,511,129,89,158,86139,20695,2151
40000,2754,0.4710,31118.0,542,1168,1020,566,123,90,139,78672,16671,1999
41000,3072,0.4639,36872.5,590,1205,1222,645,121,95,111,72299,14722,1725
42000,3390,0.4614,43422.2,585,1431,1343,616,133,106,136,65849,12009,1887
43000,3691,0.4533,42488.3,521,1563,1361,767,143,144,124,63732,11837,1710
44000,3581,0.4331,40794.0,490,1492,1450,639,153,152,136,65093,10572,1961
45000,3208,0.4420,38653.2,485,1283,1344,581,151,130,140,66082,10487,1861
46000,3340,0.4329,37148.7,437,1357,1384,599,157,136,106,66557,11201,1852
47000,3290,0.5046,43487.2,580,1302,1384,604,137,138,109,64128,9991,1624
48000,3214,0.5398,54950.1,803,1287,1293,634,150,116,99,59775,8195,1481
49000,3218,0.5497,53090.0,778,1350,1218,650,138,115,133,59122,9466,1992
50000,2966,0.5108,45343.8,700,1160,1236,570,117,148,120,66324,13156,1940
51000,2699,0.5565,39431.9,713,1033,1088,578,122,117,137,71643,16098,2483
52000,2470,0.5757,30409.9,692,894,1004,572,108,152,137,78846,20674,3049
53000,2099,0.5679,17923.6,652,729,844,526,145,144,181,86734,26061,4123
54000,1573,0.5734,12473.5,669,570,579,424,144,137,160,92366,28575,3529
55000,1327,0.5516,9374.9,625,428,493,406,116,119,174,95486,29235,2872
56000,1507,0.5017,9509.8,582,489,507,511,138,118,225,96391,28430,2362
57000,1776,0.5236,9247.1,458,643,609,524,134,130,211,95796,28097,2618
58000,2287,0.5068,12863.9,416,866,822,599,158,160,217,93026,25992,2361
59000,2530,0.4945,22045.9,522,877,1020,633,158,150,206,87078,21110,2030
60000,2789,0.4826,34090.4,628,1003,1115,671,156,139,177,78223,15913,1726
61000,2884,0.4584,44030.4,685,1117,1112,655,133,90,136,70468,11386,1345
62000,3046,0.4439,52693.2,685,1345,1096,605,143,111,106,62000,9049,1595
63000,3338,0.4769,56766.2,686,1501,1137,700,155,120,129,56619,8454,1711
64000,3352,0.4305,59961.7,712,1465,1204,683,130,101,121,53055,7304,1722
65000,3411,0.4456,63238.9,720,1435,1300,676,145,104,147,50864,6512,1537
66000,3235,0.4612,63193.4,759,1513,1066,656,134,123,117,49974,6970,1608
67000,3595,0.4503,61055.2,677,1614,1284,697,154,154,139,50776,7732,2109
68000,3441,0.4664,58409.5,680,1528,1221,692,132,140,126,54523,8722,1970
69000,3105,0.4609,58153.5,744,1424,1025,656,122,124,107,55560,8860,1821
70000,2821,0.4860,49856.9,734,1326,873,622,105,99,98,62134,12063,1948
71000,2634,0.4935,41161.3,676,1119,902,613,109,123,100,70364,16354,2341
72000,2222,0.5212,32116.4,691,869,807,546,115,126,139,77952,20057,2511
73000,1927,0.5340,19886.8,643,711,657,559,145,106,195,86107,25490,3212
74000,1408,0.5320,11494.2,622,562,475,371,134,96,154,93064,28471,3267
75000,1280,0.5102,9059.9,563,486,428,366,122,126,168,96308,29351,2528
76000,1354,0.5229,8604.3,522,502,466,386,139,115,185,97176,28838,2155
77000,1765,0.4844,10588.6,426,653,563,549,173,136,231,96045,27595,1952
78000,2033,0.4658,13520.5,438,748,772,513,146,148,209,92973,25853,1960
79000,2298,0.4430,22454.6,505,856,901,541,159,88,163,87155,21155,1307
80000,2615,0.4444,35147.7,584,913,1054,648,144,121,134,78974,14573,746
81000,2813,0.4504,44937.7,644,1074,1079,660,136,103,121,69717,11026,971
82000,3086,0.4563,52775.7,670,1249,1127,710,138,113,114,62358,8670,992
83000,3270,0.4630,59340.4,710,1461,1082,727,159,114,119,55448,6875,1503
84000,3453,0.4610,62299.8,728,1642,1069,742,127,96,145,51152,6291,1688
85000,3460,0.4543,65317.3,720,1657,1004,799,106,92,148,48123,5610,1458
86000,3585,0.4460,67994.3,712,1694,1045,846,103,87,134,47738,4799,1441
87000,3445,0.4946,63824.0,736,1626,1133,686,122,107,130,49951,6598,2013
88000,3454,0.4606,61417.1,706,1585,1089,780,114,95,149,52636,7320,1585
89000,3043,0.4749,55470.0,774,1385,1014,644,112,128,156,58520,9070,2362
90000,2854,0.5077,47144.9,735,1181,967,706,104,122,145,65449,12281,2047
91000,2734,0.4905,41315.5,696,1163,985,586,112,114,148,71096,15088,2093
92000,2187,0.5510,31606.9,762,895,835,457,136,144,136,78165,19887,2969
93000,1871,0.5414,18643.2,646,761,640,470,136,103,158,86755,25464,3562
94000,1530,0.5176,12397.4,640,537,571,422,126,141,174,92660,28343,3233
95000,1318,0.4871,9453.0,588,430,451,437,105,126,194,96108,29235,2430
96000,1366,0.5168,8618.8,542,468,452,446,120,114,210,96928,29135,2146
97000,1710,0.4842,10615.3,421,578,618,514,134,154,203,95872,27678,1714
98000,2039,0.4880,13261.9,438,705,757,577,143,121,226,93102,25766,2039
99000,2367,0.4575,22976.3,501,880,880,607,141,124,183,86987,20743,1321
100000,2570,0.4638,36572.4,629,949,1028,593,163,117,148,77818,14627,908
